Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Control_S4_counts,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72689,"Formation of a pool of free 40S subunits",88,106,0.006781829814459373,4.2839715761190157E-20,7.685445007557515E-17,2,2,1.3333333333333334E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000104131;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72673;R-HSA-72676"
R-HSA-156842,"Eukaryotic Translation Elongation",79,102,0.006525911708253359,2.066311841588472E-19,1.8534817219048594E-16,9,9,6.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000114942;ENSG00000156508;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000167658;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104529;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910;R-HSA-156908;R-HSA-156909"
R-HSA-6791226,"Major pathway of rRNA processing in the nucleolus and cytosol",124,189,0.012092130518234165,3.795688575645929E-19,2.2698217682362656E-16,7,7,4.6666666666666666E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000142937;ENSG00000110700;ENSG00000039123;ENSG00000083520;ENSG00000142541;ENSG00000088930;ENSG00000105193;ENSG00000065268;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000001497;ENSG00000168028;ENSG00000144713;ENSG00000171824;ENSG00000221983;ENSG00000126749;ENSG00000108298;ENSG00000163811;ENSG00000183520;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000101782;ENSG00000149273;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000163938;ENSG00000227057;ENSG00000130255;ENSG00000120699;ENSG00000141551;ENSG00000115053;ENSG00000229117;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000172809;ENSG00000105372;ENSG00000188846;ENSG00000124383;ENSG00000134987;ENSG00000011260;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000123737;ENSG00000055044;ENSG00000122406;ENSG00000130935;ENSG00000108592;ENSG00000089157;ENSG00000165732;ENSG00000147403;ENSG00000124541;ENSG00000161016;ENSG00000165733;ENSG00000124784;ENSG00000105640;ENSG00000213741;ENSG00000178896;ENSG00000119285;ENSG00000177600;ENSG00000171863;ENSG00000135521;ENSG00000163682;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100029;ENSG00000109475;ENSG00000164934;ENSG00000123384;ENSG00000167526;ENSG00000105671;ENSG00000148688;ENSG00000148843;ENSG00000125691;ENSG00000065183;ENSG00000241945;ENSG00000071462;ENSG00000197958;ENSG00000233927;ENSG00000149806;ENSG00000137154;ENSG00000166441;ENSG00000231500;ENSG00000143947;ENSG00000189306;ENSG00000162244;ENSG00000108651;ENSG00000182899;ENSG00000111615;ENSG00000136718;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000141076;ENSG00000174748;ENSG00000117395;ENSG00000089009;ENSG00000183751;ENSG00000148303;ENSG00000101361;ENSG00000137818;ENSG00000105202;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000115368;ENSG00000141101;ENSG00000145425;ENSG00000170315;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000142676","","R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6791228;R-HSA-6791227"
R-HSA-156902,"Peptide chain elongation",77,97,0.0062060140754958415,8.807539165232412E-19,3.4017451527309397E-16,5,5,3.333333333333333E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000156508;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000167658;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-8868773,"rRNA processing in the nucleus and cytosol",132,207,0.013243761996161228,9.480895074500947E-19,3.4017451527309397E-16,15,15,0.001,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000142937;ENSG00000110700;ENSG00000039123;ENSG00000083520;ENSG00000142541;ENSG00000007520;ENSG00000088930;ENSG00000105193;ENSG00000130826;ENSG00000065268;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000001497;ENSG00000168028;ENSG00000144713;ENSG00000171824;ENSG00000221983;ENSG00000126749;ENSG00000108298;ENSG00000163811;ENSG00000086189;ENSG00000183520;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000101782;ENSG00000149273;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000163938;ENSG00000227057;ENSG00000130255;ENSG00000120699;ENSG00000141551;ENSG00000115053;ENSG00000229117;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000172809;ENSG00000105372;ENSG00000188846;ENSG00000124383;ENSG00000134987;ENSG00000011260;ENSG00000111641;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173113;ENSG00000177954;ENSG00000071082;ENSG00000123737;ENSG00000055044;ENSG00000122406;ENSG00000130935;ENSG00000108592;ENSG00000089157;ENSG00000165732;ENSG00000147403;ENSG00000124541;ENSG00000161016;ENSG00000165733;ENSG00000124784;ENSG00000105640;ENSG00000213741;ENSG00000178896;ENSG00000119285;ENSG00000177600;ENSG00000171863;ENSG00000135521;ENSG00000163682;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100029;ENSG00000109475;ENSG00000164934;ENSG00000123384;ENSG00000167526;ENSG00000105671;ENSG00000148688;ENSG00000148843;ENSG00000125691;ENSG00000065183;ENSG00000241945;ENSG00000071462;ENSG00000197958;ENSG00000233927;ENSG00000149806;ENSG00000137154;ENSG00000135372;ENSG00000166441;ENSG00000231500;ENSG00000143947;ENSG00000189306;ENSG00000162244;ENSG00000108651;ENSG00000182117;ENSG00000182899;ENSG00000111615;ENSG00000136718;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000141076;ENSG00000174748;ENSG00000117395;ENSG00000089009;ENSG00000183751;ENSG00000148303;ENSG00000101361;ENSG00000137818;ENSG00000105202;ENSG00000198034;ENSG00000118181;ENSG00000066654;ENSG00000008988;ENSG00000115368;ENSG00000141101;ENSG00000145425;ENSG00000170315;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000142676","","R-HSA-6790982;R-HSA-6790944;R-HSA-8868783;R-HSA-6790987;R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6790994;R-HSA-6791228;R-HSA-6791227;R-HSA-6790907;R-HSA-6790906;R-HSA-6790905"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",97,120,0.007677543186180422,1.311056393586557E-18,3.7667259049288275E-16,3,3,2.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000114867;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000106682;ENSG00000070756;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000151247;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000104131;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000130741;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-72312,"rRNA processing",135,245,0.015674984005118364,1.4697369751673241E-18,3.7667259049288275E-16,17,21,0.0014,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000142937;ENSG00000110700;ENSG00000039123;ENSG00000083520;ENSG00000142541;ENSG00000007520;ENSG00000088930;ENSG00000105193;ENSG00000130826;ENSG00000065268;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000001497;ENSG00000168028;ENSG00000144713;ENSG00000171824;ENSG00000221983;ENSG00000126749;ENSG00000108298;ENSG00000163811;ENSG00000086189;ENSG00000183520;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000101782;ENSG00000072506;ENSG00000149273;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000163938;ENSG00000227057;ENSG00000130255;ENSG00000120699;ENSG00000141551;ENSG00000115053;ENSG00000229117;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000172809;ENSG00000105372;ENSG00000188846;ENSG00000124383;ENSG00000134987;ENSG00000122085;ENSG00000011260;ENSG00000111641;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173113;ENSG00000177954;ENSG00000071082;ENSG00000123737;ENSG00000055044;ENSG00000122406;ENSG00000130935;ENSG00000108592;ENSG00000089157;ENSG00000165732;ENSG00000147403;ENSG00000124541;ENSG00000161016;ENSG00000165733;ENSG00000124784;ENSG00000105640;ENSG00000213741;ENSG00000178896;ENSG00000119285;ENSG00000177600;ENSG00000171863;ENSG00000135521;ENSG00000163682;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100029;ENSG00000109475;ENSG00000164934;ENSG00000123384;ENSG00000167526;ENSG00000105671;ENSG00000148688;ENSG00000148843;ENSG00000125691;ENSG00000065183;ENSG00000241945;ENSG00000071462;ENSG00000006744;ENSG00000197958;ENSG00000233927;ENSG00000149806;ENSG00000137154;ENSG00000135372;ENSG00000166441;ENSG00000231500;ENSG00000143947;ENSG00000189306;ENSG00000162244;ENSG00000108651;ENSG00000182117;ENSG00000182899;ENSG00000111615;ENSG00000136718;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000141076;ENSG00000174748;ENSG00000117395;ENSG00000089009;ENSG00000183751;ENSG00000148303;ENSG00000101361;ENSG00000137818;ENSG00000105202;ENSG00000198034;ENSG00000118181;ENSG00000066654;ENSG00000008988;ENSG00000115368;ENSG00000141101;ENSG00000145425;ENSG00000170315;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000142676","","R-HSA-6790982;R-HSA-6793057;R-HSA-6790944;R-HSA-8868783;R-HSA-6790987;R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6790994;R-HSA-6791228;R-HSA-6791227;R-HSA-6790907;R-HSA-6790906;R-HSA-6785722;R-HSA-6790905"
R-HSA-2408557,"Selenocysteine synthesis",77,112,0.007165706973768394,5.018315899671692E-18,1.125357340501377E-15,3,7,4.6666666666666666E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000125691;ENSG00000138326;ENSG00000115268;ENSG00000136942;ENSG00000197958;ENSG00000168028;ENSG00000149806;ENSG00000233927;ENSG00000144713;ENSG00000137154;ENSG00000166441;ENSG00000221983;ENSG00000231500;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000140988;ENSG00000063177;ENSG00000156482;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000170315;ENSG00000145425;ENSG00000147604;ENSG00000114391;ENSG00000100316;ENSG00000185088;ENSG00000122406;ENSG00000187742;ENSG00000089157;ENSG00000147403;ENSG00000031698;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-2408529;R-HSA-2408526;R-HSA-5333615"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",98,120,0.007677543186180422,6.246603619222511E-18,1.245156321431687E-15,3,3,2.0E-4,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000142937;ENSG00000110700;ENSG00000114867;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000142541;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100664;ENSG00000105193;ENSG00000109475;ENSG00000167526;ENSG00000106682;ENSG00000147677;ENSG00000125691;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000151247;ENSG00000197958;ENSG00000233927;ENSG00000168028;ENSG00000149806;ENSG00000144713;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000231500;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000175390;ENSG00000142534;ENSG00000104131;ENSG00000149273;ENSG00000182899;ENSG00000198242;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000130255;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000106263;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000130741;ENSG00000137818;ENSG00000158417;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000173674;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000170315;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000122406;ENSG00000107581;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-72613,"Eukaryotic Translation Initiation",104,130,0.008317338451695458,7.777797199507558E-18,1.2456924093241841E-15,21,21,0.0014,-2.0,9606,Homo sapiens,"ENSG00000108107;ENSG00000142937;ENSG00000110700;ENSG00000114867;ENSG00000142541;ENSG00000105193;ENSG00000106682;ENSG00000147677;ENSG00000178982;ENSG00000138326;ENSG00000134001;ENSG00000115268;ENSG00000136942;ENSG00000151247;ENSG00000168028;ENSG00000144713;ENSG00000221983;ENSG00000108298;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000104131;ENSG00000149273;ENSG00000198242;ENSG00000070785;ENSG00000131469;ENSG00000145191;ENSG00000130811;ENSG00000145592;ENSG00000115211;ENSG00000130255;ENSG00000229117;ENSG00000100129;ENSG00000156482;ENSG00000140988;ENSG00000063177;ENSG00000172809;ENSG00000105372;ENSG00000188846;ENSG00000158417;ENSG00000174444;ENSG00000083845;ENSG00000198755;ENSG00000111361;ENSG00000177954;ENSG00000071082;ENSG00000122406;ENSG00000089157;ENSG00000147403;ENSG00000100353;ENSG00000161016;ENSG00000105640;ENSG00000213741;ENSG00000177600;ENSG00000171863;ENSG00000163682;ENSG00000197728;ENSG00000171858;ENSG00000170889;ENSG00000100664;ENSG00000109475;ENSG00000167526;ENSG00000070756;ENSG00000125691;ENSG00000156976;ENSG00000197958;ENSG00000233927;ENSG00000149806;ENSG00000137154;ENSG00000125977;ENSG00000166441;ENSG00000231500;ENSG00000063046;ENSG00000143947;ENSG00000162244;ENSG00000175390;ENSG00000182899;ENSG00000134419;ENSG00000112306;ENSG00000104408;ENSG00000197756;ENSG00000174748;ENSG00000089009;ENSG00000106263;ENSG00000148303;ENSG00000130741;ENSG00000137818;ENSG00000149100;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000173674;ENSG00000145425;ENSG00000170315;ENSG00000084623;ENSG00000147604;ENSG00000114391;ENSG00000185088;ENSG00000100316;ENSG00000119718;ENSG00000107581;ENSG00000142676","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-156826;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
