gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
BCLAF1,UNC0321,All,ovary,-0.286304,0.0732887,40
BCLAF1,EPZ004777,All,ovary,0.283251,0.136502,29
BCLAF1,Ulixertinib,All,ovary,0.347291,0.0649095,29
BCLAF1,Zibotentan,All,ovary,-0.229885,0.239267,28
BCLAF1,etomoxir,All,ovary,0.228481,0.14057,43
BCLAF1,BRD8097,All,ovary,-0.757895,0.000108321,20
BCLAF1,Wnt-C59,All,ovary,0.221182,0.248886,29
BCLAF1,965-D2,All,ovary,0.270427,0.181499,26
BCLAF1,IAP_7638,All,ovary,-0.272894,0.168449,27
BCLAF1,ML214,All,ovary,0.221429,0.427714,15
BCLAF1,BRD-K34222889,All,ovary,0.261134,0.108335,39
BCLAF1,BDP-00009066,All,ovary,-0.222609,0.295778,24
BCLAF1,B02,All,ovary,0.216698,0.179246,40
BCLAF1,Lenalidomide,All,ovary,-0.226829,0.159271,40
BCLAF1,HG6-64-1,All,ovary,-0.470435,0.0203446,24
BCLAF1,Motesanib,All,ovary,0.225123,0.240337,29
BCLAF1,BRD-K33199242,All,ovary,-0.205668,0.209084,39
BCLAF1,BPTES,All,ovary,-0.213465,0.275413,28
BCLAF1,BRD-K09344309,All,ovary,-0.498901,0.0693635,14
BCLAF1,SB-525334,All,ovary,0.290732,0.0765944,38
BCLAF1,skepinone-L,All,ovary,0.314706,0.235158,16
BCLAF1,OSW-1,All,ovary,0.321709,0.109009,26
BCLAF1,Vinorelbine,All,ovary,-0.282759,0.137214,29
BCLAF1,PDMP,All,ovary,0.429316,0.00363663,44
BCLAF1,CCT-018159,All,ovary,-0.326108,0.0842656,29
BCLAF1,triptolide,All,ovary,0.243552,0.111132,44
BCLAF1,GSK2830371,All,ovary,0.213439,0.328142,23
BCLAF1,CD-1530,All,ovary,0.292208,0.0572492,43
BCLAF1,GSK343,All,ovary,0.340394,0.0707876,29
BCLAF1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.26841,0.103234,38
BCLAF1,PLK_6522,All,ovary,-0.224412,0.250947,28
BCLAF1,JAK1_3715,All,ovary,0.301587,0.126317,27
BCLAF1,VAF-347,All,ovary,0.31,0.131534,25
BCLAF1,Panobinostat,All,ovary,-0.469748,0.00441146,35
BCLAF1,XMD11-85h,All,ovary,-0.473039,0.0551445,17
BCLAF1,Luminespib,All,ovary,-0.4,0.0315561,29
BCLAF1,FMK,All,ovary,0.210435,0.323647,24
BCLAF1,Savolitinib,All,ovary,-0.347783,0.0645046,29
BCLAF1,AZD1480,All,ovary,0.26393,0.14439,32
BCLAF1,TGX-115,All,ovary,0.451624,0.0205567,26
BCLAF1,776928,All,ovary,-0.381818,0.0876405,21
BCLAF1,pyrvinium pamoate,All,ovary,0.207519,0.379993,20
BCLAF1,FTI-277,All,ovary,-0.451304,0.0268555,24
BCLAF1,"Brivanib, BMS-540215",All,ovary,-0.234975,0.219827,29
BCLAF1,GSK1070916,All,ovary,-0.30925,0.109305,28
BCLAF1,Pelitinib,All,ovary,-0.295566,0.126752,28
BCLAF1,CIL55A,All,ovary,0.412987,0.0152031,34
BCLAF1,Compound 12,All,ovary,-0.388034,0.0501347,26
BCLAF1,PIK-75,All,ovary,0.208205,0.307411,26
BCLAF1,BRD-K49290616,All,ovary,0.478788,0.161523,10
