gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
BTAF1,UNC0321,All,ovary,-0.225704,0.161407,40
BTAF1,Ulixertinib,All,ovary,0.269458,0.157494,29
BTAF1,procarbazine,All,ovary,-0.249371,0.131084,38
BTAF1,Zibotentan,All,ovary,-0.342638,0.0742802,28
BTAF1,BRD8097,All,ovary,-0.32782,0.158244,20
BTAF1,965-D2,All,ovary,0.254017,0.210497,26
BTAF1,IAP_7638,All,ovary,-0.263736,0.183767,27
BTAF1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.267692,0.186128,26
BTAF1,BDP-00009066,All,ovary,-0.41913,0.0414837,24
BTAF1,B02,All,ovary,0.25591,0.110967,40
BTAF1,BRD-K27986637,All,ovary,0.587879,0.0738777,10
BTAF1,150412,All,ovary,-0.25974,0.255519,21
BTAF1,BCL-LZH-4,All,ovary,-0.232353,0.386511,16
BTAF1,NVP-AUY922,All,ovary,-0.295043,0.143401,26
BTAF1,Lenalidomide,All,ovary,-0.310319,0.0513186,40
BTAF1,GDC0810,All,ovary,-0.202463,0.292206,29
BTAF1,BPTES,All,ovary,-0.247947,0.203311,28
BTAF1,BRD-K09344309,All,ovary,-0.481319,0.0814183,14
BTAF1,BRD4132,All,ovary,0.231781,0.155666,39
BTAF1,GSK690693,All,ovary,-0.270389,0.16404,28
BTAF1,CHEMBL1222381,All,ovary,0.206584,0.183804,43
BTAF1,skepinone-L,All,ovary,0.394118,0.130913,16
BTAF1,PDMP,All,ovary,0.403383,0.00662475,44
BTAF1,CCT-018159,All,ovary,-0.357635,0.0568125,29
BTAF1,GSK2830371,All,ovary,-0.309289,0.150983,23
BTAF1,CD-1530,All,ovary,0.31939,0.0368255,43
BTAF1,Luminespib,All,ovary,-0.429064,0.0202023,29
BTAF1,BRD-K55473186,All,ovary,-0.250684,0.198206,28
BTAF1,Savolitinib,All,ovary,-0.262562,0.168814,29
BTAF1,TGX-115,All,ovary,0.262222,0.19563,26
BTAF1,776928,All,ovary,-0.203896,0.375337,21
BTAF1,JW-74,All,ovary,-0.205802,0.293419,28
BTAF1,barasertib,All,ovary,-0.212386,0.200487,38
BTAF1,A-366,All,ovary,-0.297391,0.158154,24
BTAF1,Cyclophosphamide,All,ovary,-0.259875,0.115101,38
BTAF1,"Brivanib, BMS-540215",All,ovary,-0.248768,0.193155,29
BTAF1,P22077,All,ovary,-0.384236,0.0395982,29
BTAF1,GSK1070916,All,ovary,-0.404488,0.0327641,28
BTAF1,Voxtalisib,All,ovary,-0.22266,0.245657,29
BTAF1,Pelitinib,All,ovary,-0.239737,0.219166,28
BTAF1,CIL55A,All,ovary,0.291673,0.094183,34
BTAF1,DC-45-A2,All,ovary,-0.241709,0.234201,26
BTAF1,Tozasertib,All,ovary,-0.279146,0.150282,28
