gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CLEC4E,neopeltolide,All,ovary,0.269527,0.117402,35
CLEC4E,procarbazine,All,ovary,-0.253769,0.124202,38
CLEC4E,N27922-53-1,All,ovary,-0.361901,0.0822533,24
CLEC4E,dexamethasone,All,ovary,-0.224999,0.141992,44
CLEC4E,Zibotentan,All,ovary,-0.507659,0.00582133,28
CLEC4E,losartan,All,ovary,-0.421458,0.0320032,26
CLEC4E,leucascandrolide A,All,ovary,0.392114,0.0475663,26
CLEC4E,BRD8097,All,ovary,-0.326597,0.159893,20
CLEC4E,965-D2,All,ovary,0.228937,0.260604,26
CLEC4E,IAP_7638,All,ovary,0.258785,0.192441,27
CLEC4E,BRD-K34222889,All,ovary,-0.327969,0.0415209,39
CLEC4E,SNS-032,All,ovary,0.272706,0.107582,36
CLEC4E,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.227673,0.188386,35
CLEC4E,B02,All,ovary,0.261775,0.102741,40
CLEC4E,MCT1_6447,All,ovary,-0.282321,0.145505,28
CLEC4E,cerulenin,All,ovary,0.361985,0.0170667,43
CLEC4E,150412,All,ovary,-0.259606,0.255773,21
CLEC4E,BCL-LZH-4,All,ovary,-0.332799,0.207852,16
CLEC4E,NVP-AUY922,All,ovary,0.298946,0.137934,26
CLEC4E,Lenalidomide,All,ovary,-0.289314,0.0701869,40
CLEC4E,GDC0810,All,ovary,-0.498273,0.00594315,29
CLEC4E,Motesanib,All,ovary,-0.21801,0.25591,29
CLEC4E,BPTES,All,ovary,-0.28402,0.142994,28
CLEC4E,BRD4132,All,ovary,0.363555,0.022906,39
CLEC4E,GSK690693,All,ovary,-0.335489,0.0809345,28
CLEC4E,CHEMBL1222381,All,ovary,0.256667,0.0966235,43
CLEC4E,skepinone-L,All,ovary,0.212667,0.429077,16
CLEC4E,Vinorelbine,All,ovary,0.266941,0.161561,29
CLEC4E,GSK2830371,All,ovary,-0.220599,0.311784,23
CLEC4E,GSK343,All,ovary,0.300245,0.113534,29
CLEC4E,BAY-HDAC11_1,All,ovary,0.226817,0.265165,26
CLEC4E,tosedostat,All,ovary,0.272868,0.0731211,44
CLEC4E,FMK,All,ovary,-0.369189,0.0758269,24
CLEC4E,Savolitinib,All,ovary,-0.247727,0.195086,29
CLEC4E,AZD1480,All,ovary,-0.26644,0.140471,32
CLEC4E,NVP-231,All,ovary,0.209342,0.200886,39
CLEC4E,N-oxalyl-D-phenylalanine,All,ovary,-0.349565,0.0800352,26
CLEC4E,prochlorperazine,All,ovary,0.364713,0.0224428,39
CLEC4E,776928,All,ovary,0.298116,0.189328,21
CLEC4E,JW-74,All,ovary,-0.205579,0.293954,28
CLEC4E,FTI-277,All,ovary,-0.210836,0.322704,24
CLEC4E,A-366,All,ovary,-0.542185,0.00620086,24
CLEC4E,Gly-Gly-PALO,All,ovary,-0.223384,0.272661,26
CLEC4E,FQI-2,All,ovary,0.207063,0.193951,41
CLEC4E,GSK-LSD1,All,ovary,-0.246327,0.281754,21
CLEC4E,STF-62247,All,ovary,-0.466377,0.0142017,27
CLEC4E,trifluoperazine,All,ovary,0.2508,0.118531,40
CLEC4E,Pelitinib,All,ovary,-0.402872,0.0335346,28
CLEC4E,DC-45-A2,All,ovary,-0.258597,0.202107,26
CLEC4E,BRD6368,All,ovary,0.342962,0.0863031,26
CLEC4E,Tozasertib,All,ovary,0.397437,0.0362329,28
CLEC4E,BRD-M00053801,All,ovary,-0.276456,0.146574,29
CLEC4E,667880,All,ovary,0.358535,0.11049,21
CLEC4E,quinoclamine,All,ovary,0.573316,0.00220078,26
CLEC4E,BRD9658,All,ovary,0.393963,0.0856651,20
CLEC4E,Compound 12,All,ovary,-0.389913,0.0489386,26
CLEC4E,ML150,All,ovary,0.244539,0.260782,23
CLEC4E,PIK-75,All,ovary,0.310683,0.122398,26
CLEC4E,BRD-K49290616,All,ovary,0.303859,0.393355,10
CLEC4E,KU 0060648,All,ovary,0.210863,0.191529,40
CLEC4E,AZD8835,All,ovary,-0.307523,0.111403,28
CLEC4E,WT-161,All,ovary,0.30995,0.12333,26
CLEC4E,Fludarabine,All,ovary,0.215785,0.347508,21
CLEC4E,Dihydrorotenone,All,ovary,0.401692,0.0710793,21
CLEC4E,BRD-K79669418,All,ovary,0.4588,0.0241299,24
CLEC4E,BRD-K45681478,All,ovary,0.243578,0.135107,39
CLEC4E,SB216763,All,ovary,-0.298195,0.11614,29
CLEC4E,sparfosic acid,All,ovary,-0.411922,0.0365321,26
CLEC4E,Rucaparib,All,ovary,-0.336856,0.0552479,33
CLEC4E,ML030,All,ovary,0.279437,0.0662103,44
CLEC4E,AZD6094,All,ovary,-0.265445,0.180838,27
CLEC4E,cimetidine,All,ovary,0.704694,0.0228704,10
CLEC4E,"eEF2K Inhibitor, A-484954",All,ovary,-0.252339,0.186634,29
CLEC4E,NPC-26,All,ovary,0.231492,0.150642,40
CLEC4E,pandacostat,All,ovary,0.248375,0.127349,39
CLEC4E,NSC319726,All,ovary,0.323045,0.0873953,29
CLEC4E,JW-7-24-1,All,ovary,-0.211001,0.281123,28
CLEC4E,O-6-benzylguanine,All,ovary,0.264616,0.321975,16
CLEC4E,cytochalasin B,All,ovary,0.26864,0.0778621,44
CLEC4E,Cetuximab,All,ovary,-0.414252,0.0316951,27
CLEC4E,OF-1,All,ovary,0.410163,0.0465149,24
CLEC4E,EHT-1864,All,ovary,0.20392,0.288672,29
CLEC4E,GSK3337463A,All,ovary,-0.223089,0.331028,21
CLEC4E,BRD-K90370028,All,ovary,-0.329552,0.212594,16
CLEC4E,KHS101,All,ovary,0.244986,0.1439,37
CLEC4E,minoxidil,All,ovary,-0.306563,0.266422,15
CLEC4E,IGF1R_3801,All,ovary,-0.213793,0.352084,21
CLEC4E,m-3M3-FBS,All,ovary,-0.238056,0.241565,26
CLEC4E,VE-822,All,ovary,-0.350029,0.0935876,24
CLEC4E,SGC-CBP30,All,ovary,-0.248319,0.277756,21
CLEC4E,Capivasertib,All,ovary,-0.302709,0.117407,28
CLEC4E,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.34372,0.0346089,38
CLEC4E,importazole,All,ovary,0.228326,0.162097,39
CLEC4E,PD 153035,All,ovary,-0.209792,0.283951,28
CLEC4E,ZL109,All,ovary,0.392922,0.042617,27
CLEC4E,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,0.200619,0.220726,39
CLEC4E,dalcetrapib,All,ovary,-0.279138,0.167291,26
CLEC4E,Flutamide,All,ovary,-0.267062,0.217991,23
CLEC4E,WYE-125132,All,ovary,0.235943,0.217878,29
CLEC4E,SCH-79797,All,ovary,0.278153,0.0675182,44
CLEC4E,SID 26681509,All,ovary,0.201452,0.19518,43
CLEC4E,GSK2636771,All,ovary,-0.386346,0.0384356,29
CLEC4E,Cisplatin,All,ovary,-0.36982,0.0527468,28
CLEC4E,BRD-K48477130,All,ovary,-0.250005,0.350381,16
CLEC4E,GSK269962A,All,ovary,-0.317409,0.0933829,29
CLEC4E,BRD7137,All,ovary,0.306282,0.128066,26
