gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CPD,NSC-87877,All,ovary,-0.288696,0.171264,24
CPD,neopeltolide,All,ovary,0.240896,0.163308,35
CPD,PHA-793887,All,ovary,0.327283,0.0343719,42
CPD,procarbazine,All,ovary,-0.348069,0.0322392,38
CPD,N27922-53-1,All,ovary,-0.246957,0.244676,24
CPD,Zibotentan,All,ovary,-0.511221,0.00543131,28
CPD,tacedinaline,All,ovary,-0.256705,0.187286,28
CPD,myricetin,All,ovary,-0.214372,0.190029,39
CPD,leucascandrolide A,All,ovary,0.295043,0.143401,26
CPD,PFI-1,All,ovary,0.284236,0.135084,29
CPD,BRD8097,All,ovary,-0.245113,0.297601,20
CPD,Wnt-C59,All,ovary,0.212808,0.26771,29
CPD,SNS-032,All,ovary,0.302703,0.0727361,36
CPD,B02,All,ovary,0.370356,0.0186526,40
CPD,Pilaralisib,All,ovary,0.387192,0.037977,29
CPD,cerulenin,All,ovary,0.374509,0.0133521,43
CPD,BRD-K14844214,All,ovary,0.258687,0.127656,36
CPD,150412,All,ovary,-0.477922,0.028433,21
CPD,Serdemetan,All,ovary,0.223065,0.136195,46
CPD,BCL-LZH-4,All,ovary,-0.270588,0.310761,16
CPD,BRD-K03536150,All,ovary,0.40825,0.0109432,38
CPD,NVP-AUY922,All,ovary,0.210256,0.302561,26
CPD,Lenalidomide,All,ovary,-0.202251,0.210726,40
CPD,GDC0810,All,ovary,-0.253202,0.185081,29
CPD,Motesanib,All,ovary,-0.325123,0.0852626,29
CPD,GSK690693,All,ovary,-0.485495,0.00882066,28
CPD,skepinone-L,All,ovary,0.317647,0.230573,16
CPD,OSW-1,All,ovary,0.325812,0.104314,26
CPD,Vinorelbine,All,ovary,0.291133,0.125462,29
CPD,PDMP,All,ovary,0.260888,0.0871775,44
CPD,GSK343,All,ovary,0.285222,0.133678,29
CPD,PLK_6522,All,ovary,0.221675,0.256925,28
CPD,BAY-HDAC11_1,All,ovary,0.382564,0.0537474,26
CPD,tosedostat,All,ovary,0.375194,0.0120891,44
CPD,CAY10594,All,ovary,0.281486,0.0674586,43
CPD,BRD-K55473186,All,ovary,-0.210728,0.28176,28
CPD,Savolitinib,All,ovary,-0.246305,0.197745,29
