gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CUL1,EPZ004777,All,ovary,-0.284236,0.135084,29
CUL1,BRD-K19103580,All,ovary,-0.238866,0.148659,38
CUL1,neopeltolide,All,ovary,-0.235294,0.173622,35
CUL1,N27922-53-1,All,ovary,0.222609,0.295778,24
CUL1,IPR-456,All,ovary,-0.251215,0.122916,39
CUL1,SZ4TA2,All,ovary,0.382143,0.159824,15
CUL1,dexamethasone,All,ovary,0.250317,0.10125,44
CUL1,Mitomycin-C,All,ovary,-0.414783,0.0438665,24
CUL1,PBD-288,All,ovary,-0.210435,0.323647,24
CUL1,leucascandrolide A,All,ovary,-0.326496,0.103546,26
CUL1,Carboplatin,All,ovary,-0.220648,0.177074,39
CUL1,IAP_7638,All,ovary,-0.236874,0.234197,27
CUL1,SNS-032,All,ovary,-0.222136,0.192875,36
CUL1,BDP-00009066,All,ovary,-0.255652,0.227918,24
CUL1,Pilaralisib,All,ovary,-0.472906,0.00957632,29
CUL1,HC-067047,All,ovary,-0.287668,0.0798943,38
CUL1,BRD-K27986637,All,ovary,0.284848,0.425038,10
CUL1,BRD-K14844214,All,ovary,-0.351609,0.0354772,36
CUL1,NVP-AUY922,All,ovary,-0.200684,0.325601,26
CUL1,Lenalidomide,All,ovary,0.212008,0.189074,40
CUL1,BRD-K09344309,All,ovary,-0.393407,0.164032,14
CUL1,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.318635,0.0372984,43
CUL1,GSK690693,All,ovary,0.351396,0.0667117,28
CUL1,OSW-1,All,ovary,-0.232137,0.253816,26
CUL1,Vinorelbine,All,ovary,-0.448276,0.0147341,29
CUL1,lonidamine,All,ovary,0.316923,0.114681,26
CUL1,GSK2830371,All,ovary,-0.284585,0.188133,23
CUL1,GSK626616AC,All,ovary,0.216883,0.345,21
CUL1,PLK_6522,All,ovary,-0.230432,0.23812,28
CUL1,XMD11-85h,All,ovary,0.254902,0.32346,17
CUL1,Luminespib,All,ovary,-0.22069,0.249968,29
CUL1,BRD-K55473186,All,ovary,-0.213465,0.275413,28
CUL1,birinapant,All,ovary,-0.43583,0.00554805,39
CUL1,TGX-115,All,ovary,0.297094,0.140509,26
CUL1,prochlorperazine,All,ovary,-0.367206,0.0214718,39
CUL1,776928,All,ovary,-0.272727,0.231656,21
CUL1,A-366,All,ovary,0.26,0.219832,24
CUL1,Gly-Gly-PALO,All,ovary,0.254017,0.210497,26
CUL1,BRD-K70511574,All,ovary,-0.283401,0.0804124,39
CUL1,FQI-2,All,ovary,-0.210105,0.187338,41
CUL1,STF-62247,All,ovary,0.285714,0.148548,27
CUL1,abiraterone,All,ovary,-0.358242,0.208498,14
CUL1,Voxtalisib,All,ovary,-0.276355,0.146727,29
CUL1,667880,All,ovary,-0.257143,0.260473,21
CUL1,quinoclamine,All,ovary,-0.38188,0.0542129,26
CUL1,BRD9658,All,ovary,-0.419549,0.0655483,20
CUL1,Compound 12,All,ovary,0.329231,0.100518,26
CUL1,ML150,All,ovary,-0.267787,0.216698,23
CUL1,CBB-1007,All,ovary,0.438235,0.08953,16
CUL1,JZL-184,All,ovary,0.377778,0.0570725,26
CUL1,WT-161,All,ovary,-0.390085,0.0488301,26
