gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DIS3L,EPZ004777,All,ovary,-0.241379,0.20715,29
DIS3L,BRD-K19103580,All,ovary,-0.208447,0.209159,38
DIS3L,neopeltolide,All,ovary,-0.259944,0.131539,35
DIS3L,SZ4TA2,All,ovary,0.232143,0.405099,15
DIS3L,dexamethasone,All,ovary,0.215081,0.16089,44
DIS3L,Mitomycin-C,All,ovary,-0.472174,0.0198226,24
DIS3L,PBD-288,All,ovary,-0.233043,0.27312,24
DIS3L,BRD8097,All,ovary,0.204511,0.38709,20
DIS3L,965-D2,All,ovary,-0.20547,0.313951,26
DIS3L,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.330532,0.0524602,35
DIS3L,Pilaralisib,All,ovary,-0.363547,0.0525549,29
DIS3L,Lenalidomide,All,ovary,0.35122,0.02627,40
DIS3L,BRD4132,All,ovary,-0.262753,0.106085,39
DIS3L,OSW-1,All,ovary,0.20547,0.313951,26
DIS3L,Vinorelbine,All,ovary,-0.200493,0.297027,29
DIS3L,CCT-018159,All,ovary,-0.203448,0.289814,29
DIS3L,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.345661,0.0335339,38
DIS3L,CD-437,All,ovary,-0.247206,0.110001,43
DIS3L,PLK_6522,All,ovary,-0.224959,0.249763,28
DIS3L,BAY-HDAC11_1,All,ovary,-0.240342,0.23694,26
DIS3L,Luminespib,All,ovary,-0.285222,0.133678,29
DIS3L,Savolitinib,All,ovary,-0.261576,0.170477,29
DIS3L,BRD-K50799972,All,ovary,0.348178,0.029848,39
DIS3L,NVP-231,All,ovary,-0.260729,0.108903,39
DIS3L,birinapant,All,ovary,-0.394332,0.0129894,39
DIS3L,3-Cl-AHPC,All,ovary,-0.328947,0.0408811,39
DIS3L,FTI-277,All,ovary,-0.247826,0.242965,24
DIS3L,BRD-K70511574,All,ovary,-0.311538,0.0535314,39
DIS3L,FQI-2,All,ovary,-0.248258,0.117564,41
DIS3L,abiraterone,All,ovary,-0.441758,0.113778,14
DIS3L,Voxtalisib,All,ovary,-0.231527,0.226866,29
DIS3L,BRD-M00053801,All,ovary,0.224138,0.242455,29
DIS3L,BRD9658,All,ovary,-0.350376,0.129894,20
DIS3L,Compound 12,All,ovary,0.236923,0.243879,26
DIS3L,N23918-95-7,All,ovary,0.230769,0.246829,27
DIS3L,ML150,All,ovary,-0.348814,0.102833,23
DIS3L,CBB-1007,All,ovary,0.305882,0.249254,16
DIS3L,FGIN-1-27,All,ovary,-0.259531,0.151449,32
DIS3L,JZL-184,All,ovary,0.385299,0.0519164,26
DIS3L,BRD4770,All,ovary,-0.433284,0.0132412,32
DIS3L,Fludarabine,All,ovary,-0.253247,0.268018,21
DIS3L,Axitinib,All,ovary,-0.36796,0.0165084,42
DIS3L,Dihydrorotenone,All,ovary,-0.261039,0.253065,21
DIS3L,BRD-K79669418,All,ovary,-0.230435,0.278678,24
DIS3L,sparfosic acid,All,ovary,0.309402,0.12403,26
DIS3L,CIL55,All,ovary,0.24766,0.16465,33
DIS3L,kb NB 142-70,All,ovary,-0.25468,0.182442,29
DIS3L,Avagacestat,All,ovary,-0.244335,0.201471,29
DIS3L,ML030,All,ovary,-0.315011,0.0372747,44
DIS3L,silmitasertib,All,ovary,-0.277857,0.0958933,37
DIS3L,tipifarnib-P1,All,ovary,-0.267371,0.0793305,44
DIS3L,pandacostat,All,ovary,-0.210931,0.19741,39
DIS3L,AZ6102,All,ovary,0.335961,0.0747784,29
DIS3L,KX2-391,All,ovary,-0.310729,0.0541885,39
DIS3L,Cetuximab,All,ovary,0.481685,0.0109584,27
DIS3L,Picolinici-acid,All,ovary,0.345217,0.0984991,24
DIS3L,BRD-K90370028,All,ovary,0.202941,0.450961,16
DIS3L,Vinblastine,All,ovary,-0.274767,0.157054,28
DIS3L,chlorambucil,All,ovary,-0.252227,0.121364,39
DIS3L,GANT-58,All,ovary,0.396429,0.143495,15
DIS3L,"1S,3R-RSL-3",All,ovary,0.249129,0.11624,41
DIS3L,BRD-K88742110,All,ovary,-0.284823,0.0830565,38
