gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DNAJC3,NSC-87877,All,ovary,-0.285217,0.176714,24
DNAJC3,EPZ004777,All,ovary,0.206404,0.282712,29
DNAJC3,PHA-793887,All,ovary,0.266348,0.0881959,42
DNAJC3,Mitomycin-C,All,ovary,0.20087,0.346621,24
DNAJC3,tacedinaline,All,ovary,-0.304324,0.115367,28
DNAJC3,myricetin,All,ovary,0.201822,0.217913,39
DNAJC3,PBD-288,All,ovary,0.243478,0.251598,24
DNAJC3,Carboplatin,All,ovary,0.262146,0.106925,39
DNAJC3,ML214,All,ovary,-0.467857,0.0786302,15
DNAJC3,BRD-K52037352,All,ovary,-0.270028,0.116696,35
DNAJC3,BRD-K34222889,All,ovary,0.243117,0.13587,39
DNAJC3,SNS-032,All,ovary,0.451737,0.0056802,36
DNAJC3,B02,All,ovary,0.407692,0.00902117,40
DNAJC3,MCT1_6447,All,ovary,0.216201,0.269158,28
DNAJC3,BCL-LZH-4,All,ovary,0.391176,0.134071,16
DNAJC3,NVP-AUY922,All,ovary,-0.233504,0.250951,26
DNAJC3,GDC0810,All,ovary,0.353202,0.0601796,29
DNAJC3,HG6-64-1,All,ovary,0.216522,0.30952,24
DNAJC3,BRD-K33199242,All,ovary,0.269231,0.0974376,39
DNAJC3,Vinorelbine,All,ovary,0.265025,0.164707,29
DNAJC3,CCT-018159,All,ovary,0.248276,0.194067,29
DNAJC3,GSK2830371,All,ovary,-0.206522,0.344426,23
DNAJC3,niclosamide,All,ovary,0.20801,0.210138,38
DNAJC3,GSK626616AC,All,ovary,0.425974,0.0541785,21
DNAJC3,BAY-HDAC11_1,All,ovary,0.334701,0.09466,26
DNAJC3,XMD11-85h,All,ovary,0.345588,0.174252,17
DNAJC3,AZD1480,All,ovary,0.248534,0.170183,32
DNAJC3,Quizartinib,All,ovary,0.247549,0.11397,42
DNAJC3,NVP-231,All,ovary,0.235223,0.149447,39
DNAJC3,avrainvillamide,All,ovary,0.22577,0.192206,35
DNAJC3,birinapant,All,ovary,0.330972,0.0395829,39
DNAJC3,TGX-115,All,ovary,-0.235556,0.246692,26
DNAJC3,JW-74,All,ovary,0.290093,0.134274,28
DNAJC3,necrosulfonamide,All,ovary,0.200684,0.325601,26
DNAJC3,"Brivanib, BMS-540215",All,ovary,0.203448,0.289814,29
DNAJC3,BRD-K70511574,All,ovary,0.453644,0.0037255,39
DNAJC3,AZD5363,All,ovary,0.206897,0.281539,29
DNAJC3,MK-591,All,ovary,-0.257436,0.204212,26
DNAJC3,FQI-2,All,ovary,0.289199,0.0666665,41
DNAJC3,STF-62247,All,ovary,-0.21978,0.270675,27
DNAJC3,abiraterone,All,ovary,0.389011,0.169217,14
DNAJC3,GSK1070916,All,ovary,0.20197,0.302695,28
DNAJC3,Voxtalisib,All,ovary,0.210837,0.27227,29
DNAJC3,667880,All,ovary,0.358442,0.11059,21
DNAJC3,BRD2762,All,ovary,0.368421,0.109964,20
DNAJC3,AT-406,All,ovary,0.420635,0.0289065,27
DNAJC3,quinoclamine,All,ovary,0.30735,0.126673,26
DNAJC3,BRD9658,All,ovary,0.258647,0.270856,20
DNAJC3,Daporinad,All,ovary,0.24391,0.102358,46
DNAJC3,CHIR-99021,All,ovary,0.277942,0.0677352,44
DNAJC3,N23918-95-7,All,ovary,0.266789,0.178557,27
DNAJC3,ML150,All,ovary,-0.368577,0.0835252,23
DNAJC3,BRD-K49290616,All,ovary,0.527273,0.117308,10
DNAJC3,Podophyllotoxin bromide,All,ovary,0.38961,0.0808379,21
DNAJC3,AICA Ribonucleotide,All,ovary,0.212917,0.276675,28
DNAJC3,PF-3758309,All,ovary,0.485294,0.0567177,16
DNAJC3,Axitinib,All,ovary,0.272668,0.0806307,42
DNAJC3,alvocidib,All,ovary,0.591176,0.0158756,16
DNAJC3,narciclasine,All,ovary,0.261261,0.118309,37
DNAJC3,CAY10603,All,ovary,-0.20696,0.300307,27
DNAJC3,LY-2157299,All,ovary,-0.490909,0.149656,10
DNAJC3,ML030,All,ovary,0.303735,0.0450294,44
DNAJC3,AZD6094,All,ovary,-0.213065,0.285953,27
DNAJC3,AZ6102,All,ovary,0.266502,0.162277,29
DNAJC3,NSC319726,All,ovary,0.255665,0.180698,29
DNAJC3,KX2-391,All,ovary,0.453644,0.0037255,39
DNAJC3,OF-1,All,ovary,0.230435,0.278678,24
DNAJC3,EHT-1864,All,ovary,0.374384,0.0454057,29
DNAJC3,GSK3337463A,All,ovary,0.383117,0.0864783,21
DNAJC3,BRD-K90370028,All,ovary,0.247059,0.356275,16
DNAJC3,Vinblastine,All,ovary,0.314724,0.10285,28
DNAJC3,methylstat,All,ovary,0.240887,0.208107,29
DNAJC3,SCH772984,All,ovary,-0.264039,0.166341,29
DNAJC3,AZD7762,All,ovary,0.362579,0.0168726,43
DNAJC3,HBX-41108,All,ovary,0.246305,0.197745,29
DNAJC3,minoxidil,All,ovary,0.317857,0.248291,15
DNAJC3,BRD-K88742110,All,ovary,0.255061,0.122234,38
DNAJC3,QS11,All,ovary,0.207692,0.204539,39
DNAJC3,SGC-CBP30,All,ovary,0.235065,0.30503,21
DNAJC3,XMD15-27,All,ovary,0.239737,0.219166,28
DNAJC3,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.239879,0.141325,39
DNAJC3,importazole,All,ovary,0.262348,0.106644,39
DNAJC3,CAY10618,All,ovary,0.278236,0.0821345,40
DNAJC3,Platin,All,ovary,-0.244737,0.133202,39
DNAJC3,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,0.245951,0.131226,39
DNAJC3,BRD6150,All,ovary,0.314286,0.17717,20
DNAJC3,SCH-79797,All,ovary,0.276956,0.068757,44
DNAJC3,nakiterpiosin,All,ovary,0.266244,0.0806539,44
DNAJC3,BRD-K48477130,All,ovary,0.514706,0.0413458,16
DNAJC3,GSK269962A,All,ovary,0.240887,0.208107,29
DNAJC3,Epirubicin,All,ovary,0.276847,0.145979,29
DNAJC3,BRD-K02492147,All,ovary,0.217087,0.210328,35
DNAJC3,BRD-A02303741,All,ovary,0.235425,0.149087,39
DNAJC3,BRD-K13185470,All,ovary,0.50303,0.138334,10
DNAJC3,AZD4877,All,ovary,0.233169,0.232435,28
DNAJC3,fumagillol,All,ovary,0.272479,0.17808,26
DNAJC3,SB505124,All,ovary,0.29064,0.126132,29
DNAJC3,YK-4-279,All,ovary,0.408638,0.00651715,43
DNAJC3,mitomycin,All,ovary,0.204278,0.194405,42
DNAJC3,bendamustine,All,ovary,0.215231,0.194382,38
DNAJC3,Compound 11e,All,ovary,-0.203571,0.466795,15
DNAJC3,AEW541,All,ovary,-0.286154,0.165528,25
DNAJC3,CUDC-101,All,ovary,-0.274115,0.166476,27
DNAJC3,parbendazole,All,ovary,0.230162,0.132831,44
DNAJC3,KU-60019,All,ovary,0.209302,0.177974,43
DNAJC3,curcumin,All,ovary,0.223827,0.165013,40
DNAJC3,SB-743921,All,ovary,0.362731,0.0273536,37
DNAJC3,L-685458,All,ovary,0.325279,0.0333034,43
DNAJC3,VE821,All,ovary,0.44335,0.0160026,29
DNAJC3,Sabutoclax,All,ovary,0.462609,0.022833,24
DNAJC3,PRT062607,All,ovary,-0.25913,0.221434,24
DNAJC3,MLN2238,All,ovary,0.290076,0.0772924,38
DNAJC3,AZD8931,All,ovary,0.227696,0.243895,28
DNAJC3,Epothilone B,All,ovary,0.250435,0.237879,24
DNAJC3,968,All,ovary,0.636364,0.0479117,10
DNAJC3,C-75,All,ovary,0.423153,0.0221867,29
DNAJC3,BRD-K41334119,All,ovary,0.527273,0.117308,10
DNAJC3,BAM7,All,ovary,0.305419,0.107147,29
DNAJC3,BRD2296,All,ovary,0.267857,0.334444,15
DNAJC3,azacitidine,All,ovary,0.222234,0.179913,38
DNAJC3,IWP-2,All,ovary,-0.450256,0.0209907,26
DNAJC3,THR-102,All,ovary,-0.201581,0.356344,23
DNAJC3,50869,All,ovary,0.487013,0.0251508,21
DNAJC3,AZD1208,All,ovary,0.277504,0.152796,28
DNAJC3,BPD-00008900,All,ovary,-0.269565,0.202722,24
DNAJC3,MLN2480,All,ovary,-0.252941,0.344563,16
DNAJC3,CDK9_5576,All,ovary,0.248052,0.27829,21
DNAJC3,BRD-K71781559,All,ovary,0.222672,0.173034,39
DNAJC3,Venetoclax,All,ovary,0.264093,0.11961,36
DNAJC3,GSK2276186C,All,ovary,0.37013,0.0986265,21
DNAJC3,BRD-K42260513,All,ovary,0.273529,0.305323,16
DNAJC3,7-nitroindazole,All,ovary,0.329231,0.100518,26
DNAJC3,ifosfamide,All,ovary,0.238142,0.273851,23
DNAJC3,GSK461364,All,ovary,0.355382,0.0308871,37
DNAJC3,Ch-55,All,ovary,0.232101,0.166874,37
DNAJC3,clofarabine,All,ovary,0.208704,0.202292,39
DNAJC3,6-diazo-5-oxo-L-norleucine,All,ovary,0.223248,0.272961,26
