gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
FARSA,EPZ004777,All,ovary,-0.452709,0.013665,29
FARSA,neopeltolide,All,ovary,-0.203922,0.239995,35
FARSA,Ulixertinib,All,ovary,-0.241379,0.20715,29
FARSA,procarbazine,All,ovary,-0.281103,0.0873372,38
FARSA,IPR-456,All,ovary,-0.237045,0.146229,39
FARSA,SZ4TA2,All,ovary,-0.496429,0.0597974,15
FARSA,Zibotentan,All,ovary,-0.212917,0.276675,28
FARSA,Mitomycin-C,All,ovary,-0.418261,0.0419519,24
FARSA,leucascandrolide A,All,ovary,-0.291624,0.148317,26
FARSA,965-D2,All,ovary,-0.316923,0.114681,26
FARSA,Carboplatin,All,ovary,-0.442915,0.0047472,39
FARSA,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.343417,0.0434048,35
FARSA,BDP-00009066,All,ovary,-0.235652,0.267633,24
FARSA,Pilaralisib,All,ovary,-0.258128,0.176388,29
FARSA,BRD-K27986637,All,ovary,-0.430303,0.214492,10
FARSA,150412,All,ovary,-0.477922,0.028433,21
FARSA,BCL-LZH-4,All,ovary,-0.485294,0.0567177,16
FARSA,BRD-K03536150,All,ovary,-0.263158,0.110421,38
FARSA,NVP-AUY922,All,ovary,-0.273162,0.176951,26
FARSA,Lenalidomide,All,ovary,0.255159,0.112054,40
FARSA,GDC0810,All,ovary,-0.299507,0.114467,29
FARSA,GSK690693,All,ovary,-0.274767,0.157054,28
FARSA,triptolide,All,ovary,-0.221846,0.147812,44
FARSA,lonidamine,All,ovary,0.302564,0.133001,26
FARSA,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.247401,0.134256,38
FARSA,GSK2830371,All,ovary,-0.29249,0.175626,23
FARSA,CD-1530,All,ovary,-0.241619,0.118538,43
FARSA,CD-437,All,ovary,-0.201299,0.195526,43
FARSA,GSK626616AC,All,ovary,-0.238961,0.296849,21
FARSA,JAK1_3715,All,ovary,-0.255189,0.198914,27
FARSA,XMD11-85h,All,ovary,0.259804,0.313917,17
FARSA,Luminespib,All,ovary,-0.275862,0.147478,29
FARSA,FMK,All,ovary,-0.345217,0.0984991,24
FARSA,NVP-231,All,ovary,-0.314372,0.0512817,39
FARSA,birinapant,All,ovary,-0.228947,0.160928,39
FARSA,TGX-115,All,ovary,0.220513,0.279033,26
FARSA,KIN001-244,All,ovary,-0.314724,0.10285,28
FARSA,3-Cl-AHPC,All,ovary,-0.259514,0.110621,39
FARSA,N-oxalyl-D-phenylalanine,All,ovary,0.260171,0.199277,26
FARSA,JW-74,All,ovary,-0.318008,0.0991171,28
FARSA,necrosulfonamide,All,ovary,-0.288205,0.153352,26
FARSA,pyrvinium pamoate,All,ovary,-0.215038,0.362574,20
FARSA,A-366,All,ovary,-0.318261,0.129609,24
FARSA,BRD-K70511574,All,ovary,-0.414777,0.00865344,39
FARSA,GSK-LSD1,All,ovary,-0.205195,0.372237,21
FARSA,abiraterone,All,ovary,-0.353846,0.21454,14
FARSA,Pelitinib,All,ovary,-0.424193,0.024467,28
FARSA,DC-45-A2,All,ovary,-0.212308,0.29776,26
FARSA,BRD-M00053801,All,ovary,-0.24532,0.199602,29
FARSA,667880,All,ovary,-0.218182,0.342048,21
FARSA,AT-406,All,ovary,-0.213675,0.284542,27
FARSA,quinoclamine,All,ovary,-0.250598,0.216912,26
FARSA,Compound 12,All,ovary,0.217778,0.28519,26
FARSA,N23918-95-7,All,ovary,0.236264,0.235441,27
FARSA,ML150,All,ovary,-0.228261,0.29484,23
FARSA,BRD-K49290616,All,ovary,-0.672727,0.0330412,10
FARSA,JZL-184,All,ovary,0.426325,0.0298723,26
FARSA,BRD4770,All,ovary,-0.290689,0.10652,32
FARSA,IOX2,All,ovary,-0.296552,0.118262,29
FARSA,SNX-2112,All,ovary,-0.217638,0.146237,46
FARSA,Podophyllotoxin bromide,All,ovary,-0.214286,0.35095,21
FARSA,Fludarabine,All,ovary,-0.462338,0.0348388,21
FARSA,Axitinib,All,ovary,-0.269913,0.0838635,42
FARSA,Amuvatinib,All,ovary,-0.326218,0.0902298,28
FARSA,BRD-K79669418,All,ovary,0.237391,0.264015,24
FARSA,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.291903,0.0713693,39
FARSA,CIL55,All,ovary,-0.300468,0.0893162,33
FARSA,kb NB 142-70,All,ovary,-0.270443,0.155922,29
FARSA,Rucaparib,All,ovary,-0.277072,0.118517,33
FARSA,ML030,All,ovary,-0.267089,0.0796597,44
FARSA,UNC1215,All,ovary,-0.267105,0.169423,28
FARSA,AZD-7545,All,ovary,-0.216913,0.157268,44
FARSA,cimetidine,All,ovary,-0.854545,0.0016368,10
FARSA,tipifarnib-P1,All,ovary,-0.442283,0.00264684,44
FARSA,Navitoclax,All,ovary,0.230342,0.123547,46
FARSA,BRD0713,All,ovary,-0.243609,0.300668,20
FARSA,KX2-391,All,ovary,-0.431984,0.00602985,39
FARSA,Cetuximab,All,ovary,0.249695,0.209091,27
FARSA,EHT-1864,All,ovary,-0.249261,0.192246,29
FARSA,GSK3337463A,All,ovary,-0.381818,0.0876405,21
FARSA,Vinblastine,All,ovary,-0.217843,0.265449,28
FARSA,chlorambucil,All,ovary,-0.338057,0.0353009,39
FARSA,XMD13-2,All,ovary,-0.311987,0.106041,28
FARSA,GANT-58,All,ovary,0.257143,0.35486,15
FARSA,minoxidil,All,ovary,-0.453571,0.0894859,15
FARSA,Uprosertib,All,ovary,-0.203448,0.289814,29
FARSA,BRD-K07442505,All,ovary,-0.379555,0.0171655,39
FARSA,Torin 2,All,ovary,-0.387192,0.037977,29
FARSA,nimodipine,All,ovary,-0.271429,0.327789,15
FARSA,5-Fluorouracil,All,ovary,-0.323153,0.0872836,29
FARSA,QS11,All,ovary,-0.293725,0.0695397,39
FARSA,VE-822,All,ovary,-0.271304,0.199711,24
FARSA,Capivasertib,All,ovary,-0.402846,0.033547,28
FARSA,XMD15-27,All,ovary,-0.569239,0.00157019,28
FARSA,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,-0.294939,0.0683407,39
