gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
FNDC3B,PHA-793887,All,ovary,0.347379,0.0241938,42
FNDC3B,Zibotentan,All,ovary,-0.382047,0.0448272,28
FNDC3B,Mitomycin-C,All,ovary,0.20087,0.346621,24
FNDC3B,myricetin,All,ovary,0.2417,0.138237,39
FNDC3B,losartan,All,ovary,0.219829,0.280564,26
FNDC3B,PBD-288,All,ovary,0.490435,0.0149697,24
FNDC3B,leucascandrolide A,All,ovary,0.419487,0.0329003,26
FNDC3B,PFI-1,All,ovary,0.283251,0.136502,29
FNDC3B,Wnt-C59,All,ovary,0.207389,0.28037,29
FNDC3B,965-D2,All,ovary,0.318974,0.112224,26
FNDC3B,ML214,All,ovary,0.321429,0.242719,15
FNDC3B,BRD-K34222889,All,ovary,0.37753,0.0178171,39
FNDC3B,SNS-032,All,ovary,0.431145,0.00865832,36
FNDC3B,BDP-00009066,All,ovary,0.286957,0.173974,24
FNDC3B,B02,All,ovary,0.31257,0.0495654,40
FNDC3B,cerulenin,All,ovary,0.299909,0.05071,43
FNDC3B,BRD-K14844214,All,ovary,0.252767,0.136922,36
FNDC3B,150412,All,ovary,-0.216883,0.345,21
FNDC3B,BRD-K03536150,All,ovary,0.274319,0.0955798,38
FNDC3B,HG6-64-1,All,ovary,0.273913,0.195252,24
FNDC3B,Motesanib,All,ovary,-0.251724,0.187746,29
FNDC3B,BPTES,All,ovary,-0.210728,0.28176,28
FNDC3B,SB-525334,All,ovary,0.2137,0.197652,38
FNDC3B,Vinorelbine,All,ovary,0.272414,0.152813,29
FNDC3B,PDMP,All,ovary,0.233545,0.127072,44
FNDC3B,CCT-018159,All,ovary,0.347783,0.0645046,29
FNDC3B,GSK2830371,All,ovary,-0.332016,0.121675,23
FNDC3B,niclosamide,All,ovary,0.273006,0.0972418,38
FNDC3B,GSK343,All,ovary,0.221675,0.247806,29
FNDC3B,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.212386,0.200487,38
FNDC3B,GSK626616AC,All,ovary,0.277922,0.222532,21
FNDC3B,PLK_6522,All,ovary,0.2578,0.185347,28
FNDC3B,JAK1_3715,All,ovary,0.276557,0.162581,27
FNDC3B,BAY-HDAC11_1,All,ovary,0.36547,0.0663591,26
FNDC3B,VAF-347,All,ovary,0.251538,0.225159,25
FNDC3B,BRD-K55473186,All,ovary,0.224412,0.250947,28
FNDC3B,avrainvillamide,All,ovary,0.387395,0.021492,35
FNDC3B,776928,All,ovary,0.509091,0.0184221,21
