gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
FOS,UNC0321,All,ovary,-0.323827,0.0415087,40
FOS,Ulixertinib,All,ovary,0.280788,0.140092,29
FOS,BRD-K55116708,All,ovary,0.265529,0.112202,37
FOS,tacedinaline,All,ovary,0.43295,0.0213755,28
FOS,losartan,All,ovary,0.276581,0.171378,26
FOS,IAP_7638,All,ovary,-0.330891,0.0918202,27
FOS,ML214,All,ovary,0.217857,0.435393,15
FOS,BRD-K52037352,All,ovary,0.29888,0.0811426,35
FOS,BRD-K34222889,All,ovary,0.300202,0.0633319,39
FOS,BDP-00009066,All,ovary,0.357391,0.0864298,24
FOS,B02,All,ovary,-0.24334,0.130265,40
FOS,Pilaralisib,All,ovary,0.30197,0.111373,29
FOS,cerulenin,All,ovary,0.374358,0.0133924,43
FOS,150412,All,ovary,-0.303896,0.180478,21
FOS,BRD-K03536150,All,ovary,0.23624,0.15331,38
FOS,Motesanib,All,ovary,-0.524138,0.00351736,29
FOS,BPTES,All,ovary,0.268747,0.166716,28
FOS,BRD-K09344309,All,ovary,-0.243956,0.400625,14
FOS,SB-525334,All,ovary,0.329467,0.0433922,38
FOS,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.376623,0.0127984,43
FOS,GSK690693,All,ovary,-0.201423,0.304035,28
FOS,OSW-1,All,ovary,0.225299,0.268463,26
FOS,Vinorelbine,All,ovary,0.247291,0.1959,29
FOS,lonidamine,All,ovary,0.213675,0.294585,26
FOS,CD-437,All,ovary,0.268801,0.0813434,43
FOS,niclosamide,All,ovary,0.282854,0.085302,38
FOS,PLK_6522,All,ovary,-0.299945,0.120961,28
FOS,Panobinostat,All,ovary,0.246499,0.153442,35
FOS,XMD11-85h,All,ovary,-0.421569,0.0919126,17
FOS,FMK,All,ovary,0.363478,0.0808287,24
FOS,BRD-K55473186,All,ovary,-0.214012,0.274154,28
FOS,AZD1480,All,ovary,0.414589,0.018312,32
FOS,NVP-231,All,ovary,-0.218219,0.182012,39
FOS,avrainvillamide,All,ovary,0.318207,0.062473,35
FOS,TGX-115,All,ovary,0.379145,0.0561065,26
FOS,Tubastatin A,All,ovary,-0.258498,0.0864301,45
FOS,prochlorperazine,All,ovary,-0.288866,0.0745024,39
FOS,776928,All,ovary,0.496104,0.0221768,21
FOS,necrosulfonamide,All,ovary,0.288205,0.153352,26
FOS,barasertib,All,ovary,-0.217858,0.188863,38
FOS,pyrvinium pamoate,All,ovary,0.275188,0.240283,20
FOS,A-366,All,ovary,0.207826,0.329819,24
