gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
FZR1,BRD-K19103580,All,ovary,-0.247415,0.134234,38
FZR1,neopeltolide,All,ovary,-0.488235,0.0029247,35
FZR1,N27922-53-1,All,ovary,-0.303478,0.149409,24
FZR1,IPR-456,All,ovary,-0.212865,0.193238,39
FZR1,SZ4TA2,All,ovary,-0.205541,0.462402,15
FZR1,NSC 74859,All,ovary,0.220259,0.15582,43
FZR1,losartan,All,ovary,0.295043,0.143401,26
FZR1,leucascandrolide A,All,ovary,-0.245812,0.226112,26
FZR1,PFI-1,All,ovary,0.333539,0.0770305,29
FZR1,965-D2,All,ovary,-0.300222,0.136178,26
FZR1,Carboplatin,All,ovary,-0.225113,0.16825,39
FZR1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.304615,0.130261,26
FZR1,SNS-032,All,ovary,0.245576,0.148832,36
FZR1,150412,All,ovary,-0.379221,0.0899996,21
FZR1,Serdemetan,All,ovary,-0.248975,0.0952073,46
FZR1,NVP-AUY922,All,ovary,-0.338803,0.0904374,26
FZR1,BRD4132,All,ovary,-0.220659,0.177052,39
FZR1,GSK690693,All,ovary,-0.22499,0.249696,28
FZR1,GMX-1778,All,ovary,-0.333275,0.0270581,44
FZR1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.292718,0.0745133,38
FZR1,CD-437,All,ovary,-0.273493,0.0759688,43
FZR1,GSK343,All,ovary,0.226136,0.238171,29
FZR1,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.220824,0.182764,38
FZR1,Panobinostat,All,ovary,-0.261223,0.129583,35
FZR1,XMD11-85h,All,ovary,0.382353,0.129863,17
FZR1,CAY10594,All,ovary,-0.233398,0.131995,43
FZR1,Savolitinib,All,ovary,-0.502525,0.00546711,29
FZR1,KIN001-244,All,ovary,-0.406186,0.0319703,28
FZR1,3-Cl-AHPC,All,ovary,-0.30204,0.0616536,39
FZR1,N-oxalyl-D-phenylalanine,All,ovary,0.346325,0.0830662,26
FZR1,barasertib,All,ovary,0.216556,0.191583,38
FZR1,pyrvinium pamoate,All,ovary,-0.278196,0.234974,20
FZR1,GSK-LSD1,All,ovary,0.261039,0.253065,21
FZR1,STF-62247,All,ovary,-0.252786,0.203323,27
FZR1,Voxtalisib,All,ovary,0.329105,0.0812882,29
FZR1,BRD6368,All,ovary,-0.219145,0.282101,26
FZR1,BRD9658,All,ovary,-0.225564,0.338971,20
FZR1,ML150,All,ovary,-0.313241,0.145559,23
FZR1,PIK-75,All,ovary,-0.268376,0.184964,26
FZR1,BRD4770,All,ovary,-0.47324,0.00622712,32
FZR1,SNX-2112,All,ovary,-0.251318,0.0920321,46
FZR1,AICA Ribonucleotide,All,ovary,-0.270699,0.163537,28
FZR1,Fludarabine,All,ovary,-0.374026,0.0948581,21
FZR1,Amuvatinib,All,ovary,-0.204461,0.296643,28
FZR1,CAY10603,All,ovary,-0.249733,0.209019,27
FZR1,AZD-7545,All,ovary,-0.200994,0.190786,44
FZR1,AZD6094,All,ovary,-0.234773,0.238495,27
FZR1,"eEF2K Inhibitor, A-484954",All,ovary,-0.255697,0.180642,29
FZR1,tipifarnib-P1,All,ovary,-0.335389,0.0260428,44
FZR1,NPC-26,All,ovary,-0.225339,0.162103,40
FZR1,pandacostat,All,ovary,-0.230072,0.158824,39
FZR1,AZ6102,All,ovary,0.326641,0.0837301,29
FZR1,NSC319726,All,ovary,0.273186,0.151606,29
FZR1,semagacestat,All,ovary,-0.231657,0.161678,38
FZR1,O-6-benzylguanine,All,ovary,0.304636,0.251287,16
FZR1,Picolinici-acid,All,ovary,-0.344858,0.0988739,24
FZR1,OF-1,All,ovary,0.4414,0.0308298,24
FZR1,SCH772984,All,ovary,-0.210124,0.273932,29
FZR1,minoxidil,All,ovary,-0.303571,0.271356,15
FZR1,AR-42,All,ovary,-0.20577,0.303155,27
FZR1,Bax channel blocker,All,ovary,-0.300069,0.0535159,42
FZR1,5-Fluorouracil,All,ovary,-0.242394,0.205187,29
FZR1,StemRegenin 1,All,ovary,0.323903,0.0442669,39
FZR1,QS11,All,ovary,-0.22085,0.176667,39
FZR1,SGC-CBP30,All,ovary,0.254545,0.265488,21
FZR1,Capivasertib,All,ovary,-0.233201,0.23237,28
FZR1,CAY10618,All,ovary,-0.284723,0.0749609,40
FZR1,Platin,All,ovary,-0.276431,0.0884712,39
FZR1,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,-0.31864,0.0480381,39
FZR1,GSK2636771,All,ovary,-0.222934,0.245061,29
FZR1,BRD6825,All,ovary,-0.32782,0.158244,20
FZR1,Cisplatin,All,ovary,-0.263857,0.174867,28
FZR1,nakiterpiosin,All,ovary,-0.208041,0.175372,44
FZR1,GSK269962A,All,ovary,0.223427,0.243993,29
FZR1,BRD7137,All,ovary,-0.266325,0.188473,26
FZR1,Parthenolide,All,ovary,-0.254343,0.0956982,44
FZR1,cytarabine hydrochloride,All,ovary,-0.252011,0.126921,38
FZR1,WZ4003,All,ovary,-0.24788,0.242859,24
FZR1,BRD-A02303741,All,ovary,-0.25558,0.116328,39
FZR1,BRD-K13185470,All,ovary,-0.260606,0.467089,10
FZR1,BRD-K35604418,All,ovary,-0.227744,0.1632,39
FZR1,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,0.284038,0.0884326,37
FZR1,brivanib,All,ovary,-0.22987,0.159201,39
FZR1,AGI-6780,All,ovary,0.367533,0.0498288,29
FZR1,BRD-K71935468,All,ovary,0.364064,0.0246394,38
FZR1,L-685458,All,ovary,0.324084,0.0339952,43
FZR1,Doxorubicin,All,ovary,-0.211047,0.174303,43
FZR1,PF-4708671,All,ovary,-0.209878,0.274508,29
FZR1,PI-103,All,ovary,-0.284437,0.0553863,46
FZR1,pyrazolanthrone,All,ovary,-0.257604,0.113365,39
FZR1,BRD-K58730230,All,ovary,-0.745455,0.0133301,10
FZR1,VTP-A,All,ovary,-0.577391,0.00313324,24
FZR1,Epothilone B,All,ovary,-0.204348,0.338157,24
FZR1,CDK9_5038,All,ovary,-0.293507,0.196593,21
FZR1,BAM7,All,ovary,-0.345855,0.0661003,29
FZR1,PLX-4720,All,ovary,0.221615,0.14345,45
FZR1,zileuton,All,ovary,0.212308,0.29776,26
FZR1,AZ-3146,All,ovary,-0.207912,0.210358,38
FZR1,JQ-1:UNC0638 (2:1 mol-mol),All,ovary,0.208761,0.214985,37
FZR1,TTK_3146,All,ovary,-0.210209,0.282973,28
FZR1,IWP-2,All,ovary,-0.395965,0.045238,26
FZR1,alpha-lipoic acid,All,ovary,0.221739,0.297718,24
FZR1,BRD-K13999467,All,ovary,-0.225619,0.16727,39
FZR1,MN-64,All,ovary,0.314851,0.133998,24
FZR1,Fedratinib,All,ovary,-0.210676,0.159909,46
FZR1,ICL-SIRT078,All,ovary,0.381739,0.0656632,24
FZR1,THR-102,All,ovary,-0.249012,0.251885,23
FZR1,FS112,All,ovary,-0.27152,0.162214,28
FZR1,KIN001-260,All,ovary,-0.219516,0.261707,28
FZR1,gossypol,All,ovary,-0.329469,0.0289685,44
FZR1,BRD5802,All,ovary,-0.440601,0.0518518,20
FZR1,apicidin,All,ovary,-0.227846,0.163007,39
FZR1,Nutlin-3a,All,ovary,-0.243671,0.102706,46
FZR1,GW843682X,All,ovary,-0.313059,0.0409463,43
FZR1,QL-XII-61,All,ovary,-0.470588,0.0565941,17
FZR1,Compound 1541A,All,ovary,-0.214369,0.167464,43
FZR1,PF-00299804,All,ovary,0.207661,0.279726,29
FZR1,MLN2480,All,ovary,-0.357616,0.173857,16
FZR1,Alda-1,All,ovary,0.410598,0.0371989,26
FZR1,BRD-K34485477,All,ovary,-0.272727,0.445838,10
FZR1,Eg5_9814,All,ovary,-0.444156,0.0436843,21
FZR1,Regorafenib,All,ovary,-0.212865,0.193238,39
FZR1,KIN001-266,All,ovary,0.2811,0.147328,28
FZR1,Tipifarnib,All,ovary,-0.206087,0.333972,24
FZR1,BRD-A94377914,All,ovary,-0.228696,0.282423,24
FZR1,CDK9_5576,All,ovary,-0.390909,0.0797435,21
FZR1,123138,All,ovary,0.203896,0.375337,21
FZR1,idarubicin,All,ovary,-0.501538,0.00904516,26
FZR1,Osimertinib,All,ovary,-0.244119,0.201883,29
FZR1,Etoposide,All,ovary,-0.459034,0.00133308,46
FZR1,7-nitroindazole,All,ovary,0.254017,0.210497,26
FZR1,BI-2536,All,ovary,-0.425175,0.00322444,46
FZR1,Vorinostat,All,ovary,-0.282772,0.0568927,46
FZR1,GSK461364,All,ovary,-0.324936,0.0497293,37
FZR1,CX-5461,All,ovary,-0.263166,0.184752,27
FZR1,clofarabine,All,ovary,-0.234324,0.151054,39
FZR1,vorapaxar,All,ovary,-0.225821,0.166879,39
FZR1,BRD9571,All,ovary,-0.532143,0.0411586,15
FZR1,BRD-K27224038,All,ovary,-0.321212,0.365468,10
FZR1,MI-2,All,ovary,-0.487123,0.0556544,16
FZR1,RS-23597-190,All,ovary,0.201581,0.356344,23
FZR1,THR-103,All,ovary,0.268775,0.214942,23
FZR1,KPT185,All,ovary,0.263579,0.167108,29
FZR1,AZD4547,All,ovary,-0.272738,0.0768144,43
FZR1,Gemcitabine,All,ovary,-0.344568,0.0190283,46
FZR1,Compound 44,All,ovary,-0.284786,0.158507,26
FZR1,myriocin,All,ovary,0.242339,0.189009,31
FZR1,Mitoxantrone,All,ovary,-0.371429,0.0973584,21
FZR1,ABT-751,All,ovary,-0.220513,0.279033,26
