gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
GLT8D1,neopeltolide,All,ovary,-0.228571,0.186601,35
GLT8D1,Ulixertinib,All,ovary,0.279803,0.141547,29
GLT8D1,N27922-53-1,All,ovary,-0.24,0.258646,24
GLT8D1,SZ4TA2,All,ovary,-0.257143,0.35486,15
GLT8D1,etomoxir,All,ovary,0.245394,0.112717,43
GLT8D1,losartan,All,ovary,0.406496,0.039328,26
GLT8D1,PBD-288,All,ovary,-0.41913,0.0414837,24
GLT8D1,BRD8097,All,ovary,-0.245113,0.297601,20
GLT8D1,Wnt-C59,All,ovary,0.202463,0.292206,29
GLT8D1,BDP-00009066,All,ovary,-0.4,0.0527799,24
GLT8D1,MCT1_6447,All,ovary,0.331691,0.0846492,28
GLT8D1,150412,All,ovary,-0.297403,0.19044,21
GLT8D1,HG6-64-1,All,ovary,-0.506957,0.0114616,24
GLT8D1,BPTES,All,ovary,-0.320744,0.0960846,28
GLT8D1,BRD-K09344309,All,ovary,-0.446154,0.109807,14
GLT8D1,GSK690693,All,ovary,-0.408867,0.0307483,28
GLT8D1,Vinorelbine,All,ovary,-0.369951,0.0482306,29
GLT8D1,PDMP,All,ovary,0.310641,0.0401383,44
GLT8D1,CCT-018159,All,ovary,-0.414286,0.0254607,29
GLT8D1,lonidamine,All,ovary,0.403077,0.0411753,26
GLT8D1,niclosamide,All,ovary,-0.201007,0.226243,38
GLT8D1,GSK343,All,ovary,0.225616,0.239282,29
GLT8D1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.294671,0.0725091,38
GLT8D1,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.293139,0.0740771,38
GLT8D1,PLK_6522,All,ovary,-0.378216,0.0472001,28
GLT8D1,JAK1_3715,All,ovary,-0.241148,0.225616,27
GLT8D1,BAY-HDAC11_1,All,ovary,-0.275897,0.172482,26
GLT8D1,VAF-347,All,ovary,0.200769,0.335899,25
GLT8D1,Panobinostat,All,ovary,-0.388796,0.0209846,35
GLT8D1,XMD11-85h,All,ovary,-0.245098,0.343047,17
GLT8D1,Luminespib,All,ovary,-0.299015,0.115093,29
GLT8D1,FMK,All,ovary,0.369565,0.075506,24
GLT8D1,Savolitinib,All,ovary,-0.353202,0.0601796,29
GLT8D1,AZD1480,All,ovary,0.234971,0.195484,32
GLT8D1,TGX-115,All,ovary,0.464615,0.0167879,26
GLT8D1,KIN001-244,All,ovary,-0.255063,0.190222,28
GLT8D1,Remodelin,All,ovary,-0.426573,0.1667,12
GLT8D1,N-oxalyl-D-phenylalanine,All,ovary,0.429744,0.0284447,26
GLT8D1,pyrvinium pamoate,All,ovary,0.308271,0.186056,20
GLT8D1,Gly-Gly-PALO,All,ovary,0.280684,0.164854,26
GLT8D1,"Brivanib, BMS-540215",All,ovary,-0.362069,0.0535949,29
GLT8D1,FQI-2,All,ovary,0.238676,0.132884,41
GLT8D1,STF-62247,All,ovary,-0.253968,0.201145,27
GLT8D1,GSK1070916,All,ovary,-0.402299,0.0338112,28
GLT8D1,Pelitinib,All,ovary,-0.29064,0.133508,28
GLT8D1,CIL55A,All,ovary,0.278533,0.110687,34
GLT8D1,Tozasertib,All,ovary,-0.244116,0.210609,28
GLT8D1,quinoclamine,All,ovary,-0.471453,0.0150446,26
GLT8D1,CHIR-99021,All,ovary,0.384919,0.0098796,44
GLT8D1,N23918-95-7,All,ovary,-0.285714,0.148548,27
GLT8D1,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.290688,0.0726099,39
GLT8D1,AZD8835,All,ovary,-0.212917,0.276675,28
GLT8D1,Podophyllotoxin bromide,All,ovary,-0.215584,0.347968,21
GLT8D1,PF-3758309,All,ovary,-0.255882,0.33879,16
GLT8D1,Amuvatinib,All,ovary,-0.236453,0.225735,28
GLT8D1,alvocidib,All,ovary,-0.3,0.258936,16
GLT8D1,CAY10603,All,ovary,-0.39072,0.0438959,27
GLT8D1,Idelalisib,All,ovary,-0.245766,0.116683,42
GLT8D1,sparfosic acid,All,ovary,0.25265,0.213048,26
GLT8D1,Shikonin,All,ovary,-0.402609,0.0511125,24
GLT8D1,BRD2572,All,ovary,0.288722,0.216993,20
GLT8D1,kb NB 142-70,All,ovary,-0.461576,0.0117199,29
GLT8D1,KW-2449,All,ovary,-0.381984,0.0164102,39
GLT8D1,AZD6094,All,ovary,-0.25641,0.196699,27
GLT8D1,cimetidine,All,ovary,-0.321212,0.365468,10
GLT8D1,JW-7-24-1,All,ovary,-0.20197,0.302695,28
GLT8D1,O-6-benzylguanine,All,ovary,-0.241176,0.368207,16
GLT8D1,Vinblastine,All,ovary,-0.319102,0.0978956,28
GLT8D1,methylstat,All,ovary,-0.295566,0.119548,29
GLT8D1,XMD13-2,All,ovary,-0.304871,0.114681,28
GLT8D1,GANT-58,All,ovary,0.342857,0.210924,15
GLT8D1,AR-42,All,ovary,-0.246032,0.216069,27
GLT8D1,5-Fluorouracil,All,ovary,-0.253695,0.184198,29
GLT8D1,m-3M3-FBS,All,ovary,0.281368,0.163784,26
GLT8D1,XMD15-27,All,ovary,-0.287904,0.137372,28
GLT8D1,CIL56,All,ovary,0.21589,0.220093,34
GLT8D1,PD 153035,All,ovary,-0.35468,0.0640329,28
GLT8D1,Platin,All,ovary,-0.34919,0.0293432,39
GLT8D1,IGFR_3801,All,ovary,-0.394089,0.0379799,28
GLT8D1,Flutamide,All,ovary,0.278656,0.197904,23
GLT8D1,FR-180204,All,ovary,-0.325123,0.0913786,28
GLT8D1,BRD6825,All,ovary,-0.335338,0.148357,20
GLT8D1,Cisplatin,All,ovary,-0.297756,0.123832,28
GLT8D1,GSK650394,All,ovary,-0.377391,0.0690585,24
GLT8D1,ML160,All,ovary,0.307312,0.153748,23
GLT8D1,Epirubicin,All,ovary,-0.315271,0.0957336,29
GLT8D1,N25720-51-A1,All,ovary,-0.315652,0.132957,24
GLT8D1,Embelin,All,ovary,-0.33913,0.104983,24
GLT8D1,AZD4877,All,ovary,-0.447181,0.0170385,28
GLT8D1,sotrastaurin,All,ovary,0.278325,0.143751,29
GLT8D1,fumagillol,All,ovary,0.344957,0.0843714,26
GLT8D1,valdecoxib,All,ovary,0.227202,0.138027,44
GLT8D1,4-methylfasudil,All,ovary,-0.207521,0.309038,26
GLT8D1,Ibrutinib,All,ovary,-0.242577,0.160301,35
GLT8D1,brivanib,All,ovary,-0.242105,0.137558,39
GLT8D1,AGI-6780,All,ovary,0.239901,0.21003,29
GLT8D1,CID-5951923,All,ovary,-0.317431,0.0521415,38
GLT8D1,blebbistatin,All,ovary,0.265546,0.12313,35
GLT8D1,Enzastaurin,All,ovary,-0.278599,0.151117,28
GLT8D1,Ispinesib Mesylate,All,ovary,-0.310892,0.107337,28
GLT8D1,AZD5438,All,ovary,-0.342638,0.0742802,28
GLT8D1,PF-04217903,All,ovary,0.371542,0.0808816,23
GLT8D1,PD173074,All,ovary,-0.289655,0.12748,29
GLT8D1,pyrazolanthrone,All,ovary,0.216599,0.185357,39
GLT8D1,BRD-K58730230,All,ovary,-0.466667,0.173939,10
GLT8D1,BDF00022089a,All,ovary,0.2,0.384724,21
GLT8D1,selumetinib:navitoclax (8:1 mol-mol),All,ovary,0.230972,0.157157,39
GLT8D1,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,0.289879,0.0734463,39
GLT8D1,VTP-A,All,ovary,-0.247826,0.242965,24
GLT8D1,AZD8931,All,ovary,-0.217296,0.266681,28
GLT8D1,Epothilone B,All,ovary,-0.491304,0.0147654,24
GLT8D1,TWS119,All,ovary,-0.47734,0.00883247,29
GLT8D1,968,All,ovary,0.672727,0.0330412,10
GLT8D1,BRD-K44224150,All,ovary,-0.248485,0.488776,10
GLT8D1,CDK9_5038,All,ovary,-0.219481,0.339111,21
GLT8D1,BRD-K41334119,All,ovary,0.345455,0.328227,10
GLT8D1,PLX-4720,All,ovary,0.305929,0.040976,45
GLT8D1,DBeQ,All,ovary,-0.311522,0.0569257,38
GLT8D1,FS106,All,ovary,-0.300493,0.120251,28
GLT8D1,selumetinib:vorinostat (8:1 mol-mol),All,ovary,0.211073,0.203349,38
GLT8D1,zileuton,All,ovary,0.403761,0.0408005,26
GLT8D1,BRD2296,All,ovary,-0.278571,0.314709,15
GLT8D1,JNK-9L,All,ovary,-0.333043,0.111777,24
GLT8D1,TTK_3146,All,ovary,-0.319102,0.0978956,28
GLT8D1,IWP-2,All,ovary,-0.222564,0.274471,26
GLT8D1,MN-64,All,ovary,0.32,0.127411,24
GLT8D1,FEN1_3940,All,ovary,-0.54023,0.00300141,28
GLT8D1,THR-102,All,ovary,-0.268775,0.214942,23
GLT8D1,FS112,All,ovary,-0.465791,0.0124876,28
GLT8D1,FQI-1,All,ovary,0.404125,0.0177688,34
GLT8D1,Selumetinib,All,ovary,0.376257,0.00996222,46
GLT8D1,KIN001-260,All,ovary,-0.367269,0.0545303,28
GLT8D1,BPD-00008900,All,ovary,-0.227826,0.284307,24
GLT8D1,QL-XII-61,All,ovary,-0.421569,0.0919126,17
GLT8D1,Compound 1541A,All,ovary,0.245545,0.112488,43
GLT8D1,AM-580,All,ovary,0.311205,0.039759,44
GLT8D1,MLN2480,All,ovary,0.314706,0.235158,16
GLT8D1,Trametinib,All,ovary,0.32712,0.0589721,34
GLT8D1,QL-XI-92,All,ovary,-0.246305,0.206418,28
GLT8D1,WZ3105,All,ovary,-0.207444,0.289499,28
GLT8D1,Talazoparib,All,ovary,-0.409852,0.0272397,29
GLT8D1,BRD-K34485477,All,ovary,-0.357576,0.310376,10
GLT8D1,Eg5_9814,All,ovary,-0.288312,0.205002,21
GLT8D1,TL-1-85,All,ovary,-0.442255,0.018449,28
GLT8D1,Regorafenib,All,ovary,-0.321053,0.0462783,39
GLT8D1,KIN001-266,All,ovary,-0.311987,0.106041,28
GLT8D1,Tipifarnib,All,ovary,-0.256522,0.226286,24
GLT8D1,selumetinib:JQ-1 (4:1 mol-mol),All,ovary,0.327498,0.0447364,38
GLT8D1,123138,All,ovary,0.233766,0.307788,21
GLT8D1,CCT245467,All,ovary,-0.226054,0.247405,28
GLT8D1,idarubicin,All,ovary,-0.221197,0.277507,26
GLT8D1,BRD-K42260513,All,ovary,-0.379412,0.147227,16
GLT8D1,Etoposide,All,ovary,-0.210361,0.160548,46
GLT8D1,XMD8-92,All,ovary,-0.411765,0.10054,17
GLT8D1,7-nitroindazole,All,ovary,0.27453,0.174707,26
GLT8D1,BI-2536,All,ovary,-0.244773,0.101111,46
GLT8D1,T-5345967,All,ovary,0.246739,0.115197,42
GLT8D1,BRD4372,All,ovary,0.228571,0.332397,20
GLT8D1,GSK461364,All,ovary,-0.23779,0.156425,37
GLT8D1,SCH-529074,All,ovary,0.25,0.124798,39
GLT8D1,Ki8751,All,ovary,-0.2,0.222184,39
GLT8D1,NSC-207895,All,ovary,-0.229548,0.249408,27
GLT8D1,vorapaxar,All,ovary,-0.25749,0.113531,39
GLT8D1,6-diazo-5-oxo-L-norleucine,All,ovary,0.288205,0.153352,26
