gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
GTPBP2,Zibotentan,All,ovary,-0.227148,0.245061,28
GTPBP2,IAP_7638,All,ovary,-0.311966,0.113161,27
GTPBP2,BRD-K52037352,All,ovary,-0.210364,0.225144,35
GTPBP2,B02,All,ovary,0.211069,0.191085,40
GTPBP2,Pilaralisib,All,ovary,-0.28867,0.128839,29
GTPBP2,BRD-K27986637,All,ovary,-0.551515,0.0984012,10
GTPBP2,150412,All,ovary,-0.203896,0.375337,21
GTPBP2,BCL-LZH-4,All,ovary,-0.329412,0.212801,16
GTPBP2,GDC0810,All,ovary,-0.301478,0.111987,29
GTPBP2,BPTES,All,ovary,-0.264915,0.173079,28
GTPBP2,BRD-K09344309,All,ovary,0.213187,0.464303,14
GTPBP2,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.276352,0.0728332,43
GTPBP2,GMX-1778,All,ovary,0.372093,0.0128769,44
GTPBP2,Vinorelbine,All,ovary,-0.29803,0.116353,29
GTPBP2,triptolide,All,ovary,-0.240592,0.115679,44
GTPBP2,GSK626616AC,All,ovary,-0.312987,0.167137,21
GTPBP2,BAY-HDAC11_1,All,ovary,-0.26906,0.183804,26
GTPBP2,XMD11-85h,All,ovary,0.291667,0.256003,17
GTPBP2,BRD-K55473186,All,ovary,0.328955,0.0874057,28
GTPBP2,avrainvillamide,All,ovary,0.214286,0.216418,35
GTPBP2,Tubastatin A,All,ovary,0.291173,0.0523119,45
GTPBP2,Remodelin,All,ovary,-0.685315,0.013906,12
GTPBP2,prochlorperazine,All,ovary,0.255061,0.117097,39
GTPBP2,JW-74,All,ovary,0.28243,0.145343,28
GTPBP2,pyrvinium pamoate,All,ovary,0.338346,0.144526,20
GTPBP2,"Brivanib, BMS-540215",All,ovary,-0.496059,0.00620463,29
GTPBP2,MK-591,All,ovary,-0.219145,0.282101,26
GTPBP2,GSK-LSD1,All,ovary,-0.496104,0.0221768,21
GTPBP2,P22077,All,ovary,-0.306404,0.105962,29
GTPBP2,abiraterone,All,ovary,-0.296703,0.302967,14
GTPBP2,GSK1070916,All,ovary,-0.364532,0.0564956,28
GTPBP2,Voxtalisib,All,ovary,-0.622167,0.000313981,29
GTPBP2,Pelitinib,All,ovary,-0.390805,0.0397584,28
GTPBP2,BRD6368,All,ovary,0.243077,0.231484,26
GTPBP2,BRD9658,All,ovary,0.502256,0.0240247,20
GTPBP2,Daporinad,All,ovary,0.388591,0.0076122,46
GTPBP2,CBB-1007,All,ovary,-0.211765,0.431083,16
GTPBP2,KU 0060648,All,ovary,0.277861,0.0825653,40
GTPBP2,FGIN-1-27,All,ovary,-0.330279,0.0648636,32
GTPBP2,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.249393,0.125747,39
GTPBP2,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.379352,0.0172298,39
GTPBP2,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.367004,0.0215493,39
GTPBP2,IOX2,All,ovary,-0.284729,0.13438,29
GTPBP2,AICA Ribonucleotide,All,ovary,0.236453,0.225735,28
GTPBP2,PF-3758309,All,ovary,0.244118,0.362213,16
GTPBP2,SB216763,All,ovary,0.227094,0.236137,29
GTPBP2,kb NB 142-70,All,ovary,-0.306897,0.105373,29
GTPBP2,cimetidine,All,ovary,-0.357576,0.310376,10
GTPBP2,"eEF2K Inhibitor, A-484954",All,ovary,-0.260591,0.172151,29
GTPBP2,NPC-26,All,ovary,0.213884,0.185098,40
GTPBP2,NSC319726,All,ovary,-0.30197,0.111373,29
GTPBP2,semagacestat,All,ovary,0.200788,0.226759,38
GTPBP2,O-6-benzylguanine,All,ovary,0.414706,0.110229,16
GTPBP2,OF-1,All,ovary,-0.36,0.0839947,24
GTPBP2,GSK3337463A,All,ovary,-0.206494,0.369152,21
GTPBP2,BRD-K90370028,All,ovary,0.311765,0.2398,16
GTPBP2,XMD13-2,All,ovary,-0.424193,0.024467,28
GTPBP2,BRD-K07442505,All,ovary,-0.212146,0.194782,39
GTPBP2,nimodipine,All,ovary,0.360714,0.186554,15
GTPBP2,QS11,All,ovary,-0.275304,0.0898313,39
GTPBP2,SGC-CBP30,All,ovary,-0.338961,0.132811,21
GTPBP2,CIL56,All,ovary,-0.324981,0.0607469,34
GTPBP2,NU7441,All,ovary,0.248276,0.194067,29
GTPBP2,importazole,All,ovary,0.36336,0.0229844,39
GTPBP2,FY026,All,ovary,-0.253358,0.202268,27
GTPBP2,CAY10618,All,ovary,0.384615,0.014267,40
GTPBP2,PD 153035,All,ovary,-0.293924,0.128976,28
GTPBP2,dalcetrapib,All,ovary,0.223248,0.272961,26
GTPBP2,Flutamide,All,ovary,0.350791,0.100767,23
GTPBP2,WYE-125132,All,ovary,-0.206404,0.282712,29
GTPBP2,BRD6150,All,ovary,0.216541,0.359146,20
GTPBP2,BRD6825,All,ovary,0.506767,0.0225882,20
GTPBP2,BRD-K48477130,All,ovary,-0.220588,0.411666,16
GTPBP2,ML160,All,ovary,0.26581,0.220239,23
GTPBP2,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.355072,0.0287041,38
GTPBP2,AZD4877,All,ovary,-0.237001,0.224631,28
GTPBP2,Sinularin,All,ovary,-0.4,0.07239,21
GTPBP2,vorinostat:carboplatin (1:1 mol-mol),All,ovary,0.241274,0.144487,38
GTPBP2,ZD-6474,All,ovary,-0.405195,0.0684236,21
GTPBP2,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,-0.32385,0.050542,37
GTPBP2,Ispinesib Mesylate,All,ovary,-0.418172,0.0267965,28
GTPBP2,PF-04217903,All,ovary,0.545455,0.0071032,23
GTPBP2,AZD8931,All,ovary,-0.244663,0.209556,28
GTPBP2,TWS119,All,ovary,-0.356158,0.057918,29
GTPBP2,968,All,ovary,0.757576,0.0111434,10
GTPBP2,BDILV000379a,All,ovary,-0.3,0.186411,21
GTPBP2,4-IPP,All,ovary,0.225299,0.268463,26
GTPBP2,BRD-K41334119,All,ovary,-0.224242,0.533401,10
GTPBP2,DBeQ,All,ovary,0.204508,0.218088,38
GTPBP2,Ko-143,All,ovary,0.278365,0.067301,44
GTPBP2,CRT0105446,All,ovary,0.202518,0.301358,28
GTPBP2,BRD2296,All,ovary,0.242857,0.383128,15
GTPBP2,fatostatin,All,ovary,-0.220513,0.279033,26
GTPBP2,IWP-2,All,ovary,-0.321026,0.109806,26
GTPBP2,alpha-lipoic acid,All,ovary,-0.54,0.00645391,24
GTPBP2,Leflunomide,All,ovary,-0.338261,0.105934,24
GTPBP2,FEN1_3940,All,ovary,-0.386973,0.0419165,28
GTPBP2,ICL-SIRT078,All,ovary,-0.281739,0.182283,24
GTPBP2,THR-102,All,ovary,-0.245059,0.259736,23
GTPBP2,MPS-1-IN-1,All,ovary,0.215654,0.270401,28
GTPBP2,BRD5802,All,ovary,0.285714,0.222035,20
GTPBP2,BPD-00008900,All,ovary,0.232174,0.274965,24
GTPBP2,QL-XII-61,All,ovary,-0.495098,0.0433144,17
GTPBP2,Compound 1541A,All,ovary,0.240109,0.120928,43
GTPBP2,PF-00299804,All,ovary,-0.431034,0.0195742,29
GTPBP2,MLN2480,All,ovary,0.526471,0.0361665,16
GTPBP2,QL-XI-92,All,ovary,-0.258894,0.183421,28
GTPBP2,WZ3105,All,ovary,-0.23919,0.220252,28
GTPBP2,BRD-K34485477,All,ovary,-0.769697,0.00922195,10
GTPBP2,CCT245467,All,ovary,0.258894,0.183421,28
GTPBP2,Venetoclax,All,ovary,0.20592,0.228249,36
GTPBP2,GSK2276186C,All,ovary,-0.397403,0.0744368,21
GTPBP2,BRD-K42260513,All,ovary,0.308824,0.244499,16
GTPBP2,XMD8-92,All,ovary,0.333333,0.191058,17
GTPBP2,CX-5461,All,ovary,-0.252137,0.204525,27
GTPBP2,SCH-529074,All,ovary,0.203441,0.214165,39
GTPBP2,Tenovin-6,All,ovary,-0.308374,0.103622,29
GTPBP2,decitabine:navitoclax (2:1 mol-mol),All,ovary,-0.339271,0.0346064,39
GTPBP2,RS-23597-190,All,ovary,0.365613,0.0862331,23
GTPBP2,THR-103,All,ovary,0.230237,0.290564,23
GTPBP2,ARRY-520,All,ovary,-0.228079,0.234055,29
GTPBP2,PF-184,All,ovary,0.225708,0.167097,39
GTPBP2,myriocin,All,ovary,0.262097,0.154341,31
GTPBP2,BRD-K84807411,All,ovary,0.321212,0.365468,10
GTPBP2,VSP34_8731,All,ovary,0.228571,0.318967,21
GTPBP2,Sunitinib,All,ovary,0.236437,0.147296,39
GTPBP2,ursolic acid,All,ovary,-0.215415,0.323576,23
GTPBP2,ZSTK474,All,ovary,0.222591,0.156521,42
GTPBP2,JQ-1:navitoclax (2:1 mol-mol),All,ovary,-0.231984,0.155295,39
GTPBP2,glutathione,All,ovary,-0.321146,0.135128,23
GTPBP2,JAK3_7406,All,ovary,-0.233169,0.232435,28
GTPBP2,STF-31,All,ovary,0.240486,0.14029,39
GTPBP2,GSK-LSD1-2HCl ,All,ovary,-0.257391,0.22466,24
GTPBP2,cytosporone B,All,ovary,0.35453,0.0755543,26
GTPBP2,ABT737,All,ovary,-0.24687,0.0981301,46
GTPBP2,selumetinib:GDC-0941 (4:1 mol-mol),All,ovary,0.235146,0.155278,38
GTPBP2,Bicalutamide,All,ovary,0.33202,0.0784693,29
GTPBP2,WEHI-539,All,ovary,-0.440887,0.01667,29
GTPBP2,selumetinib:decitabine (4:1 mol-mol),All,ovary,0.209473,0.234445,34
GTPBP2,BRD-K30019337,All,ovary,-0.284848,0.425038,10
GTPBP2,AZD5582,All,ovary,-0.287192,0.130897,29
GTPBP2,Sepantronium bromide,All,ovary,-0.212253,0.16158,45
GTPBP2,Niraparib,All,ovary,-0.39913,0.053345,24
GTPBP2,KIN001-042,All,ovary,-0.465025,0.0110288,29
GTPBP2,SB52334,All,ovary,-0.292282,0.131227,28
GTPBP2,JW-55,All,ovary,-0.468132,0.0913764,14
GTPBP2,LY2109761,All,ovary,-0.257391,0.22466,24
GTPBP2,KU-0063794,All,ovary,0.220484,0.183456,38
GTPBP2,Acetalax,All,ovary,-0.335065,0.13761,21
GTPBP2,AST-1306,All,ovary,-0.445813,0.0153575,29
GTPBP2,ubistatin B,All,ovary,0.308034,0.125787,26
GTPBP2,IPA-3,All,ovary,-0.447826,0.0282015,24
GTPBP2,Decitabine,All,ovary,-0.349595,0.0291432,39
GTPBP2,AMG-319,All,ovary,0.24532,0.199602,29
GTPBP2,Mirin,All,ovary,-0.390257,0.0400611,28
GTPBP2,ML323,All,ovary,-0.353913,0.0897585,24
GTPBP2,OSU-03012,All,ovary,-0.242609,0.253348,24
GTPBP2,Phenformin,All,ovary,-0.225885,0.257251,27
GTPBP2,lomeguatrib,All,ovary,0.229237,0.166228,38
GTPBP2,Compound 23 citrate,All,ovary,0.276654,0.0725079,43
GTPBP2,CP466722,All,ovary,-0.340449,0.0762716,28
GTPBP2,IAP_5620,All,ovary,-0.335523,0.0809019,28
GTPBP2,spautin-1,All,ovary,-0.219028,0.180355,39
GTPBP2,BRD-K27188169:navitoclax (2:1 mol-mol),All,ovary,-0.499012,0.0153515,23
GTPBP2,BIBF-1120,All,ovary,-0.202956,0.291008,29
GTPBP2,LBH-589,All,ovary,0.27915,0.0852564,39
GTPBP2,BAY-MPS-combo-1 (paclitaxel 5 uM),All,ovary,0.203008,0.390666,20
GTPBP2,CAY10566,All,ovary,0.25468,0.182442,29
GTPBP2,vorinostat:navitoclax (4:1 mol-mol),All,ovary,0.204545,0.25352,33
GTPBP2,BRD-K27188169,All,ovary,0.358261,0.0856123,24
GTPBP2,(-)-gallocatechin-3-monogallate,All,ovary,0.232821,0.252381,26
GTPBP2,Thalidomide,All,ovary,0.217857,0.435393,15
GTPBP2,Camptothecin,All,ovary,-0.218227,0.255427,29
GTPBP2,BAY-HDAC11_4,All,ovary,-0.428376,0.029009,26
GTPBP2,Flavopiridol,All,ovary,-0.23202,0.225851,29
GTPBP2,GSK2830371A,All,ovary,-0.414286,0.0618799,21
GTPBP2,navitoclax:piperlongumine (1:1 mol-mol),All,ovary,-0.296356,0.0669624,39
GTPBP2,TTNBP,All,ovary,0.285573,0.186538,23
GTPBP2,LMB_AB3,All,ovary,-0.25974,0.255519,21
GTPBP2,Bosutinib,All,ovary,0.236635,0.126565,43
GTPBP2,ML334 diastereomer,All,ovary,-0.307389,0.104787,29
GTPBP2,BRD-A71883111,All,ovary,-0.231781,0.155666,39
GTPBP2,selumetinib:MK-2206 (8:1 mol-mol),All,ovary,0.200569,0.227277,38
GTPBP2,FGFR_3831,All,ovary,-0.222222,0.255722,28
GTPBP2,fingolimod,All,ovary,0.32996,0.0402277,39
GTPBP2,QL-VIII-58,All,ovary,-0.345588,0.174252,17
GTPBP2,ETP-45835,All,ovary,-0.224631,0.241395,29
GTPBP2,BRD-K64610608,All,ovary,-0.22114,0.182122,38
GTPBP2,BRD63610,All,ovary,0.297778,0.139554,26
GTPBP2,Midostaurin,All,ovary,-0.255652,0.227918,24
GTPBP2,avicin D,All,ovary,-0.261765,0.32741,16
GTPBP2,GSK1059615,All,ovary,-0.302513,0.0687799,37
GTPBP2,Refametinib,All,ovary,0.312808,0.0984969,29
GTPBP2,BRD-K20514654,All,ovary,0.247826,0.242965,24
GTPBP2,WHI-P97,All,ovary,-0.229338,0.240419,28
GTPBP2,BRD55319,All,ovary,0.288282,0.0608337,43
GTPBP2,BAY AKT1,All,ovary,0.284103,0.159553,26
GTPBP2,LCL161,All,ovary,-0.326601,0.0837705,29
GTPBP2,Entospletinib,All,ovary,-0.337391,0.106892,24
GTPBP2,FY012,All,ovary,-0.20696,0.300307,27
GTPBP2,AZD5991,All,ovary,-0.275325,0.227064,21
GTPBP2,BML-259,All,ovary,-0.216403,0.321308,23
GTPBP2,AZD2014,All,ovary,-0.241379,0.21593,28
GTPBP2,TL-2-105,All,ovary,-0.296661,0.125286,28
GTPBP2,MK-8776,All,ovary,-0.306897,0.105373,29
GTPBP2,IMD-0354,All,ovary,-0.3133,0.0979395,29
GTPBP2,TKI258,All,ovary,-0.261538,0.206638,25
GTPBP2,MIM1,All,ovary,0.295566,0.119548,29
GTPBP2,LBW242,All,ovary,-0.418462,0.0373588,25
GTPBP2,AT-7519,All,ovary,-0.301587,0.11884,28
GTPBP2,ML159,All,ovary,0.307312,0.153748,23
GTPBP2,Bromosporine,All,ovary,-0.532468,0.0129575,21
GTPBP2,Dacinostat,All,ovary,0.323478,0.123095,24
GTPBP2,SB-431542,All,ovary,0.327733,0.0416764,39
GTPBP2,marinopyrrole A,All,ovary,0.210012,0.293074,27
GTPBP2,ZG-10,All,ovary,-0.245098,0.343047,17
GTPBP2,HG-5-113-01,All,ovary,-0.294118,0.251844,17
GTPBP2,THR-101,All,ovary,0.206522,0.344426,23
GTPBP2,Alectinib,All,ovary,0.23919,0.220252,28
GTPBP2,tyrphostin AG-1478,All,ovary,-0.306324,0.155143,23
GTPBP2,BRD-A02303741:carboplatin (1:1 mol-mol),All,ovary,-0.224696,0.169059,39
GTPBP2,CI-1033,All,ovary,-0.355665,0.0582902,29
GTPBP2,Linifanib,All,ovary,0.205413,0.191886,42
GTPBP2,BMS-299897,All,ovary,0.231225,0.288441,23
GTPBP2,BRD-K29086754,All,ovary,-0.260606,0.467089,10
GTPBP2,BAY-HDAC11_2,All,ovary,-0.258803,0.201735,26
GTPBP2,JNJ38877605,All,ovary,-0.302956,0.110153,29
GTPBP2,T0901317,All,ovary,-0.225506,0.248582,28
GTPBP2,FY069,All,ovary,-0.239927,0.228046,27
GTPBP2,Genentech Cpd 10,All,ovary,-0.310345,0.10799,28
GTPBP2,BRD4046,All,ovary,0.350376,0.129894,20
GTPBP2,SL0101,All,ovary,-0.422167,0.0225325,29
GTPBP2,PF-4800567 hydrochloride,All,ovary,0.575,0.0249362,15
GTPBP2,L-Oxonoreleagnine,All,ovary,-0.411688,0.0636989,21
GTPBP2,Dactinomycin,All,ovary,-0.267488,0.160671,29
GTPBP2,AGK-2,All,ovary,0.317052,0.031801,46
GTPBP2,Fulvestrant,All,ovary,-0.276751,0.107522,35
GTPBP2,Elesclomol,All,ovary,0.244335,0.201471,29
GTPBP2,AC55649,All,ovary,0.354475,0.0182325,44
GTPBP2,triacsin C,All,ovary,0.219829,0.280564,26
GTPBP2,TAK-715,All,ovary,-0.200328,0.306725,28
GTPBP2,ZM447439,All,ovary,-0.236946,0.215872,29
