gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
IARS2,EPZ004777,All,ovary,-0.336946,0.0738769,29
IARS2,PHA-793887,All,ovary,-0.240418,0.125113,42
IARS2,IPR-456,All,ovary,-0.234211,0.151257,39
IARS2,Zibotentan,All,ovary,-0.246305,0.206418,28
IARS2,Mitomycin-C,All,ovary,-0.275652,0.192317,24
IARS2,PBD-288,All,ovary,-0.306957,0.144568,24
IARS2,965-D2,All,ovary,-0.314188,0.118019,26
IARS2,Carboplatin,All,ovary,-0.346154,0.0308791,39
IARS2,SNS-032,All,ovary,-0.257915,0.128837,36
IARS2,BDP-00009066,All,ovary,-0.238261,0.262218,24
IARS2,Pilaralisib,All,ovary,-0.260099,0.172993,29
IARS2,MCT1_6447,All,ovary,-0.273125,0.159648,28
IARS2,HC-067047,All,ovary,-0.252216,0.126601,38
IARS2,cerulenin,All,ovary,-0.210359,0.175743,43
IARS2,BRD-K27986637,All,ovary,-0.430303,0.214492,10
IARS2,150412,All,ovary,-0.397403,0.0744368,21
IARS2,BCL-LZH-4,All,ovary,-0.555882,0.0253622,16
IARS2,Lenalidomide,All,ovary,0.225141,0.162483,40
IARS2,BRD-K09344309,All,ovary,-0.252747,0.383315,14
IARS2,GSK690693,All,ovary,-0.264368,0.174002,28
IARS2,Vinorelbine,All,ovary,-0.238424,0.212937,29
IARS2,triptolide,All,ovary,-0.309091,0.0411967,44
IARS2,CD-437,All,ovary,-0.249471,0.106677,43
IARS2,niclosamide,All,ovary,-0.378707,0.0190474,38
IARS2,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.317431,0.0521415,38
IARS2,JAK1_3715,All,ovary,-0.250305,0.207943,27
IARS2,BAY-HDAC11_1,All,ovary,-0.273846,0.175826,26
IARS2,Luminespib,All,ovary,-0.326108,0.0842656,29
IARS2,FMK,All,ovary,-0.227826,0.284307,24
IARS2,N-oxalyl-D-phenylalanine,All,ovary,0.371624,0.0615803,26
IARS2,JW-74,All,ovary,-0.279146,0.150282,28
IARS2,necrosulfonamide,All,ovary,-0.235556,0.246692,26
IARS2,BRD-K70511574,All,ovary,-0.270445,0.0958782,39
IARS2,AZD5363,All,ovary,-0.295074,0.120195,29
IARS2,P22077,All,ovary,-0.344335,0.0673803,29
IARS2,abiraterone,All,ovary,-0.349451,0.22069,14
IARS2,Voxtalisib,All,ovary,-0.269458,0.157494,29
IARS2,Pelitinib,All,ovary,-0.293924,0.128976,28
IARS2,Tozasertib,All,ovary,0.330597,0.0857438,28
IARS2,667880,All,ovary,-0.22987,0.31615,21
IARS2,BRD9658,All,ovary,-0.258647,0.270856,20
IARS2,ML150,All,ovary,-0.281621,0.192977,23
IARS2,CBB-1007,All,ovary,0.217647,0.418087,16
IARS2,AZD8835,All,ovary,-0.220033,0.260556,28
IARS2,JZL-184,All,ovary,0.245128,0.227447,26
IARS2,IOX2,All,ovary,-0.243842,0.20241,29
IARS2,Podophyllotoxin bromide,All,ovary,-0.392208,0.0786603,21
IARS2,Fludarabine,All,ovary,-0.445455,0.0429999,21
IARS2,PF-3758309,All,ovary,-0.241176,0.368207,16
IARS2,Amuvatinib,All,ovary,-0.422551,0.0250853,28
IARS2,alvocidib,All,ovary,-0.544118,0.0293363,16
IARS2,narciclasine,All,ovary,-0.26458,0.113538,37
IARS2,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.245749,0.131554,39
IARS2,sparfosic acid,All,ovary,0.238974,0.2397,26
IARS2,BRD2572,All,ovary,0.324812,0.162323,20
IARS2,kb NB 142-70,All,ovary,-0.319704,0.0909077,29
IARS2,Rucaparib,All,ovary,-0.353275,0.0437251,33
IARS2,ML030,All,ovary,-0.228753,0.135287,44
IARS2,AGI-5198,All,ovary,-0.363054,0.0528998,29
IARS2,cimetidine,All,ovary,-0.406061,0.244282,10
IARS2,tipifarnib-P1,All,ovary,-0.336716,0.0254219,44
IARS2,JW-7-24-1,All,ovary,-0.212917,0.276675,28
IARS2,KX2-391,All,ovary,-0.234818,0.150169,39
IARS2,EHT-1864,All,ovary,-0.272906,0.152042,29
IARS2,BRD-K90370028,All,ovary,-0.226471,0.398983,16
IARS2,Vinblastine,All,ovary,-0.282978,0.144531,28
IARS2,chlorambucil,All,ovary,-0.296154,0.067158,39
IARS2,methylstat,All,ovary,-0.208374,0.27804,29
IARS2,SCH772984,All,ovary,-0.229064,0.231985,29
IARS2,minoxidil,All,ovary,-0.453571,0.0894859,15
IARS2,BRD-K88742110,All,ovary,-0.350257,0.0310981,38
IARS2,Uprosertib,All,ovary,-0.340394,0.0707876,29
IARS2,BRD-K07442505,All,ovary,-0.22996,0.159034,39
IARS2,Torin 2,All,ovary,-0.258621,0.175535,29
IARS2,nimodipine,All,ovary,-0.221429,0.427714,15
IARS2,5-Fluorouracil,All,ovary,-0.207389,0.28037,29
IARS2,QS11,All,ovary,-0.209312,0.200952,39
IARS2,m-3M3-FBS,All,ovary,0.21094,0.300955,26
IARS2,SGC-CBP30,All,ovary,-0.246753,0.280896,21
IARS2,Capivasertib,All,ovary,-0.269294,0.165821,28
IARS2,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.257468,0.118627,38
IARS2,XMD15-27,All,ovary,-0.30925,0.109305,28
IARS2,importazole,All,ovary,-0.357692,0.0253744,39
IARS2,Platin,All,ovary,-0.322672,0.0451267,39
IARS2,WYE-125132,All,ovary,-0.375369,0.0447961,29
IARS2,BRD6150,All,ovary,-0.258647,0.270856,20
IARS2,GSK2636771,All,ovary,-0.553202,0.00185423,29
IARS2,navitoclax:MST-312 (1:1 mol-mol),All,ovary,-0.264817,0.113203,37
IARS2,Cisplatin,All,ovary,-0.411604,0.0295401,28
IARS2,ML160,All,ovary,0.254941,0.240397,23
IARS2,Epirubicin,All,ovary,-0.396552,0.0331914,29
IARS2,N25720-51-A1,All,ovary,-0.253043,0.232864,24
IARS2,cytarabine hydrochloride,All,ovary,-0.352883,0.0297727,38
IARS2,WZ4003,All,ovary,-0.215652,0.311514,24
IARS2,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.212824,0.199539,38
IARS2,Pictilisib,All,ovary,-0.28813,0.060975,43
IARS2,VX-11e,All,ovary,-0.238916,0.211965,29
IARS2,fumagillol,All,ovary,0.217094,0.286742,26
IARS2,YK-4-279,All,ovary,-0.228783,0.140031,43
IARS2,bendamustine,All,ovary,-0.237553,0.150971,38
