gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
IL1R2,EPZ004777,All,ovary,0.422712,0.0223408,29
IL1R2,neopeltolide,All,ovary,0.349471,0.0396091,35
IL1R2,Ulixertinib,All,ovary,0.350536,0.0622784,29
IL1R2,PHA-793887,All,ovary,0.28356,0.068793,42
IL1R2,SZ4TA2,All,ovary,0.328865,0.231368,15
IL1R2,dexamethasone,All,ovary,0.264575,0.0826439,44
IL1R2,Mitomycin-C,All,ovary,0.410435,0.0463554,24
IL1R2,tacedinaline,All,ovary,0.218998,0.262861,28
IL1R2,etomoxir,All,ovary,0.2226,0.15136,43
IL1R2,PBD-288,All,ovary,0.473043,0.0195657,24
IL1R2,leucascandrolide A,All,ovary,0.205882,0.31296,26
IL1R2,965-D2,All,ovary,0.533675,0.00498798,26
IL1R2,Carboplatin,All,ovary,0.418329,0.0080436,39
IL1R2,IAP_7638,All,ovary,-0.240269,0.227364,27
IL1R2,"2,4-dideoxy-DC-45-A2",All,ovary,0.203488,0.318743,26
IL1R2,ML214,All,ovary,-0.294906,0.285953,15
IL1R2,BRD-K34222889,All,ovary,0.282937,0.0809305,39
IL1R2,SNS-032,All,ovary,0.274459,0.10525,36
IL1R2,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.498669,0.00229579,35
IL1R2,BDP-00009066,All,ovary,0.509565,0.0109754,24
IL1R2,HC-067047,All,ovary,0.36917,0.0225523,38
IL1R2,150412,All,ovary,0.402728,0.070286,21
IL1R2,Serdemetan,All,ovary,0.203948,0.173983,46
IL1R2,BCL-LZH-4,All,ovary,0.295806,0.265979,16
IL1R2,HG6-64-1,All,ovary,-0.28,0.185112,24
IL1R2,Motesanib,All,ovary,0.273186,0.151606,29
IL1R2,BPTES,All,ovary,0.306829,0.112254,28
IL1R2,BRD-K09344309,All,ovary,0.367437,0.196209,14
IL1R2,SB-525334,All,ovary,0.291439,0.0758487,38
IL1R2,BRD4132,All,ovary,0.275949,0.0890502,39
IL1R2,GMX-1778,All,ovary,0.301163,0.0469701,44
IL1R2,skepinone-L,All,ovary,0.207506,0.440621,16
IL1R2,CCT-018159,All,ovary,0.350043,0.0626724,29
IL1R2,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.456755,0.00394378,38
IL1R2,CD-1530,All,ovary,0.235894,0.127793,43
IL1R2,CD-437,All,ovary,0.239595,0.12175,43
IL1R2,niclosamide,All,ovary,0.456133,0.00399954,38
IL1R2,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.407817,0.0110364,38
IL1R2,JAK1_3715,All,ovary,0.465883,0.0143184,27
IL1R2,BAY-HDAC11_1,All,ovary,0.221197,0.277507,26
IL1R2,Luminespib,All,ovary,0.237468,0.214832,29
IL1R2,BRD-K55473186,All,ovary,0.26444,0.17388,28
IL1R2,avrainvillamide,All,ovary,0.29446,0.085964,35
IL1R2,birinapant,All,ovary,0.270785,0.0954457,39
IL1R2,3-Cl-AHPC,All,ovary,0.395139,0.0127886,39
IL1R2,JW-74,All,ovary,0.286927,0.138771,28
IL1R2,necrosulfonamide,All,ovary,0.398495,0.0437581,26
IL1R2,BRD-K70511574,All,ovary,0.414076,0.00877842,39
IL1R2,FQI-2,All,ovary,0.22963,0.148667,41
IL1R2,P22077,All,ovary,0.354231,0.0593847,29
IL1R2,abiraterone,All,ovary,0.29703,0.302409,14
IL1R2,GSK1070916,All,ovary,0.249624,0.200174,28
IL1R2,Pelitinib,All,ovary,0.233475,0.231806,28
IL1R2,CIL55A,All,ovary,0.206375,0.241595,34
IL1R2,DC-45-A2,All,ovary,0.25171,0.214812,26
IL1R2,667880,All,ovary,0.338422,0.133468,21
IL1R2,BRD2762,All,ovary,0.270026,0.249574,20
IL1R2,BRD9658,All,ovary,0.303122,0.193898,20
IL1R2,Daporinad,All,ovary,0.420111,0.00365221,46
IL1R2,N23918-95-7,All,ovary,0.212487,0.287293,27
IL1R2,KU 0060648,All,ovary,-0.211919,0.189263,40
IL1R2,UNC0638:navitoclax (1:1 mol-mol),All,ovary,0.277468,0.0872337,39
IL1R2,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,0.253063,0.120093,39
IL1R2,JZL-184,All,ovary,-0.411423,0.0367823,26
IL1R2,IOX2,All,ovary,0.318758,0.0919216,29
IL1R2,Podophyllotoxin bromide,All,ovary,0.433907,0.0493853,21
IL1R2,Fludarabine,All,ovary,0.465736,0.033354,21
IL1R2,PF-3758309,All,ovary,0.606328,0.0127764,16
IL1R2,Axitinib,All,ovary,0.321216,0.0380592,42
IL1R2,Amuvatinib,All,ovary,0.385931,0.0425193,28
IL1R2,alvocidib,All,ovary,0.363503,0.166372,16
IL1R2,BRD-K79669418,All,ovary,0.200174,0.348328,24
IL1R2,kb NB 142-70,All,ovary,0.380096,0.0419617,29
IL1R2,ML030,All,ovary,0.200493,0.191916,44
IL1R2,tipifarnib-P1,All,ovary,0.418752,0.0046691,44
IL1R2,NPC-26,All,ovary,0.325623,0.0403282,40
IL1R2,BRD0713,All,ovary,0.644603,0.00215376,20
IL1R2,KX2-391,All,ovary,0.414785,0.0086521,39
IL1R2,Vinblastine,All,ovary,0.345149,0.0720464,28
IL1R2,chlorambucil,All,ovary,0.354329,0.0268875,39
IL1R2,methylstat,All,ovary,0.238758,0.212277,29
IL1R2,SCH772984,All,ovary,0.259884,0.17336,29
IL1R2,AZD7762,All,ovary,0.258781,0.0938137,43
IL1R2,Bexarotene,All,ovary,0.238894,0.127597,42
IL1R2,HBX-41108,All,ovary,0.524085,0.00352127,29
IL1R2,KHS101,All,ovary,0.422176,0.00924644,37
IL1R2,minoxidil,All,ovary,0.634495,0.0110616,15
IL1R2,BRD-K88742110,All,ovary,0.517298,0.000881763,38
IL1R2,Uprosertib,All,ovary,0.319005,0.0916568,29
IL1R2,BRD-K07442505,All,ovary,0.312405,0.0528352,39
IL1R2,Torin 2,All,ovary,0.208154,0.278561,29
IL1R2,PT-630,All,ovary,0.45896,0.0183519,26
IL1R2,nimodipine,All,ovary,0.418231,0.120806,15
IL1R2,Bax channel blocker,All,ovary,0.200681,0.20255,42
IL1R2,IGF1R_3801,All,ovary,0.408574,0.0659329,21
IL1R2,5-Fluorouracil,All,ovary,0.200764,0.296361,29
IL1R2,QS11,All,ovary,0.218701,0.181024,39
IL1R2,VE-822,All,ovary,0.226136,0.287992,24
IL1R2,Capivasertib,All,ovary,0.342685,0.074238,28
IL1R2,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.230129,0.164541,38
IL1R2,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.30238,0.0613468,39
IL1R2,importazole,All,ovary,0.484382,0.00177996,39
IL1R2,FY026,All,ovary,0.302549,0.125052,27
IL1R2,CAY10618,All,ovary,0.428813,0.00576546,40
IL1R2,BRD-K11533227,All,ovary,0.286206,0.0859244,37
IL1R2,Platin,All,ovary,0.248709,0.126822,39
IL1R2,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,0.253165,0.119939,39
IL1R2,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,0.369114,0.020753,39
IL1R2,dalcetrapib,All,ovary,0.20896,0.30562,26
IL1R2,Flutamide,All,ovary,0.353348,0.0981379,23
IL1R2,WYE-125132,All,ovary,0.219978,0.251538,29
IL1R2,BRD6150,All,ovary,0.564122,0.00957387,20
IL1R2,SID 26681509,All,ovary,0.201526,0.195012,43
IL1R2,GSK2636771,All,ovary,0.322287,0.0881834,29
IL1R2,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.413331,0.0109986,37
IL1R2,BRD6825,All,ovary,0.322678,0.165262,20
IL1R2,Cisplatin,All,ovary,0.394143,0.0379513,28
IL1R2,BRD-K48477130,All,ovary,0.320824,0.225685,16
IL1R2,GSK269962A,All,ovary,0.216283,0.25979,29
IL1R2,ML160,All,ovary,0.213986,0.326875,23
IL1R2,Epirubicin,All,ovary,0.671265,6.71631e-05,29
IL1R2,N25720-51-A1,All,ovary,0.302609,0.150636,24
IL1R2,Embelin,All,ovary,-0.244348,0.249856,24
IL1R2,cytarabine hydrochloride,All,ovary,0.503175,0.00128193,38
IL1R2,WZ4003,All,ovary,0.42357,0.0391568,24
IL1R2,tretinoin:navitoclax (4:1 mol-mol),All,ovary,0.283556,0.084496,38
IL1R2,BRD-K13185470,All,ovary,0.757576,0.0111434,10
IL1R2,VX-11e,All,ovary,0.209139,0.27624,29
IL1R2,BRD-K97651142,All,ovary,0.415481,0.00948429,38
IL1R2,AZD4877,All,ovary,0.208841,0.286191,28
IL1R2,sotrastaurin,All,ovary,0.260441,0.172407,29
IL1R2,mitomycin,All,ovary,0.345493,0.025027,42
IL1R2,bendamustine,All,ovary,0.527589,0.000664419,38
IL1R2,4-methylfasudil,All,ovary,0.341997,0.0872494,26
IL1R2,BRD-K35604418,All,ovary,0.306127,0.0580467,39
IL1R2,vorinostat:carboplatin (1:1 mol-mol),All,ovary,0.233961,0.157431,38
IL1R2,BRD-K24690302,All,ovary,0.329924,0.0402505,39
IL1R2,ZD-6474,All,ovary,-0.242857,0.288804,21
IL1R2,brivanib,All,ovary,0.565063,0.000178354,39
IL1R2,BRD-K85133207,All,ovary,0.474734,0.00226084,39
IL1R2,CID-5951923,All,ovary,0.237644,0.15081,38
IL1R2,SB-743921,All,ovary,0.2543,0.128801,37
IL1R2,Doxorubicin,All,ovary,0.293904,0.0557537,43
IL1R2,PLX-4032,All,ovary,0.258375,0.117289,38
IL1R2,AZD5438,All,ovary,0.23238,0.234065,28
IL1R2,VE821,All,ovary,0.282054,0.138238,29
IL1R2,BRD-K58730230,All,ovary,0.442424,0.200423,10
IL1R2,navitoclax:sorafenib (1:1 mol-mol),All,ovary,0.396322,0.013767,38
IL1R2,BRD-K44224150,All,ovary,0.490909,0.149656,10
IL1R2,CDK9_5038,All,ovary,0.672296,0.000842214,21
IL1R2,4-IPP,All,ovary,0.201778,0.322914,26
IL1R2,BRD-K41334119,All,ovary,0.345455,0.328227,10
IL1R2,tanespimycin:bortezomib (250:1 mol-mol),All,ovary,0.243271,0.152805,36
IL1R2,Ko-143,All,ovary,0.276419,0.0693181,44
IL1R2,CRT0105446,All,ovary,0.269878,0.164869,28
IL1R2,BRD2296,All,ovary,0.271671,0.32734,15
IL1R2,AZ-3146,All,ovary,0.274907,0.0948425,38
IL1R2,azacitidine,All,ovary,0.384982,0.0169996,38
IL1R2,TTK_3146,All,ovary,0.311756,0.106313,28
IL1R2,MN-64,All,ovary,-0.215699,0.311407,24
IL1R2,FEN1_3940,All,ovary,0.274805,0.156995,28
IL1R2,BX-912,All,ovary,0.324073,0.0924912,28
IL1R2,ICL-SIRT078,All,ovary,0.208696,0.327753,24
IL1R2,FS112,All,ovary,0.337211,0.0792915,28
IL1R2,MPS-1-IN-1,All,ovary,0.211304,0.280416,28
IL1R2,50869,All,ovary,0.461838,0.0350613,21
IL1R2,Dacarbazine,All,ovary,0.240638,0.134719,40
IL1R2,gossypol,All,ovary,0.225167,0.141686,44
IL1R2,compound 1B,All,ovary,0.426445,0.00848982,37
IL1R2,BPD-00008900,All,ovary,0.269565,0.202722,24
IL1R2,apicidin,All,ovary,0.265823,0.101917,39
IL1R2,AZD6482,All,ovary,-0.215953,0.164273,43
IL1R2,QL-XII-61,All,ovary,0.37523,0.137774,17
IL1R2,Crizotinib,All,ovary,0.291565,0.0548197,44
IL1R2,Talazoparib,All,ovary,0.568543,0.00129136,29
IL1R2,BRD-K34485477,All,ovary,0.418182,0.229113,10
IL1R2,Eg5_9814,All,ovary,0.732056,0.000161652,21
IL1R2,Regorafenib,All,ovary,0.290228,0.0730845,39
IL1R2,BRD-A94377914,All,ovary,0.240209,0.258219,24
IL1R2,CDK9_5576,All,ovary,0.806755,9.9576e-06,21
IL1R2,BRD-K71781559,All,ovary,0.35443,0.0268409,39
IL1R2,CCT245467,All,ovary,0.264404,0.173941,28
IL1R2,Bryostatin 1,All,ovary,0.238261,0.262218,24
IL1R2,Venetoclax,All,ovary,0.274863,0.104718,36
IL1R2,AT7867,All,ovary,0.345268,0.0233542,43
IL1R2,"CAP-232, TT-232, TLN-232",All,ovary,-0.256436,0.179342,29
IL1R2,BRD-K42260513,All,ovary,0.232524,0.386152,16
IL1R2,Etoposide,All,ovary,0.257064,0.0845954,46
IL1R2,BRD4372,All,ovary,0.20158,0.394079,20
IL1R2,GSK461364,All,ovary,0.423319,0.0090385,37
IL1R2,hyperforin,All,ovary,0.212658,0.193681,39
IL1R2,CX-5461,All,ovary,0.291253,0.140493,27
IL1R2,SCH-529074,All,ovary,0.220962,0.176443,39
IL1R2,Tenovin-6,All,ovary,0.278606,0.143331,29
IL1R2,Ki8751,All,ovary,0.237873,0.144782,39
IL1R2,Ch-55,All,ovary,0.237457,0.157024,37
IL1R2,clofarabine,All,ovary,0.593013,6.94259e-05,39
IL1R2,vorapaxar,All,ovary,0.255798,0.116007,39
IL1R2,6-diazo-5-oxo-L-norleucine,All,ovary,0.230506,0.257261,26
IL1R2,ETP-46464,All,ovary,0.213379,0.266397,29
IL1R2,BRD9571,All,ovary,0.307417,0.265024,15
IL1R2,CI-1040,All,ovary,0.338306,0.0782603,28
IL1R2,BRD-K27224038,All,ovary,0.721212,0.0185732,10
IL1R2,decitabine:navitoclax (2:1 mol-mol),All,ovary,0.268962,0.0977852,39
IL1R2,POMHEX,All,ovary,0.553043,0.00506293,24
IL1R2,KPT185,All,ovary,0.441542,0.0164901,29
IL1R2,CT7033-2,All,ovary,0.427826,0.0370242,24
IL1R2,Gemcitabine,All,ovary,0.328439,0.025847,46
IL1R2,PF-184,All,ovary,0.29843,0.0649847,39
IL1R2,BRD-A86708339,All,ovary,0.371761,0.172436,15
IL1R2,Methotrexate,All,ovary,0.301763,0.0521164,42
IL1R2,myriocin,All,ovary,0.404155,0.0241371,31
IL1R2,Mitoxantrone,All,ovary,0.368301,0.100432,21
IL1R2,ML311,All,ovary,0.445165,0.00451485,39
IL1R2,BRD-K84807411,All,ovary,0.563636,0.089724,10
IL1R2,BRD-K51490254,All,ovary,0.224304,0.169825,39
IL1R2,OTX015,All,ovary,0.284845,0.177305,24
IL1R2,VSP34_8731,All,ovary,0.26697,0.242049,21
IL1R2,CCT007093,All,ovary,-0.503018,0.00541411,29
IL1R2,630600,All,ovary,0.685287,0.000607493,21
IL1R2,CCT245232,All,ovary,0.293144,0.130043,28
IL1R2,BRD-K61166597,All,ovary,0.31281,0.0525123,39
IL1R2,chaetocin,All,ovary,-0.376575,0.0765374,23
IL1R2,AT13387,All,ovary,0.226637,0.398627,16
IL1R2,BRD-K63431240,All,ovary,0.51119,0.000882046,39
IL1R2,Zoledronate,All,ovary,0.381942,0.087529,21
IL1R2,741909,All,ovary,-0.254628,0.265327,21
IL1R2,Masitinib,All,ovary,0.328149,0.0362075,41
IL1R2,GW441756,All,ovary,0.340436,0.0707507,29
IL1R2,Gallibiscoquinazole,All,ovary,0.228646,0.318806,21
IL1R2,JAK3_7406,All,ovary,0.337758,0.0787746,28
IL1R2,TW 37,All,ovary,0.305804,0.0461235,43
IL1R2,(5Z)-7-Oxozeaenol,All,ovary,0.278736,0.159159,27
IL1R2,STF-31,All,ovary,0.509772,0.000916736,39
IL1R2,N30652-18-1,All,ovary,0.217391,0.307533,24
IL1R2,palmostatin B,All,ovary,0.353333,0.0600783,29
IL1R2,Compound 10b,All,ovary,0.20383,0.317913,26
IL1R2,manumycin A,All,ovary,0.265201,0.0856648,43
IL1R2,IU1,All,ovary,0.221468,0.181458,38
IL1R2,rosiglitazone,All,ovary,0.218194,0.284247,26
IL1R2,N22899-6-C1,All,ovary,0.322088,0.101333,27
IL1R2,Dasatinib,All,ovary,-0.285067,0.0638998,43
IL1R2,erastin,All,ovary,0.264662,0.0944799,41
IL1R2,BRD-K92856060,All,ovary,0.222481,0.173412,39
IL1R2,Mycophenolic acid,All,ovary,0.787826,4.87613e-06,24
IL1R2,NSC48300,All,ovary,0.275646,0.089417,39
IL1R2,WEHI-539,All,ovary,-0.302993,0.110107,29
IL1R2,selumetinib:decitabine (4:1 mol-mol),All,ovary,0.356384,0.0385638,34
IL1R2,BRD-K30019337,All,ovary,0.575758,0.0815528,10
IL1R2,Sepantronium bromide,All,ovary,-0.223921,0.139224,45
IL1R2,Niraparib,All,ovary,0.648837,0.000603911,24
IL1R2,BMS-270394,All,ovary,0.331509,0.0420334,38
IL1R2,endo-IWR-1,All,ovary,0.227329,0.29687,23
IL1R2,oligomycin A,All,ovary,0.384914,0.0098807,44
IL1R2,KIN001-042,All,ovary,-0.306195,0.106212,29
IL1R2,carboplatin:UNC0638 (2:1 mol-mol),All,ovary,0.203197,0.221118,38
IL1R2,BRD-K86535717,All,ovary,0.272727,0.445838,10
IL1R2,PL-DI,All,ovary,0.224304,0.169825,39
IL1R2,ISOX,All,ovary,0.206684,0.206795,39
IL1R2,DMOG,All,ovary,-0.309565,0.141011,24
IL1R2,ERK_2440,All,ovary,0.502111,0.0203707,21
IL1R2,istradefylline,All,ovary,0.201966,0.470391,15
IL1R2,NVP-ADW742,All,ovary,0.321852,0.0353176,43
IL1R2,BRD6340,All,ovary,0.265519,0.102324,39
IL1R2,BRD-A05715709,All,ovary,0.235467,0.379995,16
IL1R2,bleomycin A2,All,ovary,0.238482,0.155188,37
IL1R2,ML100,All,ovary,-0.267359,0.217462,23
IL1R2,Bleomycin (50 uM),All,ovary,0.459012,0.014011,28
IL1R2,ouabain,All,ovary,0.554027,0.000374314,37
IL1R2,GNE-317,All,ovary,0.324424,0.0859754,29
IL1R2,tipifarnib-P2,All,ovary,0.422965,0.00815226,38
IL1R2,VU0155056,All,ovary,0.257937,0.117933,38
IL1R2,AMG-319,All,ovary,0.309644,0.102134,29
IL1R2,Mirin,All,ovary,0.254824,0.190651,28
IL1R2,QL-XII-47,All,ovary,0.254824,0.190651,28
IL1R2,WP1130,All,ovary,0.314329,0.0513155,39
IL1R2,BRD-K66532283,All,ovary,0.344318,0.0342748,38
IL1R2,Compound 23 citrate,All,ovary,0.209811,0.176899,43
IL1R2,leptomycin B,All,ovary,0.298127,0.0652714,39
IL1R2,glibenclamide,All,ovary,0.256156,0.20655,26
IL1R2,Merck60,All,ovary,0.226366,0.139523,44
IL1R2,I-CBP112,All,ovary,0.324615,0.113376,25
IL1R2,spautin-1,All,ovary,0.299646,0.0638476,39
IL1R2,Tamoxifen,All,ovary,0.263849,0.0764258,46
IL1R2,Afuresertib,All,ovary,0.287966,0.129815,29
IL1R2,BRD-K27188169:navitoclax (2:1 mol-mol),All,ovary,0.221563,0.309619,23
IL1R2,BIBF-1120,All,ovary,0.264072,0.166287,29
IL1R2,omacetaxine mepesuccinate,All,ovary,0.481459,0.00818562,29
IL1R2,CRT0160829,All,ovary,0.231285,0.236339,28
IL1R2,HG-5-88-01,All,ovary,-0.333538,0.190769,17
IL1R2,Carmustine,All,ovary,0.546931,0.0102943,21
IL1R2,Vismodegib,All,ovary,-0.211692,0.189749,40
IL1R2,PYR-41,All,ovary,0.241371,0.150097,37
IL1R2,BRD-K26531177,All,ovary,0.291241,0.0720437,39
IL1R2,BAY-MPS-combo-1 (paclitaxel 5 uM),All,ovary,0.390977,0.0882801,20
IL1R2,RO4929097,All,ovary,0.313466,0.237108,16
IL1R2,ML239,All,ovary,0.417823,0.00812821,39
IL1R2,Oxaliplatin,All,ovary,0.264673,0.0863144,43
IL1R2,CAY10566,All,ovary,0.229092,0.231926,29
IL1R2,CZC24832,All,ovary,0.201783,0.344386,24
IL1R2,BEC,All,ovary,0.305752,0.0740648,35
IL1R2,615590,All,ovary,-0.261773,0.251684,21
IL1R2,Repligen 136,All,ovary,0.279834,0.0888361,38
IL1R2,BRD-K27188169,All,ovary,0.226284,0.287669,24
IL1R2,salermide,All,ovary,0.450136,0.011056,31
IL1R2,darinaparsin,All,ovary,0.378898,0.0296687,33
IL1R2,Camptothecin,All,ovary,0.544156,0.00227703,29
IL1R2,BAY-HDAC11_4,All,ovary,0.213675,0.294585,26
IL1R2,BRD-K96970199,All,ovary,-0.357576,0.310376,10
IL1R2,Pyridostatin,All,ovary,0.479123,0.00854734,29
IL1R2,Dinaciclib,All,ovary,0.474686,0.00803797,30
IL1R2,RG-108,All,ovary,0.296228,0.0508837,44
IL1R2,navitoclax:piperlongumine (1:1 mol-mol),All,ovary,0.243342,0.135498,39
IL1R2,ICL1100013,All,ovary,0.415492,0.0278898,28
IL1R2,PARP_0108,All,ovary,0.320256,0.103402,27
IL1R2,Doramapimod,All,ovary,0.261339,0.0988484,41
IL1R2,Mdivi-1,All,ovary,0.306734,0.0575251,39
IL1R2,elocalcitol,All,ovary,0.372152,0.0196498,39
IL1R2,PI3Ka_4409,All,ovary,-0.41385,0.0285774,28
IL1R2,BAY-MPS-combo 2 (paclitaxel 1 uM),All,ovary,0.44812,0.0475317,20
IL1R2,BRD-K34099515,All,ovary,-0.248485,0.488776,10
IL1R2,BRD-K80183349,All,ovary,0.279392,0.084974,39
IL1R2,Compound 4,All,ovary,0.213064,0.296001,26
IL1R2,FGFR_3831,All,ovary,0.382921,0.0442998,28
IL1R2,AKT inhibitor VIII,All,ovary,0.268783,0.166656,28
IL1R2,QL-VIII-58,All,ovary,0.297977,0.245383,17
IL1R2,IRAK4_4710,All,ovary,-0.315037,0.164225,21
IL1R2,GSK-2334470,All,ovary,0.621984,0.0132953,15
IL1R2,Pevonedistat,All,ovary,0.216903,0.147638,46
IL1R2,BRD1835,All,ovary,0.368506,0.0209798,39
IL1R2,UMI-77,All,ovary,0.649565,0.000592588,24
IL1R2,tacrolimus,All,ovary,0.263306,0.0841828,44
IL1R2,batimastat,All,ovary,-0.295486,0.142773,26
IL1R2,CR-1-31B,All,ovary,0.221023,0.170511,40
IL1R2,Palbociclib,All,ovary,0.395349,0.0187409,35
IL1R2,CI-976,All,ovary,0.2638,0.0835817,44
