gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
KIF13B,EPZ004777,All,ovary,-0.211823,0.269984,29
KIF13B,PHA-793887,All,ovary,0.236853,0.130982,42
KIF13B,procarbazine,All,ovary,-0.213481,0.198123,38
KIF13B,SZ4TA2,All,ovary,0.528571,0.0427973,15
KIF13B,Zibotentan,All,ovary,-0.405036,0.0325065,28
KIF13B,leucascandrolide A,All,ovary,0.403077,0.0411753,26
KIF13B,PFI-1,All,ovary,0.203941,0.288622,29
KIF13B,ML214,All,ovary,-0.210714,0.450958,15
KIF13B,SNS-032,All,ovary,0.322008,0.0554641,36
KIF13B,BDP-00009066,All,ovary,0.383478,0.0643414,24
KIF13B,B02,All,ovary,0.204128,0.206434,40
KIF13B,MCT1_6447,All,ovary,-0.220033,0.260556,28
KIF13B,cerulenin,All,ovary,0.318182,0.0375845,43
KIF13B,BRD-K14844214,All,ovary,0.224196,0.188676,36
KIF13B,150412,All,ovary,-0.222078,0.333281,21
KIF13B,BRD-K03536150,All,ovary,0.243681,0.140401,38
KIF13B,HG6-64-1,All,ovary,0.483478,0.0166886,24
KIF13B,Motesanib,All,ovary,-0.261576,0.170477,29
KIF13B,BRD-K09344309,All,ovary,0.204396,0.483346,14
KIF13B,skepinone-L,All,ovary,0.329412,0.212801,16
KIF13B,Vinorelbine,All,ovary,0.223153,0.244586,29
KIF13B,CCT-018159,All,ovary,0.400493,0.0313279,29
KIF13B,lonidamine,All,ovary,-0.292308,0.147324,26
KIF13B,GSK343,All,ovary,-0.241872,0.206196,29
KIF13B,Panobinostat,All,ovary,0.222969,0.197928,35
KIF13B,NVP-231,All,ovary,0.209109,0.201398,39
KIF13B,avrainvillamide,All,ovary,0.211485,0.222627,35
KIF13B,TGX-115,All,ovary,-0.253333,0.21177,26
KIF13B,N-oxalyl-D-phenylalanine,All,ovary,-0.327863,0.102024,26
KIF13B,776928,All,ovary,0.636364,0.0019263,21
KIF13B,FTI-277,All,ovary,0.229565,0.280547,24
KIF13B,Cyclophosphamide,All,ovary,-0.386147,0.0166404,38
KIF13B,GSK-LSD1,All,ovary,-0.496104,0.0221768,21
KIF13B,abiraterone,All,ovary,-0.235165,0.418334,14
KIF13B,GSK1070916,All,ovary,0.425835,0.0238611,28
KIF13B,DC-45-A2,All,ovary,0.219829,0.280564,26
KIF13B,Tozasertib,All,ovary,0.483306,0.00917707,28
KIF13B,AT-406,All,ovary,-0.277167,0.161617,27
KIF13B,quinoclamine,All,ovary,0.379145,0.0561065,26
KIF13B,N23918-95-7,All,ovary,0.260684,0.189082,27
KIF13B,PIK-75,All,ovary,0.21641,0.2883,26
KIF13B,BRD-K49290616,All,ovary,-0.236364,0.510885,10
KIF13B,WT-161,All,ovary,-0.238291,0.241088,26
KIF13B,Podophyllotoxin bromide,All,ovary,0.327273,0.147574,21
KIF13B,Dihydrorotenone,All,ovary,0.348052,0.122077,21
KIF13B,SB216763,All,ovary,-0.3133,0.0979395,29
KIF13B,BRD2572,All,ovary,-0.37594,0.102349,20
KIF13B,AGI-5198,All,ovary,-0.449261,0.0144907,29
KIF13B,KW-2449,All,ovary,0.204858,0.210922,39
KIF13B,AZD6094,All,ovary,-0.261294,0.18801,27
KIF13B,cimetidine,All,ovary,0.333333,0.346593,10
KIF13B,Navitoclax,All,ovary,-0.220722,0.140466,46
KIF13B,BRD0713,All,ovary,-0.245113,0.297601,20
KIF13B,O-6-benzylguanine,All,ovary,0.217647,0.418087,16
KIF13B,Picolinici-acid,All,ovary,-0.222609,0.295778,24
KIF13B,BRD-K90370028,All,ovary,-0.223529,0.405298,16
KIF13B,GANT-58,All,ovary,-0.278571,0.314709,15
KIF13B,BRD-K07442505,All,ovary,-0.292713,0.0705515,39
KIF13B,nimodipine,All,ovary,-0.203571,0.466795,15
KIF13B,IGF1R_3801,All,ovary,0.248052,0.27829,21
KIF13B,StemRegenin 1,All,ovary,0.220445,0.177482,39
KIF13B,SGC-CBP30,All,ovary,-0.306494,0.176594,21
KIF13B,CAY10618,All,ovary,0.221388,0.169787,40
KIF13B,PD 153035,All,ovary,0.258347,0.184382,28
KIF13B,Platin,All,ovary,0.245749,0.131554,39
KIF13B,SID 26681509,All,ovary,0.341136,0.0251764,43
KIF13B,FR-180204,All,ovary,0.250137,0.19922,28
KIF13B,GSK650394,All,ovary,0.404348,0.0500239,24
