gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
LCK,EPZ004777,All,ovary,0.396152,0.0333852,29
LCK,neopeltolide,All,ovary,0.255727,0.138144,35
LCK,Ulixertinib,All,ovary,0.281944,0.138399,29
LCK,procarbazine,All,ovary,0.273127,0.097087,38
LCK,SZ4TA2,All,ovary,0.20019,0.474385,15
LCK,Mitomycin-C,All,ovary,0.485946,0.0160613,24
LCK,losartan,All,ovary,-0.455283,0.0194315,26
LCK,PBD-288,All,ovary,0.508609,0.0111516,24
LCK,965-D2,All,ovary,0.207228,0.309739,26
LCK,Carboplatin,All,ovary,0.240208,0.140763,39
LCK,IAP_7638,All,ovary,-0.295062,0.13514,27
LCK,BRD-K52037352,All,ovary,-0.224516,0.194753,35
LCK,SNS-032,All,ovary,0.202979,0.235108,36
LCK,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.319153,0.061655,35
LCK,BDP-00009066,All,ovary,0.246242,0.246088,24
LCK,BRD-K27986637,All,ovary,0.333333,0.346593,10
LCK,150412,All,ovary,0.473121,0.030298,21
LCK,BCL-LZH-4,All,ovary,0.433252,0.0936618,16
LCK,NVP-AUY922,All,ovary,0.217341,0.286181,26
LCK,Lenalidomide,All,ovary,-0.334196,0.035062,40
LCK,GDC0810,All,ovary,0.255304,0.181336,29
LCK,Motesanib,All,ovary,0.22447,0.24174,29
LCK,BRD-K09344309,All,ovary,0.275941,0.339611,14
LCK,GSK690693,All,ovary,0.542216,0.00287644,28
LCK,CCT-018159,All,ovary,0.342132,0.0692693,29
LCK,triptolide,All,ovary,0.384915,0.0098804,44
LCK,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.215846,0.193079,38
LCK,CD-1530,All,ovary,0.241647,0.118493,43
LCK,CD-437,All,ovary,0.468007,0.00155211,43
LCK,GSK343,All,ovary,0.210163,0.273842,29
LCK,JAK1_3715,All,ovary,0.214035,0.283713,27
LCK,tosedostat,All,ovary,0.204535,0.182925,44
LCK,VAF-347,All,ovary,0.24204,0.243746,25
LCK,Luminespib,All,ovary,0.333498,0.0770686,29
LCK,FMK,All,ovary,0.440184,0.0313485,24
LCK,BRD-K55473186,All,ovary,0.385567,0.0427318,28
LCK,TGX-115,All,ovary,-0.289445,0.151512,26
LCK,KIN001-244,All,ovary,0.36568,0.0556643,28
LCK,Remodelin,All,ovary,-0.299835,0.343717,12
LCK,3-Cl-AHPC,All,ovary,0.209459,0.200629,39
LCK,N-oxalyl-D-phenylalanine,All,ovary,-0.389016,0.0495066,26
LCK,A-366,All,ovary,0.392679,0.0576852,24
LCK,Gly-Gly-PALO,All,ovary,-0.299745,0.136832,26
LCK,AZD5363,All,ovary,0.238777,0.21224,29
LCK,P22077,All,ovary,0.377159,0.0437058,29
LCK,abiraterone,All,ovary,0.465788,0.0932311,14
LCK,GSK1070916,All,ovary,0.259595,0.182197,28
LCK,Pelitinib,All,ovary,0.4534,0.0153862,28
LCK,Tozasertib,All,ovary,0.204038,0.297667,28
LCK,667880,All,ovary,0.210493,0.359742,21
LCK,quinoclamine,All,ovary,0.511936,0.00750675,26
LCK,ML150,All,ovary,0.345931,0.105904,23
LCK,PIK-75,All,ovary,0.418888,0.033177,26
LCK,BRD-K49290616,All,ovary,0.284848,0.425038,10
LCK,CBB-1007,All,ovary,0.320487,0.2262,16
LCK,JZL-184,All,ovary,-0.284981,0.15821,26
LCK,WT-161,All,ovary,0.230045,0.25824,26
LCK,BRD4770,All,ovary,0.234657,0.196098,32
LCK,SNX-2112,All,ovary,0.32353,0.0282886,46
LCK,Podophyllotoxin bromide,All,ovary,0.453571,0.0389095,21
LCK,AICA Ribonucleotide,All,ovary,0.203371,0.299282,28
