gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MCM3,BRD-K19103580,All,ovary,-0.399934,0.0128532,38
MCM3,neopeltolide,All,ovary,-0.379832,0.0244108,35
MCM3,PHA-793887,All,ovary,-0.274613,0.078408,42
MCM3,procarbazine,All,ovary,-0.203414,0.220615,38
MCM3,dexamethasone,All,ovary,0.283862,0.0618546,44
MCM3,Mitomycin-C,All,ovary,-0.513043,0.0103538,24
MCM3,losartan,All,ovary,0.318291,0.113039,26
MCM3,PBD-288,All,ovary,-0.413043,0.0448492,24
MCM3,leucascandrolide A,All,ovary,-0.275214,0.173592,26
MCM3,PFI-1,All,ovary,-0.22069,0.249968,29
MCM3,965-D2,All,ovary,-0.329231,0.100518,26
MCM3,Carboplatin,All,ovary,-0.313563,0.0519166,39
MCM3,ML214,All,ovary,0.353571,0.196072,15
MCM3,SNS-032,All,ovary,-0.208752,0.221775,36
MCM3,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.337815,0.0471735,35
MCM3,BDP-00009066,All,ovary,-0.294783,0.162011,24
MCM3,B02,All,ovary,-0.287242,0.0723107,40
MCM3,Pilaralisib,All,ovary,-0.530542,0.00306933,29
MCM3,HC-067047,All,ovary,-0.202976,0.221631,38
MCM3,BRD-K27986637,All,ovary,-0.236364,0.510885,10
MCM3,BRD-K14844214,All,ovary,-0.233205,0.17106,36
MCM3,150412,All,ovary,-0.220779,0.336188,21
MCM3,Serdemetan,All,ovary,-0.321369,0.0294225,46
MCM3,NVP-AUY922,All,ovary,-0.28547,0.157466,26
MCM3,Lenalidomide,All,ovary,0.299812,0.0601699,40
MCM3,HG6-64-1,All,ovary,-0.246087,0.246395,24
MCM3,BRD-K09344309,All,ovary,-0.63956,0.0137796,14
MCM3,BRD4132,All,ovary,-0.225304,0.16788,39
MCM3,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.30897,0.0438026,43
MCM3,skepinone-L,All,ovary,-0.326471,0.217159,16
MCM3,Vinorelbine,All,ovary,-0.250739,0.189537,29
MCM3,CCT-018159,All,ovary,-0.335468,0.0752323,29
MCM3,triptolide,All,ovary,-0.252431,0.0983045,44
MCM3,lonidamine,All,ovary,0.262222,0.19563,26
MCM3,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.624685,2.76498e-05,38
MCM3,CD-437,All,ovary,-0.315313,0.0394385,43
MCM3,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.367983,0.0230238,38
MCM3,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.287231,0.0803746,38
MCM3,PLK_6522,All,ovary,-0.383689,0.0438397,28
MCM3,BAY-HDAC11_1,All,ovary,-0.345641,0.0837169,26
MCM3,tosedostat,All,ovary,-0.305426,0.043789,44
MCM3,Luminespib,All,ovary,-0.4133,0.0258476,29
MCM3,CAY10594,All,ovary,-0.283902,0.0650405,43
MCM3,Savolitinib,All,ovary,-0.328571,0.081812,29
MCM3,NVP-231,All,ovary,-0.647571,8.3515e-06,39
MCM3,birinapant,All,ovary,-0.476923,0.00214274,39
MCM3,TGX-115,All,ovary,0.472137,0.0148788,26
MCM3,KIN001-244,All,ovary,-0.347017,0.0704175,28
MCM3,3-Cl-AHPC,All,ovary,-0.461336,0.00311629,39
MCM3,N-oxalyl-D-phenylalanine,All,ovary,0.305983,0.128458,26
MCM3,prochlorperazine,All,ovary,-0.216802,0.184937,39
MCM3,JW-74,All,ovary,-0.309797,0.108646,28
MCM3,FTI-277,All,ovary,-0.327826,0.117852,24
MCM3,Gly-Gly-PALO,All,ovary,0.22188,0.275986,26
MCM3,"Brivanib, BMS-540215",All,ovary,-0.294581,0.120844,29
MCM3,BRD-K70511574,All,ovary,-0.467206,0.00271179,39
MCM3,FQI-2,All,ovary,-0.37108,0.0169141,41
MCM3,abiraterone,All,ovary,-0.274725,0.34183,14
MCM3,GSK1070916,All,ovary,-0.39792,0.0359861,28
MCM3,Voxtalisib,All,ovary,-0.380788,0.041559,29
MCM3,Pelitinib,All,ovary,-0.250684,0.198206,28
MCM3,BRD6368,All,ovary,-0.245812,0.226112,26
MCM3,667880,All,ovary,-0.528571,0.0137632,21
MCM3,AT-406,All,ovary,-0.214896,0.281733,27
MCM3,quinoclamine,All,ovary,-0.493333,0.0104375,26
MCM3,BRD9658,All,ovary,-0.317293,0.172837,20
MCM3,Compound 12,All,ovary,0.417436,0.0338551,26
MCM3,BRD-K49290616,All,ovary,-0.272727,0.445838,10
MCM3,FGIN-1-27,All,ovary,-0.308284,0.0860468,32
MCM3,JZL-184,All,ovary,0.361368,0.0697003,26
MCM3,BRD4770,All,ovary,-0.52456,0.0020558,32
MCM3,SNX-2112,All,ovary,-0.498859,0.000417466,46
MCM3,Podophyllotoxin bromide,All,ovary,-0.472727,0.0304552,21
MCM3,Fludarabine,All,ovary,-0.476623,0.0289283,21
MCM3,PF-3758309,All,ovary,-0.305882,0.249254,16
MCM3,Axitinib,All,ovary,-0.420468,0.00556246,42
MCM3,Dihydrorotenone,All,ovary,-0.415584,0.0609854,21
MCM3,Amuvatinib,All,ovary,-0.403941,0.0330234,28
MCM3,alvocidib,All,ovary,-0.220588,0.411666,16
MCM3,narciclasine,All,ovary,-0.230915,0.169113,37
MCM3,LY-2157299,All,ovary,0.357576,0.310376,10
MCM3,sparfosic acid,All,ovary,0.421538,0.0319672,26
MCM3,Shikonin,All,ovary,-0.286087,0.17534,24
MCM3,BRD2572,All,ovary,0.300752,0.19758,20
MCM3,kb NB 142-70,All,ovary,-0.591133,0.00073343,29
MCM3,ML030,All,ovary,-0.452995,0.00201677,44
MCM3,AZD-7545,All,ovary,-0.224524,0.142858,44
MCM3,KW-2449,All,ovary,-0.475101,0.00224065,39
MCM3,silmitasertib,All,ovary,-0.203888,0.226125,37
MCM3,tipifarnib-P1,All,ovary,-0.302185,0.0461914,44
MCM3,BRD0713,All,ovary,-0.234586,0.319476,20
MCM3,JW-7-24-1,All,ovary,-0.223864,0.252135,28
MCM3,KX2-391,All,ovary,-0.521053,0.000671301,39
MCM3,semagacestat,All,ovary,-0.224204,0.175986,38
MCM3,Cetuximab,All,ovary,0.406593,0.0353219,27
MCM3,OF-1,All,ovary,-0.252174,0.234528,24
MCM3,EHT-1864,All,ovary,-0.216749,0.25874,29
MCM3,Vinblastine,All,ovary,-0.269841,0.164929,28
MCM3,chlorambucil,All,ovary,-0.33502,0.0370872,39
MCM3,methylstat,All,ovary,-0.308374,0.103622,29
MCM3,XMD13-2,All,ovary,-0.356869,0.062294,28
