gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MGAT4A,EPZ004777,All,ovary,-0.282759,0.137214,29
MGAT4A,neopeltolide,All,ovary,0.302241,0.0776182,35
MGAT4A,N27922-53-1,All,ovary,0.213043,0.317545,24
MGAT4A,SZ4TA2,All,ovary,0.6,0.0180501,15
MGAT4A,dexamethasone,All,ovary,0.200705,0.191438,44
MGAT4A,Zibotentan,All,ovary,-0.215654,0.270401,28
MGAT4A,losartan,All,ovary,0.206154,0.312308,26
MGAT4A,PBD-288,All,ovary,0.462609,0.022833,24
MGAT4A,leucascandrolide A,All,ovary,0.20547,0.313951,26
MGAT4A,BRD8097,All,ovary,-0.21203,0.369486,20
MGAT4A,965-D2,All,ovary,0.200684,0.325601,26
MGAT4A,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.236134,0.172046,35
MGAT4A,BDP-00009066,All,ovary,0.441739,0.0306865,24
MGAT4A,BRD-K03536150,All,ovary,0.284604,0.0833037,38
MGAT4A,NVP-AUY922,All,ovary,0.250598,0.216912,26
MGAT4A,HG6-64-1,All,ovary,0.347826,0.0958132,24
MGAT4A,Motesanib,All,ovary,-0.230049,0.229928,29
MGAT4A,SB-525334,All,ovary,0.229675,0.165399,38
MGAT4A,CHEMBL1222381,All,ovary,0.208396,0.179902,43
MGAT4A,skepinone-L,All,ovary,0.444118,0.0848227,16
MGAT4A,CCT-018159,All,ovary,0.426601,0.0210106,29
MGAT4A,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.290294,0.0770592,38
MGAT4A,CD-1530,All,ovary,0.204168,0.189099,43
MGAT4A,niclosamide,All,ovary,0.272349,0.0980811,38
MGAT4A,PLK_6522,All,ovary,0.313629,0.104118,28
MGAT4A,Panobinostat,All,ovary,0.228011,0.187713,35
MGAT4A,FMK,All,ovary,-0.253043,0.232864,24
MGAT4A,Savolitinib,All,ovary,0.300985,0.112603,29
MGAT4A,avrainvillamide,All,ovary,0.245938,0.154409,35
MGAT4A,3-Cl-AHPC,All,ovary,0.381984,0.0164102,39
MGAT4A,prochlorperazine,All,ovary,-0.201012,0.219804,39
MGAT4A,776928,All,ovary,0.32987,0.144198,21
MGAT4A,JW-74,All,ovary,-0.300493,0.120251,28
MGAT4A,necrosulfonamide,All,ovary,0.284786,0.158507,26
MGAT4A,pyrvinium pamoate,All,ovary,0.264662,0.259469,20
MGAT4A,FTI-277,All,ovary,0.342609,0.10124,24
MGAT4A,AZD5363,All,ovary,0.213793,0.265449,29
MGAT4A,MK-591,All,ovary,0.425641,0.0301647,26
MGAT4A,GSK-LSD1,All,ovary,-0.203896,0.375337,21
MGAT4A,STF-62247,All,ovary,0.200244,0.316607,27
MGAT4A,DC-45-A2,All,ovary,0.311453,0.121427,26
MGAT4A,BRD6368,All,ovary,0.202051,0.322246,26
MGAT4A,Daporinad,All,ovary,0.375023,0.0102283,46
MGAT4A,CBB-1007,All,ovary,0.241176,0.368207,16
MGAT4A,KU 0060648,All,ovary,-0.241839,0.132726,40
MGAT4A,bardoxolone methyl,All,ovary,0.20592,0.228249,36
MGAT4A,AZD8835,All,ovary,-0.211823,0.27921,28
