gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MRPL24,neopeltolide,All,ovary,-0.298599,0.0814418,35
MRPL24,Ulixertinib,All,ovary,-0.331034,0.0794135,29
MRPL24,N27922-53-1,All,ovary,0.342609,0.10124,24
MRPL24,IPR-456,All,ovary,-0.257287,0.113825,39
MRPL24,SZ4TA2,All,ovary,-0.260714,0.347979,15
MRPL24,BRD-K55116708,All,ovary,-0.234234,0.162899,37
MRPL24,Mitomycin-C,All,ovary,-0.350435,0.0931822,24
MRPL24,tacedinaline,All,ovary,0.255063,0.190222,28
MRPL24,leucascandrolide A,All,ovary,-0.224615,0.269957,26
MRPL24,BRD8097,All,ovary,0.389474,0.089619,20
MRPL24,965-D2,All,ovary,-0.447521,0.0218809,26
MRPL24,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.261905,0.128549,35
MRPL24,Pilaralisib,All,ovary,-0.461084,0.0118215,29
MRPL24,BRD-K27986637,All,ovary,-0.660606,0.0375884,10
MRPL24,BRD-K14844214,All,ovary,-0.206435,0.227062,36
MRPL24,150412,All,ovary,-0.244156,0.286153,21
MRPL24,BRD-K03536150,All,ovary,-0.499289,0.00141702,38
MRPL24,Lenalidomide,All,ovary,0.465854,0.00244996,40
MRPL24,BRD4132,All,ovary,-0.255263,0.116797,39
MRPL24,skepinone-L,All,ovary,-0.438235,0.08953,16
MRPL24,CCT-018159,All,ovary,0.203941,0.288622,29
MRPL24,triptolide,All,ovary,-0.21649,0.158098,44
MRPL24,lonidamine,All,ovary,0.323077,0.107427,26
MRPL24,CD-1530,All,ovary,-0.288584,0.0605518,43
MRPL24,CD-437,All,ovary,-0.214135,0.16794,43
MRPL24,niclosamide,All,ovary,-0.287012,0.0806156,38
MRPL24,BAY-HDAC11_1,All,ovary,-0.246496,0.224782,26
MRPL24,VAF-347,All,ovary,-0.210769,0.311867,25
MRPL24,XMD11-85h,All,ovary,0.352941,0.164658,17
MRPL24,FMK,All,ovary,-0.244348,0.249856,24
MRPL24,CAY10594,All,ovary,-0.231501,0.135255,43
MRPL24,TGX-115,All,ovary,0.375726,0.0585456,26
MRPL24,Tubastatin A,All,ovary,0.250988,0.0963044,45
MRPL24,3-Cl-AHPC,All,ovary,-0.201619,0.218385,39
MRPL24,N-oxalyl-D-phenylalanine,All,ovary,0.422222,0.0316609,26
MRPL24,barasertib,All,ovary,0.239085,0.148276,38
MRPL24,BRD-K70511574,All,ovary,-0.298381,0.0650317,39
MRPL24,abiraterone,All,ovary,-0.402198,0.153974,14
MRPL24,Voxtalisib,All,ovary,-0.217241,0.257632,29
MRPL24,BRD-M00053801,All,ovary,-0.25468,0.182442,29
MRPL24,667880,All,ovary,-0.371429,0.0973584,21
MRPL24,Compound 12,All,ovary,0.294359,0.144375,26
MRPL24,CHIR-99021,All,ovary,-0.298097,0.0493718,44
MRPL24,BRD-K49290616,All,ovary,-0.393939,0.259998,10
MRPL24,bardoxolone methyl,All,ovary,-0.20592,0.228249,36
MRPL24,BRD4770,All,ovary,-0.260997,0.149069,32
MRPL24,Podophyllotoxin bromide,All,ovary,-0.211688,0.356958,21
MRPL24,Fludarabine,All,ovary,-0.415584,0.0609854,21
MRPL24,PF-3758309,All,ovary,-0.291176,0.273887,16
MRPL24,Amuvatinib,All,ovary,-0.451013,0.0160041,28
MRPL24,LY-2157299,All,ovary,0.369697,0.29305,10
MRPL24,sparfosic acid,All,ovary,0.304615,0.130261,26
MRPL24,BRD2572,All,ovary,0.228571,0.332397,20
MRPL24,kb NB 142-70,All,ovary,-0.274384,0.149748,29
MRPL24,ML030,All,ovary,-0.203946,0.184215,44
MRPL24,UNC1215,All,ovary,-0.214012,0.274154,28
MRPL24,AZD6094,All,ovary,0.351648,0.0720658,27
MRPL24,cimetidine,All,ovary,-0.709091,0.0216659,10
MRPL24,tipifarnib-P1,All,ovary,-0.396054,0.00778416,44
MRPL24,NPC-26,All,ovary,-0.272233,0.0892404,40
MRPL24,KX2-391,All,ovary,-0.273887,0.0915637,39
MRPL24,Cetuximab,All,ovary,0.209402,0.294512,27
MRPL24,EHT-1864,All,ovary,-0.455665,0.0129888,29
MRPL24,GSK3337463A,All,ovary,-0.323377,0.152742,21
MRPL24,BRD-K90370028,All,ovary,-0.335294,0.204255,16
MRPL24,Veliparib,All,ovary,0.221001,0.149402,44
MRPL24,SCH772984,All,ovary,-0.376847,0.043894,29
MRPL24,"1S,3R-RSL-3",All,ovary,-0.2,0.209939,41
MRPL24,minoxidil,All,ovary,-0.282143,0.308284,15
MRPL24,Torin 2,All,ovary,-0.414778,0.025269,29
MRPL24,PT-630,All,ovary,0.275897,0.172482,26
MRPL24,nimodipine,All,ovary,-0.210714,0.450958,15
MRPL24,Bax channel blocker,All,ovary,-0.20444,0.194044,42
MRPL24,Compound 7d-cis,All,ovary,-0.21384,0.173891,42
MRPL24,QS11,All,ovary,-0.205466,0.209543,39
MRPL24,m-3M3-FBS,All,ovary,0.219829,0.280564,26
MRPL24,XMD15-27,All,ovary,-0.340449,0.0762716,28
MRPL24,FY026,All,ovary,-0.224664,0.2599,27
MRPL24,BRD-K11533227,All,ovary,0.338786,0.0402547,37
MRPL24,Platin,All,ovary,-0.353644,0.0272049,39
MRPL24,dalcetrapib,All,ovary,0.255385,0.207968,26
MRPL24,Flutamide,All,ovary,0.217391,0.319049,23
MRPL24,WYE-125132,All,ovary,-0.5,0.00574571,29
MRPL24,SCH-79797,All,ovary,-0.305285,0.0438913,44
MRPL24,GSK2636771,All,ovary,-0.381773,0.040991,29
MRPL24,FR-180204,All,ovary,0.304324,0.115367,28
MRPL24,nakiterpiosin,All,ovary,-0.287385,0.0585524,44
MRPL24,BRD-K48477130,All,ovary,-0.585294,0.0172253,16
MRPL24,GSK269962A,All,ovary,-0.235961,0.217843,29
MRPL24,ML160,All,ovary,0.317194,0.140275,23
MRPL24,N25720-51-A1,All,ovary,-0.226957,0.2862,24
MRPL24,Embelin,All,ovary,-0.38087,0.0663318,24
MRPL24,cytarabine hydrochloride,All,ovary,-0.23821,0.149812,38
MRPL24,Bleomycin,All,ovary,-0.259463,0.191237,27
MRPL24,sotrastaurin,All,ovary,-0.263054,0.167987,29
MRPL24,fumagillol,All,ovary,0.233504,0.250951,26
MRPL24,Sinularin,All,ovary,-0.254545,0.265488,21
MRPL24,mitomycin,All,ovary,-0.216757,0.167953,42
MRPL24,Compound 11e,All,ovary,-0.235714,0.397703,15
MRPL24,4-methylfasudil,All,ovary,0.233504,0.250951,26
MRPL24,parbendazole,All,ovary,-0.211416,0.168316,44
MRPL24,vorinostat:carboplatin (1:1 mol-mol),All,ovary,0.221578,0.181236,38
MRPL24,ZD-6474,All,ovary,-0.205195,0.372237,21
MRPL24,brivanib,All,ovary,-0.236235,0.147653,39
MRPL24,BRD-K85133207,All,ovary,0.201417,0.218857,39
MRPL24,AGI-6780,All,ovary,-0.450739,0.0141319,29
MRPL24,BRD-K71935468,All,ovary,-0.260313,0.114469,38
MRPL24,Enzastaurin,All,ovary,-0.238643,0.221341,28
MRPL24,Doxorubicin,All,ovary,-0.232558,0.133431,43
MRPL24,SMER-3,All,ovary,-0.303218,0.0722266,36
MRPL24,PF-04217903,All,ovary,0.284585,0.188133,23
MRPL24,VE821,All,ovary,-0.308867,0.103042,29
MRPL24,pyrazolanthrone,All,ovary,-0.226721,0.165151,39
MRPL24,BRD-K58730230,All,ovary,-0.248485,0.488776,10
MRPL24,BDF00022089a,All,ovary,-0.332468,0.140877,21
MRPL24,968,All,ovary,0.369697,0.29305,10
MRPL24,BRD-K44224150,All,ovary,-0.418182,0.229113,10
MRPL24,4-IPP,All,ovary,0.334017,0.0953779,26
