gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MSH2,BRD-K19103580,All,ovary,-0.232958,0.159271,38
MSH2,N27922-53-1,All,ovary,0.212174,0.319571,24
MSH2,dexamethasone,All,ovary,0.253418,0.0969527,44
MSH2,Mitomycin-C,All,ovary,-0.351304,0.0923173,24
MSH2,PFI-1,All,ovary,-0.226108,0.23823,29
MSH2,BRD8097,All,ovary,-0.237594,0.313131,20
MSH2,IAP_7638,All,ovary,-0.308303,0.117683,27
MSH2,KU-55933,All,ovary,-0.226669,0.143832,43
MSH2,BDP-00009066,All,ovary,-0.312174,0.137518,24
MSH2,Pilaralisib,All,ovary,-0.406404,0.0286921,29
MSH2,HC-067047,All,ovary,-0.252435,0.126261,38
MSH2,BRD-K27986637,All,ovary,0.539394,0.107593,10
MSH2,BRD-K14844214,All,ovary,-0.208752,0.221775,36
MSH2,NVP-AUY922,All,ovary,-0.243761,0.230133,26
MSH2,BPTES,All,ovary,-0.314724,0.10285,28
MSH2,BRD-K09344309,All,ovary,-0.736264,0.00267645,14
MSH2,SB-525334,All,ovary,0.237335,0.151359,38
MSH2,GSK690693,All,ovary,0.279693,0.14945,28
MSH2,Vinorelbine,All,ovary,-0.309852,0.101892,29
MSH2,GSK343,All,ovary,0.215271,0.26208,29
MSH2,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.270817,0.100061,38
MSH2,PLK_6522,All,ovary,-0.314176,0.103483,28
MSH2,JAK1_3715,All,ovary,0.28083,0.15592,27
MSH2,BAY-HDAC11_1,All,ovary,-0.421538,0.0319672,26
MSH2,VAF-347,All,ovary,0.430769,0.0315796,25
MSH2,XMD11-85h,All,ovary,-0.39951,0.112118,17
MSH2,NVP-231,All,ovary,-0.381781,0.0164721,39
MSH2,birinapant,All,ovary,-0.319231,0.047602,39
MSH2,TGX-115,All,ovary,0.474872,0.0142306,26
MSH2,prochlorperazine,All,ovary,-0.314777,0.0509666,39
MSH2,776928,All,ovary,-0.209091,0.363026,21
MSH2,barasertib,All,ovary,-0.203414,0.220615,38
MSH2,A-366,All,ovary,0.341739,0.102167,24
MSH2,"Brivanib, BMS-540215",All,ovary,-0.369951,0.0482306,29
MSH2,GSK1070916,All,ovary,-0.448276,0.0167375,28
MSH2,Voxtalisib,All,ovary,-0.571921,0.00118965,29
MSH2,BRD6368,All,ovary,-0.245812,0.226112,26
MSH2,Tozasertib,All,ovary,-0.254516,0.191207,28
MSH2,667880,All,ovary,-0.367532,0.101199,21
MSH2,BRD2762,All,ovary,-0.243609,0.300668,20
MSH2,quinoclamine,All,ovary,-0.273846,0.175826,26
MSH2,BRD-K49290616,All,ovary,0.381818,0.276255,10
MSH2,CBB-1007,All,ovary,0.282353,0.28935,16
MSH2,JZL-184,All,ovary,0.273846,0.175826,26
MSH2,WT-161,All,ovary,-0.261538,0.196841,26
MSH2,BRD4770,All,ovary,-0.237903,0.189804,32
MSH2,AICA Ribonucleotide,All,ovary,0.295566,0.126752,28
MSH2,PF-3758309,All,ovary,-0.320588,0.226045,16
MSH2,Amuvatinib,All,ovary,-0.223864,0.252135,28
MSH2,BRD-K79669418,All,ovary,-0.381739,0.0656632,24
MSH2,LY-2157299,All,ovary,-0.454545,0.186905,10
MSH2,Ipatasertib,All,ovary,0.262069,0.169644,29
MSH2,BRD2572,All,ovary,0.22406,0.342286,20
