gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
NEDD9,BRD-K19103580,All,ovary,0.277316,0.0918683,38
NEDD9,neopeltolide,All,ovary,0.251156,0.145574,35
NEDD9,Ulixertinib,All,ovary,0.243133,0.203767,29
NEDD9,PHA-793887,All,ovary,0.273346,0.0798503,42
NEDD9,SZ4TA2,All,ovary,0.321429,0.242719,15
NEDD9,BRD-K55116708,All,ovary,0.275028,0.0994643,37
NEDD9,Mitomycin-C,All,ovary,0.307826,0.143375,24
NEDD9,tacedinaline,All,ovary,0.344601,0.072529,28
NEDD9,losartan,All,ovary,0.211085,0.300617,26
NEDD9,PBD-288,All,ovary,0.50087,0.0126653,24
NEDD9,PFI-1,All,ovary,0.314324,0.0967885,29
NEDD9,965-D2,All,ovary,0.454095,0.0197913,26
NEDD9,IAP_7638,All,ovary,-0.294306,0.136191,27
NEDD9,"2,4-dideoxy-DC-45-A2",All,ovary,0.247349,0.22313,26
NEDD9,ML214,All,ovary,0.419358,0.119705,15
NEDD9,BRD-K34222889,All,ovary,0.489924,0.0015466,39
NEDD9,SNS-032,All,ovary,0.208548,0.222236,36
NEDD9,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.430554,0.00982702,35
NEDD9,BDP-00009066,All,ovary,0.331304,0.113775,24
NEDD9,B02,All,ovary,0.201126,0.21333,40
NEDD9,HC-067047,All,ovary,0.209656,0.20647,38
NEDD9,cerulenin,All,ovary,0.229851,0.138139,43
NEDD9,BRD-K27986637,All,ovary,0.357576,0.310376,10
NEDD9,BRD-K03536150,All,ovary,0.420079,0.00864563,38
NEDD9,NVP-AUY922,All,ovary,0.259665,0.200184,26
NEDD9,Lenalidomide,All,ovary,-0.228373,0.156376,40
NEDD9,GDC0810,All,ovary,-0.284518,0.134681,29
NEDD9,BRD-K33199242,All,ovary,-0.227848,0.163003,39
NEDD9,SB-525334,All,ovary,0.494745,0.00159076,38
NEDD9,BRD4132,All,ovary,0.271899,0.0940373,39
NEDD9,CHEMBL1222381,All,ovary,0.286804,0.0622279,43
NEDD9,skepinone-L,All,ovary,0.361765,0.168559,16
NEDD9,OSW-1,All,ovary,0.226138,0.266639,26
NEDD9,PDMP,All,ovary,0.203736,0.184677,44
NEDD9,CCT-018159,All,ovary,0.295357,0.119823,29
NEDD9,lonidamine,All,ovary,0.217927,0.284852,26
NEDD9,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.550909,0.000338085,38
NEDD9,CD-1530,All,ovary,0.290203,0.0590576,43
NEDD9,CD-437,All,ovary,0.484176,0.00100272,43
NEDD9,niclosamide,All,ovary,0.344205,0.0343378,38
NEDD9,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.425334,0.00776563,38
NEDD9,PLK_6522,All,ovary,0.312577,0.105347,28
NEDD9,JAK1_3715,All,ovary,0.316288,0.107992,27
NEDD9,FMK,All,ovary,-0.270435,0.201213,24
NEDD9,Quizartinib,All,ovary,0.247973,0.113331,42
NEDD9,avrainvillamide,All,ovary,0.386103,0.0219691,35
NEDD9,KIN001-244,All,ovary,0.206925,0.290735,28
NEDD9,Tubastatin A,All,ovary,-0.200329,0.187017,45
NEDD9,3-Cl-AHPC,All,ovary,0.590785,7.50887e-05,39
NEDD9,necrosulfonamide,All,ovary,0.674307,0.000158461,26
NEDD9,FTI-277,All,ovary,0.295652,0.160718,24
NEDD9,A-366,All,ovary,-0.44087,0.0310554,24
NEDD9,BRD-K70511574,All,ovary,0.350785,0.0285622,39
NEDD9,AZD5363,All,ovary,0.228107,0.233996,29
NEDD9,MK-591,All,ovary,0.262402,0.195313,26
NEDD9,P22077,All,ovary,0.222934,0.245061,29
NEDD9,STF-62247,All,ovary,0.279041,0.158684,27
NEDD9,abiraterone,All,ovary,0.413642,0.141504,14
NEDD9,CIL55A,All,ovary,0.224771,0.201238,34
NEDD9,Daporinad,All,ovary,0.284269,0.0555367,46
NEDD9,Compound 12,All,ovary,-0.258296,0.202651,26
NEDD9,ML150,All,ovary,0.214639,0.325364,23
NEDD9,PIK-75,All,ovary,0.245296,0.227119,26
NEDD9,CBB-1007,All,ovary,-0.229412,0.39272,16
NEDD9,bardoxolone methyl,All,ovary,0.41378,0.01212,36
NEDD9,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,0.223899,0.170617,39
NEDD9,WT-161,All,ovary,-0.440301,0.0243796,26
NEDD9,Podophyllotoxin bromide,All,ovary,0.344917,0.125705,21
NEDD9,Fludarabine,All,ovary,0.415719,0.060893,21
NEDD9,PF-3758309,All,ovary,0.314706,0.235158,16
NEDD9,Amuvatinib,All,ovary,0.2176,0.265998,28
NEDD9,BRD-K45681478,All,ovary,0.228861,0.16109,39
NEDD9,Idelalisib,All,ovary,0.246352,0.115786,42
NEDD9,LY-2157299,All,ovary,-0.309091,0.384841,10
NEDD9,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.289823,0.0735041,39
NEDD9,SB216763,All,ovary,-0.323932,0.0864805,29
NEDD9,kb NB 142-70,All,ovary,0.221702,0.247746,29
NEDD9,ML030,All,ovary,0.221713,0.148062,44
NEDD9,AZD-7545,All,ovary,0.281001,0.0646435,44
NEDD9,AZD6094,All,ovary,-0.289421,0.143121,27
NEDD9,cimetidine,All,ovary,-0.381818,0.276255,10
NEDD9,"eEF2K Inhibitor, A-484954",All,ovary,-0.23599,0.217785,29
NEDD9,tipifarnib-P1,All,ovary,0.336271,0.0256288,44
NEDD9,NPC-26,All,ovary,0.453368,0.00330385,40
NEDD9,pandacostat,All,ovary,0.218532,0.18137,39
NEDD9,JW-7-24-1,All,ovary,0.36595,0.0554702,28
NEDD9,KX2-391,All,ovary,0.326582,0.0424414,39
NEDD9,Picolinici-acid,All,ovary,-0.373994,0.0718034,24
NEDD9,OF-1,All,ovary,0.270494,0.201111,24
NEDD9,GSK3337463A,All,ovary,-0.497564,0.0217265,21
NEDD9,BRD-K90370028,All,ovary,-0.338235,0.200066,16
NEDD9,Vinblastine,All,ovary,0.537567,0.0031763,28
NEDD9,chlorambucil,All,ovary,0.452557,0.00381942,39
NEDD9,SCH772984,All,ovary,0.30053,0.113175,29
NEDD9,HBX-41108,All,ovary,0.437161,0.0177231,29
NEDD9,KHS101,All,ovary,0.475389,0.0029442,37
NEDD9,BRD-K88742110,All,ovary,0.280819,0.0876709,38
NEDD9,AR-42,All,ovary,0.317203,0.10692,27
NEDD9,Belinostat,All,ovary,0.295563,0.100515,32
NEDD9,Bax channel blocker,All,ovary,0.243434,0.120305,42
NEDD9,NG-25,All,ovary,0.240318,0.218019,28
NEDD9,StemRegenin 1,All,ovary,0.221165,0.176036,39
NEDD9,Capivasertib,All,ovary,0.525797,0.00405769,28
NEDD9,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.259361,0.115848,38
NEDD9,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.356152,0.0260584,39
NEDD9,importazole,All,ovary,0.277063,0.0877153,39
