gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PARP1,EPZ004777,All,ovary,-0.406208,0.0287767,29
PARP1,neopeltolide,All,ovary,-0.218487,0.207328,35
PARP1,PHA-793887,All,ovary,-0.283862,0.0684858,42
PARP1,Mitomycin-C,All,ovary,-0.687541,0.000205417,24
PARP1,PBD-288,All,ovary,-0.509676,0.0109552,24
PARP1,Wnt-C59,All,ovary,0.218746,0.254269,29
PARP1,965-D2,All,ovary,-0.349803,0.0798153,26
PARP1,Carboplatin,All,ovary,-0.348095,0.02989,39
PARP1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.224615,0.269957,26
PARP1,ML214,All,ovary,0.310714,0.259667,15
PARP1,SNS-032,All,ovary,-0.250853,0.140021,36
PARP1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.312627,0.0674757,35
PARP1,BDP-00009066,All,ovary,-0.38965,0.0598151,24
PARP1,Pilaralisib,All,ovary,-0.402266,0.0305173,29
PARP1,HC-067047,All,ovary,-0.245226,0.137824,38
PARP1,cerulenin,All,ovary,-0.259589,0.092756,43
PARP1,BRD-K14844214,All,ovary,-0.236309,0.165272,36
PARP1,150412,All,ovary,-0.275325,0.227064,21
PARP1,Serdemetan,All,ovary,-0.211971,0.157298,46
PARP1,BCL-LZH-4,All,ovary,-0.388235,0.137282,16
PARP1,BRD-K03536150,All,ovary,-0.249384,0.131062,38
PARP1,NVP-AUY922,All,ovary,-0.318291,0.113039,26
PARP1,Lenalidomide,All,ovary,0.296168,0.0635096,40
PARP1,HG6-64-1,All,ovary,-0.245706,0.247151,24
PARP1,BRD-K09344309,All,ovary,-0.29483,0.306176,14
PARP1,Vinorelbine,All,ovary,-0.420002,0.0233079,29
PARP1,CCT-018159,All,ovary,-0.381328,0.0412472,29
PARP1,lonidamine,All,ovary,0.347009,0.0824194,26
PARP1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.423569,0.00805214,38
PARP1,CD-437,All,ovary,-0.207271,0.182317,43
PARP1,niclosamide,All,ovary,-0.301144,0.0661698,38
PARP1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.40499,0.0116611,38
