gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PIK3AP1,NSC-87877,All,ovary,-0.336522,0.107856,24
PIK3AP1,UNC0321,All,ovary,0.20592,0.202392,40
PIK3AP1,Mitomycin-C,All,ovary,0.428696,0.0366,24
PIK3AP1,myricetin,All,ovary,0.263981,0.104402,39
PIK3AP1,losartan,All,ovary,-0.291674,0.148244,26
PIK3AP1,PFI-1,All,ovary,0.274877,0.148988,29
PIK3AP1,965-D2,All,ovary,0.35453,0.0755543,26
PIK3AP1,Carboplatin,All,ovary,0.241814,0.138046,39
PIK3AP1,BRD-K52037352,All,ovary,-0.23335,0.177308,35
PIK3AP1,SNS-032,All,ovary,0.257803,0.12901,36
PIK3AP1,150412,All,ovary,0.294805,0.194527,21
PIK3AP1,NVP-AUY922,All,ovary,-0.250641,0.216831,26
PIK3AP1,Lenalidomide,All,ovary,-0.220554,0.171442,40
PIK3AP1,GSK690693,All,ovary,0.380405,0.0458323,28
PIK3AP1,skepinone-L,All,ovary,-0.241176,0.368207,16
PIK3AP1,CCT-018159,All,ovary,0.270936,0.155141,29
PIK3AP1,niclosamide,All,ovary,0.24643,0.135841,38
PIK3AP1,FMK,All,ovary,0.30087,0.153114,24
PIK3AP1,BRD-K55473186,All,ovary,0.379636,0.0463091,28
PIK3AP1,KIN001-244,All,ovary,0.303229,0.116747,28
PIK3AP1,N-oxalyl-D-phenylalanine,All,ovary,-0.226363,0.266148,26
PIK3AP1,JW-74,All,ovary,0.299439,0.121621,28
PIK3AP1,necrosulfonamide,All,ovary,0.206189,0.312224,26
PIK3AP1,barasertib,All,ovary,-0.244789,0.13855,38
PIK3AP1,FTI-277,All,ovary,0.382609,0.0649997,24
PIK3AP1,AZD5363,All,ovary,0.259113,0.174685,29
PIK3AP1,MK-591,All,ovary,-0.24859,0.220742,26
PIK3AP1,P22077,All,ovary,0.210837,0.27227,29
PIK3AP1,abiraterone,All,ovary,0.503297,0.0665604,14
PIK3AP1,GSK1070916,All,ovary,0.3815,0.0451603,28
