gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PREP,BRD-K19103580,All,ovary,-0.228143,0.168316,38
PREP,neopeltolide,All,ovary,-0.228571,0.186601,35
PREP,PHA-793887,All,ovary,-0.269751,0.0840568,42
PREP,Mitomycin-C,All,ovary,-0.253913,0.231207,24
PREP,tacedinaline,All,ovary,-0.412698,0.0290677,28
PREP,myricetin,All,ovary,-0.215789,0.187047,39
PREP,965-D2,All,ovary,-0.202051,0.322246,26
PREP,"2,4-dideoxy-DC-45-A2",All,ovary,-0.264957,0.190839,26
PREP,BRD-K34222889,All,ovary,-0.241498,0.138578,39
PREP,SNS-032,All,ovary,-0.301158,0.0742814,36
PREP,BDP-00009066,All,ovary,-0.3,0.154363,24
PREP,cerulenin,All,ovary,-0.232256,0.13395,43
PREP,BRD-K27986637,All,ovary,-0.248485,0.488776,10
PREP,150412,All,ovary,-0.254545,0.265488,21
PREP,BRD-K03536150,All,ovary,-0.223547,0.177288,38
PREP,NVP-AUY922,All,ovary,-0.444103,0.0230367,26
PREP,HG6-64-1,All,ovary,-0.413043,0.0448492,24
PREP,Motesanib,All,ovary,0.241379,0.20715,29
PREP,BPTES,All,ovary,-0.229338,0.240419,28
PREP,BRD-K09344309,All,ovary,-0.331868,0.246377,14
PREP,SB-525334,All,ovary,-0.25134,0.127968,38
PREP,CHEMBL1222381,All,ovary,-0.241619,0.118538,43
PREP,GMX-1778,All,ovary,-0.215645,0.159769,44
PREP,skepinone-L,All,ovary,-0.220588,0.411666,16
PREP,Vinorelbine,All,ovary,-0.430542,0.0197297,29
PREP,CCT-018159,All,ovary,-0.270443,0.155922,29
PREP,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.364482,0.0244629,38
PREP,niclosamide,All,ovary,-0.254404,0.123232,38
PREP,GSK343,All,ovary,0.239409,0.210996,29
PREP,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.579604,0.000137104,38
PREP,PLK_6522,All,ovary,-0.385879,0.04255,28
PREP,BAY-HDAC11_1,All,ovary,-0.241709,0.234201,26
PREP,Panobinostat,All,ovary,-0.42381,0.0111782,35
PREP,Luminespib,All,ovary,-0.353695,0.059798,29
PREP,FMK,All,ovary,0.284348,0.178095,24
PREP,Savolitinib,All,ovary,-0.359113,0.0557235,29
PREP,NVP-231,All,ovary,-0.301215,0.0624029,39
PREP,Remodelin,All,ovary,-0.412587,0.182564,12
PREP,3-Cl-AHPC,All,ovary,-0.2917,0.0715749,39
PREP,776928,All,ovary,-0.324675,0.151006,21
PREP,necrosulfonamide,All,ovary,-0.223248,0.272961,26
PREP,FTI-277,All,ovary,-0.466957,0.0214219,24
PREP,A-366,All,ovary,0.286087,0.17534,24
