gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
S100A12,UNC0321,All,ovary,-0.211893,0.18932,40
S100A12,N27922-53-1,All,ovary,0.281366,0.182887,24
S100A12,SZ4TA2,All,ovary,0.513129,0.0504444,15
S100A12,Mitomycin-C,All,ovary,0.344901,0.0988289,24
S100A12,NSC 74859,All,ovary,-0.248959,0.107422,43
S100A12,myricetin,All,ovary,-0.253053,0.120108,39
S100A12,etomoxir,All,ovary,-0.323382,0.0344067,43
S100A12,PBD-288,All,ovary,0.35549,0.0882378,24
S100A12,PFI-1,All,ovary,0.224261,0.242191,29
S100A12,965-D2,All,ovary,0.35107,0.0786558,26
S100A12,IAP_7638,All,ovary,-0.273549,0.167388,27
S100A12,"2,4-dideoxy-DC-45-A2",All,ovary,0.206949,0.310403,26
S100A12,SNS-032,All,ovary,-0.312028,0.0639317,36
S100A12,MCT1_6447,All,ovary,-0.292676,0.130685,28
S100A12,BRD-K27986637,All,ovary,-0.365377,0.299165,10
S100A12,BCL-LZH-4,All,ovary,0.345161,0.190422,16
S100A12,NVP-AUY922,All,ovary,0.256951,0.205097,26
S100A12,GDC0810,All,ovary,-0.310515,0.101123,29
S100A12,HG6-64-1,All,ovary,0.252625,0.233664,24
S100A12,BRD-K33199242,All,ovary,-0.301085,0.0625213,39
S100A12,skepinone-L,All,ovary,0.677379,0.00394089,16
S100A12,CCT-018159,All,ovary,0.400876,0.0311511,29
S100A12,lonidamine,All,ovary,-0.335193,0.0941455,26
S100A12,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.227005,0.170507,38
S100A12,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.264064,0.109155,38
S100A12,PLK_6522,All,ovary,0.238277,0.222071,28
S100A12,BAY-HDAC11_1,All,ovary,0.202478,0.321205,26
S100A12,VAF-347,All,ovary,0.245891,0.236092,25
S100A12,Panobinostat,All,ovary,0.302596,0.0772525,35
S100A12,FMK,All,ovary,-0.279854,0.185351,24
S100A12,BRD-K55473186,All,ovary,-0.276182,0.154843,28
S100A12,Savolitinib,All,ovary,0.386911,0.0381287,29
S100A12,KIN001-244,All,ovary,0.3944,0.037815,28
S100A12,Remodelin,All,ovary,0.305699,0.333893,12
S100A12,3-Cl-AHPC,All,ovary,0.283355,0.0804634,39
S100A12,N-oxalyl-D-phenylalanine,All,ovary,-0.27871,0.16797,26
S100A12,prochlorperazine,All,ovary,-0.205988,0.20836,39
S100A12,FTI-277,All,ovary,0.251112,0.23657,24
S100A12,Cyclophosphamide,All,ovary,-0.204598,0.217883,38
S100A12,MK-591,All,ovary,0.229172,0.260101,26
S100A12,GSK-LSD1,All,ovary,-0.458682,0.0364933,21
S100A12,P22077,All,ovary,-0.202903,0.291137,29
S100A12,STF-62247,All,ovary,0.206969,0.300284,27
S100A12,GSK1070916,All,ovary,0.277201,0.153264,28
S100A12,CIL55A,All,ovary,-0.385986,0.0241547,34
S100A12,DC-45-A2,All,ovary,0.233339,0.251296,26
S100A12,Tozasertib,All,ovary,0.230265,0.238471,28
S100A12,667880,All,ovary,0.208955,0.363344,21
S100A12,AT-406,All,ovary,-0.270675,0.172074,27
S100A12,BRD9658,All,ovary,-0.541839,0.0135966,20
S100A12,ML150,All,ovary,0.223093,0.306203,23
S100A12,BRD-K49290616,All,ovary,-0.46977,0.170707,10
S100A12,CBB-1007,All,ovary,0.651492,0.00625505,16
S100A12,KU 0060648,All,ovary,-0.252401,0.11612,40
S100A12,FGIN-1-27,All,ovary,-0.225082,0.215506,32
S100A12,WT-161,All,ovary,-0.334267,0.0951147,26
S100A12,Podophyllotoxin bromide,All,ovary,0.354205,0.115175,21
S100A12,AICA Ribonucleotide,All,ovary,0.28863,0.136338,28
S100A12,PF-3758309,All,ovary,-0.461653,0.0718461,16
S100A12,Dihydrorotenone,All,ovary,0.382235,0.0872659,21
S100A12,alvocidib,All,ovary,-0.306331,0.248526,16
S100A12,narciclasine,All,ovary,-0.265524,0.112208,37
S100A12,LY-2157299,All,ovary,-0.320637,0.366377,10
S100A12,Shikonin,All,ovary,0.403897,0.0503044,24
S100A12,CIL55,All,ovary,-0.257856,0.147397,33
S100A12,kb NB 142-70,All,ovary,0.225904,0.238667,29
S100A12,AGI-5198,All,ovary,-0.209474,0.275454,29
S100A12,cimetidine,All,ovary,-0.305723,0.39031,10
S100A12,AZ6102,All,ovary,-0.222618,0.245749,29
S100A12,NSC319726,All,ovary,-0.339266,0.0717869,29
S100A12,Cetuximab,All,ovary,-0.208372,0.296948,27
S100A12,Picolinici-acid,All,ovary,-0.229934,0.279754,24
S100A12,EHT-1864,All,ovary,-0.219332,0.252968,29
S100A12,Vinblastine,All,ovary,0.232882,0.233027,28
S100A12,Veliparib,All,ovary,-0.228755,0.135283,44
S100A12,GANT-58,All,ovary,-0.280817,0.310661,15
S100A12,AZD7762,All,ovary,-0.25158,0.103652,43
S100A12,nimodipine,All,ovary,0.216995,0.437257,15
S100A12,m-3M3-FBS,All,ovary,-0.285192,0.157889,26
S100A12,Capivasertib,All,ovary,0.323697,0.0928916,28
S100A12,CIL56,All,ovary,-0.307134,0.0772481,34
S100A12,BRD-K11533227,All,ovary,-0.262229,0.116903,37
S100A12,ZL109,All,ovary,0.213073,0.285934,27
S100A12,Flutamide,All,ovary,-0.22104,0.310792,23
S100A12,BRD6150,All,ovary,-0.208028,0.3788,20
S100A12,SCH-79797,All,ovary,-0.20356,0.185066,44
S100A12,GSK2636771,All,ovary,0.211027,0.27183,29
S100A12,BRD6825,All,ovary,-0.268501,0.252363,20
S100A12,Cisplatin,All,ovary,0.2675,0.168768,28
S100A12,GSK650394,All,ovary,0.369104,0.0758995,24
S100A12,BRD-K48477130,All,ovary,0.340847,0.196393,16
S100A12,Embelin,All,ovary,0.396333,0.0551946,24
S100A12,Erlotinib,All,ovary,-0.203661,0.179638,45
S100A12,Bleomycin,All,ovary,0.268438,0.175785,27
S100A12,AZD4877,All,ovary,0.339432,0.0772099,28
S100A12,SB505124,All,ovary,-0.362267,0.0534544,29
S100A12,Sinularin,All,ovary,-0.351657,0.117999,21
S100A12,AEW541,All,ovary,-0.247935,0.232096,25
S100A12,ZD-6474,All,ovary,-0.276199,0.225533,21
S100A12,AGI-6780,All,ovary,-0.278478,0.143522,29
S100A12,KU-60019,All,ovary,-0.200419,0.197528,43
S100A12,PF-4708671,All,ovary,0.255476,0.181031,29
S100A12,TAF1_5496,All,ovary,0.277758,0.222817,21
S100A12,BRD-K58730230,All,ovary,0.439943,0.203257,10
S100A12,selumetinib:navitoclax (8:1 mol-mol),All,ovary,-0.23081,0.157455,39
S100A12,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,-0.300763,0.0628165,39
S100A12,CPI-637,All,ovary,-0.266239,0.208566,24
S100A12,navitoclax:sorafenib (1:1 mol-mol),All,ovary,0.202184,0.223477,38
S100A12,Epothilone B,All,ovary,0.350952,0.0926674,24
S100A12,BRD-K44224150,All,ovary,-0.42503,0.220785,10
S100A12,C-75,All,ovary,-0.216868,0.258473,29
S100A12,BRD-K41334119,All,ovary,-0.305723,0.39031,10
S100A12,FS106,All,ovary,0.240975,0.216725,28
S100A12,selumetinib:vorinostat (8:1 mol-mol),All,ovary,-0.232176,0.160715,38
S100A12,zileuton,All,ovary,-0.260191,0.199241,26
S100A12,BRD2296,All,ovary,-0.262947,0.343716,15
S100A12,JNK-9L,All,ovary,0.326748,0.119136,24
S100A12,BRD6430,All,ovary,-0.255472,0.116487,39
S100A12,TTK_3146,All,ovary,0.318302,0.0987873,28
S100A12,fatostatin,All,ovary,0.321304,0.109481,26
S100A12,alpha-lipoic acid,All,ovary,-0.23901,0.260675,24
S100A12,BRD-K13999467,All,ovary,-0.219528,0.179339,39
S100A12,MN-64,All,ovary,-0.341875,0.102021,24
S100A12,FEN1_3940,All,ovary,0.357865,0.0615152,28
S100A12,THR-102,All,ovary,-0.299532,0.164978,23
S100A12,FS112,All,ovary,0.38484,0.043158,28
S100A12,BPD-00008900,All,ovary,0.317672,0.13036,24
S100A12,Crizotinib,All,ovary,-0.259149,0.0893818,44
S100A12,AM-580,All,ovary,-0.226155,0.139901,44
S100A12,MLN2480,All,ovary,-0.254556,0.341386,16
S100A12,QL-XI-92,All,ovary,0.309813,0.108628,28
S100A12,Alda-1,All,ovary,-0.221302,0.277273,26
S100A12,BRD-K34485477,All,ovary,-0.216243,0.548474,10
S100A12,Regorafenib,All,ovary,-0.226297,0.165963,39
S100A12,BRD-A94377914,All,ovary,0.293468,0.163978,24
S100A12,123138,All,ovary,-0.239534,0.295657,21
S100A12,CCT245467,All,ovary,0.221643,0.256996,28
S100A12,idarubicin,All,ovary,0.309267,0.124202,26
S100A12,BRD-K42260513,All,ovary,-0.323589,0.221485,16
S100A12,Etoposide,All,ovary,0.27192,0.0675322,46
S100A12,XMD8-92,All,ovary,0.357217,0.159246,17
S100A12,7-nitroindazole,All,ovary,-0.449548,0.0212184,26
S100A12,BI-2536,All,ovary,0.246027,0.0993199,46
S100A12,ifosfamide,All,ovary,-0.464064,0.0257063,23
S100A12,Tenovin-6,All,ovary,-0.215225,0.262186,29
S100A12,NSC-207895,All,ovary,0.268791,0.175196,27
S100A12,ETP-46464,All,ovary,-0.227797,0.234649,29
S100A12,CI-1040,All,ovary,0.269748,0.165081,28
S100A12,MI-2,All,ovary,0.31496,0.234761,16
S100A12,SR1001,All,ovary,0.221317,0.181764,38
S100A12,CIL41,All,ovary,-0.263321,0.13871,33
S100A12,RS-23597-190,All,ovary,-0.540624,0.00773466,23
S100A12,CT7033-2,All,ovary,0.261701,0.216721,24
S100A12,ARRY-520,All,ovary,0.209474,0.275454,29
S100A12,Gemcitabine,All,ovary,0.215861,0.149641,46
S100A12,ZM336372,All,ovary,-0.263469,0.224483,23
S100A12,Mitoxantrone,All,ovary,0.287951,0.205595,21
S100A12,ZL049,All,ovary,0.246628,0.214923,27
S100A12,BRD-K84807411,All,ovary,-0.499597,0.141486,10
S100A12,cyanoquinoline 11,All,ovary,-0.266696,0.105539,38
S100A12,ZSTK474,All,ovary,-0.256753,0.100718,42
S100A12,glutathione,All,ovary,-0.27422,0.205437,23
S100A12,JAK3_7406,All,ovary,0.276042,0.155061,28
S100A12,(5Z)-7-Oxozeaenol,All,ovary,0.351207,0.0724489,27
S100A12,GANT-61,All,ovary,-0.399083,0.0118451,39
S100A12,Compound 10b,All,ovary,0.296766,0.140968,26
S100A12,Tivozanib,All,ovary,0.200223,0.182151,46
S100A12,IU1,All,ovary,0.202184,0.223477,38
S100A12,rosiglitazone,All,ovary,-0.233802,0.25033,26
S100A12,N22899-6-C1,All,ovary,0.214191,0.283352,27
S100A12,BRD9647,All,ovary,-0.217558,0.177483,40
S100A12,erastin,All,ovary,-0.326829,0.0370087,41
S100A12,GSK4112,All,ovary,-0.20212,0.217219,39
S100A12,pifithrin-alpha,All,ovary,-0.29907,0.0513924,43
S100A12,selumetinib:GDC-0941 (4:1 mol-mol),All,ovary,-0.359209,0.0267701,38
S100A12,NSC48300,All,ovary,-0.21437,0.190034,39
S100A12,WEHI-539,All,ovary,-0.316265,0.094635,29
S100A12,selumetinib:decitabine (4:1 mol-mol),All,ovary,-0.343438,0.0467432,34
S100A12,ML007,All,ovary,0.22732,0.264078,26
S100A12,BRD-K30019337,All,ovary,-0.365377,0.299165,10
S100A12,Niraparib,All,ovary,0.290443,0.168571,24
S100A12,Y-39983,All,ovary,0.316946,0.100312,28
S100A12,KIN001-042,All,ovary,-0.264513,0.165555,29
S100A12,carboplatin:UNC0638 (2:1 mol-mol),All,ovary,-0.480727,0.00225074,38
S100A12,DMOG,All,ovary,0.257163,0.225087,24
S100A12,CIL70,All,ovary,-0.359549,0.0367518,34
S100A12,istradefylline,All,ovary,-0.209336,0.453992,15
S100A12,NVP-ADW742,All,ovary,-0.233785,0.131337,43
