gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SEC23IP,NSC-87877,All,ovary,-0.373913,0.0718701,24
SEC23IP,neopeltolide,All,ovary,-0.334734,0.0493555,35
SEC23IP,procarbazine,All,ovary,-0.483094,0.00212476,38
SEC23IP,SZ4TA2,All,ovary,-0.264286,0.341174,15
SEC23IP,Zibotentan,All,ovary,-0.369458,0.0529971,28
SEC23IP,Mitomycin-C,All,ovary,-0.338261,0.105934,24
SEC23IP,myricetin,All,ovary,-0.360324,0.0242403,39
SEC23IP,PBD-288,All,ovary,-0.511304,0.0106609,24
SEC23IP,PFI-1,All,ovary,-0.242365,0.205245,29
SEC23IP,Carboplatin,All,ovary,-0.262955,0.105806,39
SEC23IP,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.283193,0.0992518,35
SEC23IP,BDP-00009066,All,ovary,-0.405217,0.0494864,24
SEC23IP,150412,All,ovary,-0.254545,0.265488,21
SEC23IP,BCL-LZH-4,All,ovary,-0.382353,0.143859,16
SEC23IP,NVP-AUY922,All,ovary,-0.362735,0.0685725,26
SEC23IP,BRD-K09344309,All,ovary,-0.296703,0.302967,14
SEC23IP,BRD4132,All,ovary,-0.312753,0.0525578,39
SEC23IP,GSK690693,All,ovary,-0.205802,0.293419,28
SEC23IP,skepinone-L,All,ovary,-0.332353,0.2085,16
SEC23IP,CCT-018159,All,ovary,-0.425123,0.0215082,29
SEC23IP,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.545683,0.000395041,38
SEC23IP,GSK2830371,All,ovary,-0.204545,0.349164,23
SEC23IP,CD-437,All,ovary,-0.254757,0.0992183,43
SEC23IP,PLK_6522,All,ovary,-0.33607,0.080377,28
SEC23IP,VAF-347,All,ovary,-0.245385,0.23709,25
SEC23IP,Panobinostat,All,ovary,-0.20028,0.248674,35
SEC23IP,XMD11-85h,All,ovary,0.252451,0.328294,17
SEC23IP,Luminespib,All,ovary,-0.406404,0.0286921,29
SEC23IP,BRD-K55473186,All,ovary,-0.408867,0.0307483,28
SEC23IP,Savolitinib,All,ovary,-0.40197,0.0306513,29
SEC23IP,BRD-K50799972,All,ovary,0.203846,0.213235,39
SEC23IP,NVP-231,All,ovary,-0.20749,0.20499,39
SEC23IP,Remodelin,All,ovary,-0.293706,0.354148,12
SEC23IP,3-Cl-AHPC,All,ovary,-0.375708,0.0184211,39
SEC23IP,N-oxalyl-D-phenylalanine,All,ovary,0.215043,0.291432,26
SEC23IP,necrosulfonamide,All,ovary,-0.235556,0.246692,26
SEC23IP,FTI-277,All,ovary,-0.54087,0.00635219,24
SEC23IP,Cyclophosphamide,All,ovary,-0.33275,0.0412245,38
SEC23IP,BRD-K70511574,All,ovary,-0.222065,0.174239,39
SEC23IP,MK-591,All,ovary,-0.238974,0.2397,26
SEC23IP,GSK-LSD1,All,ovary,-0.232468,0.31056,21
SEC23IP,P22077,All,ovary,-0.391133,0.0358987,29
SEC23IP,abiraterone,All,ovary,-0.265934,0.358113,14
SEC23IP,GSK1070916,All,ovary,-0.436234,0.0203021,28
SEC23IP,Voxtalisib,All,ovary,-0.268966,0.158284,29
SEC23IP,CIL55A,All,ovary,0.364095,0.0342703,34
SEC23IP,BRD-M00053801,All,ovary,0.216749,0.25874,29
SEC23IP,667880,All,ovary,-0.203896,0.375337,21
SEC23IP,quinoclamine,All,ovary,-0.38188,0.0542129,26
SEC23IP,ML150,All,ovary,-0.423913,0.0438159,23
SEC23IP,CBB-1007,All,ovary,-0.479412,0.0602393,16
SEC23IP,navitoclax:birinapant (1:1 mol-mol),All,ovary,0.218016,0.182428,39
SEC23IP,JZL-184,All,ovary,0.275897,0.172482,26
SEC23IP,WT-161,All,ovary,-0.236239,0.245283,26
SEC23IP,BRD4770,All,ovary,-0.241569,0.182867,32
SEC23IP,SNX-2112,All,ovary,-0.375763,0.0100679,46
SEC23IP,Podophyllotoxin bromide,All,ovary,-0.503896,0.0198574,21
SEC23IP,Fludarabine,All,ovary,-0.506494,0.019129,21
SEC23IP,Axitinib,All,ovary,-0.382384,0.0124499,42
SEC23IP,Dihydrorotenone,All,ovary,-0.416883,0.0601007,21
SEC23IP,LY-2157299,All,ovary,0.563636,0.089724,10
SEC23IP,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.21417,0.190457,39
SEC23IP,Ipatasertib,All,ovary,-0.483744,0.0078443,29
SEC23IP,Shikonin,All,ovary,-0.392174,0.0580363,24
SEC23IP,CIL55,All,ovary,0.319519,0.0698984,33
SEC23IP,kb NB 142-70,All,ovary,-0.32266,0.0877945,29
SEC23IP,Rucaparib,All,ovary,-0.272059,0.125608,33
SEC23IP,Avagacestat,All,ovary,-0.443842,0.0158718,29
SEC23IP,ML030,All,ovary,-0.29401,0.0527269,44
SEC23IP,AGI-5198,All,ovary,-0.261084,0.171313,29
SEC23IP,UNC1215,All,ovary,-0.315271,0.102221,28
SEC23IP,AZD-7545,All,ovary,-0.226638,0.139034,44
SEC23IP,silmitasertib,All,ovary,-0.231389,0.168215,37
SEC23IP,"eEF2K Inhibitor, A-484954",All,ovary,-0.358128,0.0564476,29
SEC23IP,semagacestat,All,ovary,-0.420724,0.00853314,38
SEC23IP,Cetuximab,All,ovary,0.203297,0.309131,27
SEC23IP,OF-1,All,ovary,-0.312174,0.137518,24
SEC23IP,GSK3337463A,All,ovary,-0.228571,0.318967,21
SEC23IP,Vinblastine,All,ovary,-0.466338,0.0123708,28
SEC23IP,chlorambucil,All,ovary,-0.310324,0.0545195,39
SEC23IP,GANT-58,All,ovary,0.403571,0.135768,15
SEC23IP,SCH772984,All,ovary,-0.202956,0.291008,29
SEC23IP,"1S,3R-RSL-3",All,ovary,0.283275,0.072699,41
SEC23IP,HBX-41108,All,ovary,-0.282266,0.13793,29
SEC23IP,KHS101,All,ovary,-0.216927,0.197172,37
SEC23IP,BRD-K88742110,All,ovary,-0.243024,0.141507,38
SEC23IP,Uprosertib,All,ovary,-0.337931,0.0729839,29
SEC23IP,BRD-K07442505,All,ovary,-0.267814,0.0992814,39
SEC23IP,Torin 2,All,ovary,-0.219212,0.253234,29
SEC23IP,nimodipine,All,ovary,-0.4,0.139595,15
SEC23IP,Belinostat,All,ovary,0.260264,0.150256,32
SEC23IP,5-Fluorouracil,All,ovary,-0.444828,0.0156129,29
SEC23IP,StemRegenin 1,All,ovary,0.323887,0.0442783,39
SEC23IP,m-3M3-FBS,All,ovary,0.203419,0.318912,26
SEC23IP,SGC-CBP30,All,ovary,-0.32987,0.144198,21
SEC23IP,Capivasertib,All,ovary,-0.384236,0.0435144,28
SEC23IP,XMD15-27,All,ovary,-0.333333,0.0830274,28
SEC23IP,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,-0.230769,0.157531,39
SEC23IP,NU7441,All,ovary,-0.283744,0.135792,29
SEC23IP,BRD-K11533227,All,ovary,-0.338312,0.0405529,37
SEC23IP,Platin,All,ovary,-0.287045,0.0764333,39
SEC23IP,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,-0.42004,0.00776318,39
SEC23IP,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,-0.48583,0.00171618,39
SEC23IP,IGFR_3801,All,ovary,-0.32786,0.0885272,28
SEC23IP,WYE-125132,All,ovary,-0.230542,0.228904,29
SEC23IP,BRD6150,All,ovary,-0.324812,0.162323,20
SEC23IP,GSK2636771,All,ovary,-0.280296,0.140818,29
SEC23IP,neratinib,All,ovary,0.253277,0.097145,44
SEC23IP,Cisplatin,All,ovary,-0.40832,0.0309946,28
SEC23IP,GSK650394,All,ovary,-0.203478,0.340261,24
SEC23IP,nakiterpiosin,All,ovary,-0.227202,0.138027,44
SEC23IP,BRD-K48477130,All,ovary,-0.332353,0.2085,16
SEC23IP,ML160,All,ovary,0.237154,0.275906,23
SEC23IP,Epirubicin,All,ovary,-0.211823,0.269984,29
SEC23IP,Embelin,All,ovary,-0.287826,0.172615,24
SEC23IP,cytarabine hydrochloride,All,ovary,-0.423132,0.00812459,38
SEC23IP,BRD-K02492147,All,ovary,0.29916,0.0808443,35
SEC23IP,BRD-A02303741,All,ovary,-0.304656,0.0593248,39
SEC23IP,BRD-K13185470,All,ovary,-0.381818,0.276255,10
SEC23IP,VX-11e,All,ovary,-0.283744,0.135792,29
SEC23IP,BRD-K97651142,All,ovary,-0.436043,0.00620752,38
SEC23IP,AZD4877,All,ovary,-0.276957,0.153641,28
SEC23IP,YK-4-279,All,ovary,-0.261854,0.0898411,43
SEC23IP,mitomycin,All,ovary,-0.280933,0.0715138,42
SEC23IP,bendamustine,All,ovary,-0.573476,0.00016742,38
SEC23IP,CUDC-101,All,ovary,0.457875,0.016322,27
SEC23IP,4-methylfasudil,All,ovary,-0.451624,0.0205567,26
SEC23IP,parbendazole,All,ovary,-0.254827,0.0950465,44
SEC23IP,BRD-K24690302,All,ovary,-0.395344,0.012738,39
SEC23IP,ZD-6474,All,ovary,-0.327273,0.147574,21
SEC23IP,Ibrutinib,All,ovary,-0.253221,0.142182,35
SEC23IP,brivanib,All,ovary,-0.212753,0.193477,39
SEC23IP,BRD-K85133207,All,ovary,-0.259919,0.110047,39
SEC23IP,CID-5951923,All,ovary,-0.240617,0.145616,38
SEC23IP,curcumin,All,ovary,-0.314071,0.0484236,40
SEC23IP,SB-743921,All,ovary,-0.263632,0.114886,37
SEC23IP,Ispinesib Mesylate,All,ovary,-0.239737,0.219166,28
SEC23IP,Doxorubicin,All,ovary,-0.215494,0.165193,43
SEC23IP,PF-4708671,All,ovary,-0.240394,0.209067,29
SEC23IP,TAF1_5496,All,ovary,-0.518182,0.0161116,21
