gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SLC38A1,EPZ004777,All,ovary,-0.321182,0.0893408,29
SLC38A1,SZ4TA2,All,ovary,0.271429,0.327789,15
SLC38A1,etomoxir,All,ovary,0.280278,0.068694,43
SLC38A1,PBD-288,All,ovary,0.3,0.154363,24
SLC38A1,Wnt-C59,All,ovary,-0.365517,0.051193,29
SLC38A1,KU-55933,All,ovary,-0.237391,0.125323,43
SLC38A1,Pilaralisib,All,ovary,-0.339901,0.0712227,29
SLC38A1,150412,All,ovary,-0.261039,0.253065,21
SLC38A1,BCL-LZH-4,All,ovary,-0.255882,0.33879,16
SLC38A1,NVP-AUY922,All,ovary,-0.241709,0.234201,26
SLC38A1,HG6-64-1,All,ovary,0.326087,0.119929,24
SLC38A1,SB-525334,All,ovary,0.224642,0.175122,38
SLC38A1,GSK690693,All,ovary,0.253421,0.193189,28
SLC38A1,skepinone-L,All,ovary,0.267647,0.316254,16
SLC38A1,CCT-018159,All,ovary,0.339409,0.0716599,29
SLC38A1,PLK_6522,All,ovary,0.290093,0.134274,28
SLC38A1,JAK1_3715,All,ovary,0.274115,0.166476,27
SLC38A1,BAY-HDAC11_1,All,ovary,-0.247863,0.222138,26
SLC38A1,Panobinostat,All,ovary,0.336134,0.0483539,35
SLC38A1,XMD11-85h,All,ovary,0.223039,0.389523,17
SLC38A1,FMK,All,ovary,-0.344348,0.0994067,24
SLC38A1,NVP-231,All,ovary,-0.219028,0.180355,39
SLC38A1,Remodelin,All,ovary,-0.251748,0.429919,12
SLC38A1,3-Cl-AHPC,All,ovary,0.286437,0.0770856,39
SLC38A1,necrosulfonamide,All,ovary,0.247179,0.223457,26
SLC38A1,FTI-277,All,ovary,0.358261,0.0856123,24
SLC38A1,STF-62247,All,ovary,0.349206,0.0742036,27
SLC38A1,Voxtalisib,All,ovary,-0.433498,0.0188117,29
SLC38A1,BRD2762,All,ovary,-0.297744,0.20232,20
SLC38A1,AT-406,All,ovary,-0.277778,0.160658,27
SLC38A1,BRD9658,All,ovary,0.404511,0.0768844,20
SLC38A1,CHIR-99021,All,ovary,-0.314024,0.0379062,44
SLC38A1,PIK-75,All,ovary,0.223248,0.272961,26
SLC38A1,WT-161,All,ovary,-0.50906,0.00790854,26
SLC38A1,Amuvatinib,All,ovary,-0.214559,0.272899,28
SLC38A1,CAY10603,All,ovary,0.242979,0.222003,27
SLC38A1,sparfosic acid,All,ovary,-0.238291,0.241088,26
SLC38A1,BRD2572,All,ovary,-0.421053,0.0644881,20
SLC38A1,UNC1215,All,ovary,-0.206349,0.292109,28
SLC38A1,AZD6094,All,ovary,0.21978,0.270675,27
SLC38A1,cimetidine,All,ovary,-0.284848,0.425038,10
SLC38A1,silmitasertib,All,ovary,-0.261498,0.117963,37
SLC38A1,NSC319726,All,ovary,-0.270936,0.155141,29
SLC38A1,BRD0713,All,ovary,-0.505263,0.0230592,20
SLC38A1,JW-7-24-1,All,ovary,0.325671,0.0908028,28
SLC38A1,cytochalasin B,All,ovary,-0.255109,0.0946687,44
SLC38A1,EHT-1864,All,ovary,-0.333498,0.0770692,29
SLC38A1,GSK3337463A,All,ovary,-0.242857,0.288804,21
SLC38A1,BRD-K90370028,All,ovary,-0.329412,0.212801,16
SLC38A1,Vinblastine,All,ovary,0.366174,0.0553099,28
SLC38A1,Veliparib,All,ovary,-0.250035,0.101648,44
SLC38A1,GANT-58,All,ovary,-0.210714,0.450958,15
SLC38A1,minoxidil,All,ovary,-0.439286,0.101361,15
SLC38A1,BRD-K88742110,All,ovary,0.276288,0.0931277,38
SLC38A1,AR-42,All,ovary,0.315018,0.109491,27
SLC38A1,IGF1R_3801,All,ovary,0.225974,0.324648,21
SLC38A1,StemRegenin 1,All,ovary,-0.413158,0.00894437,39
SLC38A1,Capivasertib,All,ovary,0.462507,0.0132074,28
SLC38A1,ZL109,All,ovary,-0.241148,0.225616,27
SLC38A1,Platin,All,ovary,-0.374292,0.0189027,39
SLC38A1,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,0.244737,0.133202,39
SLC38A1,IGFR_3801,All,ovary,0.281336,0.146976,28
SLC38A1,Flutamide,All,ovary,0.243083,0.26372,23
SLC38A1,BRD6150,All,ovary,-0.44812,0.0475317,20
SLC38A1,FR-180204,All,ovary,0.386973,0.0419165,28
SLC38A1,neratinib,All,ovary,-0.244538,0.109647,44
SLC38A1,PK-11195,All,ovary,0.353755,0.0977245,23
SLC38A1,Embelin,All,ovary,0.201739,0.344493,24
SLC38A1,BRD-A02303741,All,ovary,0.392105,0.0135572,39
SLC38A1,BRD-K13185470,All,ovary,0.612121,0.0599721,10
SLC38A1,Bleomycin,All,ovary,0.214286,0.283135,27
SLC38A1,AZD4877,All,ovary,0.263273,0.175858,28
SLC38A1,SB505124,All,ovary,-0.281773,0.138648,29
SLC38A1,Sinularin,All,ovary,-0.514286,0.0170714,21
SLC38A1,CUDC-101,All,ovary,0.235653,0.236689,27
SLC38A1,valdecoxib,All,ovary,0.209161,0.173007,44
SLC38A1,QL-X-138,All,ovary,0.271483,0.162273,28
SLC38A1,ZD-6474,All,ovary,-0.490909,0.0238397,21
SLC38A1,BRD-K85133207,All,ovary,0.246559,0.130246,39
SLC38A1,AGI-6780,All,ovary,-0.361576,0.0539452,29
SLC38A1,KU-60019,All,ovary,-0.445183,0.00277716,43
SLC38A1,curcumin,All,ovary,0.223077,0.166471,40
SLC38A1,Ispinesib Mesylate,All,ovary,0.214012,0.274154,28
SLC38A1,TAF1_5496,All,ovary,-0.207792,0.366082,21
SLC38A1,BRD-K58730230,All,ovary,0.212121,0.556306,10
SLC38A1,BDF00022089a,All,ovary,-0.267532,0.24102,21
SLC38A1,CPI-637,All,ovary,0.263478,0.213502,24
SLC38A1,navitoclax:sorafenib (1:1 mol-mol),All,ovary,0.20801,0.210138,38
SLC38A1,Bortezomib,All,ovary,-0.204564,0.17266,46
SLC38A1,968,All,ovary,0.648485,0.0425401,10
SLC38A1,BRD-K44224150,All,ovary,0.260606,0.467089,10
SLC38A1,CDK9_5038,All,ovary,0.322078,0.154492,21
SLC38A1,BDILV000379a,All,ovary,-0.224675,0.32751,21
SLC38A1,CHEMBL374350,All,ovary,-0.228189,0.136279,44
SLC38A1,BRD-K41334119,All,ovary,0.248485,0.488776,10
SLC38A1,DBeQ,All,ovary,0.245651,0.137122,38
SLC38A1,FS106,All,ovary,0.326765,0.0896595,28
SLC38A1,CRT0105446,All,ovary,0.211823,0.27921,28
SLC38A1,BRD2296,All,ovary,-0.339286,0.216029,15
SLC38A1,JQ-1:UNC0638 (2:1 mol-mol),All,ovary,-0.27596,0.0982767,37
SLC38A1,JNK-9L,All,ovary,0.244348,0.249856,24
SLC38A1,IWP-2,All,ovary,-0.246496,0.224782,26
SLC38A1,MN-64,All,ovary,-0.418261,0.0419519,24
SLC38A1,Leflunomide,All,ovary,-0.266087,0.208836,24
SLC38A1,ICL-SIRT078,All,ovary,-0.430435,0.0357632,24
SLC38A1,FS112,All,ovary,0.444444,0.0178107,28
SLC38A1,50869,All,ovary,-0.241558,0.291471,21
SLC38A1,compound 1B,All,ovary,0.254386,0.128667,37
SLC38A1,BPD-00008900,All,ovary,0.345217,0.0984991,24
SLC38A1,Nutlin-3a,All,ovary,-0.218748,0.14414,46
SLC38A1,PF-00299804,All,ovary,-0.200493,0.297027,29
SLC38A1,C6-ceramide,All,ovary,-0.342915,0.0325897,39
SLC38A1,MLN2480,All,ovary,0.223529,0.405298,16
SLC38A1,WZ3105,All,ovary,0.210728,0.28176,28
SLC38A1,Alda-1,All,ovary,-0.28547,0.157466,26
SLC38A1,CCT245467,All,ovary,0.362343,0.0581073,28
SLC38A1,GSK2276186C,All,ovary,-0.253247,0.268018,21
SLC38A1,XMD8-92,All,ovary,0.355392,0.161541,17
SLC38A1,Vorinostat,All,ovary,0.215294,0.150739,46
SLC38A1,NVP-BSK805,All,ovary,-0.212824,0.199539,38
SLC38A1,ETP-46464,All,ovary,-0.277833,0.144491,29
SLC38A1,BRD9571,All,ovary,-0.228571,0.412566,15
SLC38A1,CI-1040,All,ovary,0.235906,0.226843,28
SLC38A1,EphB4_9721,All,ovary,0.308703,0.109966,28
SLC38A1,BRD-K27224038,All,ovary,0.612121,0.0599721,10
SLC38A1,GSK591,All,ovary,-0.22069,0.249968,29
SLC38A1,SR1001,All,ovary,0.235803,0.154095,38
SLC38A1,RS-23597-190,All,ovary,0.235178,0.280045,23
SLC38A1,CT7033-2,All,ovary,0.453913,0.0258803,24
SLC38A1,ZM336372,All,ovary,0.235178,0.280045,23
SLC38A1,BRD-A86708339,All,ovary,0.332143,0.226472,15
SLC38A1,Mitoxantrone,All,ovary,0.248052,0.27829,21
SLC38A1,BRD-K84807411,All,ovary,0.69697,0.0250967,10
SLC38A1,ABT-751,All,ovary,-0.275897,0.172482,26
SLC38A1,CCT007093,All,ovary,-0.252217,0.186854,29
SLC38A1,630600,All,ovary,0.216883,0.345,21
SLC38A1,CCT245232,All,ovary,0.258894,0.183421,28
SLC38A1,chaetocin,All,ovary,0.203557,0.351548,23
SLC38A1,AT13387,All,ovary,0.335294,0.204255,16
