gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
VWA5A,BRD-K55116708,All,ovary,0.244192,0.145245,37
VWA5A,etomoxir,All,ovary,0.2041,0.189249,43
VWA5A,losartan,All,ovary,0.355897,0.0743545,26
VWA5A,PBD-288,All,ovary,0.426087,0.0378843,24
VWA5A,Wnt-C59,All,ovary,-0.224631,0.241395,29
VWA5A,965-D2,All,ovary,-0.275214,0.173592,26
VWA5A,Carboplatin,All,ovary,-0.210729,0.19785,39
VWA5A,"2,4-dideoxy-DC-45-A2",All,ovary,0.290256,0.150316,26
VWA5A,BRD-K52037352,All,ovary,0.239496,0.165844,35
VWA5A,BDP-00009066,All,ovary,0.290435,0.168584,24
VWA5A,MCT1_6447,All,ovary,-0.238643,0.221341,28
VWA5A,BRD-K27986637,All,ovary,-0.406061,0.244282,10
VWA5A,150412,All,ovary,-0.31039,0.170877,21
VWA5A,GDC0810,All,ovary,0.318719,0.0919639,29
VWA5A,HG6-64-1,All,ovary,0.410435,0.0463554,24
VWA5A,Motesanib,All,ovary,-0.338916,0.0720991,29
VWA5A,SB-525334,All,ovary,0.412846,0.00999541,38
VWA5A,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.207037,0.182823,43
VWA5A,Vinorelbine,All,ovary,0.437438,0.0176429,29
VWA5A,CCT-018159,All,ovary,0.297044,0.117623,29
VWA5A,GSK2830371,All,ovary,0.206522,0.344426,23
VWA5A,PLK_6522,All,ovary,0.218938,0.262995,28
VWA5A,VAF-347,All,ovary,0.232308,0.263804,25
VWA5A,Panobinostat,All,ovary,0.354622,0.0365951,35
VWA5A,Luminespib,All,ovary,0.287685,0.130208,29
VWA5A,AZD1480,All,ovary,0.315616,0.0784672,32
VWA5A,avrainvillamide,All,ovary,0.245658,0.154894,35
VWA5A,Remodelin,All,ovary,-0.307692,0.330589,12
VWA5A,3-Cl-AHPC,All,ovary,0.249393,0.125747,39
VWA5A,prochlorperazine,All,ovary,-0.27753,0.0871602,39
VWA5A,776928,All,ovary,0.248052,0.27829,21
VWA5A,necrosulfonamide,All,ovary,0.328547,0.101269,26
VWA5A,pyrvinium pamoate,All,ovary,0.360902,0.11798,20
VWA5A,A-366,All,ovary,0.366087,0.078514,24
VWA5A,Cyclophosphamide,All,ovary,-0.2439,0.140034,38
VWA5A,"Brivanib, BMS-540215",All,ovary,0.257143,0.178103,29
VWA5A,BRD-K70511574,All,ovary,0.240081,0.140979,39
VWA5A,MK-591,All,ovary,0.230769,0.256703,26
VWA5A,abiraterone,All,ovary,-0.30989,0.280933,14
VWA5A,trifluoperazine,All,ovary,-0.232645,0.148562,40
VWA5A,DC-45-A2,All,ovary,0.385299,0.0519164,26
VWA5A,Daporinad,All,ovary,0.420858,0.00358615,46
VWA5A,BRD-K49290616,All,ovary,0.321212,0.365468,10
VWA5A,KU 0060648,All,ovary,-0.224765,0.163203,40
VWA5A,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.324291,0.0439983,39
VWA5A,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.231174,0.156783,39
VWA5A,JZL-184,All,ovary,0.253333,0.21177,26
VWA5A,WT-161,All,ovary,-0.45094,0.0207728,26
VWA5A,Podophyllotoxin bromide,All,ovary,0.271429,0.233974,21
VWA5A,AICA Ribonucleotide,All,ovary,0.356869,0.062294,28
VWA5A,Amuvatinib,All,ovary,-0.388068,0.0412906,28
VWA5A,alvocidib,All,ovary,-0.420588,0.104768,16
VWA5A,BRD-K45681478,All,ovary,-0.226113,0.166316,39
VWA5A,Ipatasertib,All,ovary,0.217734,0.256528,29
VWA5A,sparfosic acid,All,ovary,0.225983,0.266975,26
VWA5A,BRD2572,All,ovary,-0.312782,0.179364,20
VWA5A,Rucaparib,All,ovary,0.274398,0.122261,33
VWA5A,AZD-7545,All,ovary,0.360125,0.0163408,44
VWA5A,KW-2449,All,ovary,-0.215789,0.187047,39
VWA5A,AZD6094,All,ovary,-0.245421,0.217247,27
VWA5A,NPC-26,All,ovary,-0.296811,0.0629102,40
VWA5A,Navitoclax,All,ovary,-0.247248,0.0976006,46
VWA5A,BRD0713,All,ovary,-0.55188,0.0116424,20
VWA5A,O-6-benzylguanine,All,ovary,-0.244118,0.362213,16
VWA5A,GSK3337463A,All,ovary,0.487013,0.0251508,21
VWA5A,BRD-K90370028,All,ovary,-0.244118,0.362213,16
VWA5A,Vinblastine,All,ovary,0.407225,0.0314921,28
VWA5A,GANT-58,All,ovary,-0.485714,0.0664263,15
VWA5A,minoxidil,All,ovary,-0.360714,0.186554,15
VWA5A,IGF1R_3801,All,ovary,0.406494,0.0674582,21
VWA5A,NG-25,All,ovary,-0.226601,0.246231,28
VWA5A,m-3M3-FBS,All,ovary,0.30188,0.133923,26
VWA5A,Capivasertib,All,ovary,0.290093,0.134274,28
VWA5A,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.427733,0.00660399,39
VWA5A,importazole,All,ovary,-0.259717,0.110334,39
VWA5A,CAY10618,All,ovary,0.275422,0.0854085,40
VWA5A,BRD-K11533227,All,ovary,-0.295164,0.0761395,37
VWA5A,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,0.383198,0.0160432,39
VWA5A,IGFR_3801,All,ovary,0.225506,0.248582,28
VWA5A,dalcetrapib,All,ovary,0.455727,0.0192986,26
VWA5A,Flutamide,All,ovary,0.343874,0.108136,23
VWA5A,BRD6150,All,ovary,-0.499248,0.0250219,20
VWA5A,GSK650394,All,ovary,0.335652,0.108827,24
VWA5A,simvastatin,All,ovary,0.329484,0.033109,42
VWA5A,GSK269962A,All,ovary,0.231527,0.226866,29
VWA5A,IC-87114,All,ovary,-0.240864,0.119729,43
VWA5A,PK-11195,All,ovary,0.328063,0.12645,23
VWA5A,N25720-51-A1,All,ovary,-0.205217,0.336061,24
VWA5A,16-beta-bromoandrosterone,All,ovary,-0.233398,0.131995,43
VWA5A,Embelin,All,ovary,0.390435,0.0592575,24
VWA5A,Parthenolide,All,ovary,-0.247084,0.105885,44
VWA5A,WZ4003,All,ovary,0.250435,0.237879,24
VWA5A,BRD-A02303741,All,ovary,0.404858,0.0105704,39
VWA5A,BRD-K13185470,All,ovary,0.272727,0.445838,10
VWA5A,BRD-K97651142,All,ovary,0.238648,0.149042,38
VWA5A,Bleomycin,All,ovary,0.270452,0.172443,27
VWA5A,AZD4877,All,ovary,0.237548,0.223531,28
VWA5A,fumagillol,All,ovary,0.309402,0.12403,26
VWA5A,Sinularin,All,ovary,-0.266234,0.243399,21
VWA5A,valdecoxib,All,ovary,0.317629,0.0356403,44
VWA5A,vorinostat:carboplatin (1:1 mol-mol),All,ovary,-0.215013,0.194846,38
VWA5A,QL-X-138,All,ovary,0.210181,0.283041,28
VWA5A,ZD-6474,All,ovary,-0.455844,0.03782,21
VWA5A,AGI-6780,All,ovary,-0.294581,0.120844,29
VWA5A,curcumin,All,ovary,0.372983,0.017769,40
