gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
JAML,NSC-87877,All,ovary,-0.209225,0.326501,24
JAML,BRD-K19103580,All,ovary,-0.221721,0.180947,38
JAML,neopeltolide,All,ovary,0.208288,0.22986,35
JAML,PHA-793887,All,ovary,0.266614,0.0878661,42
JAML,N27922-53-1,All,ovary,0.270683,0.200783,24
JAML,losartan,All,ovary,-0.350741,0.0789555,26
JAML,PBD-288,All,ovary,0.232902,0.273419,24
JAML,BRD8097,All,ovary,0.297222,0.203151,20
JAML,965-D2,All,ovary,0.358665,0.0719711,26
JAML,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.226573,0.190588,35
JAML,BRD-K27986637,All,ovary,0.30275,0.395171,10
JAML,BRD-K14844214,All,ovary,0.236092,0.165672,36
JAML,150412,All,ovary,0.267965,0.240231,21
JAML,BCL-LZH-4,All,ovary,0.404969,0.119704,16
JAML,Lenalidomide,All,ovary,-0.258226,0.107661,40
JAML,HG6-64-1,All,ovary,0.521648,0.00894017,24
JAML,GSK690693,All,ovary,0.394447,0.0377898,28
JAML,skepinone-L,All,ovary,-0.306414,0.24839,16
JAML,OSW-1,All,ovary,-0.319187,0.111972,26
JAML,PDMP,All,ovary,-0.209104,0.173129,44
JAML,CCT-018159,All,ovary,0.311261,0.100262,29
JAML,lonidamine,All,ovary,-0.368541,0.0639396,26
JAML,GSK2830371,All,ovary,-0.263388,0.22463,23
JAML,niclosamide,All,ovary,0.270094,0.101006,38
JAML,GSK343,All,ovary,-0.313678,0.0975136,29
JAML,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.284482,0.0834418,38
JAML,JAK1_3715,All,ovary,0.253894,0.201282,27
JAML,Savolitinib,All,ovary,0.390218,0.036373,29
JAML,TGX-115,All,ovary,-0.290059,0.150606,26
JAML,KIN001-244,All,ovary,0.521727,0.00440752,28
JAML,Remodelin,All,ovary,0.253788,0.426064,12
JAML,N-oxalyl-D-phenylalanine,All,ovary,-0.53926,0.00447124,26
JAML,pyrvinium pamoate,All,ovary,-0.360629,0.118279,20
JAML,A-366,All,ovary,0.283596,0.179295,24
JAML,Cyclophosphamide,All,ovary,-0.223768,0.17685,38
JAML,GSK-LSD1,All,ovary,-0.448097,0.041633,21
JAML,STF-62247,All,ovary,0.50151,0.00769712,27
JAML,Pelitinib,All,ovary,0.309194,0.109373,28
JAML,quinoclamine,All,ovary,0.202678,0.320717,26
JAML,AZD8835,All,ovary,0.244653,0.209576,28
JAML,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.207409,0.205171,39
