gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ARL2,neopeltolide,All,ovary,-0.307843,0.0720097,35
ARL2,procarbazine,All,ovary,-0.333844,0.0405218,38
ARL2,SZ4TA2,All,ovary,-0.264286,0.341174,15
ARL2,Zibotentan,All,ovary,-0.204707,0.296051,28
ARL2,Mitomycin-C,All,ovary,-0.224348,0.291923,24
ARL2,tacedinaline,All,ovary,0.234811,0.229069,28
ARL2,NSC 74859,All,ovary,0.212323,0.171654,43
ARL2,PBD-288,All,ovary,-0.246087,0.246395,24
ARL2,leucascandrolide A,All,ovary,-0.222564,0.274471,26
ARL2,965-D2,All,ovary,-0.43453,0.0265389,26
ARL2,"2,4-dideoxy-DC-45-A2",All,ovary,-0.308718,0.124906,26
ARL2,ML214,All,ovary,0.310714,0.259667,15
ARL2,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.207843,0.230879,35
ARL2,BDP-00009066,All,ovary,-0.234783,0.269455,24
ARL2,BRD-K14844214,All,ovary,-0.203346,0.234245,36
ARL2,BCL-LZH-4,All,ovary,-0.202941,0.450961,16
ARL2,NVP-AUY922,All,ovary,-0.436581,0.0257544,26
ARL2,GDC0810,All,ovary,0.217241,0.257632,29
ARL2,HG6-64-1,All,ovary,-0.229565,0.280547,24
ARL2,BRD-K33199242,All,ovary,0.203846,0.213235,39
ARL2,BRD-K09344309,All,ovary,-0.630769,0.0155782,14
ARL2,skepinone-L,All,ovary,-0.429412,0.0969365,16
ARL2,CCT-018159,All,ovary,-0.384729,0.0393242,29
ARL2,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.277383,0.0917865,38
ARL2,GSK2830371,All,ovary,-0.224308,0.303507,23
ARL2,CD-437,All,ovary,-0.2836,0.065339,43
ARL2,niclosamide,All,ovary,-0.230332,0.16416,38
ARL2,PLK_6522,All,ovary,-0.287904,0.137372,28
ARL2,JAK1_3715,All,ovary,-0.396215,0.0407592,27
ARL2,VAF-347,All,ovary,-0.244615,0.23861,25
ARL2,Panobinostat,All,ovary,-0.252101,0.144015,35
ARL2,XMD11-85h,All,ovary,0.227941,0.378911,17
ARL2,Luminespib,All,ovary,-0.318227,0.0924954,29
ARL2,Savolitinib,All,ovary,-0.548276,0.00207514,29
ARL2,birinapant,All,ovary,-0.210121,0.199175,39
ARL2,TGX-115,All,ovary,0.33265,0.096826,26
ARL2,KIN001-244,All,ovary,-0.403941,0.0330234,28
ARL2,Remodelin,All,ovary,0.237762,0.456801,12
ARL2,3-Cl-AHPC,All,ovary,-0.245951,0.131226,39
ARL2,JW-74,All,ovary,-0.262178,0.177728,28
ARL2,barasertib,All,ovary,0.293577,0.0736264,38
ARL2,FTI-277,All,ovary,-0.224348,0.291923,24
ARL2,STF-62247,All,ovary,-0.295482,0.134559,27
ARL2,AT-406,All,ovary,-0.226496,0.255932,27
ARL2,quinoclamine,All,ovary,-0.359316,0.0714186,26
ARL2,BRD9658,All,ovary,-0.333835,0.150299,20
ARL2,CHIR-99021,All,ovary,0.215081,0.16089,44
ARL2,ML150,All,ovary,-0.391304,0.0648353,23
ARL2,CBB-1007,All,ovary,-0.238235,0.374254,16
ARL2,KU 0060648,All,ovary,0.333396,0.0355285,40
ARL2,JZL-184,All,ovary,0.493333,0.0104375,26
ARL2,BRD4770,All,ovary,-0.205645,0.258838,32
ARL2,Podophyllotoxin bromide,All,ovary,-0.284416,0.211464,21
ARL2,Fludarabine,All,ovary,-0.550649,0.00968737,21
ARL2,BRD-K79669418,All,ovary,-0.206957,0.331892,24
ARL2,SB216763,All,ovary,-0.218227,0.255427,29
ARL2,Rucaparib,All,ovary,-0.281417,0.112617,33
ARL2,AGI-5198,All,ovary,-0.22266,0.245657,29
ARL2,AZD-7545,All,ovary,-0.390557,0.00876495,44
ARL2,cimetidine,All,ovary,-0.490909,0.149656,10
ARL2,tipifarnib-P1,All,ovary,-0.230867,0.131615,44
ARL2,AZ6102,All,ovary,0.219704,0.252142,29
ARL2,NSC319726,All,ovary,0.399015,0.0320165,29
ARL2,BRD0713,All,ovary,-0.231579,0.325899,20
ARL2,semagacestat,All,ovary,-0.287449,0.0801341,38
ARL2,OF-1,All,ovary,0.211304,0.321605,24
ARL2,Vinblastine,All,ovary,-0.266557,0.170332,28
ARL2,GANT-58,All,ovary,0.335714,0.221212,15
ARL2,minoxidil,All,ovary,-0.339286,0.216029,15
ARL2,Torin 2,All,ovary,-0.218227,0.255427,29
ARL2,nimodipine,All,ovary,-0.65,0.00871158,15
ARL2,5-Fluorouracil,All,ovary,-0.245813,0.198672,29
ARL2,NG-25,All,ovary,0.232074,0.234698,28
ARL2,Capivasertib,All,ovary,-0.388068,0.0412906,28
ARL2,XMD15-27,All,ovary,-0.244116,0.210609,28
ARL2,CAY10618,All,ovary,-0.235084,0.144232,40
ARL2,Platin,All,ovary,-0.265587,0.102233,39
ARL2,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,-0.225506,0.167488,39
ARL2,IGFR_3801,All,ovary,-0.31965,0.0972891,28
ARL2,WYE-125132,All,ovary,-0.264039,0.166341,29
ARL2,FR-180204,All,ovary,-0.229885,0.239267,28
ARL2,Cisplatin,All,ovary,-0.299945,0.120961,28
ARL2,GSK650394,All,ovary,-0.210435,0.323647,24
ARL2,BRD-K48477130,All,ovary,-0.282353,0.28935,16
ARL2,simvastatin,All,ovary,-0.227453,0.147437,42
ARL2,BRD7137,All,ovary,-0.231453,0.255257,26
ARL2,Epirubicin,All,ovary,-0.273399,0.151275,29
ARL2,N25720-51-A1,All,ovary,-0.202609,0.342373,24
ARL2,cytarabine hydrochloride,All,ovary,-0.231426,0.16211,38
ARL2,Erlotinib,All,ovary,0.327009,0.0283371,45
ARL2,BRD-K97651142,All,ovary,-0.220484,0.183456,38
ARL2,SB505124,All,ovary,0.347291,0.0649095,29
ARL2,bendamustine,All,ovary,-0.291826,0.075442,38
ARL2,AEW541,All,ovary,-0.311538,0.129529,25
ARL2,4-methylfasudil,All,ovary,-0.272479,0.17808,26
ARL2,brivanib,All,ovary,-0.265992,0.101691,39
ARL2,AGI-6780,All,ovary,0.207389,0.28037,29
ARL2,Ispinesib Mesylate,All,ovary,-0.210181,0.283041,28
ARL2,AZD5438,All,ovary,-0.203612,0.298697,28
ARL2,BRD-K58730230,All,ovary,-0.357576,0.310376,10
ARL2,Ara-G,All,ovary,-0.302463,0.110762,29
ARL2,VTP-A,All,ovary,-0.273913,0.195252,24
ARL2,navitoclax:sorafenib (1:1 mol-mol),All,ovary,-0.321151,0.0492982,38
ARL2,Bortezomib,All,ovary,0.216281,0.148831,46
ARL2,968,All,ovary,0.490909,0.149656,10
ARL2,BRD-K44224150,All,ovary,-0.430303,0.214492,10
ARL2,CDK9_5038,All,ovary,-0.358442,0.11059,21
ARL2,RAF_9304,All,ovary,-0.37931,0.0465122,28
ARL2,CRT0105446,All,ovary,-0.337712,0.0788182,28
ARL2,JQ-1:UNC0638 (2:1 mol-mol),All,ovary,0.321005,0.0527216,37
ARL2,azacitidine,All,ovary,-0.388336,0.0159831,38
ARL2,TTK_3146,All,ovary,-0.291188,0.132744,28
ARL2,fatostatin,All,ovary,-0.273162,0.176951,26
ARL2,BX-912,All,ovary,-0.247947,0.203311,28
ARL2,ICL-SIRT078,All,ovary,0.210435,0.323647,24
ARL2,THR-102,All,ovary,-0.316206,0.141583,23
ARL2,FS112,All,ovary,-0.446634,0.0171907,28
ARL2,993-D2,All,ovary,0.269744,0.182649,26
ARL2,vandetanib,All,ovary,0.254623,0.122898,38
ARL2,compound 1B,All,ovary,-0.25486,0.127932,37
ARL2,WIKI4,All,ovary,0.224138,0.242455,29
ARL2,BPD-00008900,All,ovary,-0.405217,0.0494864,24
ARL2,AZD6482,All,ovary,0.261703,0.0900332,43
ARL2,QL-XII-61,All,ovary,-0.296569,0.247729,17
ARL2,Alda-1,All,ovary,0.303248,0.132083,26
ARL2,Talazoparib,All,ovary,-0.296059,0.118904,29
ARL2,BRD-K34485477,All,ovary,-0.50303,0.138334,10
ARL2,Eg5_9814,All,ovary,-0.472727,0.0304552,21
ARL2,KIN001-266,All,ovary,0.226054,0.247405,28
ARL2,CDK9_5576,All,ovary,-0.397403,0.0744368,21
ARL2,BRD-K71781559,All,ovary,-0.244939,0.132871,39
ARL2,CCT245467,All,ovary,-0.206349,0.292109,28
ARL2,Bryostatin 1,All,ovary,-0.286087,0.17534,24
ARL2,idarubicin,All,ovary,-0.523419,0.00606892,26
ARL2,AT7867,All,ovary,-0.338417,0.0264385,43
ARL2,GSK2276186C,All,ovary,0.218182,0.342048,21
ARL2,BRD-K42260513,All,ovary,0.370588,0.15765,16
ARL2,Etoposide,All,ovary,-0.501326,0.000386664,46
ARL2,BI-2536,All,ovary,-0.343324,0.0194937,46
ARL2,BRD4372,All,ovary,-0.284211,0.224585,20
ARL2,GSK461364,All,ovary,-0.348032,0.0347869,37
ARL2,clofarabine,All,ovary,-0.305668,0.0584429,39
ARL2,vorapaxar,All,ovary,-0.278947,0.0854926,39
ARL2,ETP-46464,All,ovary,0.270936,0.155141,29
ARL2,CI-1040,All,ovary,-0.253968,0.192197,28
ARL2,BRD-K27224038,All,ovary,-0.393939,0.259998,10
ARL2,MI-2,All,ovary,-0.258824,0.333072,16
ARL2,decitabine:navitoclax (2:1 mol-mol),All,ovary,-0.204858,0.210922,39
ARL2,CIL41,All,ovary,0.218917,0.22095,33
ARL2,RS-23597-190,All,ovary,0.422925,0.0443624,23
ARL2,CT7033-2,All,ovary,-0.351304,0.0923173,24
ARL2,Gemcitabine,All,ovary,-0.300401,0.0425129,46
ARL2,Compound 44,All,ovary,-0.273846,0.175826,26
ARL2,BRD-A86708339,All,ovary,-0.242857,0.383128,15
ARL2,ABT-751,All,ovary,-0.208889,0.305789,26
ARL2,cyanoquinoline 11,All,ovary,0.231863,0.161295,38
ARL2,630600,All,ovary,-0.479221,0.0279444,21
ARL2,CCT245232,All,ovary,-0.203065,0.300026,28
ARL2,ZSTK474,All,ovary,0.513978,0.000498325,42
ARL2,AT13387,All,ovary,-0.45,0.0802957,16
ARL2,Zoledronate,All,ovary,-0.344156,0.126598,21
ARL2,741909,All,ovary,0.445455,0.0429999,21
ARL2,JAK3_7406,All,ovary,-0.244663,0.209556,28
