gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CALR,EPZ004777,All,ovary,-0.331527,0.0789403,29
CALR,Mitomycin-C,All,ovary,-0.228696,0.282423,24
CALR,tacedinaline,All,ovary,-0.314176,0.103483,28
CALR,NSC 74859,All,ovary,0.258834,0.0937437,43
CALR,etomoxir,All,ovary,0.344609,0.0236371,43
CALR,PBD-288,All,ovary,-0.206957,0.331892,24
CALR,965-D2,All,ovary,-0.438632,0.0249887,26
CALR,ML214,All,ovary,-0.314286,0.25394,15
CALR,MCT1_6447,All,ovary,0.206349,0.292109,28
CALR,BRD-K27986637,All,ovary,-0.490909,0.149656,10
CALR,150412,All,ovary,-0.494805,0.0225836,21
CALR,BCL-LZH-4,All,ovary,-0.444118,0.0848227,16
CALR,Lenalidomide,All,ovary,0.24409,0.129047,40
CALR,Motesanib,All,ovary,-0.317734,0.0930293,29
CALR,BRD-K09344309,All,ovary,0.345055,0.226949,14
CALR,GSK690693,All,ovary,-0.350301,0.0676237,28
CALR,lonidamine,All,ovary,0.256068,0.206711,26
CALR,JAK1_3715,All,ovary,-0.34127,0.0814881,27
CALR,XMD11-85h,All,ovary,0.335784,0.187614,17
CALR,NVP-231,All,ovary,-0.203644,0.2137,39
CALR,KIN001-244,All,ovary,-0.237001,0.224631,28
CALR,Remodelin,All,ovary,-0.412587,0.182564,12
CALR,N-oxalyl-D-phenylalanine,All,ovary,0.428376,0.029009,26
CALR,776928,All,ovary,0.377922,0.0911966,21
CALR,JW-74,All,ovary,0.200876,0.305378,28
CALR,pyrvinium pamoate,All,ovary,0.320301,0.168577,20
CALR,MK-591,All,ovary,-0.235556,0.246692,26
CALR,abiraterone,All,ovary,-0.279121,0.333845,14
CALR,Pelitinib,All,ovary,-0.245211,0.208506,28
CALR,BRD9658,All,ovary,0.384962,0.0937255,20
CALR,ML150,All,ovary,-0.281621,0.192977,23
CALR,BRD-K49290616,All,ovary,-0.490909,0.149656,10
CALR,CBB-1007,All,ovary,-0.364706,0.164868,16
CALR,KU 0060648,All,ovary,-0.23546,0.143574,40
CALR,bardoxolone methyl,All,ovary,-0.299099,0.0763816,36
CALR,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.226923,0.164764,39
CALR,AZD8835,All,ovary,-0.215654,0.270401,28
CALR,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.287247,0.0762169,39
CALR,PF-3758309,All,ovary,0.382353,0.143859,16
CALR,Amuvatinib,All,ovary,-0.430213,0.0223051,28
CALR,alvocidib,All,ovary,-0.341176,0.195933,16
CALR,CAY10603,All,ovary,-0.222833,0.263908,27
CALR,BRD-K79669418,All,ovary,0.349565,0.0940531,24
CALR,Idelalisib,All,ovary,-0.341544,0.0268492,42
CALR,LY-2157299,All,ovary,0.236364,0.510885,10
CALR,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.359717,0.0244982,39
CALR,BRD2572,All,ovary,-0.377444,0.100873,20
CALR,kb NB 142-70,All,ovary,-0.292118,0.12413,29
CALR,cimetidine,All,ovary,-0.612121,0.0599721,10
CALR,JW-7-24-1,All,ovary,-0.466338,0.0123708,28
CALR,OF-1,All,ovary,-0.309565,0.141011,24
CALR,EHT-1864,All,ovary,-0.233005,0.223831,29
CALR,XMD13-2,All,ovary,-0.37931,0.0465122,28
CALR,minoxidil,All,ovary,-0.275,0.321211,15
CALR,Torin 2,All,ovary,-0.335961,0.0747784,29
CALR,5-Fluorouracil,All,ovary,-0.305911,0.106554,29
CALR,m-3M3-FBS,All,ovary,0.388718,0.0496968,26
CALR,Capivasertib,All,ovary,-0.48659,0.00864686,28
CALR,XMD15-27,All,ovary,-0.264368,0.174002,28
CALR,ZL109,All,ovary,0.286325,0.147644,27
CALR,Platin,All,ovary,-0.321053,0.0462783,39
CALR,dalcetrapib,All,ovary,0.283419,0.160603,26
CALR,Flutamide,All,ovary,0.458498,0.0277782,23
CALR,WYE-125132,All,ovary,-0.364532,0.0518704,29
CALR,navitoclax:MST-312 (1:1 mol-mol),All,ovary,-0.210526,0.211043,37
CALR,BRD6825,All,ovary,0.237594,0.313131,20
CALR,Cisplatin,All,ovary,-0.246853,0.205379,28
CALR,GSK650394,All,ovary,-0.332174,0.112773,24
