gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CASP1,EPZ004777,All,ovary,-0.334483,0.0761465,29
CASP1,N27922-53-1,All,ovary,-0.317391,0.130718,24
CASP1,PFI-1,All,ovary,0.303941,0.108943,29
CASP1,BRD8097,All,ovary,0.342857,0.13891,20
CASP1,965-D2,All,ovary,0.250598,0.216912,26
CASP1,ML214,All,ovary,0.217857,0.435393,15
CASP1,BRD-K34222889,All,ovary,0.303846,0.060038,39
CASP1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.304762,0.0750538,35
CASP1,NVP-AUY922,All,ovary,-0.297778,0.139554,26
CASP1,HG6-64-1,All,ovary,0.516522,0.00976161,24
CASP1,Motesanib,All,ovary,-0.210345,0.273418,29
CASP1,BPTES,All,ovary,0.229885,0.239267,28
CASP1,BRD-K09344309,All,ovary,-0.613187,0.0197063,14
CASP1,BRD4132,All,ovary,-0.282996,0.0808643,39
CASP1,GSK2830371,All,ovary,-0.592885,0.00286855,23
CASP1,GSK343,All,ovary,-0.212808,0.26771,29
CASP1,JAK1_3715,All,ovary,0.220391,0.269313,27
CASP1,VAF-347,All,ovary,-0.233846,0.260565,25
CASP1,XMD11-85h,All,ovary,0.421569,0.0919126,17
CASP1,CAY10594,All,ovary,0.234521,0.130091,43
CASP1,birinapant,All,ovary,-0.228947,0.160928,39
CASP1,TGX-115,All,ovary,0.21641,0.2883,26
CASP1,Tubastatin A,All,ovary,-0.214625,0.156837,45
CASP1,JW-74,All,ovary,0.242474,0.213791,28
CASP1,necrosulfonamide,All,ovary,0.379829,0.0556284,26
CASP1,FTI-277,All,ovary,0.208696,0.327753,24
CASP1,BRD-K70511574,All,ovary,0.250202,0.124483,39
CASP1,AZD5363,All,ovary,0.223645,0.243519,29
CASP1,GSK-LSD1,All,ovary,-0.277922,0.222532,21
CASP1,abiraterone,All,ovary,-0.635165,0.0146579,14
CASP1,Pelitinib,All,ovary,0.232074,0.234698,28
CASP1,Tozasertib,All,ovary,-0.427477,0.0232676,28
CASP1,quinoclamine,All,ovary,-0.230769,0.256703,26
CASP1,N23918-95-7,All,ovary,0.288156,0.144957,27
