gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CDYL,NSC-87877,All,ovary,0.308696,0.14219,24
CDYL,UNC0321,All,ovary,0.267167,0.0955979,40
CDYL,procarbazine,All,ovary,0.243681,0.140401,38
CDYL,N27922-53-1,All,ovary,0.28087,0.183694,24
CDYL,SZ4TA2,All,ovary,0.310714,0.259667,15
CDYL,dexamethasone,All,ovary,0.227766,0.137026,44
CDYL,NSC 74859,All,ovary,0.232558,0.133431,43
CDYL,myricetin,All,ovary,0.341296,0.0334738,39
CDYL,PBD-288,All,ovary,0.249565,0.239566,24
CDYL,PFI-1,All,ovary,0.406404,0.0286921,29
CDYL,Wnt-C59,All,ovary,0.231034,0.227884,29
CDYL,IAP_7638,All,ovary,-0.362027,0.063504,27
CDYL,BRD-K34222889,All,ovary,0.226113,0.166316,39
CDYL,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.202521,0.243309,35
CDYL,B02,All,ovary,0.338086,0.0328658,40
CDYL,MCT1_6447,All,ovary,0.343186,0.0737887,28
CDYL,HG6-64-1,All,ovary,-0.365217,0.0792799,24
CDYL,Motesanib,All,ovary,0.342857,0.0686428,29
CDYL,BRD-K09344309,All,ovary,0.2,0.493004,14
CDYL,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.200091,0.198278,43
CDYL,skepinone-L,All,ovary,0.55,0.027294,16
CDYL,OSW-1,All,ovary,0.223248,0.272961,26
CDYL,Vinorelbine,All,ovary,-0.396552,0.0331914,29
CDYL,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.256374,0.120257,38
CDYL,GSK343,All,ovary,0.274384,0.149748,29
CDYL,Panobinostat,All,ovary,-0.287955,0.0934568,35
CDYL,BRD-K55473186,All,ovary,0.446634,0.0171907,28
CDYL,NVP-231,All,ovary,0.212146,0.194782,39
CDYL,Tubastatin A,All,ovary,-0.224506,0.138167,45
CDYL,3-Cl-AHPC,All,ovary,0.202429,0.216502,39
CDYL,N-oxalyl-D-phenylalanine,All,ovary,0.268376,0.184964,26
CDYL,prochlorperazine,All,ovary,0.346154,0.0308791,39
CDYL,776928,All,ovary,-0.257143,0.260473,21
CDYL,JW-74,All,ovary,0.384236,0.0435144,28
CDYL,necrosulfonamide,All,ovary,0.534359,0.00492212,26
CDYL,FTI-277,All,ovary,0.28087,0.183694,24
CDYL,BRD-K70511574,All,ovary,0.260526,0.109188,39
CDYL,MK-591,All,ovary,-0.323077,0.107427,26
CDYL,GSK-LSD1,All,ovary,0.432468,0.0502299,21
CDYL,STF-62247,All,ovary,0.242369,0.223203,27
CDYL,abiraterone,All,ovary,0.367033,0.196739,14
CDYL,trifluoperazine,All,ovary,0.267167,0.0955979,40
CDYL,GSK1070916,All,ovary,0.240285,0.218084,28
CDYL,CIL55A,All,ovary,0.235447,0.180095,34
CDYL,DC-45-A2,All,ovary,-0.234872,0.248106,26
CDYL,BRD2762,All,ovary,-0.237594,0.313131,20
CDYL,AT-406,All,ovary,0.209402,0.294512,27
CDYL,BRD9658,All,ovary,0.204511,0.38709,20
CDYL,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.256275,0.115303,39
CDYL,WT-161,All,ovary,-0.22188,0.275986,26
CDYL,BRD4770,All,ovary,-0.243768,0.178792,32
CDYL,Podophyllotoxin bromide,All,ovary,0.238961,0.296849,21
CDYL,PF-3758309,All,ovary,0.229412,0.39272,16
CDYL,Dihydrorotenone,All,ovary,0.222078,0.333281,21
CDYL,XL765,All,ovary,0.279757,0.0845509,39
CDYL,alvocidib,All,ovary,-0.211765,0.431083,16
CDYL,CAY10603,All,ovary,-0.273504,0.167461,27
CDYL,LY-2157299,All,ovary,0.260606,0.467089,10
CDYL,BRD2572,All,ovary,0.251128,0.285522,20
CDYL,Rucaparib,All,ovary,-0.40508,0.0193598,33
CDYL,Avagacestat,All,ovary,0.334975,0.0756883,29
CDYL,"eEF2K Inhibitor, A-484954",All,ovary,0.285222,0.133678,29
CDYL,NSC319726,All,ovary,-0.204926,0.286249,29
CDYL,BRD0713,All,ovary,0.234586,0.319476,20
CDYL,KX2-391,All,ovary,0.245344,0.132211,39
CDYL,O-6-benzylguanine,All,ovary,-0.438235,0.08953,16
CDYL,Cetuximab,All,ovary,0.241758,0.224407,27
CDYL,OF-1,All,ovary,0.214783,0.313517,24
CDYL,EHT-1864,All,ovary,-0.275369,0.148232,29
CDYL,chlorambucil,All,ovary,0.217206,0.184098,39
CDYL,methylstat,All,ovary,0.203448,0.289814,29
CDYL,HBX-41108,All,ovary,0.65468,0.000116591,29
CDYL,TG-100-115,All,ovary,0.2083,0.203189,39
CDYL,minoxidil,All,ovary,-0.217857,0.435393,15
CDYL,PT-630,All,ovary,0.329915,0.0997713,26
CDYL,Belinostat,All,ovary,-0.220308,0.225657,32
CDYL,NG-25,All,ovary,0.342638,0.0742802,28
CDYL,StemRegenin 1,All,ovary,0.217611,0.183261,39
CDYL,SGC-CBP30,All,ovary,0.541558,0.0112258,21
CDYL,Capivasertib,All,ovary,0.283525,0.143722,28
CDYL,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.293139,0.0740771,38
CDYL,importazole,All,ovary,0.210324,0.198733,39
CDYL,CAY10618,All,ovary,-0.279925,0.0802175,40
CDYL,BRD6150,All,ovary,0.297744,0.20232,20
CDYL,neratinib,All,ovary,-0.297252,0.0500514,44
CDYL,Cisplatin,All,ovary,0.232622,0.233565,28
CDYL,BRD-K48477130,All,ovary,0.326471,0.217159,16
CDYL,GSK269962A,All,ovary,0.234975,0.219827,29
CDYL,ML160,All,ovary,0.289526,0.180247,23
CDYL,N25720-51-A1,All,ovary,0.241739,0.255106,24
CDYL,BRD-K13185470,All,ovary,-0.357576,0.310376,10
CDYL,BRD-K97651142,All,ovary,0.360762,0.0260729,38
CDYL,mitomycin,All,ovary,0.491451,0.000949462,42
CDYL,Compound 11e,All,ovary,0.396429,0.143495,15
CDYL,ZD-6474,All,ovary,-0.316883,0.161633,21
CDYL,brivanib,All,ovary,0.389271,0.0143101,39
CDYL,BRD-K71935468,All,ovary,0.259875,0.115101,38
CDYL,SB-743921,All,ovary,0.289237,0.0825106,37
CDYL,SMER-3,All,ovary,0.246589,0.147109,36
CDYL,TAF1_5496,All,ovary,0.354545,0.114802,21
CDYL,PLX-4032,All,ovary,0.305176,0.0624471,38
CDYL,AZD5438,All,ovary,0.223864,0.252135,28
CDYL,BRD-K58730230,All,ovary,-0.466667,0.173939,10
CDYL,BDF00022089a,All,ovary,0.280519,0.21806,21
CDYL,VTP-A,All,ovary,-0.354783,0.0889174,24
CDYL,MLN2238,All,ovary,0.415034,0.00956925,38
CDYL,Epothilone B,All,ovary,-0.382609,0.0649997,24
CDYL,968,All,ovary,0.248485,0.488776,10
CDYL,CDK9_5038,All,ovary,0.255844,0.262973,21
CDYL,BAM7,All,ovary,-0.220197,0.251054,29
CDYL,RAF_9304,All,ovary,0.260536,0.180559,28
CDYL,tanespimycin:bortezomib (250:1 mol-mol),All,ovary,0.297812,0.0777176,36
CDYL,DBeQ,All,ovary,0.273225,0.0969633,38
CDYL,JNK-9L,All,ovary,-0.235652,0.267633,24
CDYL,azacitidine,All,ovary,0.233614,0.158066,38
CDYL,BRD6430,All,ovary,0.216194,0.186201,39
CDYL,BX-912,All,ovary,0.368911,0.0533772,28
CDYL,ICL-SIRT078,All,ovary,0.207826,0.329819,24
CDYL,993-D2,All,ovary,0.229402,0.259611,26
CDYL,KIN001-260,All,ovary,-0.257252,0.186315,28
CDYL,BPD-00008900,All,ovary,0.453043,0.0262021,24
CDYL,GW843682X,All,ovary,-0.23437,0.130346,43
CDYL,AZD6482,All,ovary,-0.205678,0.185777,43
CDYL,MLN2480,All,ovary,0.214706,0.424559,16
CDYL,WZ3105,All,ovary,-0.303229,0.116747,28
CDYL,BRD-K34485477,All,ovary,-0.29697,0.404702,10
CDYL,nifedipine,All,ovary,-0.295043,0.143401,26
CDYL,Tipifarnib,All,ovary,-0.264348,0.211939,24
CDYL,BRD-K71781559,All,ovary,0.329757,0.0403577,39
CDYL,123138,All,ovary,0.341558,0.129678,21
CDYL,Venetoclax,All,ovary,0.285457,0.0914853,36
CDYL,"CAP-232, TT-232, TLN-232",All,ovary,-0.384236,0.0395982,29
CDYL,ifosfamide,All,ovary,0.224308,0.303507,23
CDYL,SCH-529074,All,ovary,0.21498,0.188746,39
CDYL,Ki8751,All,ovary,0.258502,0.112069,39
CDYL,NSC-207895,All,ovary,0.386447,0.0464653,27
CDYL,VER-155008,All,ovary,-0.269345,0.0770555,44
CDYL,CI-1040,All,ovary,0.338259,0.0783037,28
CDYL,SR1001,All,ovary,0.23252,0.160078,38
CDYL,Nilotinib,All,ovary,0.258366,0.0865962,45
