gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CLEC2D,NSC-87877,All,ovary,-0.255652,0.227918,24
CLEC2D,EPZ004777,All,ovary,0.246798,0.196821,29
CLEC2D,PHA-793887,All,ovary,0.382318,0.0124662,42
CLEC2D,dexamethasone,All,ovary,-0.217351,0.15641,44
CLEC2D,Mitomycin-C,All,ovary,0.393913,0.0568347,24
CLEC2D,losartan,All,ovary,-0.383248,0.053285,26
CLEC2D,965-D2,All,ovary,0.284103,0.159553,26
CLEC2D,"2,4-dideoxy-DC-45-A2",All,ovary,-0.301197,0.13485,26
CLEC2D,KU-55933,All,ovary,0.289587,0.0596226,43
CLEC2D,SNS-032,All,ovary,0.350344,0.0361899,36
CLEC2D,BDP-00009066,All,ovary,-0.258261,0.223043,24
CLEC2D,B02,All,ovary,0.317463,0.0459213,40
CLEC2D,Pilaralisib,All,ovary,0.271921,0.153586,29
CLEC2D,BRD-K27986637,All,ovary,0.236364,0.510885,10
CLEC2D,BCL-LZH-4,All,ovary,0.323529,0.221574,16
CLEC2D,NVP-AUY922,All,ovary,-0.309402,0.12403,26
CLEC2D,Lenalidomide,All,ovary,-0.516886,0.000638018,40
CLEC2D,HG6-64-1,All,ovary,0.294783,0.162011,24
CLEC2D,BRD-K09344309,All,ovary,-0.793407,0.000707534,14
CLEC2D,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.274183,0.0752026,43
CLEC2D,skepinone-L,All,ovary,-0.291176,0.273887,16
CLEC2D,triptolide,All,ovary,0.200437,0.192043,44
CLEC2D,lonidamine,All,ovary,-0.234188,0.249526,26
CLEC2D,PLK_6522,All,ovary,-0.200328,0.306725,28
CLEC2D,Panobinostat,All,ovary,-0.200854,0.247292,35
CLEC2D,FMK,All,ovary,0.293913,0.163311,24
CLEC2D,NVP-231,All,ovary,0.265702,0.102079,39
CLEC2D,N-oxalyl-D-phenylalanine,All,ovary,-0.239658,0.238317,26
CLEC2D,prochlorperazine,All,ovary,0.288274,0.0751263,39
CLEC2D,JW-74,All,ovary,0.229885,0.239267,28
CLEC2D,Gly-Gly-PALO,All,ovary,-0.308718,0.124906,26
CLEC2D,Cyclophosphamide,All,ovary,-0.369665,0.022358,38
CLEC2D,BRD-K70511574,All,ovary,0.338074,0.0352911,39
CLEC2D,MK-591,All,ovary,-0.26906,0.183804,26
CLEC2D,GSK-LSD1,All,ovary,-0.384416,0.0853276,21
CLEC2D,abiraterone,All,ovary,-0.235165,0.418334,14
CLEC2D,Tozasertib,All,ovary,-0.21237,0.277941,28
CLEC2D,AT-406,All,ovary,0.216117,0.278942,27
CLEC2D,quinoclamine,All,ovary,0.251966,0.214331,26
CLEC2D,CHIR-99021,All,ovary,0.272394,0.0736409,44
CLEC2D,ML150,All,ovary,-0.248024,0.253833,23
CLEC2D,KU 0060648,All,ovary,0.325906,0.0401443,40
CLEC2D,bardoxolone methyl,All,ovary,0.336186,0.0449945,36
CLEC2D,PF-3758309,All,ovary,0.379412,0.147227,16
CLEC2D,Amuvatinib,All,ovary,0.223864,0.252135,28
CLEC2D,alvocidib,All,ovary,0.514706,0.0413458,16
CLEC2D,narciclasine,All,ovary,0.360619,0.0283332,37
CLEC2D,Idelalisib,All,ovary,0.238888,0.127607,42
CLEC2D,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.265803,0.101944,39
CLEC2D,sparfosic acid,All,ovary,-0.348376,0.0811373,26
CLEC2D,BRD2572,All,ovary,-0.204511,0.38709,20
CLEC2D,CIL55,All,ovary,0.220272,0.218033,33
CLEC2D,Avagacestat,All,ovary,-0.423645,0.0220155,29
CLEC2D,AGI-5198,All,ovary,-0.204926,0.286249,29
CLEC2D,UNC1215,All,ovary,-0.207444,0.289499,28
CLEC2D,AZD6094,All,ovary,-0.258852,0.192321,27
CLEC2D,"eEF2K Inhibitor, A-484954",All,ovary,-0.283251,0.136502,29
CLEC2D,tipifarnib-P1,All,ovary,0.221651,0.148179,44
CLEC2D,pandacostat,All,ovary,0.293132,0.0701306,39
CLEC2D,Navitoclax,All,ovary,-0.369681,0.0114527,46
CLEC2D,JW-7-24-1,All,ovary,0.269294,0.165821,28
CLEC2D,KX2-391,All,ovary,0.363075,0.0231001,39
CLEC2D,Picolinici-acid,All,ovary,-0.255652,0.227918,24
CLEC2D,EHT-1864,All,ovary,0.302956,0.110153,29
CLEC2D,XMD13-2,All,ovary,0.22058,0.259342,28
CLEC2D,"1S,3R-RSL-3",All,ovary,0.209678,0.188256,41
CLEC2D,Bexarotene,All,ovary,-0.352579,0.0220151,42
CLEC2D,minoxidil,All,ovary,0.289286,0.295665,15
CLEC2D,Torin 2,All,ovary,0.220197,0.251054,29
CLEC2D,StemRegenin 1,All,ovary,0.363581,0.0228952,39
CLEC2D,Capivasertib,All,ovary,0.214012,0.274154,28
CLEC2D,XMD15-27,All,ovary,0.210181,0.283041,28
CLEC2D,FY026,All,ovary,-0.252137,0.204525,27
CLEC2D,ZL109,All,ovary,-0.265568,0.180629,27
CLEC2D,Flutamide,All,ovary,-0.228261,0.29484,23
CLEC2D,WYE-125132,All,ovary,0.248276,0.194067,29
CLEC2D,BRD6150,All,ovary,0.381955,0.0965386,20
CLEC2D,FR-180204,All,ovary,-0.295019,0.12749,28
CLEC2D,BRD6825,All,ovary,0.243609,0.300668,20
CLEC2D,Cisplatin,All,ovary,0.214559,0.272899,28
CLEC2D,GSK650394,All,ovary,0.370435,0.0747679,24
CLEC2D,GSK269962A,All,ovary,0.27734,0.145233,29
CLEC2D,IC-87114,All,ovary,-0.206373,0.184262,43
CLEC2D,BRD-A02303741,All,ovary,-0.214485,0.189791,39
CLEC2D,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.29611,0.0710604,38
CLEC2D,BRD-K13185470,All,ovary,-0.248485,0.488776,10
CLEC2D,Pictilisib,All,ovary,0.321453,0.0355586,43
CLEC2D,BRD-K97651142,All,ovary,-0.300159,0.0671052,38
CLEC2D,Bleomycin,All,ovary,0.396825,0.040422,27
CLEC2D,SB505124,All,ovary,-0.212808,0.26771,29
CLEC2D,AEW541,All,ovary,-0.343528,0.0927022,25
CLEC2D,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,-0.308458,0.0632454,37
CLEC2D,BRD-K71935468,All,ovary,0.251682,0.127433,38
CLEC2D,PF-4708671,All,ovary,0.357635,0.0568125,29
CLEC2D,PI-103,All,ovary,0.372703,0.0107456,46
CLEC2D,VE821,All,ovary,0.262069,0.169644,29
CLEC2D,pyrazolanthrone,All,ovary,0.231388,0.156389,39
CLEC2D,Sabutoclax,All,ovary,0.264348,0.211939,24
CLEC2D,BRD-K58730230,All,ovary,-0.321212,0.365468,10
CLEC2D,MLN2238,All,ovary,0.351261,0.0305858,38
CLEC2D,AZD8931,All,ovary,0.253421,0.193189,28
CLEC2D,navitoclax:sorafenib (1:1 mol-mol),All,ovary,-0.248181,0.132994,38
CLEC2D,Epothilone B,All,ovary,0.346957,0.0967024,24
CLEC2D,OSI-027,All,ovary,0.416748,0.00543594,43
CLEC2D,968,All,ovary,0.333333,0.346593,10
CLEC2D,4-IPP,All,ovary,-0.204103,0.317253,26
CLEC2D,zileuton,All,ovary,-0.237607,0.242481,26
CLEC2D,BRD6430,All,ovary,-0.236854,0.146563,39
CLEC2D,TTK_3146,All,ovary,0.368363,0.0537594,28
CLEC2D,fatostatin,All,ovary,-0.312137,0.120568,26
CLEC2D,Fedratinib,All,ovary,0.213889,0.153487,46
CLEC2D,50869,All,ovary,0.387013,0.0830602,21
CLEC2D,gossypol,All,ovary,-0.243358,0.111426,44
CLEC2D,vandetanib,All,ovary,0.246758,0.135303,38
CLEC2D,Nutlin-3a,All,ovary,0.298076,0.0442194,46
CLEC2D,Alda-1,All,ovary,-0.242393,0.23284,26
CLEC2D,BRD-K34485477,All,ovary,-0.309091,0.384841,10
CLEC2D,Tipifarnib,All,ovary,0.394783,0.0562411,24
CLEC2D,123138,All,ovary,-0.205195,0.372237,21
CLEC2D,Bryostatin 1,All,ovary,0.213043,0.317545,24
CLEC2D,Venetoclax,All,ovary,-0.40103,0.0153514,36
CLEC2D,AT7867,All,ovary,0.388734,0.00998962,43
CLEC2D,GSK2276186C,All,ovary,0.275325,0.227064,21
CLEC2D,BRD-K42260513,All,ovary,0.244118,0.362213,16
CLEC2D,XMD8-92,All,ovary,-0.245098,0.343047,17
CLEC2D,BI-2536,All,ovary,0.216295,0.148806,46
CLEC2D,BRD4372,All,ovary,-0.284211,0.224585,20
CLEC2D,GSK461364,All,ovary,0.28331,0.0892874,37
CLEC2D,SCH-529074,All,ovary,0.303963,0.0599348,39
CLEC2D,Tenovin-6,All,ovary,0.210837,0.27227,29
CLEC2D,NVP-BSK805,All,ovary,0.279805,0.0888699,38
CLEC2D,vorapaxar,All,ovary,-0.203553,0.213908,39
CLEC2D,ETP-46464,All,ovary,0.328571,0.081812,29
CLEC2D,BRD9571,All,ovary,0.603571,0.0172001,15
CLEC2D,CI-1040,All,ovary,-0.268199,0.167615,28
CLEC2D,BRD-K27224038,All,ovary,-0.224242,0.533401,10
CLEC2D,KPT185,All,ovary,0.28867,0.128839,29
CLEC2D,CT7033-2,All,ovary,-0.23913,0.260428,24
CLEC2D,AZD4547,All,ovary,0.372952,0.0137728,43
CLEC2D,BRD-A86708339,All,ovary,0.210714,0.450958,15
CLEC2D,cyanoquinoline 11,All,ovary,0.309696,0.0584731,38
CLEC2D,Sunitinib,All,ovary,0.403057,0.0109548,39
CLEC2D,chaetocin,All,ovary,-0.231225,0.288441,23
CLEC2D,fluoropyruvate,All,ovary,-0.545983,0.00390997,26
CLEC2D,BRD-K63431240,All,ovary,0.216813,0.184914,39
CLEC2D,UNC0642,All,ovary,-0.367269,0.0545303,28
CLEC2D,Zoledronate,All,ovary,-0.27013,0.236308,21
CLEC2D,Gallibiscoquinazole,All,ovary,-0.281818,0.215846,21
CLEC2D,JAK3_7406,All,ovary,0.275862,0.155341,28
CLEC2D,TW 37,All,ovary,-0.270029,0.0799082,43
CLEC2D,Taselisib,All,ovary,0.214286,0.264323,29
CLEC2D,Compound 10b,All,ovary,-0.226667,0.265491,26
CLEC2D,manumycin A,All,ovary,-0.228876,0.139866,43
CLEC2D,GSK1904529A,All,ovary,-0.310345,0.10132,29
CLEC2D,ABT737,All,ovary,-0.250833,0.0926832,46
CLEC2D,rosiglitazone,All,ovary,-0.286838,0.155399,26
CLEC2D,N29087-69-1,All,ovary,-0.215652,0.311514,24
CLEC2D,erastin,All,ovary,0.234505,0.139999,41
CLEC2D,erlotinib:PLX-4032 (2:1 mol-mol),All,ovary,0.23081,0.169312,37
CLEC2D,BRD-K30019337,All,ovary,-0.272727,0.445838,10
CLEC2D,isonicotinohydroxamic acid,All,ovary,-0.205739,0.303231,27
CLEC2D,Niraparib,All,ovary,0.226957,0.2862,24
CLEC2D,endo-IWR-1,All,ovary,-0.290514,0.178697,23
CLEC2D,I-BRD9,All,ovary,-0.274384,0.149748,29
CLEC2D,LGK974,All,ovary,-0.408867,0.0276484,29
CLEC2D,carboplatin:UNC0638 (2:1 mol-mol),All,ovary,0.319199,0.0507742,38
CLEC2D,BRD-K86535717,All,ovary,0.284848,0.425038,10
CLEC2D,PL-DI,All,ovary,0.207096,0.205872,39
CLEC2D,JW-55,All,ovary,-0.252747,0.383315,14
CLEC2D,austocystin D,All,ovary,-0.241167,0.123906,42
CLEC2D,KU-0063794,All,ovary,0.342179,0.0354822,38
CLEC2D,NVP-ADW742,All,ovary,0.203428,0.190741,43
CLEC2D,bleomycin A2,All,ovary,0.220734,0.189234,37
CLEC2D,BRD-K96431673,All,ovary,-0.272727,0.445838,10
CLEC2D,JQ12,All,ovary,0.41913,0.0414837,24
CLEC2D,ouabain,All,ovary,0.363582,0.0269668,37
CLEC2D,Gefitinib,All,ovary,0.310353,0.0428193,43
CLEC2D,VU0155056,All,ovary,0.224545,0.175313,38
CLEC2D,JNK Inhibitor VIII,All,ovary,0.350246,0.0625097,29
CLEC2D,JW-480,All,ovary,-0.220153,0.178073,39
CLEC2D,ERK_6604,All,ovary,-0.284416,0.211464,21
CLEC2D,leptomycin B,All,ovary,0.248798,0.126681,39
CLEC2D,PIK-93,All,ovary,0.425715,0.00552013,41
CLEC2D,spautin-1,All,ovary,-0.294144,0.0691235,39
CLEC2D,GSK-J4,All,ovary,0.219704,0.252142,29
CLEC2D,BRD-K27188169:navitoclax (2:1 mol-mol),All,ovary,-0.492711,0.0169114,23
CLEC2D,Pazopanib,All,ovary,0.27511,0.0778473,42
CLEC2D,omacetaxine mepesuccinate,All,ovary,0.338916,0.0720991,29
CLEC2D,HG-5-88-01,All,ovary,-0.328431,0.198069,17
CLEC2D,PF-562271,All,ovary,0.250435,0.237879,24
