gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
COL6A3,Ulixertinib,All,ovary,-0.26716,0.161205,29
COL6A3,IPR-456,All,ovary,-0.263568,0.104966,39
COL6A3,SZ4TA2,All,ovary,-0.516533,0.0486787,15
COL6A3,Mitomycin-C,All,ovary,-0.308094,0.143009,24
COL6A3,NSC 74859,All,ovary,0.277272,0.0718456,43
COL6A3,etomoxir,All,ovary,0.230493,0.137012,43
COL6A3,PBD-288,All,ovary,-0.32376,0.122751,24
COL6A3,Wnt-C59,All,ovary,0.351941,0.0611653,29
COL6A3,SNS-032,All,ovary,0.322925,0.0547326,36
COL6A3,BDP-00009066,All,ovary,-0.419495,0.0412884,24
COL6A3,MCT1_6447,All,ovary,0.473504,0.0109244,28
COL6A3,cerulenin,All,ovary,0.314063,0.0402686,43
COL6A3,150412,All,ovary,-0.242936,0.288643,21
COL6A3,NVP-AUY922,All,ovary,-0.235779,0.246232,26
COL6A3,HG6-64-1,All,ovary,-0.251523,0.235778,24
COL6A3,BRD-K09344309,All,ovary,-0.25579,0.377419,14
COL6A3,BRD4132,All,ovary,-0.230898,0.157293,39
COL6A3,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.330677,0.030324,43
COL6A3,GSK690693,All,ovary,-0.27218,0.161156,28
COL6A3,skepinone-L,All,ovary,-0.250184,0.350025,16
COL6A3,OSW-1,All,ovary,0.235779,0.246232,26
COL6A3,Vinorelbine,All,ovary,-0.402711,0.0303167,29
COL6A3,PDMP,All,ovary,0.203689,0.184782,44
COL6A3,CCT-018159,All,ovary,-0.479359,0.00851015,29
COL6A3,lonidamine,All,ovary,0.209391,0.304602,26
COL6A3,GSK2830371,All,ovary,-0.230408,0.290197,23
COL6A3,PLK_6522,All,ovary,-0.374914,0.0493233,28
COL6A3,JAK1_3715,All,ovary,-0.2584,0.193127,27
COL6A3,VAF-347,All,ovary,-0.246296,0.235297,25
COL6A3,Panobinostat,All,ovary,-0.521934,0.00130091,35
COL6A3,XMD11-85h,All,ovary,0.387255,0.124606,17
COL6A3,Luminespib,All,ovary,-0.416266,0.0246972,29
COL6A3,FMK,All,ovary,0.217581,0.307102,24
COL6A3,Savolitinib,All,ovary,-0.30955,0.102243,29
COL6A3,Quizartinib,All,ovary,0.210539,0.180789,42
COL6A3,NVP-231,All,ovary,0.248279,0.127501,39
COL6A3,TGX-115,All,ovary,0.360179,0.0706918,26
COL6A3,N-oxalyl-D-phenylalanine,All,ovary,0.356752,0.0736119,26
COL6A3,prochlorperazine,All,ovary,0.233698,0.15218,39
COL6A3,776928,All,ovary,-0.363105,0.105697,21
COL6A3,pyrvinium pamoate,All,ovary,0.211997,0.369563,20
COL6A3,FTI-277,All,ovary,-0.393821,0.0568979,24
COL6A3,"Brivanib, BMS-540215",All,ovary,-0.241528,0.206861,29
COL6A3,FQI-2,All,ovary,0.332346,0.0337539,41
COL6A3,abiraterone,All,ovary,-0.341788,0.231671,14
COL6A3,GSK1070916,All,ovary,-0.259584,0.182215,28
COL6A3,CIL55A,All,ovary,0.367057,0.032728,34
COL6A3,Tozasertib,All,ovary,-0.257198,0.186411,28
COL6A3,BRD2762,All,ovary,0.438328,0.0532156,20
COL6A3,AT-406,All,ovary,0.253513,0.201983,27
COL6A3,BRD9658,All,ovary,0.298757,0.200716,20
COL6A3,Compound 12,All,ovary,0.227554,0.263575,26
COL6A3,CHIR-99021,All,ovary,0.317961,0.0354376,44
COL6A3,ML150,All,ovary,-0.33854,0.114082,23
COL6A3,CBB-1007,All,ovary,-0.291391,0.273518,16
COL6A3,KU 0060648,All,ovary,0.336947,0.0334971,40
COL6A3,WT-161,All,ovary,0.356752,0.0736119,26
COL6A3,AICA Ribonucleotide,All,ovary,-0.369711,0.0528221,28
COL6A3,Fludarabine,All,ovary,-0.280611,0.217904,21
COL6A3,PF-3758309,All,ovary,0.348786,0.185499,16
COL6A3,Dihydrorotenone,All,ovary,0.386489,0.0835138,21
COL6A3,Amuvatinib,All,ovary,0.260131,0.181262,28
COL6A3,alvocidib,All,ovary,0.407653,0.117038,16
COL6A3,narciclasine,All,ovary,0.269552,0.106664,37
COL6A3,CAY10603,All,ovary,-0.309102,0.116685,27
COL6A3,BRD2572,All,ovary,0.39457,0.0851407,20
COL6A3,CIL55,All,ovary,0.246236,0.16717,33
COL6A3,UNC1215,All,ovary,-0.260989,0.179776,28
COL6A3,cimetidine,All,ovary,-0.393939,0.259998,10
COL6A3,BRD0713,All,ovary,0.294985,0.206736,20
COL6A3,O-6-benzylguanine,All,ovary,0.297277,0.263495,16
COL6A3,Cetuximab,All,ovary,0.310018,0.115549,27
COL6A3,Picolinici-acid,All,ovary,-0.32007,0.127323,24
COL6A3,OF-1,All,ovary,0.272668,0.197372,24
COL6A3,Vinblastine,All,ovary,-0.40367,0.0331524,28
COL6A3,XMD13-2,All,ovary,-0.264239,0.17422,28
COL6A3,GANT-58,All,ovary,0.463328,0.0819641,15
COL6A3,HBX-41108,All,ovary,-0.206752,0.281883,29
COL6A3,TG-100-115,All,ovary,0.300729,0.0628471,39
COL6A3,minoxidil,All,ovary,0.372094,0.172022,15
COL6A3,Uprosertib,All,ovary,-0.239803,0.210223,29
COL6A3,AR-42,All,ovary,-0.417838,0.0301031,27
COL6A3,BRD-K07442505,All,ovary,0.213244,0.192427,39
COL6A3,Belinostat,All,ovary,-0.283566,0.115777,32
COL6A3,Compound 7d-cis,All,ovary,0.220447,0.160655,42
COL6A3,IGF1R_3801,All,ovary,-0.300097,0.186261,21
COL6A3,5-Fluorouracil,All,ovary,-0.433025,0.018956,29
COL6A3,m-3M3-FBS,All,ovary,0.245717,0.226297,26
COL6A3,Capivasertib,All,ovary,-0.425579,0.0239548,28
COL6A3,LRRK2-IN-1,All,ovary,0.349926,0.0627662,29
COL6A3,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.278708,0.0901815,38
COL6A3,CIL56,All,ovary,0.303128,0.08139,34
COL6A3,IGFR_3801,All,ovary,-0.419554,0.0262466,28
COL6A3,dalcetrapib,All,ovary,0.266964,0.187374,26
COL6A3,Flutamide,All,ovary,0.322678,0.13317,23
COL6A3,WYE-125132,All,ovary,-0.24769,0.195157,29
COL6A3,BRD6150,All,ovary,0.457189,0.0426951,20
COL6A3,GSK2636771,All,ovary,-0.246673,0.197055,29
COL6A3,Cisplatin,All,ovary,-0.281802,0.146278,28
COL6A3,GSK650394,All,ovary,-0.250653,0.237457,24
COL6A3,ML160,All,ovary,0.411898,0.0508281,23
COL6A3,PK-11195,All,ovary,0.209171,0.338134,23
COL6A3,Embelin,All,ovary,-0.291123,0.167531,24
COL6A3,WZ4003,All,ovary,-0.434442,0.0338925,24
COL6A3,BRD-A02303741,All,ovary,-0.301033,0.0625689,39
COL6A3,Pictilisib,All,ovary,0.255052,0.0988135,43
COL6A3,Erlotinib,All,ovary,0.218663,0.148996,45
COL6A3,Bleomycin,All,ovary,-0.32193,0.10151,27
COL6A3,AZD4877,All,ovary,-0.320416,0.0964443,28
COL6A3,isoevodiamine,All,ovary,0.229737,0.13834,43
COL6A3,fumagillol,All,ovary,0.428034,0.0291515,26
COL6A3,YK-4-279,All,ovary,0.235939,0.127719,43
COL6A3,Compound 11e,All,ovary,0.29517,0.285501,15
COL6A3,QL-X-138,All,ovary,-0.203998,0.297764,28
COL6A3,AGI-6780,All,ovary,0.432286,0.0191836,29
COL6A3,KU-60019,All,ovary,0.319269,0.0369011,43
COL6A3,Enzastaurin,All,ovary,-0.394578,0.0377203,28
COL6A3,SB-743921,All,ovary,0.245968,0.14225,37
COL6A3,Ispinesib Mesylate,All,ovary,-0.421413,0.0255211,28
COL6A3,TAF1_5496,All,ovary,0.256577,0.261561,21
COL6A3,PLX-4032,All,ovary,-0.201522,0.225031,38
COL6A3,PF-04217903,All,ovary,0.261711,0.227704,23
COL6A3,PD173074,All,ovary,-0.279729,0.141657,29
COL6A3,BRD-K58730230,All,ovary,-0.490909,0.149656,10
COL6A3,PRT062607,All,ovary,-0.377908,0.068648,24
COL6A3,selumetinib:navitoclax (8:1 mol-mol),All,ovary,0.300425,0.0631264,39
COL6A3,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,0.327258,0.0419907,39
COL6A3,VTP-A,All,ovary,-0.299391,0.155242,24
COL6A3,Epothilone B,All,ovary,-0.34987,0.0937476,24
COL6A3,BRD-K44224150,All,ovary,-0.442424,0.200423,10
COL6A3,CDK9_5038,All,ovary,-0.211757,0.356798,21
COL6A3,BDILV000379a,All,ovary,-0.264372,0.246836,21
COL6A3,C-75,All,ovary,0.257548,0.177397,29
COL6A3,RAF_9304,All,ovary,-0.228399,0.242401,28
COL6A3,NSC23766,All,ovary,0.245372,0.108405,44
COL6A3,FS106,All,ovary,-0.500342,0.00669731,28
COL6A3,BRD2296,All,ovary,0.348838,0.202548,15
COL6A3,JQ-1:UNC0638 (2:1 mol-mol),All,ovary,0.362407,0.027502,37
COL6A3,JNK-9L,All,ovary,-0.449521,0.0275388,24
COL6A3,TTK_3146,All,ovary,-0.337943,0.0786005,28
COL6A3,IWP-2,All,ovary,-0.268468,0.184808,26
COL6A3,Leflunomide,All,ovary,-0.216569,0.309412,24
COL6A3,FS112,All,ovary,-0.504998,0.00612792,28
COL6A3,FQI-1,All,ovary,0.252352,0.149914,34
COL6A3,MPS-1-IN-1,All,ovary,-0.214403,0.273257,28
COL6A3,gossypol,All,ovary,-0.215608,0.159841,44
COL6A3,BPD-00008900,All,ovary,-0.244561,0.249431,24
COL6A3,QL-XI-92,All,ovary,-0.374589,0.0495364,28
COL6A3,WZ3105,All,ovary,-0.321194,0.0955932,28
COL6A3,Regorafenib,All,ovary,-0.356217,0.0260292,39
COL6A3,Tipifarnib,All,ovary,-0.301567,0.152117,24
