gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CTSW,NSC-87877,All,ovary,0.278564,0.187471,24
CTSW,IPR-456,All,ovary,-0.271374,0.0946992,39
CTSW,SZ4TA2,All,ovary,-0.528677,0.0427481,15
CTSW,BRD-K55116708,All,ovary,0.213561,0.204385,37
CTSW,Zibotentan,All,ovary,-0.324021,0.0925464,28
CTSW,tacedinaline,All,ovary,0.227585,0.244131,28
CTSW,PBD-288,All,ovary,-0.232042,0.275246,24
CTSW,leucascandrolide A,All,ovary,0.295257,0.143098,26
CTSW,BRD8097,All,ovary,0.307229,0.187624,20
CTSW,Wnt-C59,All,ovary,0.200666,0.296602,29
CTSW,Carboplatin,All,ovary,-0.305004,0.0590201,39
CTSW,IAP_7638,All,ovary,-0.385215,0.0472278,27
CTSW,KU-55933,All,ovary,0.452261,0.00232847,43
CTSW,BDP-00009066,All,ovary,-0.377449,0.0690125,24
CTSW,Pilaralisib,All,ovary,0.381117,0.0413688,29
CTSW,HC-067047,All,ovary,-0.231629,0.161732,38
CTSW,Serdemetan,All,ovary,0.341459,0.0202093,46
CTSW,GSK690693,All,ovary,-0.41112,0.0297506,28
CTSW,PDMP,All,ovary,0.360309,0.0162822,44
CTSW,CCT-018159,All,ovary,-0.278565,0.143391,29
CTSW,GSK2830371,All,ovary,-0.253772,0.242634,23
CTSW,niclosamide,All,ovary,-0.292082,0.0751746,38
CTSW,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.212792,0.199609,38
CTSW,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.307414,0.0604529,38
CTSW,JAK1_3715,All,ovary,-0.428288,0.0258279,27
CTSW,VAF-347,All,ovary,0.238013,0.251921,25
CTSW,Luminespib,All,ovary,-0.238629,0.212531,29
CTSW,AZD1480,All,ovary,0.328534,0.0663783,32
CTSW,avrainvillamide,All,ovary,0.292765,0.0878697,35
CTSW,Remodelin,All,ovary,-0.220666,0.490702,12
CTSW,3-Cl-AHPC,All,ovary,-0.316349,0.0497578,39
CTSW,N-oxalyl-D-phenylalanine,All,ovary,0.264772,0.191161,26
CTSW,FTI-277,All,ovary,-0.208052,0.32928,24
CTSW,Cyclophosphamide,All,ovary,-0.353482,0.029477,38
CTSW,AZD5363,All,ovary,-0.218168,0.255557,29
CTSW,GSK-LSD1,All,ovary,-0.463589,0.0342859,21
CTSW,P22077,All,ovary,-0.261063,0.171349,29
CTSW,abiraterone,All,ovary,-0.334803,0.241969,14
CTSW,trifluoperazine,All,ovary,0.279666,0.0805094,40
CTSW,Pelitinib,All,ovary,-0.21857,0.263818,28
CTSW,CIL55A,All,ovary,0.337718,0.0507743,34
CTSW,BRD6368,All,ovary,0.270595,0.181219,26
CTSW,667880,All,ovary,0.268531,0.239202,21
CTSW,CHIR-99021,All,ovary,0.449875,0.00218494,44
CTSW,ML150,All,ovary,-0.301756,0.161711,23
CTSW,BRD-K49290616,All,ovary,-0.284848,0.425038,10
CTSW,KU 0060648,All,ovary,0.284078,0.0756508,40
CTSW,bardoxolone methyl,All,ovary,0.222738,0.191642,36
CTSW,FGIN-1-27,All,ovary,0.322847,0.0715068,32
CTSW,JZL-184,All,ovary,0.315808,0.116033,26
CTSW,WT-161,All,ovary,0.362049,0.0691366,26
CTSW,BRD4770,All,ovary,0.223792,0.218218,32
CTSW,Dihydrorotenone,All,ovary,0.271132,0.234507,21
CTSW,alvocidib,All,ovary,0.305311,0.250185,16
CTSW,narciclasine,All,ovary,0.427868,0.00824967,37
CTSW,LY-2157299,All,ovary,0.539394,0.107593,10
CTSW,BRD2572,All,ovary,0.24247,0.303004,20
CTSW,Avagacestat,All,ovary,-0.294836,0.120509,29
CTSW,AGI-5198,All,ovary,-0.32639,0.0839824,29
CTSW,UNC1215,All,ovary,-0.315804,0.101611,28
CTSW,AZD6094,All,ovary,-0.421262,0.0286437,27
CTSW,"eEF2K Inhibitor, A-484954",All,ovary,-0.208554,0.277616,29
CTSW,cytochalasin B,All,ovary,0.266582,0.080255,44
CTSW,EHT-1864,All,ovary,0.206582,0.282287,29
CTSW,GSK3337463A,All,ovary,0.213264,0.353306,21
CTSW,Vinblastine,All,ovary,-0.367023,0.0547047,28
CTSW,GANT-58,All,ovary,0.236561,0.395961,15
CTSW,HBX-41108,All,ovary,-0.286948,0.131238,29
CTSW,KHS101,All,ovary,0.221036,0.188613,37
CTSW,BRD-K88742110,All,ovary,-0.265798,0.106762,38
CTSW,Uprosertib,All,ovary,-0.396401,0.0332644,29
CTSW,Torin 2,All,ovary,0.251695,0.187799,29
CTSW,nimodipine,All,ovary,-0.272403,0.325987,15
CTSW,Bax channel blocker,All,ovary,0.473546,0.00153736,42
CTSW,Compound 7d-cis,All,ovary,0.261131,0.0948461,42
CTSW,FTY-720,All,ovary,0.390978,0.0359789,29
CTSW,StemRegenin 1,All,ovary,0.426965,0.00671252,39
CTSW,SGC-CBP30,All,ovary,-0.303641,0.180862,21
CTSW,Capivasertib,All,ovary,-0.325664,0.0908093,28
CTSW,LRRK2-IN-1,All,ovary,0.507773,0.00492464,29
CTSW,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.268645,0.10292,38
