gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DGKQ,BRD-K19103580,All,ovary,-0.203414,0.220615,38
DGKQ,neopeltolide,All,ovary,-0.296359,0.0838663,35
DGKQ,SZ4TA2,All,ovary,0.410714,0.128329,15
DGKQ,Mitomycin-C,All,ovary,0.292174,0.165932,24
DGKQ,tacedinaline,All,ovary,-0.30925,0.109305,28
DGKQ,NSC 74859,All,ovary,0.246753,0.110675,43
DGKQ,losartan,All,ovary,0.310769,0.12229,26
DGKQ,PBD-288,All,ovary,0.341739,0.102167,24
DGKQ,leucascandrolide A,All,ovary,-0.267692,0.186128,26
DGKQ,PFI-1,All,ovary,0.341379,0.0699236,29
DGKQ,Wnt-C59,All,ovary,-0.210837,0.27227,29
DGKQ,ML214,All,ovary,-0.660714,0.00733057,15
DGKQ,BDP-00009066,All,ovary,0.312174,0.137518,24
DGKQ,Pilaralisib,All,ovary,0.214778,0.2632,29
DGKQ,BRD-K27986637,All,ovary,0.563636,0.089724,10
DGKQ,Serdemetan,All,ovary,-0.338144,0.0215361,46
DGKQ,BCL-LZH-4,All,ovary,0.258824,0.333072,16
DGKQ,BRD-K03536150,All,ovary,0.207353,0.211614,38
DGKQ,GDC0810,All,ovary,0.309852,0.101892,29
DGKQ,HG6-64-1,All,ovary,0.5,0.0128454,24
DGKQ,BRD4132,All,ovary,-0.216194,0.186201,39
DGKQ,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.229236,0.139227,43
DGKQ,CHEMBL1222381,All,ovary,-0.227122,0.143011,43
DGKQ,skepinone-L,All,ovary,0.326471,0.217159,16
DGKQ,OSW-1,All,ovary,-0.225983,0.266975,26
DGKQ,Vinorelbine,All,ovary,0.305911,0.106554,29
DGKQ,CCT-018159,All,ovary,0.215764,0.260964,29
DGKQ,CD-1530,All,ovary,-0.216098,0.163983,43
DGKQ,niclosamide,All,ovary,0.348506,0.0320083,38
DGKQ,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.211511,0.202392,38
DGKQ,BAY-HDAC11_1,All,ovary,0.246496,0.224782,26
DGKQ,XMD11-85h,All,ovary,0.64951,0.00477609,17
DGKQ,Luminespib,All,ovary,0.20936,0.275723,29
DGKQ,CAY10594,All,ovary,-0.281788,0.0671525,43
DGKQ,birinapant,All,ovary,-0.293927,0.0693388,39
DGKQ,TGX-115,All,ovary,-0.249231,0.219514,26
DGKQ,Tubastatin A,All,ovary,-0.366798,0.0131982,45
DGKQ,Remodelin,All,ovary,-0.314685,0.319139,12
DGKQ,Gly-Gly-PALO,All,ovary,0.289573,0.151323,26
DGKQ,FQI-2,All,ovary,-0.237456,0.134936,41
DGKQ,GSK-LSD1,All,ovary,-0.237662,0.299561,21
DGKQ,abiraterone,All,ovary,-0.582418,0.0288547,14
DGKQ,trifluoperazine,All,ovary,-0.218574,0.175418,40
DGKQ,DC-45-A2,All,ovary,0.260855,0.198056,26
DGKQ,BRD9658,All,ovary,-0.290226,0.2145,20
DGKQ,Daporinad,All,ovary,0.20185,0.17855,46
DGKQ,Compound 12,All,ovary,0.287521,0.154373,26
DGKQ,ML150,All,ovary,-0.305336,0.156548,23
DGKQ,PIK-75,All,ovary,-0.375043,0.0590431,26
DGKQ,CBB-1007,All,ovary,0.205882,0.444285,16
DGKQ,FGIN-1-27,All,ovary,-0.298387,0.0971541,32
DGKQ,WT-161,All,ovary,-0.446838,0.0221082,26
DGKQ,BRD4770,All,ovary,-0.388196,0.0281266,32
DGKQ,PF-3758309,All,ovary,-0.226471,0.398983,16
DGKQ,Axitinib,All,ovary,-0.219188,0.163119,42
DGKQ,CAY10603,All,ovary,0.274115,0.166476,27
DGKQ,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.230162,0.158657,39
DGKQ,SB216763,All,ovary,0.27931,0.142279,29
DGKQ,sparfosic acid,All,ovary,0.323761,0.106642,26
DGKQ,Shikonin,All,ovary,0.381739,0.0656632,24
DGKQ,BRD2572,All,ovary,-0.461654,0.0404576,20
DGKQ,cimetidine,All,ovary,0.272727,0.445838,10
DGKQ,"eEF2K Inhibitor, A-484954",All,ovary,-0.389655,0.0366671,29
DGKQ,NPC-26,All,ovary,-0.266979,0.0958399,40
DGKQ,pandacostat,All,ovary,-0.213968,0.190887,39
DGKQ,AZ6102,All,ovary,0.319212,0.0914347,29
DGKQ,O-6-benzylguanine,All,ovary,0.394118,0.130913,16
DGKQ,Veliparib,All,ovary,-0.375758,0.0119504,44
DGKQ,XMD13-2,All,ovary,0.333333,0.0830274,28
DGKQ,GANT-58,All,ovary,-0.289286,0.295665,15
DGKQ,"1S,3R-RSL-3",All,ovary,0.412718,0.00732565,41
DGKQ,KHS101,All,ovary,-0.200332,0.234501,37
DGKQ,minoxidil,All,ovary,0.214286,0.443141,15
DGKQ,BRD-K88742110,All,ovary,-0.250903,0.128656,38
DGKQ,BRD-K07442505,All,ovary,-0.239474,0.142018,39
DGKQ,nimodipine,All,ovary,0.321429,0.242719,15
DGKQ,Bax channel blocker,All,ovary,-0.21773,0.166007,42
DGKQ,IGF1R_3801,All,ovary,0.211688,0.356958,21
DGKQ,StemRegenin 1,All,ovary,0.209312,0.200952,39
DGKQ,QS11,All,ovary,-0.230972,0.157157,39
DGKQ,VE-822,All,ovary,0.215652,0.311514,24
DGKQ,XMD15-27,All,ovary,0.279693,0.14945,28
DGKQ,CIL56,All,ovary,0.21314,0.226168,34
DGKQ,NU7441,All,ovary,0.453695,0.0134364,29
DGKQ,importazole,All,ovary,-0.22996,0.159034,39
DGKQ,FY026,All,ovary,-0.241148,0.225616,27
DGKQ,ZL109,All,ovary,-0.311355,0.113905,27
DGKQ,dalcetrapib,All,ovary,0.202051,0.322246,26
DGKQ,FR-180204,All,ovary,0.215654,0.270401,28
DGKQ,Cisplatin,All,ovary,0.223864,0.252135,28
DGKQ,GSK650394,All,ovary,0.473913,0.0193116,24
DGKQ,nakiterpiosin,All,ovary,-0.283016,0.0626689,44
DGKQ,BRD-K48477130,All,ovary,0.264706,0.321804,16
DGKQ,GSK269962A,All,ovary,0.242857,0.204297,29
DGKQ,PK-11195,All,ovary,-0.201581,0.356344,23
DGKQ,Embelin,All,ovary,0.261739,0.216652,24
DGKQ,Parthenolide,All,ovary,-0.282311,0.0633539,44
DGKQ,Bleomycin,All,ovary,0.431624,0.024572,27
DGKQ,isoevodiamine,All,ovary,-0.271972,0.0776791,43
DGKQ,Sinularin,All,ovary,-0.248052,0.27829,21
DGKQ,Compound 11e,All,ovary,-0.3,0.277317,15
DGKQ,CUDC-101,All,ovary,0.213065,0.285953,27
DGKQ,parbendazole,All,ovary,-0.211839,0.167446,44
DGKQ,SKI-II,All,ovary,-0.239042,0.118117,44
DGKQ,BRD-K85133207,All,ovary,-0.212146,0.194782,39
DGKQ,BRD-K71935468,All,ovary,0.434511,0.00641236,38
DGKQ,SB-743921,All,ovary,-0.265055,0.112868,37
DGKQ,AZD5438,All,ovary,0.2474,0.204343,28
DGKQ,PF-04217903,All,ovary,0.286561,0.184951,23
DGKQ,pyrazolanthrone,All,ovary,-0.202024,0.217442,39
DGKQ,Sabutoclax,All,ovary,0.352174,0.0914583,24
DGKQ,PRT062607,All,ovary,0.21913,0.303583,24
DGKQ,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,-0.238259,0.144112,39
DGKQ,Epothilone B,All,ovary,0.489565,0.0151763,24
DGKQ,CDK9_5038,All,ovary,-0.228571,0.318967,21
DGKQ,4-IPP,All,ovary,0.265641,0.189653,26
DGKQ,BRD-K41334119,All,ovary,0.345455,0.328227,10
DGKQ,Ko-143,All,ovary,-0.24327,0.111559,44
DGKQ,FS106,All,ovary,0.336617,0.0798548,28
DGKQ,selumetinib:vorinostat (8:1 mol-mol),All,ovary,-0.282635,0.0855544,38
DGKQ,JNK-9L,All,ovary,0.501739,0.0124872,24
DGKQ,azacitidine,All,ovary,0.281978,0.086315,38
DGKQ,TTK_3146,All,ovary,0.241927,0.214859,28
DGKQ,IWP-2,All,ovary,-0.471453,0.0150446,26
DGKQ,FEN1_3940,All,ovary,0.246853,0.205379,28
DGKQ,BX-912,All,ovary,-0.268199,0.167615,28
DGKQ,Fedratinib,All,ovary,-0.220845,0.140239,46
DGKQ,FS112,All,ovary,0.211275,0.280483,28
DGKQ,FQI-1,All,ovary,-0.29534,0.089931,34
DGKQ,AZD1208,All,ovary,0.431308,0.0219294,28
