gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
EIF4ENIF1,EPZ004777,All,ovary,-0.30936,0.102466,29
EIF4ENIF1,BRD-K19103580,All,ovary,-0.218952,0.186597,38
EIF4ENIF1,procarbazine,All,ovary,-0.273225,0.0969633,38
EIF4ENIF1,Zibotentan,All,ovary,-0.215107,0.271648,28
EIF4ENIF1,Mitomycin-C,All,ovary,-0.47913,0.0178423,24
EIF4ENIF1,etomoxir,All,ovary,0.243431,0.115716,43
EIF4ENIF1,PBD-288,All,ovary,-0.268696,0.204239,24
EIF4ENIF1,BRD8097,All,ovary,-0.210526,0.37297,20
EIF4ENIF1,Carboplatin,All,ovary,-0.323279,0.0447008,39
EIF4ENIF1,IAP_7638,All,ovary,-0.217949,0.274788,27
EIF4ENIF1,ML214,All,ovary,0.221429,0.427714,15
EIF4ENIF1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.232773,0.178412,35
EIF4ENIF1,150412,All,ovary,-0.480519,0.0274625,21
EIF4ENIF1,BCL-LZH-4,All,ovary,-0.514706,0.0413458,16
EIF4ENIF1,NVP-AUY922,All,ovary,-0.225983,0.266975,26
EIF4ENIF1,GDC0810,All,ovary,-0.30936,0.102466,29
EIF4ENIF1,HG6-64-1,All,ovary,-0.270435,0.201213,24
EIF4ENIF1,GSK690693,All,ovary,-0.294472,0.128231,28
EIF4ENIF1,skepinone-L,All,ovary,0.258824,0.333072,16
EIF4ENIF1,CCT-018159,All,ovary,-0.282759,0.137214,29
EIF4ENIF1,triptolide,All,ovary,-0.337844,0.0249041,44
EIF4ENIF1,lonidamine,All,ovary,0.260171,0.199277,26
EIF4ENIF1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.302768,0.0646491,38
EIF4ENIF1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.274538,0.0953049,38
EIF4ENIF1,BAY-HDAC11_1,All,ovary,-0.304615,0.130261,26
EIF4ENIF1,VAF-347,All,ovary,0.348462,0.0878061,25
EIF4ENIF1,Luminespib,All,ovary,-0.265025,0.164707,29
EIF4ENIF1,CAY10594,All,ovary,-0.273784,0.0756441,43
EIF4ENIF1,Savolitinib,All,ovary,-0.407882,0.0280621,29
EIF4ENIF1,NVP-231,All,ovary,-0.311134,0.0538592,39
EIF4ENIF1,Remodelin,All,ovary,-0.398601,0.199336,12
EIF4ENIF1,3-Cl-AHPC,All,ovary,-0.29919,0.0642718,39
EIF4ENIF1,N-oxalyl-D-phenylalanine,All,ovary,0.26906,0.183804,26
EIF4ENIF1,pyrvinium pamoate,All,ovary,-0.21203,0.369486,20
EIF4ENIF1,FTI-277,All,ovary,-0.27913,0.186538,24
EIF4ENIF1,A-366,All,ovary,-0.336522,0.107856,24
EIF4ENIF1,BRD-K70511574,All,ovary,-0.243522,0.135199,39
EIF4ENIF1,P22077,All,ovary,-0.279803,0.141547,29
EIF4ENIF1,abiraterone,All,ovary,-0.389011,0.169217,14
EIF4ENIF1,GSK1070916,All,ovary,-0.400657,0.0346141,28
EIF4ENIF1,Voxtalisib,All,ovary,-0.339901,0.0712227,29
EIF4ENIF1,Pelitinib,All,ovary,-0.271483,0.162273,28
EIF4ENIF1,BRD2762,All,ovary,-0.267669,0.253892,20
EIF4ENIF1,AT-406,All,ovary,-0.309524,0.116161,27
EIF4ENIF1,BRD-K49290616,All,ovary,0.563636,0.089724,10
EIF4ENIF1,CBB-1007,All,ovary,-0.279412,0.294618,16
EIF4ENIF1,JZL-184,All,ovary,0.254017,0.210497,26
EIF4ENIF1,BRD4770,All,ovary,-0.375733,0.0340692,32
EIF4ENIF1,SNX-2112,All,ovary,-0.342954,0.019634,46
EIF4ENIF1,Podophyllotoxin bromide,All,ovary,-0.37013,0.0986265,21
EIF4ENIF1,AICA Ribonucleotide,All,ovary,-0.244116,0.210609,28
EIF4ENIF1,Fludarabine,All,ovary,-0.279221,0.220289,21
EIF4ENIF1,PF-3758309,All,ovary,0.211765,0.431083,16
EIF4ENIF1,Amuvatinib,All,ovary,-0.377121,0.047896,28
EIF4ENIF1,BRD-K79669418,All,ovary,0.231304,0.276818,24
EIF4ENIF1,LY-2157299,All,ovary,0.29697,0.404702,10
EIF4ENIF1,Ipatasertib,All,ovary,-0.301478,0.111987,29
EIF4ENIF1,Shikonin,All,ovary,-0.226087,0.2881,24
EIF4ENIF1,BRD2572,All,ovary,0.252632,0.28255,20
EIF4ENIF1,kb NB 142-70,All,ovary,-0.281773,0.138648,29
EIF4ENIF1,Rucaparib,All,ovary,-0.33857,0.0539432,33
EIF4ENIF1,UNC1215,All,ovary,-0.2578,0.185347,28
EIF4ENIF1,cimetidine,All,ovary,0.454545,0.186905,10
EIF4ENIF1,"eEF2K Inhibitor, A-484954",All,ovary,-0.31133,0.100183,29
EIF4ENIF1,tipifarnib-P1,All,ovary,-0.306836,0.0427766,44
EIF4ENIF1,BRD0713,All,ovary,-0.207519,0.379993,20
EIF4ENIF1,Cetuximab,All,ovary,0.34188,0.0809091,27
EIF4ENIF1,GSK3337463A,All,ovary,-0.420779,0.0575051,21
EIF4ENIF1,Vinblastine,All,ovary,-0.211275,0.280483,28
EIF4ENIF1,chlorambucil,All,ovary,-0.395344,0.012738,39
EIF4ENIF1,XMD13-2,All,ovary,-0.426929,0.0234641,28
EIF4ENIF1,GANT-58,All,ovary,-0.3,0.277317,15
EIF4ENIF1,KHS101,All,ovary,0.23542,0.160719,37
EIF4ENIF1,minoxidil,All,ovary,-0.775,0.000689645,15
EIF4ENIF1,BRD-K88742110,All,ovary,-0.232739,0.159674,38
EIF4ENIF1,nimodipine,All,ovary,-0.282143,0.308284,15
EIF4ENIF1,5-Fluorouracil,All,ovary,-0.362562,0.0532465,29
EIF4ENIF1,QS11,All,ovary,-0.287854,0.0755704,39
EIF4ENIF1,m-3M3-FBS,All,ovary,0.276581,0.171378,26
EIF4ENIF1,Capivasertib,All,ovary,-0.239737,0.219166,28
EIF4ENIF1,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.265346,0.107381,38
EIF4ENIF1,XMD15-27,All,ovary,-0.529283,0.00377721,28
EIF4ENIF1,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,-0.270445,0.0958782,39
EIF4ENIF1,NU7441,All,ovary,-0.336946,0.0738769,29
EIF4ENIF1,FY026,All,ovary,0.214896,0.281733,27
EIF4ENIF1,BRD-K11533227,All,ovary,-0.213371,0.204797,37
EIF4ENIF1,ZL109,All,ovary,0.241148,0.225616,27
EIF4ENIF1,Platin,All,ovary,-0.40587,0.0103595,39
EIF4ENIF1,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,-0.301215,0.0624029,39
EIF4ENIF1,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,-0.246964,0.129596,39
EIF4ENIF1,IGFR_3801,All,ovary,-0.203065,0.300026,28
EIF4ENIF1,BRD6150,All,ovary,-0.251128,0.285522,20
EIF4ENIF1,Cisplatin,All,ovary,-0.430761,0.0221166,28
EIF4ENIF1,GSK650394,All,ovary,-0.382609,0.0649997,24
EIF4ENIF1,BRD-K48477130,All,ovary,-0.232353,0.386511,16
EIF4ENIF1,ML160,All,ovary,0.396245,0.0612333,23
EIF4ENIF1,Parthenolide,All,ovary,-0.22537,0.141319,44
EIF4ENIF1,cytarabine hydrochloride,All,ovary,-0.420287,0.00860928,38
EIF4ENIF1,BRD-K13185470,All,ovary,0.478788,0.161523,10
EIF4ENIF1,Pictilisib,All,ovary,-0.223648,0.149393,43
EIF4ENIF1,AZD4877,All,ovary,-0.245211,0.208506,28
EIF4ENIF1,YK-4-279,All,ovary,-0.212021,0.172278,43
EIF4ENIF1,Sinularin,All,ovary,-0.394805,0.0765268,21
EIF4ENIF1,mitomycin,All,ovary,-0.263917,0.091248,42
EIF4ENIF1,bendamustine,All,ovary,-0.274975,0.094757,38
EIF4ENIF1,Compound 11e,All,ovary,0.460714,0.0839334,15
EIF4ENIF1,CUDC-101,All,ovary,0.261294,0.18801,27
EIF4ENIF1,parbendazole,All,ovary,-0.222128,0.147285,44
EIF4ENIF1,BRD-K24690302,All,ovary,-0.293522,0.0697412,39
EIF4ENIF1,ZD-6474,All,ovary,-0.403896,0.0693995,21
EIF4ENIF1,Ibrutinib,All,ovary,-0.217647,0.209125,35
EIF4ENIF1,AGI-6780,All,ovary,0.252217,0.186854,29
EIF4ENIF1,KU-60019,All,ovary,-0.21187,0.172591,43
EIF4ENIF1,BRD-K71935468,All,ovary,0.293139,0.0740771,38
EIF4ENIF1,Ispinesib Mesylate,All,ovary,-0.330049,0.0862951,28
EIF4ENIF1,Doxorubicin,All,ovary,-0.353368,0.0201011,43
EIF4ENIF1,PF-4708671,All,ovary,-0.268473,0.159077,29
EIF4ENIF1,TAF1_5496,All,ovary,-0.28961,0.202877,21
EIF4ENIF1,PF-04217903,All,ovary,0.250988,0.248017,23
EIF4ENIF1,PI-103,All,ovary,-0.236386,0.113733,46
EIF4ENIF1,VE821,All,ovary,-0.32069,0.0898608,29
EIF4ENIF1,pyrazolanthrone,All,ovary,-0.257287,0.113825,39
EIF4ENIF1,Sabutoclax,All,ovary,-0.489565,0.0151763,24
EIF4ENIF1,BRD-K58730230,All,ovary,-0.236364,0.510885,10
EIF4ENIF1,BDF00022089a,All,ovary,-0.248052,0.27829,21
EIF4ENIF1,Ara-G,All,ovary,-0.2133,0.266578,29
EIF4ENIF1,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,0.221862,0.174642,39
EIF4ENIF1,VTP-A,All,ovary,-0.373043,0.0725864,24
EIF4ENIF1,Epothilone B,All,ovary,-0.521739,0.00892607,24
EIF4ENIF1,Bortezomib,All,ovary,-0.203824,0.174252,46
EIF4ENIF1,968,All,ovary,0.50303,0.138334,10
EIF4ENIF1,BRD-K44224150,All,ovary,0.660606,0.0375884,10
EIF4ENIF1,C-75,All,ovary,-0.234483,0.220823,29
EIF4ENIF1,BRD-K41334119,All,ovary,0.50303,0.138334,10
EIF4ENIF1,selumetinib:vorinostat (8:1 mol-mol),All,ovary,0.200131,0.228314,38
EIF4ENIF1,BRD2296,All,ovary,-0.532143,0.0411586,15
EIF4ENIF1,MK-1775,All,ovary,-0.251311,0.0920424,46
EIF4ENIF1,IWP-2,All,ovary,-0.484444,0.0121426,26
EIF4ENIF1,Leflunomide,All,ovary,-0.267826,0.205764,24
EIF4ENIF1,THR-102,All,ovary,-0.364625,0.0871502,23
EIF4ENIF1,FS112,All,ovary,-0.320197,0.0966854,28
EIF4ENIF1,50869,All,ovary,-0.375325,0.0936258,21
EIF4ENIF1,AZD1208,All,ovary,-0.313082,0.104756,28
EIF4ENIF1,Selumetinib,All,ovary,0.250694,0.09287,46
EIF4ENIF1,vandetanib,All,ovary,-0.265565,0.107081,38
EIF4ENIF1,BRD5802,All,ovary,-0.318797,0.170698,20
EIF4ENIF1,Nutlin-3a,All,ovary,-0.230219,0.123754,46
EIF4ENIF1,GW843682X,All,ovary,-0.291,0.0583337,43
EIF4ENIF1,AZD6482,All,ovary,-0.23875,0.123111,43
EIF4ENIF1,QL-XII-61,All,ovary,-0.698529,0.00181343,17
EIF4ENIF1,QL-XI-92,All,ovary,-0.408867,0.0307483,28
EIF4ENIF1,Talazoparib,All,ovary,-0.323645,0.086775,29
EIF4ENIF1,Eg5_9814,All,ovary,-0.251948,0.270563,21
EIF4ENIF1,Tipifarnib,All,ovary,-0.357391,0.0864298,24
EIF4ENIF1,BRD-A94377914,All,ovary,-0.315652,0.132957,24
EIF4ENIF1,selumetinib:JQ-1 (4:1 mol-mol),All,ovary,0.203852,0.219602,38
EIF4ENIF1,idarubicin,All,ovary,-0.448205,0.0216555,26
EIF4ENIF1,GSK2276186C,All,ovary,-0.479221,0.0279444,21
EIF4ENIF1,Etoposide,All,ovary,-0.376873,0.00983142,46
EIF4ENIF1,BI-2536,All,ovary,-0.381807,0.00883711,46
EIF4ENIF1,ifosfamide,All,ovary,0.331028,0.122856,23
EIF4ENIF1,GSK461364,All,ovary,-0.307018,0.0645532,37
EIF4ENIF1,CX-5461,All,ovary,-0.322344,0.101046,27
EIF4ENIF1,NSC-207895,All,ovary,-0.274725,0.165496,27
EIF4ENIF1,clofarabine,All,ovary,-0.389271,0.0143101,39
EIF4ENIF1,BRD9571,All,ovary,-0.407143,0.132013,15
EIF4ENIF1,BRD-K27224038,All,ovary,0.333333,0.346593,10
EIF4ENIF1,GSK591,All,ovary,-0.471921,0.00974858,29
EIF4ENIF1,MI-2,All,ovary,-0.235294,0.380356,16
EIF4ENIF1,RS-23597-190,All,ovary,0.333004,0.120502,23
EIF4ENIF1,ARRY-520,All,ovary,-0.281773,0.138648,29
EIF4ENIF1,Gemcitabine,All,ovary,-0.346654,0.018269,46
EIF4ENIF1,PF-184,All,ovary,-0.277935,0.0866812,39
EIF4ENIF1,myriocin,All,ovary,0.357661,0.0482188,31
EIF4ENIF1,Mitoxantrone,All,ovary,-0.268831,0.238656,21
EIF4ENIF1,BRD-K84807411,All,ovary,0.830303,0.00294023,10
EIF4ENIF1,BRD-K51490254,All,ovary,-0.391093,0.0138221,39
EIF4ENIF1,ursolic acid,All,ovary,-0.351779,0.0997449,23
EIF4ENIF1,AT13387,All,ovary,-0.3,0.258936,16
EIF4ENIF1,fluoropyruvate,All,ovary,0.22188,0.275986,26
EIF4ENIF1,Ribociclib,All,ovary,0.203448,0.289814,29
EIF4ENIF1,Masitinib,All,ovary,0.279791,0.0764432,41
EIF4ENIF1,JAK3_7406,All,ovary,-0.248495,0.202283,28
EIF4ENIF1,Taselisib,All,ovary,-0.247783,0.194982,29
EIF4ENIF1,N30652-18-1,All,ovary,-0.447826,0.0282015,24
EIF4ENIF1,palmostatin B,All,ovary,-0.406897,0.0284809,29
EIF4ENIF1,GSK-LSD1-2HCl ,All,ovary,-0.238261,0.262218,24
EIF4ENIF1,Tivozanib,All,ovary,-0.307308,0.0377581,46
EIF4ENIF1,GSK2606414,All,ovary,-0.242609,0.253348,24
EIF4ENIF1,BRD9647,All,ovary,0.212195,0.188674,40
EIF4ENIF1,erlotinib:PLX-4032 (2:1 mol-mol),All,ovary,-0.215031,0.201214,37
EIF4ENIF1,BRD-K99584050,All,ovary,-0.216403,0.321308,23
EIF4ENIF1,Mycophenolic acid,All,ovary,-0.286087,0.17534,24
EIF4ENIF1,VNLG-124,All,ovary,-0.634921,0.000374199,27
EIF4ENIF1,NSC48300,All,ovary,-0.203441,0.214165,39
EIF4ENIF1,ML007,All,ovary,-0.338803,0.0904374,26
EIF4ENIF1,BRD-K30019337,All,ovary,0.466667,0.173939,10
EIF4ENIF1,Niraparib,All,ovary,-0.545217,0.00586344,24
EIF4ENIF1,Y-39983,All,ovary,-0.233169,0.232435,28
EIF4ENIF1,GW-2580,All,ovary,-0.248495,0.202283,28
EIF4ENIF1,KIN001-042,All,ovary,-0.215271,0.26208,29
EIF4ENIF1,BRD-K86535717,All,ovary,0.381818,0.276255,10
EIF4ENIF1,pifithrin-mu,All,ovary,-0.22833,0.13603,44
EIF4ENIF1,Ponatinib,All,ovary,-0.273043,0.196731,24
EIF4ENIF1,austocystin D,All,ovary,0.219998,0.16153,42
EIF4ENIF1,LY2109761,All,ovary,-0.388696,0.0604984,24
EIF4ENIF1,istradefylline,All,ovary,-0.517857,0.0480041,15
EIF4ENIF1,BRD6340,All,ovary,-0.219028,0.180355,39
EIF4ENIF1,bleomycin A2,All,ovary,-0.287814,0.0840995,37
EIF4ENIF1,BRD-K96431673,All,ovary,0.260606,0.467089,10
EIF4ENIF1,Bleomycin (50 uM),All,ovary,-0.348659,0.0690097,28
EIF4ENIF1,RU-SKI 43,All,ovary,-0.270936,0.155141,29
EIF4ENIF1,BRD-K75293299,All,ovary,0.866667,0.00117354,10
EIF4ENIF1,IPA-3,All,ovary,-0.395652,0.0556524,24
EIF4ENIF1,tipifarnib-P2,All,ovary,-0.215231,0.194382,38
EIF4ENIF1,OSU-03012,All,ovary,-0.274783,0.193781,24
EIF4ENIF1,lomeguatrib,All,ovary,-0.214137,0.196714,38
EIF4ENIF1,Compound 23 citrate,All,ovary,0.204168,0.189099,43
EIF4ENIF1,leptomycin B,All,ovary,-0.271862,0.0940831,39
EIF4ENIF1,CP466722,All,ovary,-0.268747,0.166716,28
EIF4ENIF1,GSK-J4,All,ovary,-0.434483,0.0185137,29
EIF4ENIF1,BIBF-1120,All,ovary,-0.295074,0.120195,29
EIF4ENIF1,omacetaxine mepesuccinate,All,ovary,-0.253202,0.185081,29
EIF4ENIF1,HG-5-88-01,All,ovary,0.340686,0.180851,17
EIF4ENIF1,PF-562271,All,ovary,-0.278261,0.187971,24
EIF4ENIF1,GSK2801,All,ovary,-0.219481,0.339111,21
EIF4ENIF1,LIMK1 inhibitor BMS4,All,ovary,-0.335468,0.0752323,29
EIF4ENIF1,A-83-01,All,ovary,-0.27931,0.142279,29
EIF4ENIF1,BAY ACCi,All,ovary,-0.208205,0.307411,26
EIF4ENIF1,PD318088,All,ovary,0.235223,0.149447,39
EIF4ENIF1,erastin-A8,All,ovary,-0.518797,0.0190884,20
EIF4ENIF1,THZ-2-102-1,All,ovary,-0.21237,0.277941,28
EIF4ENIF1,SN-38,All,ovary,-0.370213,0.0113253,46
EIF4ENIF1,BRD-K03911514,All,ovary,0.26,0.219832,24
EIF4ENIF1,darinaparsin,All,ovary,-0.313168,0.0759652,33
