gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
G3BP1,IPR-456,All,ovary,-0.22834,0.162072,39
G3BP1,BRD-K55116708,All,ovary,-0.218824,0.193188,37
G3BP1,Mitomycin-C,All,ovary,-0.293913,0.163311,24
G3BP1,tacedinaline,All,ovary,0.250137,0.19922,28
G3BP1,etomoxir,All,ovary,0.252945,0.101729,43
G3BP1,BRD8097,All,ovary,-0.449624,0.0467019,20
G3BP1,IAP_7638,All,ovary,-0.299145,0.129568,27
G3BP1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.353846,0.0761597,26
G3BP1,ML214,All,ovary,0.389286,0.151512,15
G3BP1,BRD-K52037352,All,ovary,0.242297,0.1608,35
G3BP1,SNS-032,All,ovary,0.321236,0.0560857,36
G3BP1,BDP-00009066,All,ovary,-0.382609,0.0649997,24
G3BP1,NVP-AUY922,All,ovary,-0.465299,0.0166064,26
G3BP1,Motesanib,All,ovary,0.230542,0.228904,29
G3BP1,BPTES,All,ovary,-0.221675,0.256925,28
G3BP1,BRD-K09344309,All,ovary,-0.714286,0.00410441,14
G3BP1,Vinorelbine,All,ovary,-0.209852,0.274569,29
G3BP1,CCT-018159,All,ovary,-0.369951,0.0482306,29
G3BP1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.346974,0.0328226,38
G3BP1,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.27979,0.0888881,38
G3BP1,PLK_6522,All,ovary,-0.278051,0.151955,28
G3BP1,Panobinostat,All,ovary,-0.279832,0.103504,35
G3BP1,Luminespib,All,ovary,-0.410345,0.0270372,29
G3BP1,Savolitinib,All,ovary,-0.474384,0.00932273,29
G3BP1,birinapant,All,ovary,-0.409919,0.00955144,39
G3BP1,TGX-115,All,ovary,0.474872,0.0142306,26
G3BP1,Remodelin,All,ovary,0.258741,0.416775,12
G3BP1,3-Cl-AHPC,All,ovary,-0.239069,0.142714,39
G3BP1,776928,All,ovary,-0.350649,0.119128,21
G3BP1,pyrvinium pamoate,All,ovary,-0.213534,0.366021,20
G3BP1,"Brivanib, BMS-540215",All,ovary,-0.262069,0.169644,29
G3BP1,AZD5363,All,ovary,0.252709,0.185966,29
G3BP1,GSK-LSD1,All,ovary,0.201299,0.381581,21
G3BP1,GSK1070916,All,ovary,-0.361795,0.0585158,28
G3BP1,DC-45-A2,All,ovary,-0.287521,0.154373,26
G3BP1,Tozasertib,All,ovary,-0.223864,0.252135,28
G3BP1,BRD2762,All,ovary,-0.243609,0.300668,20
G3BP1,AT-406,All,ovary,-0.208791,0.295954,27
G3BP1,quinoclamine,All,ovary,-0.204103,0.317253,26
G3BP1,BRD-K49290616,All,ovary,0.248485,0.488776,10
G3BP1,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,0.238057,0.144464,39
G3BP1,JZL-184,All,ovary,0.381197,0.0546816,26
G3BP1,BRD4770,All,ovary,-0.311217,0.0829503,32
G3BP1,SNX-2112,All,ovary,-0.28856,0.0517942,46
G3BP1,Fludarabine,All,ovary,-0.271429,0.233974,21
G3BP1,Dihydrorotenone,All,ovary,0.305195,0.178529,21
G3BP1,alvocidib,All,ovary,0.3,0.258936,16
G3BP1,BRD-K79669418,All,ovary,-0.356522,0.0872531,24
G3BP1,Idelalisib,All,ovary,0.210761,0.180319,42
G3BP1,LY-2157299,All,ovary,0.29697,0.404702,10
G3BP1,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.264372,0.10387,39
G3BP1,SB216763,All,ovary,-0.295566,0.119548,29
G3BP1,BRD2572,All,ovary,0.266165,0.256671,20
G3BP1,kb NB 142-70,All,ovary,-0.268473,0.159077,29
G3BP1,Rucaparib,All,ovary,-0.365642,0.0363905,33
G3BP1,UNC1215,All,ovary,-0.270389,0.16404,28
G3BP1,KW-2449,All,ovary,-0.273077,0.0925652,39
G3BP1,Navitoclax,All,ovary,0.321616,0.0292912,46
G3BP1,BRD0713,All,ovary,-0.203008,0.390666,20
G3BP1,JW-7-24-1,All,ovary,0.284072,0.142917,28
G3BP1,semagacestat,All,ovary,-0.283073,0.0850502,38
G3BP1,O-6-benzylguanine,All,ovary,-0.45,0.0802957,16
G3BP1,Cetuximab,All,ovary,0.239927,0.228046,27
G3BP1,OF-1,All,ovary,0.390435,0.0592575,24
G3BP1,GSK3337463A,All,ovary,-0.232468,0.31056,21
G3BP1,BRD-K90370028,All,ovary,-0.441176,0.0871536,16
G3BP1,AZD7762,All,ovary,-0.306705,0.0454532,43
G3BP1,minoxidil,All,ovary,-0.442857,0.0982941,15
G3BP1,5-Fluorouracil,All,ovary,-0.352709,0.0605632,29
G3BP1,NG-25,All,ovary,0.272578,0.16052,28
G3BP1,SGC-CBP30,All,ovary,0.393506,0.077588,21
G3BP1,NU7441,All,ovary,-0.42266,0.0223591,29
G3BP1,CAY10618,All,ovary,-0.252345,0.116204,40
G3BP1,BRD-K11533227,All,ovary,-0.289,0.0827738,37
G3BP1,Platin,All,ovary,-0.209109,0.201398,39
G3BP1,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,-0.3417,0.033251,39
G3BP1,IGFR_3801,All,ovary,-0.254516,0.191207,28
G3BP1,BRD6150,All,ovary,-0.254135,0.279598,20
G3BP1,FR-180204,All,ovary,-0.238095,0.222434,28
G3BP1,GSK650394,All,ovary,-0.210435,0.323647,24
G3BP1,BRD-K48477130,All,ovary,-0.252941,0.344563,16
G3BP1,ML160,All,ovary,0.33004,0.124046,23
G3BP1,BRD7137,All,ovary,-0.242393,0.23284,26
G3BP1,PK-11195,All,ovary,0.233202,0.284224,23
G3BP1,cytarabine hydrochloride,All,ovary,-0.225079,0.17426,38
