gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
IGSF6,NSC-87877,All,ovary,0.324995,0.121248,24
IGSF6,N27922-53-1,All,ovary,0.309265,0.141418,24
IGSF6,SZ4TA2,All,ovary,0.275,0.321211,15
IGSF6,BRD-K55116708,All,ovary,0.209153,0.214104,37
IGSF6,leucascandrolide A,All,ovary,0.256244,0.20639,26
IGSF6,Carboplatin,All,ovary,-0.372969,0.0193617,39
IGSF6,IAP_7638,All,ovary,-0.521527,0.00527371,27
IGSF6,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.251891,0.14436,35
IGSF6,cerulenin,All,ovary,0.257543,0.0954513,43
IGSF6,150412,All,ovary,-0.362455,0.106369,21
IGSF6,BRD-K03536150,All,ovary,0.238932,0.148544,38
IGSF6,NVP-AUY922,All,ovary,0.24598,0.225784,26
IGSF6,HG6-64-1,All,ovary,-0.300631,0.153456,24
IGSF6,BRD-K33199242,All,ovary,-0.298659,0.06477,39
IGSF6,BRD-K09344309,All,ovary,-0.215622,0.459093,14
IGSF6,GSK690693,All,ovary,-0.307187,0.111814,28
IGSF6,skepinone-L,All,ovary,0.552941,0.0263145,16
IGSF6,OSW-1,All,ovary,0.250086,0.217885,26
IGSF6,Vinorelbine,All,ovary,-0.330664,0.0797707,29
IGSF6,Luminespib,All,ovary,-0.22151,0.248166,29
IGSF6,BRD-K55473186,All,ovary,-0.42552,0.0239761,28
IGSF6,AZD1480,All,ovary,0.305436,0.0891386,32
IGSF6,avrainvillamide,All,ovary,0.28023,0.102994,35
IGSF6,Remodelin,All,ovary,-0.237762,0.456801,12
IGSF6,N-oxalyl-D-phenylalanine,All,ovary,0.223059,0.273379,26
IGSF6,FTI-277,All,ovary,-0.280618,0.184103,24
IGSF6,Cyclophosphamide,All,ovary,-0.248563,0.132377,38
IGSF6,GSK-LSD1,All,ovary,-0.286457,0.208062,21
IGSF6,P22077,All,ovary,-0.229642,0.230778,29
IGSF6,GSK1070916,All,ovary,-0.289117,0.135649,28
IGSF6,Pelitinib,All,ovary,-0.317043,0.100203,28
IGSF6,BRD9658,All,ovary,-0.312383,0.179949,20
IGSF6,CHIR-99021,All,ovary,0.22859,0.135573,44
IGSF6,N23918-95-7,All,ovary,0.212824,0.286509,27
IGSF6,ML150,All,ovary,-0.30366,0.158951,23
IGSF6,CBB-1007,All,ovary,0.220588,0.411666,16
IGSF6,FGIN-1-27,All,ovary,-0.202255,0.266943,32
IGSF6,Dihydrorotenone,All,ovary,0.426762,0.0536871,21
IGSF6,alvocidib,All,ovary,-0.214706,0.424559,16
IGSF6,Idelalisib,All,ovary,-0.213568,0.174452,42
IGSF6,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.272437,0.0933621,39
IGSF6,BRD2572,All,ovary,0.499059,0.0250855,20
IGSF6,AGI-5198,All,ovary,-0.270051,0.156548,29
IGSF6,UNC1215,All,ovary,-0.455516,0.0148551,28
IGSF6,AZD6094,All,ovary,-0.232977,0.24221,27
IGSF6,silmitasertib,All,ovary,-0.218757,0.193327,37
IGSF6,AZ6102,All,ovary,-0.3282,0.0821784,29
IGSF6,BRD0713,All,ovary,0.272488,0.245115,20
IGSF6,JW-7-24-1,All,ovary,-0.32909,0.087268,28
IGSF6,semagacestat,All,ovary,-0.206206,0.214208,38
IGSF6,cytochalasin B,All,ovary,0.214782,0.161487,44
IGSF6,Picolinici-acid,All,ovary,-0.30361,0.149223,24
IGSF6,BRD-K90370028,All,ovary,-0.373529,0.154122,16
IGSF6,methylstat,All,ovary,-0.296451,0.118393,29
IGSF6,XMD13-2,All,ovary,-0.35373,0.0647986,28
IGSF6,"1S,3R-RSL-3",All,ovary,0.205542,0.19732,41
IGSF6,minoxidil,All,ovary,0.328865,0.231368,15
IGSF6,Uprosertib,All,ovary,-0.288037,0.129717,29
IGSF6,StemRegenin 1,All,ovary,0.247532,0.128687,39
IGSF6,QS11,All,ovary,-0.213819,0.191202,39
