gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
KLHDC8B,NSC-87877,All,ovary,0.352174,0.0914583,24
KLHDC8B,EPZ004777,All,ovary,-0.247291,0.1959,29
KLHDC8B,Ulixertinib,All,ovary,0.226601,0.237182,29
KLHDC8B,Zibotentan,All,ovary,0.397373,0.0362657,28
KLHDC8B,PBD-288,All,ovary,0.20087,0.346621,24
KLHDC8B,leucascandrolide A,All,ovary,-0.249915,0.218211,26
KLHDC8B,IAP_7638,All,ovary,-0.258852,0.192321,27
KLHDC8B,"2,4-dideoxy-DC-45-A2",All,ovary,-0.403761,0.0408005,26
KLHDC8B,KU-55933,All,ovary,-0.350347,0.0212665,43
KLHDC8B,BRD-K52037352,All,ovary,0.20084,0.247325,35
KLHDC8B,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.215126,0.214578,35
KLHDC8B,BDP-00009066,All,ovary,0.351304,0.0923173,24
KLHDC8B,Pilaralisib,All,ovary,0.263054,0.167987,29
KLHDC8B,BRD-K27986637,All,ovary,0.587879,0.0738777,10
KLHDC8B,BRD-K14844214,All,ovary,-0.241699,0.155558,36
KLHDC8B,Serdemetan,All,ovary,-0.251681,0.0915486,46
KLHDC8B,BCL-LZH-4,All,ovary,-0.320588,0.226045,16
KLHDC8B,NVP-AUY922,All,ovary,-0.275897,0.172482,26
KLHDC8B,GDC0810,All,ovary,0.293103,0.122808,29
KLHDC8B,BPTES,All,ovary,0.343186,0.0737887,28
KLHDC8B,SB-525334,All,ovary,0.262283,0.111655,38
KLHDC8B,BRD4132,All,ovary,0.254453,0.118002,39
KLHDC8B,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.237991,0.150197,38
KLHDC8B,XMD11-85h,All,ovary,0.367647,0.146554,17
KLHDC8B,FMK,All,ovary,0.271304,0.199711,24
KLHDC8B,Quizartinib,All,ovary,-0.214002,0.173557,42
KLHDC8B,TGX-115,All,ovary,-0.228718,0.261073,26
KLHDC8B,Tubastatin A,All,ovary,-0.318972,0.0327076,45
KLHDC8B,Remodelin,All,ovary,-0.307692,0.330589,12
KLHDC8B,JW-74,All,ovary,0.249042,0.201259,28
KLHDC8B,barasertib,All,ovary,-0.406062,0.0114208,38
KLHDC8B,"Brivanib, BMS-540215",All,ovary,0.383251,0.0401507,29
KLHDC8B,MK-591,All,ovary,-0.245812,0.226112,26
KLHDC8B,GSK-LSD1,All,ovary,0.320779,0.156256,21
KLHDC8B,Pelitinib,All,ovary,0.333881,0.082492,28
