gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
LAMB2,NSC-87877,All,ovary,0.25913,0.221434,24
LAMB2,EPZ004777,All,ovary,-0.21133,0.271125,29
LAMB2,neopeltolide,All,ovary,-0.204202,0.239336,35
LAMB2,Ulixertinib,All,ovary,0.25665,0.178965,29
LAMB2,BRD-K55116708,All,ovary,0.242295,0.148495,37
LAMB2,losartan,All,ovary,0.366154,0.0658144,26
LAMB2,leucascandrolide A,All,ovary,-0.364103,0.0674588,26
LAMB2,ML214,All,ovary,-0.328571,0.23181,15
LAMB2,SNS-032,All,ovary,-0.208494,0.222358,36
LAMB2,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.321289,0.0598389,35
LAMB2,MCT1_6447,All,ovary,0.372195,0.0511285,28
LAMB2,HC-067047,All,ovary,-0.220484,0.183456,38
LAMB2,BRD-K27986637,All,ovary,0.781818,0.00754701,10
LAMB2,BRD-K14844214,All,ovary,-0.268211,0.113739,36
LAMB2,Serdemetan,All,ovary,-0.218008,0.145536,46
LAMB2,GDC0810,All,ovary,0.251232,0.18864,29
LAMB2,Motesanib,All,ovary,-0.218719,0.254329,29
LAMB2,CHEMBL1222381,All,ovary,-0.243582,0.115483,43
LAMB2,skepinone-L,All,ovary,0.461765,0.0717684,16
LAMB2,lonidamine,All,ovary,0.213675,0.294585,26
LAMB2,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.355509,0.0284942,38
LAMB2,KIN001-244,All,ovary,-0.302135,0.118139,28
LAMB2,Tubastatin A,All,ovary,-0.334783,0.0245828,45
LAMB2,Remodelin,All,ovary,-0.265734,0.403833,12
LAMB2,N-oxalyl-D-phenylalanine,All,ovary,0.457094,0.0188935,26
LAMB2,prochlorperazine,All,ovary,-0.244939,0.132871,39
LAMB2,JW-74,All,ovary,0.310892,0.107337,28
LAMB2,FTI-277,All,ovary,0.27913,0.186538,24
LAMB2,Gly-Gly-PALO,All,ovary,0.334701,0.09466,26
LAMB2,MK-591,All,ovary,-0.210256,0.302561,26
LAMB2,STF-62247,All,ovary,-0.213065,0.285953,27
LAMB2,abiraterone,All,ovary,-0.2,0.493004,14
LAMB2,trifluoperazine,All,ovary,-0.342214,0.0306604,40
LAMB2,Tozasertib,All,ovary,-0.300493,0.120251,28
