gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
LPCAT1,N27922-53-1,All,ovary,-0.473043,0.0195657,24
LPCAT1,SZ4TA2,All,ovary,-0.353571,0.196072,15
LPCAT1,tacedinaline,All,ovary,-0.445539,0.0174985,28
LPCAT1,Carboplatin,All,ovary,-0.278745,0.0857293,39
LPCAT1,IAP_7638,All,ovary,0.263736,0.183767,27
LPCAT1,ML214,All,ovary,0.442857,0.0982941,15
LPCAT1,KU-55933,All,ovary,-0.347176,0.0225507,43
LPCAT1,MCT1_6447,All,ovary,-0.269294,0.165821,28
LPCAT1,BRD-K27986637,All,ovary,0.321212,0.365468,10
LPCAT1,150412,All,ovary,-0.222078,0.333281,21
LPCAT1,BCL-LZH-4,All,ovary,-0.435294,0.0919524,16
LPCAT1,NVP-AUY922,All,ovary,-0.269744,0.182649,26
LPCAT1,Motesanib,All,ovary,-0.292611,0.123467,29
LPCAT1,BPTES,All,ovary,-0.210181,0.283041,28
LPCAT1,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.200846,0.196555,43
LPCAT1,GSK690693,All,ovary,-0.247947,0.203311,28
LPCAT1,CCT-018159,All,ovary,-0.250246,0.190437,29
LPCAT1,triptolide,All,ovary,-0.205779,0.18022,44
LPCAT1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.234271,0.156867,38
LPCAT1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.28351,0.0845484,38
LPCAT1,GSK626616AC,All,ovary,0.331169,0.142531,21
LPCAT1,Luminespib,All,ovary,-0.20936,0.275723,29
LPCAT1,Savolitinib,All,ovary,-0.312315,0.0990567,29
LPCAT1,KIN001-244,All,ovary,-0.262178,0.177728,28
LPCAT1,Remodelin,All,ovary,-0.258741,0.416775,12
LPCAT1,776928,All,ovary,0.22987,0.31615,21
LPCAT1,pyrvinium pamoate,All,ovary,0.303759,0.192914,20
LPCAT1,A-366,All,ovary,-0.206087,0.333972,24
LPCAT1,AZD5363,All,ovary,-0.307882,0.104203,29
LPCAT1,GSK-LSD1,All,ovary,0.211688,0.356958,21
