gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
LY6E,NSC-87877,All,ovary,-0.333913,0.110787,24
LY6E,dexamethasone,All,ovary,0.243552,0.111132,44
LY6E,Zibotentan,All,ovary,0.2578,0.185347,28
LY6E,losartan,All,ovary,0.379829,0.0556284,26
LY6E,965-D2,All,ovary,0.238974,0.2397,26
LY6E,"2,4-dideoxy-DC-45-A2",All,ovary,0.273846,0.175826,26
LY6E,BRD-K34222889,All,ovary,0.398178,0.0120561,39
LY6E,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.258824,0.133271,35
LY6E,BDP-00009066,All,ovary,0.307826,0.143375,24
LY6E,BRD-K27986637,All,ovary,0.442424,0.200423,10
LY6E,BRD-K03536150,All,ovary,0.319619,0.0504535,38
LY6E,HG6-64-1,All,ovary,0.210435,0.323647,24
LY6E,BRD-K09344309,All,ovary,0.265934,0.358113,14
LY6E,SB-525334,All,ovary,0.244337,0.139302,38
LY6E,GSK690693,All,ovary,0.390805,0.0397584,28
LY6E,skepinone-L,All,ovary,-0.35,0.183869,16
LY6E,CCT-018159,All,ovary,0.349754,0.0629047,29
LY6E,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.367983,0.0230238,38
LY6E,CD-437,All,ovary,0.276201,0.0729962,43
LY6E,niclosamide,All,ovary,0.348069,0.0322392,38
LY6E,Savolitinib,All,ovary,0.417734,0.0241436,29
LY6E,AZD1480,All,ovary,0.214809,0.237744,32
LY6E,avrainvillamide,All,ovary,0.414846,0.0132147,35
LY6E,KIN001-244,All,ovary,0.462507,0.0132074,28
LY6E,Tubastatin A,All,ovary,-0.408037,0.00539575,45
LY6E,Remodelin,All,ovary,-0.230769,0.470532,12
LY6E,3-Cl-AHPC,All,ovary,0.401012,0.0114055,39
LY6E,prochlorperazine,All,ovary,-0.285425,0.0781823,39
LY6E,necrosulfonamide,All,ovary,0.464615,0.0167879,26
LY6E,barasertib,All,ovary,-0.370609,0.0219913,38
LY6E,pyrvinium pamoate,All,ovary,0.332331,0.152259,20
LY6E,A-366,All,ovary,0.261739,0.216652,24
LY6E,"Brivanib, BMS-540215",All,ovary,0.337931,0.0729839,29
LY6E,BRD-K70511574,All,ovary,0.273887,0.0915637,39
LY6E,AZD5363,All,ovary,0.365025,0.0515309,29
LY6E,STF-62247,All,ovary,0.335775,0.0868416,27
LY6E,abiraterone,All,ovary,0.230769,0.427336,14
LY6E,trifluoperazine,All,ovary,-0.203752,0.207288,40
LY6E,DC-45-A2,All,ovary,0.34359,0.085692,26
LY6E,Tozasertib,All,ovary,-0.299945,0.120961,28
LY6E,667880,All,ovary,-0.296104,0.192476,21
LY6E,AT-406,All,ovary,0.242979,0.222003,27
LY6E,quinoclamine,All,ovary,-0.259487,0.200503,26
LY6E,Daporinad,All,ovary,0.414739,0.00415966,46
LY6E,BRD-K49290616,All,ovary,0.212121,0.556306,10
LY6E,CBB-1007,All,ovary,-0.332353,0.2085,16
LY6E,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.248583,0.12702,39
LY6E,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.220445,0.177482,39
LY6E,WT-161,All,ovary,-0.593846,0.00138198,26
LY6E,Podophyllotoxin bromide,All,ovary,0.290909,0.200768,21
LY6E,AICA Ribonucleotide,All,ovary,0.372742,0.050761,28
LY6E,PF-3758309,All,ovary,0.235294,0.380356,16
LY6E,Dihydrorotenone,All,ovary,-0.257143,0.260473,21
LY6E,narciclasine,All,ovary,0.238502,0.155153,37
LY6E,LY-2157299,All,ovary,-0.539394,0.107593,10
LY6E,sparfosic acid,All,ovary,0.210256,0.302561,26
