gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MAGOHB,neopeltolide,All,ovary,-0.44779,0.00698784,35
MAGOHB,Ulixertinib,All,ovary,-0.211356,0.271065,29
MAGOHB,PHA-793887,All,ovary,-0.320408,0.0385734,42
MAGOHB,SZ4TA2,All,ovary,0.257143,0.35486,15
MAGOHB,dexamethasone,All,ovary,0.211917,0.167287,44
MAGOHB,Mitomycin-C,All,ovary,-0.36087,0.0831946,24
MAGOHB,myricetin,All,ovary,-0.216306,0.185967,39
MAGOHB,etomoxir,All,ovary,0.234832,0.129568,43
MAGOHB,PBD-288,All,ovary,-0.565217,0.00400091,24
MAGOHB,leucascandrolide A,All,ovary,-0.233504,0.250951,26
MAGOHB,PFI-1,All,ovary,-0.436753,0.0178417,29
MAGOHB,BRD8097,All,ovary,-0.254135,0.279598,20
MAGOHB,965-D2,All,ovary,-0.372991,0.0605555,26
MAGOHB,SNS-032,All,ovary,-0.394337,0.0173191,36
MAGOHB,BDP-00009066,All,ovary,-0.542609,0.00615276,24
MAGOHB,Pilaralisib,All,ovary,-0.549575,0.00201478,29
MAGOHB,cerulenin,All,ovary,-0.28565,0.0633351,43
MAGOHB,BRD-K27986637,All,ovary,-0.757576,0.0111434,10
MAGOHB,NVP-AUY922,All,ovary,-0.247863,0.222138,26
MAGOHB,Lenalidomide,All,ovary,0.242413,0.13178,40
MAGOHB,HG6-64-1,All,ovary,-0.273913,0.195252,24
MAGOHB,BRD-K09344309,All,ovary,-0.613187,0.0197063,14
MAGOHB,OSW-1,All,ovary,-0.302564,0.133001,26
MAGOHB,Vinorelbine,All,ovary,-0.316295,0.094602,29
MAGOHB,CCT-018159,All,ovary,-0.462372,0.0115572,29
MAGOHB,lonidamine,All,ovary,0.290256,0.150316,26
MAGOHB,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.340866,0.0362403,38
MAGOHB,CD-437,All,ovary,-0.22192,0.152645,43
MAGOHB,GSK343,All,ovary,-0.36975,0.0483618,29
MAGOHB,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.256935,0.119419,38
MAGOHB,PLK_6522,All,ovary,-0.591761,0.000910179,28
MAGOHB,BAY-HDAC11_1,All,ovary,-0.458462,0.0184954,26
MAGOHB,tosedostat,All,ovary,-0.354981,0.018056,44
MAGOHB,Luminespib,All,ovary,-0.415815,0.0248696,29
MAGOHB,BRD-K55473186,All,ovary,-0.332786,0.0835653,28
MAGOHB,NVP-231,All,ovary,-0.256693,0.114691,39
MAGOHB,birinapant,All,ovary,-0.281391,0.0826754,39
MAGOHB,TGX-115,All,ovary,0.435897,0.0260138,26
MAGOHB,N-oxalyl-D-phenylalanine,All,ovary,0.248547,0.220823,26
MAGOHB,776928,All,ovary,-0.272816,0.231498,21
MAGOHB,FTI-277,All,ovary,-0.323478,0.123095,24
MAGOHB,Gly-Gly-PALO,All,ovary,0.294359,0.144375,26
MAGOHB,"Brivanib, BMS-540215",All,ovary,-0.328612,0.0817722,29
MAGOHB,AZD5363,All,ovary,-0.227614,0.235035,29
MAGOHB,P22077,All,ovary,-0.251016,0.189032,29
MAGOHB,GSK1070916,All,ovary,-0.465581,0.0125326,28
MAGOHB,Voxtalisib,All,ovary,-0.381574,0.0411054,29
MAGOHB,BRD6368,All,ovary,-0.290256,0.150316,26
MAGOHB,667880,All,ovary,-0.604092,0.00372976,21
MAGOHB,BRD2762,All,ovary,-0.227068,0.335674,20
MAGOHB,quinoclamine,All,ovary,-0.530256,0.00532857,26
MAGOHB,N23918-95-7,All,ovary,-0.335827,0.0867905,27
MAGOHB,FGIN-1-27,All,ovary,-0.300064,0.0951992,32
MAGOHB,WT-161,All,ovary,-0.247863,0.222138,26
MAGOHB,BRD4770,All,ovary,-0.251123,0.165631,32
MAGOHB,SNX-2112,All,ovary,-0.323476,0.0283165,46
MAGOHB,Podophyllotoxin bromide,All,ovary,-0.608639,0.00341253,21
MAGOHB,AICA Ribonucleotide,All,ovary,-0.244971,0.208966,28
MAGOHB,Fludarabine,All,ovary,-0.601494,0.00392181,21
