gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MAT2A,IPR-456,All,ovary,-0.274494,0.0908181,39
MAT2A,SZ4TA2,All,ovary,-0.464286,0.081251,15
MAT2A,Zibotentan,All,ovary,-0.4948,0.00743282,28
MAT2A,myricetin,All,ovary,-0.320648,0.0465698,39
MAT2A,etomoxir,All,ovary,0.27756,0.0715392,43
MAT2A,PFI-1,All,ovary,-0.218227,0.255427,29
MAT2A,Carboplatin,All,ovary,-0.204251,0.212308,39
MAT2A,BDP-00009066,All,ovary,-0.442609,0.0303212,24
MAT2A,BRD-K27986637,All,ovary,0.6,0.066688,10
MAT2A,BCL-LZH-4,All,ovary,-0.223529,0.405298,16
MAT2A,NVP-AUY922,All,ovary,-0.253333,0.21177,26
MAT2A,BPTES,All,ovary,-0.384784,0.043191,28
MAT2A,BRD-K09344309,All,ovary,-0.749451,0.00203015,14
MAT2A,SB-525334,All,ovary,0.226174,0.17212,38
MAT2A,skepinone-L,All,ovary,-0.244118,0.362213,16
MAT2A,PDMP,All,ovary,0.21635,0.158376,44
MAT2A,CCT-018159,All,ovary,-0.447783,0.0148571,29
MAT2A,GSK626616AC,All,ovary,-0.37013,0.0986265,21
MAT2A,PLK_6522,All,ovary,-0.431308,0.0219294,28
MAT2A,Panobinostat,All,ovary,-0.242017,0.161299,35
MAT2A,Luminespib,All,ovary,-0.291133,0.125462,29
MAT2A,FMK,All,ovary,0.346087,0.0975977,24
MAT2A,Savolitinib,All,ovary,-0.661576,9.30741e-05,29
MAT2A,avrainvillamide,All,ovary,0.203081,0.24198,35
MAT2A,TGX-115,All,ovary,0.232821,0.252381,26
MAT2A,pyrvinium pamoate,All,ovary,0.216541,0.359146,20
MAT2A,FTI-277,All,ovary,-0.471304,0.0200822,24
MAT2A,Cyclophosphamide,All,ovary,-0.224204,0.175986,38
MAT2A,GSK-LSD1,All,ovary,-0.355844,0.113385,21
MAT2A,P22077,All,ovary,-0.25468,0.182442,29
MAT2A,abiraterone,All,ovary,-0.358242,0.208498,14
MAT2A,GSK1070916,All,ovary,-0.430761,0.0221166,28
MAT2A,Voxtalisib,All,ovary,-0.235961,0.217843,29
MAT2A,CIL55A,All,ovary,0.25806,0.140606,34
MAT2A,quinoclamine,All,ovary,-0.407863,0.0386078,26
MAT2A,BRD9658,All,ovary,-0.245113,0.297601,20
MAT2A,ML150,All,ovary,-0.44664,0.0326368,23
MAT2A,BRD-K49290616,All,ovary,0.321212,0.365468,10
MAT2A,CBB-1007,All,ovary,-0.226471,0.398983,16
MAT2A,JZL-184,All,ovary,0.408547,0.0382517,26
MAT2A,Podophyllotoxin bromide,All,ovary,-0.314286,0.165288,21
MAT2A,Fludarabine,All,ovary,-0.415584,0.0609854,21
MAT2A,XL765,All,ovary,-0.215789,0.187047,39
MAT2A,narciclasine,All,ovary,0.240398,0.151797,37
MAT2A,LY-2157299,All,ovary,-0.406061,0.244282,10
MAT2A,CIL55,All,ovary,0.422126,0.0144042,33
MAT2A,kb NB 142-70,All,ovary,-0.265025,0.164707,29
MAT2A,Rucaparib,All,ovary,-0.204545,0.25352,33
MAT2A,Avagacestat,All,ovary,-0.281773,0.138648,29
MAT2A,UNC1215,All,ovary,-0.342638,0.0742802,28
MAT2A,cimetidine,All,ovary,0.260606,0.467089,10
MAT2A,silmitasertib,All,ovary,-0.385017,0.0186174,37
MAT2A,"eEF2K Inhibitor, A-484954",All,ovary,-0.269951,0.156707,29
MAT2A,pandacostat,All,ovary,0.254453,0.118002,39
MAT2A,NSC319726,All,ovary,0.231527,0.226866,29
MAT2A,semagacestat,All,ovary,-0.216544,0.191608,38
MAT2A,O-6-benzylguanine,All,ovary,0.264706,0.321804,16
MAT2A,EHT-1864,All,ovary,0.278818,0.143014,29
MAT2A,Vinblastine,All,ovary,-0.363437,0.057297,28
MAT2A,chlorambucil,All,ovary,-0.210324,0.198733,39
MAT2A,GANT-58,All,ovary,0.646429,0.00921455,15
MAT2A,"1S,3R-RSL-3",All,ovary,0.330488,0.0348226,41
MAT2A,HBX-41108,All,ovary,-0.209852,0.274569,29
MAT2A,nimodipine,All,ovary,-0.207143,0.458843,15
MAT2A,Belinostat,All,ovary,0.224707,0.216293,32
MAT2A,5-Fluorouracil,All,ovary,-0.207882,0.279203,29
MAT2A,NG-25,All,ovary,0.305419,0.113999,28
MAT2A,SGC-CBP30,All,ovary,-0.237662,0.299561,21
MAT2A,XMD15-27,All,ovary,-0.212917,0.276675,28
MAT2A,BRD-K11533227,All,ovary,-0.204599,0.224475,37
MAT2A,IGFR_3801,All,ovary,-0.285167,0.141317,28
MAT2A,BRD6150,All,ovary,-0.249624,0.288513,20
MAT2A,GSK2636771,All,ovary,-0.457143,0.0126613,29
MAT2A,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.243954,0.145649,37
MAT2A,Cisplatin,All,ovary,-0.363437,0.057297,28
MAT2A,BRD-K48477130,All,ovary,-0.285294,0.284139,16
MAT2A,ML160,All,ovary,0.251976,0.246098,23
MAT2A,WZ4003,All,ovary,-0.298261,0.156883,24
MAT2A,BRD-K13185470,All,ovary,0.854545,0.0016368,10
MAT2A,AZD4877,All,ovary,-0.318008,0.0991171,28
