gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
METAP1,neopeltolide,All,ovary,-0.233613,0.176805,35
METAP1,procarbazine,All,ovary,-0.29425,0.072938,38
METAP1,SZ4TA2,All,ovary,-0.366399,0.179198,15
METAP1,BRD-K55116708,All,ovary,-0.224883,0.18084,37
METAP1,Zibotentan,All,ovary,-0.229885,0.239267,28
METAP1,Mitomycin-C,All,ovary,-0.466087,0.0216984,24
METAP1,PBD-288,All,ovary,-0.466957,0.0214219,24
METAP1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.53641,0.00472893,26
METAP1,BRD-K52037352,All,ovary,0.275369,0.109361,35
METAP1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.353666,0.0371398,35
METAP1,BDP-00009066,All,ovary,-0.48087,0.0173732,24
METAP1,BRD-K27986637,All,ovary,0.284848,0.425038,10
METAP1,BCL-LZH-4,All,ovary,-0.435615,0.0916862,16
METAP1,NVP-AUY922,All,ovary,-0.642393,0.000402513,26
METAP1,HG6-64-1,All,ovary,-0.24,0.258646,24
METAP1,Motesanib,All,ovary,0.248768,0.193155,29
METAP1,BRD-K09344309,All,ovary,-0.402198,0.153974,14
METAP1,GSK690693,All,ovary,-0.258894,0.183421,28
METAP1,skepinone-L,All,ovary,-0.359088,0.171965,16
METAP1,Vinorelbine,All,ovary,-0.348768,0.0637008,29
METAP1,CCT-018159,All,ovary,-0.426601,0.0210106,29
METAP1,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.463424,0.00338748,38
METAP1,CD-437,All,ovary,-0.380413,0.0118549,43
METAP1,niclosamide,All,ovary,-0.259342,0.115875,38
METAP1,GSK626616AC,All,ovary,-0.309091,0.172768,21
METAP1,PLK_6522,All,ovary,-0.338807,0.0777919,28
METAP1,Panobinostat,All,ovary,-0.40028,0.0171878,35
METAP1,XMD11-85h,All,ovary,0.220588,0.394889,17
METAP1,Luminespib,All,ovary,-0.456158,0.0128789,29
METAP1,BRD-K55473186,All,ovary,-0.252326,0.195185,28
METAP1,Savolitinib,All,ovary,-0.464532,0.0111254,29
METAP1,AZD1480,All,ovary,-0.357987,0.0442473,32
METAP1,avrainvillamide,All,ovary,-0.315708,0.0646758,35
METAP1,KIN001-244,All,ovary,-0.339354,0.0772826,28
METAP1,Remodelin,All,ovary,0.237762,0.456801,12
METAP1,3-Cl-AHPC,All,ovary,-0.398907,0.0118859,39
METAP1,N-oxalyl-D-phenylalanine,All,ovary,0.212308,0.29776,26
METAP1,prochlorperazine,All,ovary,0.207703,0.204515,39
METAP1,necrosulfonamide,All,ovary,-0.316977,0.114616,26
METAP1,barasertib,All,ovary,0.252996,0.125393,38
METAP1,pyrvinium pamoate,All,ovary,-0.33985,0.142637,20
METAP1,FTI-277,All,ovary,-0.390435,0.0592575,24
METAP1,AZD5363,All,ovary,-0.241379,0.20715,29
METAP1,MK-591,All,ovary,-0.425641,0.0301647,26
METAP1,P22077,All,ovary,-0.304926,0.107744,29
METAP1,GSK1070916,All,ovary,-0.242474,0.213791,28
METAP1,CIL55A,All,ovary,0.209167,0.235144,34
METAP1,DC-45-A2,All,ovary,-0.371624,0.0615803,26
METAP1,BRD6368,All,ovary,-0.38188,0.0542129,26
METAP1,quinoclamine,All,ovary,-0.323761,0.106642,26
METAP1,ML150,All,ovary,-0.442688,0.0343982,23
METAP1,BRD-K49290616,All,ovary,0.454545,0.186905,10
METAP1,CBB-1007,All,ovary,-0.406181,0.118494,16
