gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
MOB3C,NSC-87877,All,ovary,0.227826,0.284307,24
MOB3C,tacedinaline,All,ovary,0.266557,0.170332,28
MOB3C,etomoxir,All,ovary,0.245243,0.112945,43
MOB3C,losartan,All,ovary,0.240342,0.23694,26
MOB3C,BRD8097,All,ovary,0.428571,0.0593798,20
MOB3C,IAP_7638,All,ovary,-0.217338,0.276169,27
MOB3C,KU-55933,All,ovary,0.209302,0.177974,43
MOB3C,BRD-K52037352,All,ovary,0.320448,0.0605484,35
MOB3C,BRD-K34222889,All,ovary,0.409717,0.00959052,39
MOB3C,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.40056,0.0171029,35
MOB3C,MCT1_6447,All,ovary,0.235359,0.227954,28
MOB3C,BRD-K27986637,All,ovary,0.260606,0.467089,10
MOB3C,GDC0810,All,ovary,0.562069,0.00150755,29
MOB3C,Motesanib,All,ovary,-0.257635,0.177244,29
MOB3C,BRD-K09344309,All,ovary,-0.353846,0.21454,14
MOB3C,CHEMBL1222381,All,ovary,-0.234672,0.129837,43
MOB3C,CCT-018159,All,ovary,-0.219212,0.253234,29
MOB3C,GSK2830371,All,ovary,-0.217391,0.319049,23
MOB3C,FMK,All,ovary,0.353913,0.0897585,24
MOB3C,BRD-K50799972,All,ovary,0.233198,0.153083,39
MOB3C,N-oxalyl-D-phenylalanine,All,ovary,0.36,0.0708423,26
MOB3C,776928,All,ovary,-0.214286,0.35095,21
MOB3C,JW-74,All,ovary,0.30104,0.119544,28
MOB3C,necrosulfonamide,All,ovary,0.247863,0.222138,26
MOB3C,A-366,All,ovary,0.242609,0.253348,24
MOB3C,BRD-K70511574,All,ovary,0.354049,0.0270171,39
MOB3C,AZD5363,All,ovary,0.215271,0.26208,29
MOB3C,abiraterone,All,ovary,-0.613187,0.0197063,14
MOB3C,trifluoperazine,All,ovary,-0.213321,0.186285,40
MOB3C,Voxtalisib,All,ovary,0.212808,0.26771,29
MOB3C,Pelitinib,All,ovary,0.345375,0.0718474,28
MOB3C,DC-45-A2,All,ovary,0.206154,0.312308,26
MOB3C,Tozasertib,All,ovary,-0.332239,0.0841059,28
MOB3C,BRD-M00053801,All,ovary,0.219212,0.253234,29
MOB3C,667880,All,ovary,0.418182,0.0592258,21
MOB3C,PIK-75,All,ovary,-0.327863,0.102024,26
MOB3C,BRD-K49290616,All,ovary,0.50303,0.138334,10
MOB3C,bardoxolone methyl,All,ovary,0.352124,0.0351903,36
MOB3C,JZL-184,All,ovary,0.327179,0.102783,26
MOB3C,PF-3758309,All,ovary,0.388235,0.137282,16
MOB3C,BRD-K79669418,All,ovary,-0.255652,0.227918,24
MOB3C,sparfosic acid,All,ovary,0.334701,0.09466,26
MOB3C,Shikonin,All,ovary,0.43913,0.0318036,24
MOB3C,CIL55,All,ovary,0.257687,0.147672,33
MOB3C,Avagacestat,All,ovary,-0.261084,0.171313,29
MOB3C,AZ6102,All,ovary,0.308374,0.103622,29
MOB3C,JW-7-24-1,All,ovary,0.411056,0.0297786,28
MOB3C,KX2-391,All,ovary,0.381781,0.0164721,39
MOB3C,Cetuximab,All,ovary,0.214896,0.281733,27
MOB3C,GSK3337463A,All,ovary,0.276623,0.22479,21
MOB3C,SCH772984,All,ovary,0.290148,0.126805,29
MOB3C,"1S,3R-RSL-3",All,ovary,0.358014,0.0215458,41
MOB3C,TG-100-115,All,ovary,0.442308,0.00481167,39
MOB3C,minoxidil,All,ovary,0.232143,0.405099,15
MOB3C,nimodipine,All,ovary,0.382143,0.159824,15
MOB3C,FTY-720,All,ovary,0.253695,0.184198,29
MOB3C,IGF1R_3801,All,ovary,0.324675,0.151006,21
MOB3C,VE-822,All,ovary,0.303478,0.149409,24
MOB3C,SGC-CBP30,All,ovary,0.288312,0.205002,21
MOB3C,LRRK2-IN-1,All,ovary,0.474384,0.00932273,29
MOB3C,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.225298,0.173831,38
MOB3C,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.203036,0.215098,39
MOB3C,CIL56,All,ovary,0.211612,0.229592,34
MOB3C,ZL109,All,ovary,-0.283883,0.151282,27
MOB3C,dalcetrapib,All,ovary,0.407179,0.0389666,26
MOB3C,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.334993,0.0426906,37
