gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
NFKB2,EPZ004777,All,ovary,-0.584236,0.000875506,29
NFKB2,BRD-K19103580,All,ovary,0.249371,0.131084,38
NFKB2,procarbazine,All,ovary,-0.325966,0.045805,38
NFKB2,N27922-53-1,All,ovary,-0.290435,0.168584,24
NFKB2,Zibotentan,All,ovary,-0.633279,0.000297864,28
NFKB2,leucascandrolide A,All,ovary,0.262906,0.194425,26
NFKB2,Carboplatin,All,ovary,-0.229555,0.159789,39
NFKB2,B02,All,ovary,0.420826,0.00685153,40
NFKB2,MCT1_6447,All,ovary,-0.385879,0.04255,28
NFKB2,BRD-K14844214,All,ovary,0.25251,0.137336,36
NFKB2,150412,All,ovary,-0.372727,0.0961022,21
NFKB2,Serdemetan,All,ovary,0.209991,0.161302,46
NFKB2,BCL-LZH-4,All,ovary,-0.655882,0.00580074,16
NFKB2,GDC0810,All,ovary,-0.32266,0.0877945,29
NFKB2,BPTES,All,ovary,-0.249042,0.201259,28
NFKB2,GSK690693,All,ovary,-0.267652,0.168517,28
NFKB2,CHEMBL1222381,All,ovary,0.349592,0.0215666,43
NFKB2,skepinone-L,All,ovary,0.238235,0.374254,16
NFKB2,PDMP,All,ovary,0.216631,0.157821,44
NFKB2,GSK2830371,All,ovary,-0.505929,0.0137763,23
NFKB2,niclosamide,All,ovary,-0.200569,0.227277,38
NFKB2,PLK_6522,All,ovary,0.28462,0.142115,28
NFKB2,JAK1_3715,All,ovary,-0.215507,0.280335,27
NFKB2,VAF-347,All,ovary,-0.31,0.131534,25
NFKB2,XMD11-85h,All,ovary,0.218137,0.400295,17
NFKB2,Luminespib,All,ovary,-0.248276,0.194067,29
NFKB2,FMK,All,ovary,-0.474783,0.0190601,24
NFKB2,avrainvillamide,All,ovary,0.243978,0.157827,35
NFKB2,776928,All,ovary,0.279221,0.220289,21
NFKB2,JW-74,All,ovary,-0.328955,0.0874057,28
NFKB2,barasertib,All,ovary,0.26272,0.111036,38
NFKB2,pyrvinium pamoate,All,ovary,0.326316,0.160275,20
NFKB2,FTI-277,All,ovary,0.288696,0.171264,24
NFKB2,A-366,All,ovary,-0.64,0.000756877,24
NFKB2,P22077,All,ovary,-0.365025,0.0515309,29
NFKB2,abiraterone,All,ovary,0.23956,0.40943,14
NFKB2,trifluoperazine,All,ovary,0.278612,0.0817055,40
NFKB2,CIL55A,All,ovary,0.395569,0.020579,34
NFKB2,BRD6368,All,ovary,0.327179,0.102783,26
NFKB2,Tozasertib,All,ovary,0.392447,0.038861,28
NFKB2,BRD2762,All,ovary,-0.219549,0.352346,20
NFKB2,BRD9658,All,ovary,0.348872,0.131663,20
NFKB2,Compound 12,All,ovary,-0.331966,0.0975561,26
NFKB2,CBB-1007,All,ovary,-0.370588,0.15765,16
NFKB2,bardoxolone methyl,All,ovary,0.285199,0.0917908,36
NFKB2,FGIN-1-27,All,ovary,0.276393,0.125692,32
NFKB2,JZL-184,All,ovary,0.337436,0.0918289,26
NFKB2,WT-161,All,ovary,-0.243761,0.230133,26
NFKB2,Podophyllotoxin bromide,All,ovary,-0.203896,0.375337,21
NFKB2,Fludarabine,All,ovary,-0.209091,0.363026,21
NFKB2,PF-3758309,All,ovary,0.232353,0.386511,16
NFKB2,alvocidib,All,ovary,-0.232353,0.386511,16
NFKB2,CAY10603,All,ovary,0.412698,0.0324053,27
NFKB2,BRD-K79669418,All,ovary,0.253043,0.232864,24
NFKB2,BRD-K45681478,All,ovary,0.24332,0.135534,39
NFKB2,LY-2157299,All,ovary,0.454545,0.186905,10
NFKB2,Ipatasertib,All,ovary,-0.404926,0.0293335,29
NFKB2,SB216763,All,ovary,-0.494089,0.00644552,29
NFKB2,BRD2572,All,ovary,-0.201504,0.39426,20
NFKB2,Rucaparib,All,ovary,-0.394719,0.0230111,33
NFKB2,AGI-5198,All,ovary,-0.59803,0.000611952,29
NFKB2,UNC1215,All,ovary,-0.256158,0.188261,28
NFKB2,KW-2449,All,ovary,0.341296,0.0334738,39
NFKB2,"eEF2K Inhibitor, A-484954",All,ovary,-0.485222,0.00763003,29
NFKB2,NPC-26,All,ovary,0.205441,0.203467,40
NFKB2,NSC319726,All,ovary,0.253202,0.185081,29
NFKB2,BRD0713,All,ovary,-0.583459,0.00692269,20
NFKB2,JW-7-24-1,All,ovary,0.264368,0.174002,28
NFKB2,cytochalasin B,All,ovary,0.311769,0.0393826,44
NFKB2,Cetuximab,All,ovary,-0.222833,0.263908,27
NFKB2,Picolinici-acid,All,ovary,-0.463478,0.022545,24
NFKB2,OF-1,All,ovary,0.226957,0.2862,24
NFKB2,EHT-1864,All,ovary,0.21133,0.271125,29
NFKB2,GSK3337463A,All,ovary,-0.463636,0.0342653,21
NFKB2,BRD-K90370028,All,ovary,-0.535294,0.0326159,16
NFKB2,XMD13-2,All,ovary,0.245211,0.208506,28
