gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
NME4,EPZ004777,All,ovary,-0.373399,0.0460218,29
NME4,neopeltolide,All,ovary,-0.382913,0.0231844,35
NME4,PHA-793887,All,ovary,-0.26181,0.0939586,42
NME4,IPR-456,All,ovary,-0.218421,0.181597,39
NME4,SZ4TA2,All,ovary,-0.282143,0.308284,15
NME4,PBD-288,All,ovary,-0.290435,0.168584,24
NME4,leucascandrolide A,All,ovary,-0.328547,0.101269,26
NME4,965-D2,All,ovary,-0.310085,0.123158,26
NME4,Carboplatin,All,ovary,-0.276721,0.0881243,39
NME4,"2,4-dideoxy-DC-45-A2",All,ovary,-0.242393,0.23284,26
NME4,BRD-K34222889,All,ovary,-0.340891,0.0336979,39
NME4,SNS-032,All,ovary,-0.33668,0.0446613,36
NME4,BDP-00009066,All,ovary,-0.42087,0.0405596,24
NME4,HC-067047,All,ovary,-0.445454,0.00506871,38
NME4,cerulenin,All,ovary,-0.302024,0.0490245,43
NME4,BRD-K14844214,All,ovary,-0.299871,0.0755887,36
NME4,BRD-K03536150,All,ovary,-0.369953,0.0222457,38
NME4,NVP-AUY922,All,ovary,-0.357265,0.0731693,26
NME4,BPTES,All,ovary,-0.303229,0.116747,28
NME4,BRD-K09344309,All,ovary,-0.437363,0.117845,14
NME4,SB-525334,All,ovary,-0.206259,0.214088,38
NME4,CHEMBL1222381,All,ovary,-0.224555,0.147708,43
NME4,GMX-1778,All,ovary,-0.276533,0.0691986,44
NME4,OSW-1,All,ovary,-0.345641,0.0837169,26
NME4,Vinorelbine,All,ovary,-0.215271,0.26208,29
NME4,CCT-018159,All,ovary,-0.393103,0.0348945,29
NME4,triptolide,All,ovary,-0.23735,0.12082,44
NME4,lonidamine,All,ovary,0.271111,0.180355,26
NME4,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.300799,0.066496,38
NME4,GSK2830371,All,ovary,-0.297431,0.168107,23
NME4,CD-1530,All,ovary,-0.23724,0.125571,43
NME4,CD-437,All,ovary,-0.284506,0.0644469,43
NME4,niclosamide,All,ovary,-0.312835,0.0558334,38
NME4,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.378707,0.0190474,38
NME4,GSK626616AC,All,ovary,-0.275325,0.227064,21
NME4,PLK_6522,All,ovary,-0.260536,0.180559,28
NME4,JAK1_3715,All,ovary,-0.386447,0.0464653,27
NME4,BAY-HDAC11_1,All,ovary,-0.310769,0.12229,26
NME4,tosedostat,All,ovary,-0.229457,0.134055,44
NME4,XMD11-85h,All,ovary,0.254902,0.32346,17
NME4,Savolitinib,All,ovary,-0.404433,0.0295499,29
NME4,Quizartinib,All,ovary,-0.220971,0.159638,42
NME4,NVP-231,All,ovary,-0.324291,0.0439983,39
NME4,avrainvillamide,All,ovary,-0.333053,0.0505792,35
NME4,TGX-115,All,ovary,0.339487,0.0897476,26
NME4,KIN001-244,All,ovary,-0.210181,0.283041,28
NME4,3-Cl-AHPC,All,ovary,-0.318421,0.0482001,39
NME4,N-oxalyl-D-phenylalanine,All,ovary,0.35453,0.0755543,26
NME4,prochlorperazine,All,ovary,-0.228745,0.161308,39
NME4,776928,All,ovary,-0.285714,0.209295,21
NME4,JW-74,All,ovary,-0.294472,0.128231,28
NME4,necrosulfonamide,All,ovary,-0.415385,0.034832,26
NME4,pyrvinium pamoate,All,ovary,-0.305263,0.190609,20
NME4,Cyclophosphamide,All,ovary,0.245213,0.137846,38
NME4,"Brivanib, BMS-540215",All,ovary,-0.232512,0.224839,29
NME4,BRD-K70511574,All,ovary,-0.383401,0.0159827,39
NME4,P22077,All,ovary,-0.330049,0.0803663,29
NME4,abiraterone,All,ovary,-0.221978,0.44563,14
NME4,GSK1070916,All,ovary,-0.285714,0.140521,28
NME4,Voxtalisib,All,ovary,-0.295566,0.119548,29
NME4,CIL55A,All,ovary,-0.273644,0.117353,34
NME4,BRD6368,All,ovary,-0.302564,0.133001,26
NME4,667880,All,ovary,-0.294805,0.194527,21
NME4,BRD2762,All,ovary,-0.263158,0.262287,20
NME4,quinoclamine,All,ovary,-0.418803,0.0332162,26
NME4,BRD9658,All,ovary,-0.312782,0.179364,20
NME4,Daporinad,All,ovary,-0.229849,0.124375,46
NME4,Compound 12,All,ovary,0.391453,0.0479753,26
NME4,PIK-75,All,ovary,-0.448889,0.021432,26
NME4,CBB-1007,All,ovary,0.241176,0.368207,16
NME4,JZL-184,All,ovary,0.336068,0.0932364,26
NME4,WT-161,All,ovary,0.222564,0.274471,26
NME4,BRD4770,All,ovary,-0.291789,0.105142,32
NME4,IOX2,All,ovary,-0.418227,0.0239601,29
NME4,Podophyllotoxin bromide,All,ovary,-0.477922,0.028433,21
NME4,Fludarabine,All,ovary,-0.536364,0.0121906,21
NME4,PF-3758309,All,ovary,-0.408824,0.115888,16
NME4,Dihydrorotenone,All,ovary,-0.3,0.186411,21
NME4,BRD-K79669418,All,ovary,-0.273913,0.195252,24
NME4,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.308097,0.0563688,39
NME4,sparfosic acid,All,ovary,0.206154,0.312308,26
NME4,CIL55,All,ovary,-0.293449,0.0974272,33
NME4,kb NB 142-70,All,ovary,-0.317734,0.0930293,29
NME4,Avagacestat,All,ovary,0.250739,0.189537,29
