gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
NSF,NSC-87877,All,ovary,-0.238261,0.262218,24
NSF,neopeltolide,All,ovary,-0.285434,0.0964916,35
NSF,965-D2,All,ovary,-0.247179,0.223457,26
NSF,Carboplatin,All,ovary,-0.201012,0.219804,39
NSF,"2,4-dideoxy-DC-45-A2",All,ovary,-0.208889,0.305789,26
NSF,ML214,All,ovary,0.207143,0.458843,15
NSF,BRD-K52037352,All,ovary,0.310084,0.0698571,35
NSF,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.393277,0.0194275,35
NSF,MCT1_6447,All,ovary,-0.353585,0.0649164,28
NSF,BRD-K27986637,All,ovary,-0.709091,0.0216659,10
NSF,NVP-AUY922,All,ovary,-0.36547,0.0663591,26
NSF,Lenalidomide,All,ovary,0.326642,0.0396706,40
NSF,HG6-64-1,All,ovary,-0.26,0.219832,24
NSF,BRD-K09344309,All,ovary,-0.661538,0.00997518,14
NSF,SB-525334,All,ovary,0.255936,0.120913,38
NSF,CHEMBL1222381,All,ovary,-0.34627,0.0229292,43
NSF,GMX-1778,All,ovary,-0.30007,0.047815,44
NSF,CD-1530,All,ovary,-0.265328,0.0855101,43
NSF,CD-437,All,ovary,-0.319843,0.0365442,43
NSF,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.223329,0.177724,38
NSF,JAK1_3715,All,ovary,0.205739,0.303231,27
NSF,Panobinostat,All,ovary,-0.208683,0.228956,35
NSF,Luminespib,All,ovary,-0.25665,0.178965,29
NSF,Savolitinib,All,ovary,-0.364039,0.0522118,29
NSF,BRD-K50799972,All,ovary,0.32834,0.0412772,39
NSF,avrainvillamide,All,ovary,-0.22409,0.195625,35
NSF,birinapant,All,ovary,-0.32834,0.0412772,39
NSF,Tubastatin A,All,ovary,-0.224242,0.138642,45
NSF,Remodelin,All,ovary,0.482517,0.112109,12
NSF,776928,All,ovary,-0.32987,0.144198,21
NSF,FTI-277,All,ovary,-0.210435,0.323647,24
NSF,Gly-Gly-PALO,All,ovary,-0.262222,0.19563,26
NSF,Cyclophosphamide,All,ovary,-0.245651,0.137122,38
NSF,"Brivanib, BMS-540215",All,ovary,0.215764,0.260964,29
NSF,MK-591,All,ovary,-0.335385,0.0939462,26
NSF,FQI-2,All,ovary,-0.275958,0.0807345,41
NSF,abiraterone,All,ovary,-0.323077,0.259874,14
NSF,GSK1070916,All,ovary,0.232074,0.234698,28
NSF,DC-45-A2,All,ovary,-0.237607,0.242481,26
NSF,BRD2762,All,ovary,-0.401504,0.0793166,20
NSF,quinoclamine,All,ovary,-0.239658,0.238317,26
NSF,BRD9658,All,ovary,-0.359398,0.119633,20
NSF,CHIR-99021,All,ovary,-0.206342,0.179003,44
NSF,ML150,All,ovary,-0.269763,0.213196,23
NSF,CBB-1007,All,ovary,0.267647,0.316254,16
NSF,JZL-184,All,ovary,0.407179,0.0389666,26
NSF,WT-161,All,ovary,-0.273162,0.176951,26
NSF,BRD4770,All,ovary,-0.412757,0.0188859,32
NSF,SNX-2112,All,ovary,-0.265618,0.0744019,46
NSF,Podophyllotoxin bromide,All,ovary,-0.336364,0.135997,21
NSF,Fludarabine,All,ovary,-0.522078,0.0151958,21
NSF,alvocidib,All,ovary,-0.405882,0.118792,16
NSF,Rucaparib,All,ovary,-0.251003,0.158842,33
NSF,ML030,All,ovary,-0.354898,0.0180849,44
NSF,KW-2449,All,ovary,-0.223077,0.172233,39
NSF,AZD6094,All,ovary,0.235043,0.237941,27
NSF,tipifarnib-P1,All,ovary,-0.241438,0.114366,44
NSF,NPC-26,All,ovary,-0.345966,0.0287628,40
NSF,AZ6102,All,ovary,0.2867,0.131588,29
NSF,BRD0713,All,ovary,-0.336842,0.146433,20
NSF,O-6-benzylguanine,All,ovary,-0.326471,0.217159,16
NSF,BRD-K90370028,All,ovary,0.217647,0.418087,16
NSF,Vinblastine,All,ovary,-0.211823,0.27921,28
NSF,chlorambucil,All,ovary,-0.253239,0.119827,39
NSF,minoxidil,All,ovary,-0.678571,0.00541655,15
NSF,nimodipine,All,ovary,-0.639286,0.0102884,15
NSF,Bax channel blocker,All,ovary,-0.307836,0.0473395,42
NSF,NG-25,All,ovary,0.261084,0.179612,28
NSF,QS11,All,ovary,-0.236032,0.148011,39
NSF,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.357479,0.0275654,38
NSF,XMD15-27,All,ovary,-0.351943,0.0662593,28
NSF,importazole,All,ovary,-0.253644,0.119216,39
NSF,FY026,All,ovary,0.202686,0.310618,27
NSF,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,-0.245951,0.131226,39
