gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
NUDT5,NSC-87877,All,ovary,0.321739,0.125239,24
NUDT5,UNC0321,All,ovary,-0.222139,0.168308,40
NUDT5,EPZ004777,All,ovary,-0.394089,0.0344009,29
NUDT5,neopeltolide,All,ovary,-0.420168,0.0119709,35
NUDT5,PHA-793887,All,ovary,-0.244632,0.118434,42
NUDT5,Zibotentan,All,ovary,0.291735,0.131984,28
NUDT5,Mitomycin-C,All,ovary,-0.386087,0.0623972,24
NUDT5,losartan,All,ovary,0.209573,0.304172,26
NUDT5,PBD-288,All,ovary,-0.34,0.104038,24
NUDT5,leucascandrolide A,All,ovary,-0.497436,0.00972057,26
NUDT5,965-D2,All,ovary,-0.355214,0.0749525,26
NUDT5,Carboplatin,All,ovary,-0.327328,0.0419443,39
NUDT5,"2,4-dideoxy-DC-45-A2",All,ovary,-0.374359,0.059544,26
NUDT5,KU-55933,All,ovary,-0.252492,0.102364,43
NUDT5,SNS-032,All,ovary,-0.22574,0.185569,36
NUDT5,BRD-K14844214,All,ovary,-0.287001,0.0896686,36
NUDT5,Serdemetan,All,ovary,-0.222078,0.137981,46
NUDT5,NVP-AUY922,All,ovary,-0.534359,0.00492212,26
NUDT5,BRD-K09344309,All,ovary,-0.485714,0.0782759,14
NUDT5,skepinone-L,All,ovary,0.205882,0.444285,16
NUDT5,CCT-018159,All,ovary,-0.384729,0.0393242,29
NUDT5,lonidamine,All,ovary,0.21641,0.2883,26
NUDT5,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.235584,0.154489,38
NUDT5,CD-437,All,ovary,-0.263063,0.0883158,43
NUDT5,niclosamide,All,ovary,-0.318087,0.0516304,38
NUDT5,JAK1_3715,All,ovary,-0.334554,0.0880666,27
NUDT5,tosedostat,All,ovary,-0.240169,0.11634,44
NUDT5,XMD11-85h,All,ovary,0.328431,0.198069,17
NUDT5,BRD-K55473186,All,ovary,-0.328407,0.0879651,28
NUDT5,NVP-231,All,ovary,-0.214575,0.1896,39
NUDT5,birinapant,All,ovary,-0.32753,0.0418102,39
NUDT5,TGX-115,All,ovary,0.348376,0.0811373,26
NUDT5,KIN001-244,All,ovary,-0.294472,0.128231,28
NUDT5,Remodelin,All,ovary,-0.286713,0.366251,12
NUDT5,776928,All,ovary,-0.253247,0.268018,21
NUDT5,necrosulfonamide,All,ovary,-0.450256,0.0209907,26
NUDT5,barasertib,All,ovary,0.218952,0.186597,38
NUDT5,BRD-K70511574,All,ovary,-0.29413,0.0691382,39
NUDT5,MK-591,All,ovary,-0.228718,0.261073,26
NUDT5,P22077,All,ovary,-0.259113,0.174685,29
NUDT5,STF-62247,All,ovary,-0.294261,0.136253,27
NUDT5,abiraterone,All,ovary,-0.323077,0.259874,14
NUDT5,GSK1070916,All,ovary,-0.303777,0.116055,28
NUDT5,DC-45-A2,All,ovary,-0.243761,0.230133,26
NUDT5,Tozasertib,All,ovary,-0.372195,0.0511285,28
NUDT5,667880,All,ovary,-0.263636,0.248202,21
NUDT5,BRD2762,All,ovary,-0.437594,0.0536614,20
NUDT5,AT-406,All,ovary,-0.397436,0.040087,27
NUDT5,quinoclamine,All,ovary,-0.374359,0.059544,26
NUDT5,BRD9658,All,ovary,-0.225564,0.338971,20
NUDT5,ML150,All,ovary,-0.22332,0.305699,23
NUDT5,PIK-75,All,ovary,-0.236923,0.243879,26
NUDT5,JZL-184,All,ovary,0.362051,0.0691346,26
NUDT5,WT-161,All,ovary,-0.333333,0.0960999,26
NUDT5,Podophyllotoxin bromide,All,ovary,-0.531169,0.0132217,21
NUDT5,AICA Ribonucleotide,All,ovary,-0.335523,0.0809019,28
NUDT5,Fludarabine,All,ovary,-0.431169,0.0510014,21
NUDT5,PF-3758309,All,ovary,-0.229412,0.39272,16
NUDT5,Dihydrorotenone,All,ovary,-0.215584,0.347968,21
NUDT5,Amuvatinib,All,ovary,-0.281883,0.146158,28
NUDT5,XL765,All,ovary,-0.263968,0.104421,39
NUDT5,alvocidib,All,ovary,-0.555882,0.0253622,16
NUDT5,BRD-K79669418,All,ovary,-0.401739,0.0516637,24
