gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
OAS1,neopeltolide,All,ovary,0.291317,0.0895247,35
OAS1,IPR-456,All,ovary,-0.205982,0.208374,39
OAS1,BRD-K55116708,All,ovary,0.400688,0.0139875,37
OAS1,PBD-288,All,ovary,0.311807,0.138006,24
OAS1,leucascandrolide A,All,ovary,0.355897,0.0743545,26
OAS1,BRD8097,All,ovary,0.297744,0.20232,20
OAS1,965-D2,All,ovary,0.215763,0.289779,26
OAS1,"2,4-dideoxy-DC-45-A2",All,ovary,0.313504,0.118864,26
OAS1,BRD-K52037352,All,ovary,0.221304,0.201385,35
OAS1,BRD-K34222889,All,ovary,0.243028,0.136018,39
OAS1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.338259,0.0468656,35
OAS1,Pilaralisib,All,ovary,0.325163,0.0852219,29
OAS1,cerulenin,All,ovary,0.368483,0.0150433,43
OAS1,BRD-K03536150,All,ovary,0.363736,0.0247789,38
OAS1,NVP-AUY922,All,ovary,0.259487,0.200503,26
OAS1,HG6-64-1,All,ovary,0.556643,0.00472683,24
OAS1,Motesanib,All,ovary,-0.358419,0.0562334,29
OAS1,BRD-K09344309,All,ovary,-0.208791,0.473779,14
OAS1,skepinone-L,All,ovary,0.291176,0.273887,16
OAS1,Vinorelbine,All,ovary,0.324671,0.0857237,29
OAS1,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.246321,0.13602,38
OAS1,GSK2830371,All,ovary,-0.44082,0.0352561,23
OAS1,CD-437,All,ovary,0.206667,0.183623,43
OAS1,niclosamide,All,ovary,0.293593,0.0736099,38
OAS1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.262187,0.111789,38
OAS1,BAY-HDAC11_1,All,ovary,0.220551,0.278949,26
OAS1,VAF-347,All,ovary,-0.264615,0.201154,25
OAS1,Panobinostat,All,ovary,0.33994,0.0457145,35
OAS1,Luminespib,All,ovary,0.234019,0.221764,29
OAS1,CAY10594,All,ovary,0.244875,0.113504,43
OAS1,AZD1480,All,ovary,0.279692,0.121056,32
OAS1,avrainvillamide,All,ovary,0.46852,0.00452996,35
OAS1,KIN001-244,All,ovary,0.345422,0.071806,28
OAS1,3-Cl-AHPC,All,ovary,0.215699,0.187236,39
OAS1,prochlorperazine,All,ovary,-0.244952,0.132851,39
OAS1,necrosulfonamide,All,ovary,0.334758,0.0946001,26
OAS1,pyrvinium pamoate,All,ovary,0.353383,0.126407,20
OAS1,FTI-277,All,ovary,0.226571,0.287041,24
OAS1,A-366,All,ovary,0.285279,0.176616,24
OAS1,BRD-K70511574,All,ovary,0.377347,0.0178771,39
OAS1,MK-591,All,ovary,0.468718,0.0157231,26
OAS1,GSK-LSD1,All,ovary,-0.275414,0.226907,21
OAS1,abiraterone,All,ovary,-0.406593,0.149102,14
OAS1,Pelitinib,All,ovary,0.356371,0.0626867,28
OAS1,DC-45-A2,All,ovary,0.508376,0.00800666,26
OAS1,BRD6368,All,ovary,0.377094,0.0575603,26
OAS1,667880,All,ovary,0.481975,0.0269304,21
OAS1,BRD2762,All,ovary,0.221053,0.348974,20
OAS1,Daporinad,All,ovary,0.258287,0.0830738,46
OAS1,bardoxolone methyl,All,ovary,0.267456,0.114799,36
OAS1,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.323093,0.044831,39
OAS1,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.233311,0.152878,39
OAS1,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.253758,0.119045,39
OAS1,JZL-184,All,ovary,0.219829,0.280564,26
OAS1,BRD4770,All,ovary,0.392229,0.0263963,32
OAS1,SNX-2112,All,ovary,0.303494,0.0403267,46
OAS1,Podophyllotoxin bromide,All,ovary,0.495615,0.0223291,21
OAS1,Fludarabine,All,ovary,0.295551,0.193348,21
OAS1,Dihydrorotenone,All,ovary,0.274115,0.229195,21
OAS1,Amuvatinib,All,ovary,0.285753,0.140464,28
OAS1,narciclasine,All,ovary,0.214688,0.201951,37
OAS1,Shikonin,All,ovary,0.454447,0.0256843,24
OAS1,CIL55,All,ovary,0.305481,0.0838467,33
OAS1,kb NB 142-70,All,ovary,0.23328,0.223269,29
OAS1,Rucaparib,All,ovary,0.37804,0.0300708,33
OAS1,ML030,All,ovary,0.202262,0.187943,44
OAS1,AZD-7545,All,ovary,0.336305,0.0256128,44
OAS1,AZD6094,All,ovary,-0.29304,0.137963,27
OAS1,cimetidine,All,ovary,0.260606,0.467089,10
OAS1,tipifarnib-P1,All,ovary,0.27767,0.0680158,44
OAS1,BRD0713,All,ovary,-0.303759,0.192914,20
OAS1,JW-7-24-1,All,ovary,0.266867,0.169816,28
OAS1,KX2-391,All,ovary,0.38261,0.01622,39
OAS1,GSK3337463A,All,ovary,0.551478,0.00955622,21
OAS1,chlorambucil,All,ovary,0.292727,0.0705367,39
OAS1,XMD13-2,All,ovary,0.241412,0.215865,28
OAS1,GANT-58,All,ovary,0.310714,0.259667,15
OAS1,"1S,3R-RSL-3",All,ovary,0.306024,0.0516694,41
OAS1,AZD7762,All,ovary,0.219277,0.157718,43
OAS1,TG-100-115,All,ovary,0.344957,0.0315026,39
OAS1,minoxidil,All,ovary,0.235714,0.397703,15
OAS1,Torin 2,All,ovary,0.3025,0.110716,29
OAS1,PT-630,All,ovary,-0.208889,0.305789,26
OAS1,Bax channel blocker,All,ovary,0.201685,0.200252,42
OAS1,Compound 7d-cis,All,ovary,0.373471,0.0148426,42
OAS1,FTY-720,All,ovary,0.355709,0.0582571,29
OAS1,IGF1R_3801,All,ovary,0.320234,0.157002,21
OAS1,QS11,All,ovary,0.253454,0.119502,39
OAS1,m-3M3-FBS,All,ovary,0.214359,0.293006,26
OAS1,VE-822,All,ovary,-0.220918,0.299557,24
OAS1,SGC-CBP30,All,ovary,-0.225398,0.325916,21
OAS1,Capivasertib,All,ovary,0.211852,0.279143,28
OAS1,LRRK2-IN-1,All,ovary,0.237468,0.214832,29
OAS1,XMD15-27,All,ovary,0.374709,0.0494578,28
OAS1,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.238271,0.144092,39
OAS1,importazole,All,ovary,-0.279352,0.0850208,39
OAS1,CAY10618,All,ovary,0.283409,0.0763724,40
OAS1,Platin,All,ovary,0.208006,0.203839,39
OAS1,dalcetrapib,All,ovary,0.476923,0.0137599,26
OAS1,WYE-125132,All,ovary,0.365562,0.0511622,29
OAS1,BRD6150,All,ovary,-0.282707,0.227153,20
OAS1,SCH-79797,All,ovary,0.301491,0.0467194,44
OAS1,SID 26681509,All,ovary,0.251671,0.103523,43
OAS1,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.371051,0.023763,37
