gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
POR,EPZ004777,All,ovary,-0.499015,0.00585765,29
POR,PHA-793887,All,ovary,-0.220323,0.160898,42
POR,SZ4TA2,All,ovary,-0.239286,0.390379,15
POR,BRD-K55116708,All,ovary,-0.260076,0.120048,37
POR,tacedinaline,All,ovary,-0.471812,0.0112526,28
POR,myricetin,All,ovary,-0.362146,0.0234801,39
POR,losartan,All,ovary,0.333333,0.0960999,26
POR,Carboplatin,All,ovary,-0.351417,0.0282573,39
POR,KU-55933,All,ovary,-0.412866,0.00593228,43
POR,BRD-K34222889,All,ovary,-0.215385,0.187895,39
POR,SNS-032,All,ovary,-0.348263,0.0373887,36
POR,MCT1_6447,All,ovary,-0.205802,0.293419,28
POR,HC-067047,All,ovary,-0.220921,0.182566,38
POR,150412,All,ovary,-0.705195,0.000356431,21
POR,BCL-LZH-4,All,ovary,-0.417647,0.107474,16
POR,NVP-AUY922,All,ovary,-0.217094,0.286742,26
POR,HG6-64-1,All,ovary,0.267826,0.205764,24
POR,BRD-K33199242,All,ovary,-0.212348,0.194346,39
POR,BRD-K09344309,All,ovary,0.279121,0.333845,14
POR,GSK690693,All,ovary,-0.273673,0.15878,28
POR,triptolide,All,ovary,-0.365891,0.0145843,44
POR,lonidamine,All,ovary,0.228718,0.261073,26
POR,CD-1530,All,ovary,-0.219269,0.157734,43
POR,GSK343,All,ovary,-0.23202,0.225851,29
POR,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.205602,0.215582,38
POR,XMD11-85h,All,ovary,0.257353,0.318668,17
POR,FMK,All,ovary,-0.308696,0.14219,24
POR,BRD-K55473186,All,ovary,-0.404488,0.0327641,28
POR,Savolitinib,All,ovary,0.339409,0.0716599,29
POR,Quizartinib,All,ovary,-0.384977,0.0118188,42
POR,BRD-K50799972,All,ovary,-0.331377,0.0393274,39
POR,Tubastatin A,All,ovary,-0.256653,0.088779,45
POR,prochlorperazine,All,ovary,-0.387247,0.0148693,39
POR,JW-74,All,ovary,-0.324028,0.0925384,28
POR,necrosulfonamide,All,ovary,-0.268376,0.184964,26
POR,barasertib,All,ovary,-0.241493,0.144112,38
POR,Cyclophosphamide,All,ovary,-0.222453,0.179474,38
POR,AZD5363,All,ovary,-0.224138,0.242455,29
POR,GSK-LSD1,All,ovary,0.224675,0.32751,21
POR,P22077,All,ovary,-0.341379,0.0699236,29
POR,STF-62247,All,ovary,0.331502,0.0911864,27
POR,abiraterone,All,ovary,-0.292308,0.310526,14
POR,GSK1070916,All,ovary,-0.239737,0.219166,28
POR,BRD2762,All,ovary,-0.309774,0.183806,20
POR,AT-406,All,ovary,-0.214286,0.283135,27
POR,quinoclamine,All,ovary,-0.243761,0.230133,26
POR,N23918-95-7,All,ovary,-0.228938,0.250704,27
POR,BRD-K49290616,All,ovary,-0.29697,0.404702,10
POR,KU 0060648,All,ovary,-0.253659,0.114253,40
POR,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.2583,0.11236,39
POR,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.3083,0.0561986,39
POR,AZD8835,All,ovary,-0.264915,0.173079,28
POR,JZL-184,All,ovary,0.219145,0.282101,26
POR,WT-161,All,ovary,-0.602051,0.00113746,26
POR,Axitinib,All,ovary,-0.222267,0.157141,42
POR,Amuvatinib,All,ovary,-0.308155,0.110631,28
POR,XL765,All,ovary,-0.391903,0.0136098,39
POR,alvocidib,All,ovary,-0.576471,0.0194151,16
POR,BRD-K79669418,All,ovary,0.222609,0.295778,24
POR,BRD-K45681478,All,ovary,-0.247166,0.129272,39
POR,LY-2157299,All,ovary,-0.369697,0.29305,10
POR,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.325304,0.0433048,39
POR,Ipatasertib,All,ovary,-0.333005,0.0775337,29
POR,BRD2572,All,ovary,-0.596992,0.00545199,20
POR,ML030,All,ovary,-0.241015,0.115021,44
POR,UNC1215,All,ovary,-0.331691,0.0846492,28
POR,cimetidine,All,ovary,-0.612121,0.0599721,10
POR,silmitasertib,All,ovary,-0.231863,0.16732,37
POR,tipifarnib-P1,All,ovary,-0.2179,0.155342,44
POR,AZ6102,All,ovary,-0.246798,0.196821,29
POR,BRD0713,All,ovary,-0.584962,0.00674477,20
POR,JW-7-24-1,All,ovary,-0.226054,0.247405,28
POR,O-6-benzylguanine,All,ovary,-0.282353,0.28935,16
POR,Picolinici-acid,All,ovary,-0.42087,0.0405596,24
POR,EHT-1864,All,ovary,-0.305419,0.107147,29
POR,BRD-K90370028,All,ovary,-0.361765,0.168559,16
POR,methylstat,All,ovary,-0.29803,0.116353,29
POR,Veliparib,All,ovary,-0.301903,0.0464052,44
POR,Bexarotene,All,ovary,-0.38838,0.0110321,42
POR,HBX-41108,All,ovary,-0.409852,0.0272397,29
POR,KHS101,All,ovary,-0.268374,0.108265,37
POR,TG-100-115,All,ovary,-0.317814,0.0486526,39
POR,minoxidil,All,ovary,-0.489286,0.0641604,15
POR,Uprosertib,All,ovary,-0.302956,0.110153,29
POR,BRD-K07442505,All,ovary,-0.409514,0.00962974,39
POR,nimodipine,All,ovary,-0.296429,0.283355,15
POR,Compound 7d-cis,All,ovary,-0.31286,0.043661,42
POR,5-Fluorouracil,All,ovary,-0.314286,0.0968318,29
POR,m-3M3-FBS,All,ovary,0.388718,0.0496968,26
POR,VE-822,All,ovary,-0.482609,0.0169143,24
POR,LRRK2-IN-1,All,ovary,-0.296059,0.118904,29
POR,BRD-K11533227,All,ovary,-0.414414,0.0107698,37
POR,Platin,All,ovary,-0.265587,0.102233,39
POR,Flutamide,All,ovary,0.27668,0.201236,23
POR,BRD6150,All,ovary,-0.637594,0.00249284,20
POR,GSK2636771,All,ovary,-0.246305,0.197745,29
POR,BRD6825,All,ovary,-0.270677,0.248391,20
POR,Cisplatin,All,ovary,-0.229338,0.240419,28
POR,nakiterpiosin,All,ovary,-0.259901,0.0884227,44
POR,simvastatin,All,ovary,-0.261,0.0950175,42
POR,ML160,All,ovary,-0.294466,0.172591,23
POR,PK-11195,All,ovary,0.295455,0.171087,23
POR,16-beta-bromoandrosterone,All,ovary,-0.221534,0.153378,43
POR,Embelin,All,ovary,0.237391,0.264015,24
POR,BRD-K02492147,All,ovary,-0.470308,0.00435828,35
POR,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.367983,0.0230238,38
POR,BRD-K13185470,All,ovary,0.393939,0.259998,10
POR,Pictilisib,All,ovary,-0.274237,0.075142,43
POR,BRD-K97651142,All,ovary,-0.285042,0.0828099,38
POR,isoevodiamine,All,ovary,-0.355482,0.0193176,43
POR,sotrastaurin,All,ovary,-0.200493,0.297027,29
POR,Sinularin,All,ovary,-0.244156,0.286153,21
POR,Compound 11e,All,ovary,0.271429,0.327789,15
POR,4-methylfasudil,All,ovary,-0.316923,0.114681,26
POR,parbendazole,All,ovary,-0.259056,0.0895011,44
POR,vorinostat:carboplatin (1:1 mol-mol),All,ovary,-0.245432,0.137484,38
POR,ZD-6474,All,ovary,-0.363636,0.105149,21
POR,CID-5951923,All,ovary,-0.30627,0.061466,38
POR,KU-60019,All,ovary,-0.484899,0.000982822,43
POR,SB-743921,All,ovary,-0.512091,0.00119534,37
POR,SMER-3,All,ovary,-0.234492,0.168643,36
POR,VE821,All,ovary,-0.332512,0.0780004,29
POR,Sabutoclax,All,ovary,-0.292174,0.165932,24
POR,BRD-K58730230,All,ovary,0.466667,0.173939,10
POR,selumetinib:navitoclax (8:1 mol-mol),All,ovary,-0.267206,0.10008,39
POR,OSI-027,All,ovary,-0.260797,0.0911925,43
POR,968,All,ovary,0.430303,0.214492,10
POR,BRD-K44224150,All,ovary,-0.357576,0.310376,10
POR,CDK9_5038,All,ovary,-0.280519,0.21806,21
POR,BDILV000379a,All,ovary,-0.280519,0.21806,21
POR,C-75,All,ovary,-0.200493,0.297027,29
POR,BRD-K41334119,All,ovary,0.321212,0.365468,10
POR,BAM7,All,ovary,-0.215271,0.26208,29
POR,zileuton,All,ovary,0.284786,0.158507,26
POR,BRD2296,All,ovary,-0.45,0.0923574,15
POR,TTK_3146,All,ovary,-0.235906,0.226843,28
POR,fatostatin,All,ovary,-0.215726,0.289864,26
POR,IWP-2,All,ovary,-0.312821,0.119714,26
POR,Leflunomide,All,ovary,-0.226087,0.2881,24
POR,ICL-SIRT078,All,ovary,-0.349565,0.0940531,24
POR,50869,All,ovary,-0.463636,0.0342653,21
POR,993-D2,All,ovary,-0.392137,0.0475523,26
POR,Foretinib,All,ovary,-0.301117,0.0497413,43
POR,QL-XII-61,All,ovary,-0.235294,0.363295,17
POR,Compound 1541A,All,ovary,0.265026,0.0858802,43
POR,C6-ceramide,All,ovary,-0.399798,0.0116806,39
POR,AM-580,All,ovary,-0.324172,0.0318127,44
POR,MLN2480,All,ovary,-0.370588,0.15765,16
POR,QL-XI-92,All,ovary,0.200328,0.306725,28
POR,CDK9_5576,All,ovary,-0.345455,0.125078,21
POR,selumetinib:JQ-1 (4:1 mol-mol),All,ovary,-0.290076,0.0772924,38
POR,BRD-K71781559,All,ovary,-0.309514,0.0551863,39
POR,idarubicin,All,ovary,-0.21641,0.2883,26
POR,Venetoclax,All,ovary,-0.319949,0.0571339,36
POR,GSK2276186C,All,ovary,-0.388312,0.0819434,21
POR,"CAP-232, TT-232, TLN-232",All,ovary,-0.219212,0.253234,29
POR,XMD8-92,All,ovary,0.485294,0.0483082,17
POR,7-nitroindazole,All,ovary,0.417436,0.0338551,26
POR,BI-2536,All,ovary,-0.237743,0.111614,46
POR,BRD4372,All,ovary,-0.33985,0.142637,20
POR,hyperforin,All,ovary,-0.329352,0.0406187,39
POR,NSC-207895,All,ovary,-0.272283,0.169441,27
POR,Ch-55,All,ovary,-0.233997,0.163337,37
POR,NVP-BSK805,All,ovary,-0.23055,0.163748,38
POR,ETP-46464,All,ovary,-0.234483,0.220823,29
POR,BRD9571,All,ovary,-0.471429,0.0760704,15
POR,CI-1040,All,ovary,0.249589,0.200237,28
POR,GSK591,All,ovary,-0.466502,0.0107432,29
POR,decitabine:navitoclax (2:1 mol-mol),All,ovary,-0.23583,0.148369,39
POR,Nilotinib,All,ovary,-0.312516,0.0366089,45
POR,POMHEX,All,ovary,-0.218261,0.305554,24
POR,CIL41,All,ovary,-0.207219,0.247233,33
POR,RS-23597-190,All,ovary,0.240119,0.269769,23
POR,KPT185,All,ovary,-0.341379,0.0699236,29
POR,SB-225002,All,ovary,-0.271318,0.0748321,44
POR,Gemcitabine,All,ovary,0.208881,0.16358,46
POR,Compound 44,All,ovary,-0.20547,0.313951,26
POR,ZM336372,All,ovary,0.229249,0.292697,23
POR,myriocin,All,ovary,-0.314919,0.0844271,31
POR,ABT-751,All,ovary,-0.381197,0.0546816,26
POR,630600,All,ovary,-0.223377,0.330388,21
POR,BRD-K61166597,All,ovary,-0.249393,0.125747,39
POR,chaetocin,All,ovary,0.270751,0.211459,23
POR,ZSTK474,All,ovary,-0.296329,0.0567123,42
POR,fluoropyruvate,All,ovary,0.393504,0.0467152,26
POR,UNC0642,All,ovary,-0.201423,0.304035,28
POR,Masitinib,All,ovary,-0.245645,0.121603,41
POR,GW441756,All,ovary,-0.319212,0.0914347,29
POR,JQ-1:navitoclax (2:1 mol-mol),All,ovary,-0.262348,0.106644,39
POR,GANT-61,All,ovary,-0.276518,0.0883666,39
POR,Taselisib,All,ovary,-0.395074,0.0339129,29
POR,BRD8958,All,ovary,-0.256237,0.0931693,44
POR,N30652-18-1,All,ovary,-0.217391,0.307533,24
POR,JQ-1:vorinostat (2:1 mol-mol),All,ovary,-0.20232,0.223161,38
POR,rosiglitazone,All,ovary,0.355897,0.0743545,26
POR,N22899-6-C1,All,ovary,-0.257631,0.194502,27
POR,N29087-69-1,All,ovary,-0.233043,0.27312,24
