gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
QSOX1,procarbazine,All,ovary,0.235365,0.154883,38
QSOX1,BRD-K55116708,All,ovary,0.209104,0.214215,37
QSOX1,Mitomycin-C,All,ovary,0.215652,0.311514,24
QSOX1,tacedinaline,All,ovary,0.280241,0.148622,28
QSOX1,losartan,All,ovary,0.278632,0.168094,26
QSOX1,PBD-288,All,ovary,0.296522,0.159432,24
QSOX1,PFI-1,All,ovary,0.380788,0.041559,29
QSOX1,BRD8097,All,ovary,0.381955,0.0965386,20
QSOX1,Carboplatin,All,ovary,0.323684,0.0444188,39
QSOX1,IAP_7638,All,ovary,-0.242369,0.223203,27
QSOX1,BRD-K34222889,All,ovary,0.436437,0.00547511,39
QSOX1,BDP-00009066,All,ovary,0.426957,0.0374523,24
QSOX1,BRD-K27986637,All,ovary,-0.236364,0.510885,10
QSOX1,BRD-K09344309,All,ovary,0.573626,0.0319708,14
QSOX1,GSK690693,All,ovary,0.319102,0.0978956,28
QSOX1,GMX-1778,All,ovary,0.242565,0.112633,44
QSOX1,skepinone-L,All,ovary,-0.258824,0.333072,16
QSOX1,PDMP,All,ovary,0.218605,0.153977,44
QSOX1,CCT-018159,All,ovary,0.43202,0.0192662,29
QSOX1,triptolide,All,ovary,0.202114,0.188273,44
QSOX1,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.446985,0.00490158,38
QSOX1,CD-437,All,ovary,0.27167,0.0780224,43
QSOX1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.381552,0.0180948,38
QSOX1,JAK1_3715,All,ovary,0.208181,0.2974,27
QSOX1,BRD-K55473186,All,ovary,0.34647,0.0708917,28
QSOX1,AZD1480,All,ovary,0.220308,0.225657,32
QSOX1,Quizartinib,All,ovary,0.256786,0.100673,42
QSOX1,avrainvillamide,All,ovary,0.361625,0.032799,35
QSOX1,Remodelin,All,ovary,-0.314685,0.319139,12
QSOX1,3-Cl-AHPC,All,ovary,0.300202,0.0633319,39
QSOX1,prochlorperazine,All,ovary,0.225304,0.16788,39
QSOX1,776928,All,ovary,0.271429,0.233974,21
QSOX1,JW-74,All,ovary,0.350848,0.0671665,28
QSOX1,necrosulfonamide,All,ovary,0.54735,0.00380345,26
QSOX1,pyrvinium pamoate,All,ovary,0.320301,0.168577,20
QSOX1,"Brivanib, BMS-540215",All,ovary,0.289655,0.12748,29
QSOX1,BRD-K70511574,All,ovary,0.226113,0.166316,39
QSOX1,P22077,All,ovary,0.506404,0.00506151,29
QSOX1,abiraterone,All,ovary,0.472527,0.0879674,14
QSOX1,trifluoperazine,All,ovary,0.324203,0.0412597,40
QSOX1,GSK1070916,All,ovary,0.53202,0.00356877,28
QSOX1,Voxtalisib,All,ovary,0.222167,0.24673,29
QSOX1,Pelitinib,All,ovary,0.383689,0.0438397,28
