gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SF3B3,EPZ004777,All,ovary,-0.296552,0.118262,29
SF3B3,neopeltolide,All,ovary,-0.494958,0.00250441,35
SF3B3,Mitomycin-C,All,ovary,-0.433043,0.0345364,24
SF3B3,NSC 74859,All,ovary,0.23437,0.130346,43
SF3B3,PBD-288,All,ovary,-0.504348,0.0119654,24
SF3B3,965-D2,All,ovary,-0.378462,0.0565879,26
SF3B3,Carboplatin,All,ovary,-0.315789,0.0501856,39
SF3B3,"2,4-dideoxy-DC-45-A2",All,ovary,-0.245128,0.227447,26
SF3B3,BRD-K34222889,All,ovary,-0.239474,0.142018,39
SF3B3,SNS-032,All,ovary,-0.213385,0.211454,36
SF3B3,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.333894,0.0499644,35
SF3B3,BDP-00009066,All,ovary,-0.381739,0.0656632,24
SF3B3,Pilaralisib,All,ovary,-0.269458,0.157494,29
SF3B3,cerulenin,All,ovary,-0.281788,0.0671525,43
SF3B3,BRD-K27986637,All,ovary,-0.539394,0.107593,10
SF3B3,150412,All,ovary,-0.28961,0.202877,21
SF3B3,BCL-LZH-4,All,ovary,-0.529412,0.034952,16
SF3B3,NVP-AUY922,All,ovary,-0.30735,0.126673,26
SF3B3,Lenalidomide,All,ovary,0.318574,0.0451249,40
SF3B3,HG6-64-1,All,ovary,-0.247826,0.242965,24
SF3B3,BRD-K09344309,All,ovary,-0.450549,0.105933,14
SF3B3,Vinorelbine,All,ovary,-0.313793,0.0973845,29
SF3B3,CCT-018159,All,ovary,-0.322167,0.0883077,29
SF3B3,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.47828,0.00238777,38
SF3B3,CD-437,All,ovary,-0.371187,0.0142632,43
SF3B3,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.389649,0.0155994,38
SF3B3,JAK1_3715,All,ovary,-0.351648,0.0720658,27
SF3B3,Panobinostat,All,ovary,-0.216527,0.211537,35
SF3B3,Luminespib,All,ovary,-0.351724,0.061336,29
SF3B3,CAY10594,All,ovary,-0.223195,0.15024,43
SF3B3,Savolitinib,All,ovary,-0.389655,0.0366671,29
SF3B3,NVP-231,All,ovary,-0.28664,0.0768677,39
SF3B3,KIN001-244,All,ovary,-0.420909,0.0257162,28
SF3B3,Remodelin,All,ovary,-0.20979,0.512841,12
SF3B3,3-Cl-AHPC,All,ovary,-0.435223,0.00562184,39
SF3B3,N-oxalyl-D-phenylalanine,All,ovary,0.53094,0.00525893,26
SF3B3,pyrvinium pamoate,All,ovary,-0.222556,0.345621,20
SF3B3,Gly-Gly-PALO,All,ovary,0.259487,0.200503,26
SF3B3,BRD-K70511574,All,ovary,-0.421255,0.0075693,39
SF3B3,MK-591,All,ovary,-0.308034,0.125787,26
