gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SLC25A20,BRD-K19103580,All,ovary,-0.406281,0.0113723,38
SLC25A20,neopeltolide,All,ovary,-0.259384,0.132403,35
SLC25A20,Ulixertinib,All,ovary,0.204926,0.286249,29
SLC25A20,IPR-456,All,ovary,-0.250607,0.123854,39
SLC25A20,SZ4TA2,All,ovary,-0.264286,0.341174,15
SLC25A20,Zibotentan,All,ovary,-0.39792,0.0359861,28
SLC25A20,tacedinaline,All,ovary,0.298851,0.12239,28
SLC25A20,etomoxir,All,ovary,0.221987,0.152518,43
SLC25A20,losartan,All,ovary,0.202735,0.320577,26
SLC25A20,leucascandrolide A,All,ovary,-0.264957,0.190839,26
SLC25A20,965-D2,All,ovary,-0.330598,0.0990288,26
SLC25A20,Carboplatin,All,ovary,-0.29251,0.0707553,39
SLC25A20,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.239216,0.166355,35
SLC25A20,HC-067047,All,ovary,-0.378925,0.0189727,38
SLC25A20,150412,All,ovary,-0.258442,0.257989,21
SLC25A20,BRD-K33199242,All,ovary,-0.203441,0.214165,39
SLC25A20,BRD-K09344309,All,ovary,-0.331868,0.246377,14
SLC25A20,CHEMBL1222381,All,ovary,-0.367563,0.0153168,43
SLC25A20,GMX-1778,All,ovary,-0.284144,0.0615851,44
SLC25A20,CCT-018159,All,ovary,-0.238424,0.212937,29
SLC25A20,lonidamine,All,ovary,0.377094,0.0575603,26
SLC25A20,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.259875,0.115101,38
SLC25A20,GSK2830371,All,ovary,-0.253953,0.242288,23
SLC25A20,CD-1530,All,ovary,-0.200846,0.196555,43
SLC25A20,CD-437,All,ovary,-0.227575,0.142194,43
SLC25A20,GSK626616AC,All,ovary,-0.385714,0.0841882,21
SLC25A20,PLK_6522,All,ovary,-0.224959,0.249763,28
SLC25A20,BAY-HDAC11_1,All,ovary,-0.317607,0.113858,26
SLC25A20,CAY10594,All,ovary,-0.355784,0.0192078,43
SLC25A20,Savolitinib,All,ovary,-0.512808,0.00444798,29
SLC25A20,AZD1480,All,ovary,0.271261,0.133161,32
SLC25A20,Quizartinib,All,ovary,-0.209302,0.183423,42
SLC25A20,NVP-231,All,ovary,-0.296559,0.0667673,39
SLC25A20,TGX-115,All,ovary,0.323077,0.107427,26
SLC25A20,Remodelin,All,ovary,-0.237762,0.456801,12
SLC25A20,3-Cl-AHPC,All,ovary,-0.257085,0.114119,39
SLC25A20,N-oxalyl-D-phenylalanine,All,ovary,0.411282,0.0368531,26
SLC25A20,JW-74,All,ovary,-0.261631,0.178668,28
