gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SMURF2,NSC-87877,All,ovary,0.271304,0.199711,24
SMURF2,EPZ004777,All,ovary,-0.300985,0.112603,29
SMURF2,SZ4TA2,All,ovary,-0.25,0.368846,15
SMURF2,Zibotentan,All,ovary,-0.271483,0.162273,28
SMURF2,tacedinaline,All,ovary,0.358511,0.0610141,28
SMURF2,myricetin,All,ovary,0.396761,0.0123931,39
SMURF2,etomoxir,All,ovary,0.237844,0.124583,43
SMURF2,losartan,All,ovary,0.212991,0.29617,26
SMURF2,Wnt-C59,All,ovary,0.224138,0.242455,29
SMURF2,ML214,All,ovary,0.389286,0.151512,15
SMURF2,KU-55933,All,ovary,0.325883,0.0329584,43
SMURF2,SNS-032,All,ovary,0.370914,0.0259435,36
SMURF2,Pilaralisib,All,ovary,0.281773,0.138648,29
SMURF2,BRD-K27986637,All,ovary,-0.454545,0.186905,10
SMURF2,BRD-K14844214,All,ovary,0.236293,0.1653,36
SMURF2,BCL-LZH-4,All,ovary,-0.214706,0.424559,16
SMURF2,NVP-AUY922,All,ovary,-0.377778,0.0570725,26
SMURF2,HG6-64-1,All,ovary,0.22087,0.299665,24
SMURF2,Motesanib,All,ovary,-0.294581,0.120844,29
SMURF2,BRD-K09344309,All,ovary,-0.208791,0.473779,14
SMURF2,PDMP,All,ovary,0.372516,0.0127669,44
SMURF2,CCT-018159,All,ovary,-0.204926,0.286249,29
SMURF2,lonidamine,All,ovary,0.28,0.165929,26
SMURF2,CD-437,All,ovary,-0.234823,0.129583,43
SMURF2,XMD11-85h,All,ovary,-0.311274,0.223924,17
SMURF2,FMK,All,ovary,0.229565,0.280547,24
SMURF2,BRD-K55473186,All,ovary,0.409414,0.0305035,28
SMURF2,Savolitinib,All,ovary,-0.276847,0.145979,29
SMURF2,TGX-115,All,ovary,0.364786,0.0669072,26
SMURF2,Tubastatin A,All,ovary,0.248617,0.099597,45
SMURF2,Remodelin,All,ovary,0.363636,0.245265,12
SMURF2,prochlorperazine,All,ovary,0.401012,0.0114055,39
SMURF2,776928,All,ovary,0.283117,0.213648,21
SMURF2,necrosulfonamide,All,ovary,0.319658,0.111414,26
