gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SPOCK2,NSC-87877,All,ovary,-0.203088,0.341209,24
SPOCK2,neopeltolide,All,ovary,0.208418,0.229563,35
SPOCK2,SZ4TA2,All,ovary,0.264286,0.341174,15
SPOCK2,Mitomycin-C,All,ovary,0.49402,0.014142,24
SPOCK2,myricetin,All,ovary,-0.233514,0.152512,39
SPOCK2,losartan,All,ovary,0.260899,0.197977,26
SPOCK2,PBD-288,All,ovary,0.434007,0.0340916,24
SPOCK2,BRD8097,All,ovary,0.359398,0.119633,20
SPOCK2,Wnt-C59,All,ovary,-0.442912,0.0161196,29
SPOCK2,965-D2,All,ovary,0.510857,0.00765549,26
SPOCK2,BRD-K34222889,All,ovary,0.219748,0.178892,39
SPOCK2,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.555081,0.000538337,35
SPOCK2,Pilaralisib,All,ovary,0.203966,0.288561,29
SPOCK2,BCL-LZH-4,All,ovary,0.335294,0.204255,16
SPOCK2,BRD-K03536150,All,ovary,0.242928,0.141669,38
SPOCK2,HG6-64-1,All,ovary,0.489672,0.0151509,24
SPOCK2,BRD-K33199242,All,ovary,-0.368136,0.021119,39
SPOCK2,BPTES,All,ovary,0.204735,0.295983,28
SPOCK2,SB-525334,All,ovary,0.200471,0.22751,38
SPOCK2,Vinorelbine,All,ovary,0.271462,0.154309,29
SPOCK2,CCT-018159,All,ovary,0.333046,0.0774949,29
SPOCK2,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.36297,0.025107,38
SPOCK2,CD-437,All,ovary,0.273493,0.0759688,43
SPOCK2,niclosamide,All,ovary,0.369098,0.0225808,38
SPOCK2,GSK343,All,ovary,-0.321961,0.0885236,29
SPOCK2,GSK626616AC,All,ovary,-0.209159,0.362866,21
SPOCK2,PLK_6522,All,ovary,0.218421,0.264153,28
SPOCK2,JAK1_3715,All,ovary,0.482906,0.0107288,27
SPOCK2,BAY-HDAC11_1,All,ovary,0.232176,0.253733,26
SPOCK2,Savolitinib,All,ovary,0.266782,0.161821,29
SPOCK2,avrainvillamide,All,ovary,0.334337,0.0496422,35
SPOCK2,TGX-115,All,ovary,-0.364165,0.0674084,26
