gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ST14,IPR-456,All,ovary,0.214485,0.189791,39
ST14,SZ4TA2,All,ovary,0.482143,0.0687495,15
ST14,dexamethasone,All,ovary,0.261179,0.0868127,44
ST14,Zibotentan,All,ovary,0.324576,0.0919571,28
ST14,Mitomycin-C,All,ovary,0.533044,0.00731778,24
ST14,PBD-288,All,ovary,0.506087,0.0116275,24
ST14,BRD8097,All,ovary,0.347368,0.133449,20
ST14,Wnt-C59,All,ovary,-0.385222,0.0390518,29
ST14,965-D2,All,ovary,0.469402,0.0155512,26
ST14,Carboplatin,All,ovary,0.284731,0.0789415,39
ST14,IAP_7638,All,ovary,-0.291819,0.139688,27
ST14,ML214,All,ovary,-0.335714,0.221212,15
ST14,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.411093,0.0141557,35
ST14,BDP-00009066,All,ovary,0.493913,0.0141663,24
ST14,HC-067047,All,ovary,0.228374,0.167873,38
ST14,BRD-K14844214,All,ovary,0.221378,0.194437,36
ST14,BCL-LZH-4,All,ovary,0.502941,0.0470631,16
ST14,HG6-64-1,All,ovary,0.471304,0.0200822,24
ST14,Motesanib,All,ovary,0.226601,0.237182,29
ST14,BRD-K09344309,All,ovary,0.661538,0.00997518,14
ST14,GSK690693,All,ovary,0.425835,0.0238611,28
ST14,OSW-1,All,ovary,-0.204479,0.316341,26
ST14,CCT-018159,All,ovary,0.645813,0.0001545,29
ST14,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.377743,0.0193796,38
ST14,CD-437,All,ovary,0.213237,0.169773,43
ST14,niclosamide,All,ovary,0.489249,0.0018258,38
ST14,GSK343,All,ovary,-0.20197,0.293406,29
ST14,GSK626616AC,All,ovary,-0.293507,0.196593,21
ST14,JAK1_3715,All,ovary,0.380952,0.0499417,27
ST14,tosedostat,All,ovary,-0.20198,0.188572,44
ST14,VAF-347,All,ovary,0.255818,0.217101,25
ST14,Panobinostat,All,ovary,0.206177,0.234723,35
ST14,XMD11-85h,All,ovary,0.208333,0.422313,17
ST14,Luminespib,All,ovary,0.337931,0.0729839,29
ST14,BRD-K55473186,All,ovary,0.311482,0.106637,28
ST14,Savolitinib,All,ovary,0.514778,0.00427248,29
ST14,TGX-115,All,ovary,-0.409643,0.0376864,26
ST14,KIN001-244,All,ovary,0.461412,0.0134549,28
ST14,Remodelin,All,ovary,-0.230769,0.470532,12
ST14,3-Cl-AHPC,All,ovary,0.460853,0.00315179,39
ST14,JW-74,All,ovary,0.260298,0.180972,28
ST14,necrosulfonamide,All,ovary,0.270474,0.181422,26
ST14,barasertib,All,ovary,-0.347541,0.0325197,38
ST14,FTI-277,All,ovary,0.447826,0.0282015,24
ST14,STF-62247,All,ovary,0.446886,0.0194426,27
ST14,abiraterone,All,ovary,0.296703,0.302967,14
ST14,GSK1070916,All,ovary,0.237548,0.223531,28
ST14,Pelitinib,All,ovary,0.329502,0.086849,28
ST14,CIL55A,All,ovary,-0.238826,0.173742,34
ST14,Tozasertib,All,ovary,-0.224716,0.250288,28
ST14,quinoclamine,All,ovary,0.208925,0.305704,26
ST14,Daporinad,All,ovary,0.261679,0.0789679,46
ST14,N23918-95-7,All,ovary,0.2558,0.197804,27
ST14,ML150,All,ovary,0.273715,0.206305,23
ST14,BRD-K49290616,All,ovary,-0.454545,0.186905,10
ST14,KU 0060648,All,ovary,-0.283784,0.075967,40
ST14,FGIN-1-27,All,ovary,-0.291422,0.1056,32
ST14,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.21408,0.190649,39
ST14,JZL-184,All,ovary,-0.249273,0.219433,26
ST14,WT-161,All,ovary,-0.376475,0.0580049,26
ST14,IOX2,All,ovary,0.223153,0.244586,29
