gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
STAG1,dexamethasone,All,ovary,0.363495,0.0152937,44
STAG1,tacedinaline,All,ovary,0.258894,0.183421,28
STAG1,myricetin,All,ovary,0.296761,0.0665727,39
STAG1,etomoxir,All,ovary,0.287526,0.0615431,43
STAG1,losartan,All,ovary,0.211624,0.299355,26
STAG1,IAP_7638,All,ovary,-0.361416,0.0639847,27
STAG1,ML214,All,ovary,0.264286,0.341174,15
STAG1,BRD-K34222889,All,ovary,0.337045,0.0358883,39
STAG1,BDP-00009066,All,ovary,-0.366087,0.078514,24
STAG1,NVP-AUY922,All,ovary,-0.266325,0.188473,26
STAG1,BPTES,All,ovary,-0.262178,0.177728,28
STAG1,BRD-K09344309,All,ovary,-0.428571,0.126274,14
STAG1,SB-525334,All,ovary,0.311522,0.0569257,38
STAG1,OSW-1,All,ovary,0.364786,0.0669072,26
STAG1,Vinorelbine,All,ovary,-0.281281,0.139369,29
STAG1,PDMP,All,ovary,0.205638,0.180525,44
STAG1,CCT-018159,All,ovary,-0.328079,0.0822983,29
STAG1,PLK_6522,All,ovary,-0.267652,0.168517,28
STAG1,BAY-HDAC11_1,All,ovary,-0.21641,0.2883,26
STAG1,VAF-347,All,ovary,0.481538,0.0148006,25
STAG1,XMD11-85h,All,ovary,-0.232843,0.36846,17
STAG1,Luminespib,All,ovary,-0.467488,0.0105563,29
STAG1,FMK,All,ovary,0.22087,0.299665,24
STAG1,Savolitinib,All,ovary,-0.23202,0.225851,29
STAG1,AZD1480,All,ovary,0.229839,0.205707,32
STAG1,birinapant,All,ovary,-0.266802,0.100615,39
STAG1,TGX-115,All,ovary,0.493333,0.0104375,26
STAG1,necrosulfonamide,All,ovary,0.271795,0.179215,26
STAG1,pyrvinium pamoate,All,ovary,0.258647,0.270856,20
STAG1,"Brivanib, BMS-540215",All,ovary,-0.260099,0.172993,29
STAG1,MK-591,All,ovary,0.224615,0.269957,26
STAG1,STF-62247,All,ovary,0.21917,0.272042,27
STAG1,Pelitinib,All,ovary,-0.20197,0.302695,28
STAG1,quinoclamine,All,ovary,-0.286838,0.155399,26
STAG1,CBB-1007,All,ovary,0.397059,0.127806,16
STAG1,bardoxolone methyl,All,ovary,0.241956,0.155105,36
STAG1,AZD8835,All,ovary,-0.218938,0.262995,28
STAG1,JZL-184,All,ovary,0.368889,0.0636701,26
STAG1,PF-3758309,All,ovary,-0.311765,0.2398,16
STAG1,LY-2157299,All,ovary,-0.212121,0.556306,10
STAG1,SB216763,All,ovary,-0.212808,0.26771,29
STAG1,BRD2572,All,ovary,0.27218,0.245669,20
STAG1,CIL55,All,ovary,0.29111,0.100252,33
STAG1,kb NB 142-70,All,ovary,-0.325616,0.084763,29
STAG1,AGI-5198,All,ovary,-0.224138,0.242455,29
STAG1,KW-2449,All,ovary,-0.37915,0.0172942,39
STAG1,cimetidine,All,ovary,-0.29697,0.404702,10
STAG1,silmitasertib,All,ovary,-0.286392,0.0857119,37
STAG1,pandacostat,All,ovary,0.200405,0.22123,39
STAG1,JW-7-24-1,All,ovary,0.287356,0.138154,28
STAG1,O-6-benzylguanine,All,ovary,-0.423529,0.102109,16
STAG1,Cetuximab,All,ovary,0.227106,0.254619,27
STAG1,methylstat,All,ovary,-0.210837,0.27227,29
STAG1,GANT-58,All,ovary,0.428571,0.11096,15
STAG1,SCH772984,All,ovary,0.260099,0.172993,29
STAG1,5-Fluorouracil,All,ovary,-0.31133,0.100183,29
STAG1,NG-25,All,ovary,0.208539,0.286905,28
STAG1,VE-822,All,ovary,0.265217,0.210384,24
STAG1,SGC-CBP30,All,ovary,0.393506,0.077588,21
STAG1,NU7441,All,ovary,-0.294581,0.120844,29
STAG1,Flutamide,All,ovary,0.398221,0.0598363,23
STAG1,BRD6150,All,ovary,-0.233083,0.322678,20
STAG1,FR-180204,All,ovary,-0.264368,0.174002,28
STAG1,PK-11195,All,ovary,0.476285,0.02159,23
STAG1,BRD-A02303741,All,ovary,0.281781,0.0822318,39
STAG1,BRD-K13185470,All,ovary,0.418182,0.229113,10
STAG1,VX-11e,All,ovary,-0.304926,0.107744,29
STAG1,AZD4877,All,ovary,-0.214559,0.272899,28
STAG1,fumagillol,All,ovary,0.267692,0.186128,26
STAG1,Compound 11e,All,ovary,0.425,0.114295,15
STAG1,valdecoxib,All,ovary,0.250458,0.101052,44
STAG1,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,0.206733,0.219574,37
