gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
TBC1D14,EPZ004777,All,ovary,-0.216749,0.25874,29
TBC1D14,BRD-K19103580,All,ovary,-0.234052,0.157266,38
TBC1D14,neopeltolide,All,ovary,-0.40084,0.0170183,35
TBC1D14,procarbazine,All,ovary,-0.264471,0.10859,38
TBC1D14,SZ4TA2,All,ovary,-0.232143,0.405099,15
TBC1D14,BRD-K55116708,All,ovary,-0.24514,0.14364,37
TBC1D14,tacedinaline,All,ovary,-0.227148,0.245061,28
TBC1D14,myricetin,All,ovary,-0.211538,0.196093,39
TBC1D14,losartan,All,ovary,0.201368,0.323921,26
TBC1D14,PBD-288,All,ovary,-0.268696,0.204239,24
TBC1D14,leucascandrolide A,All,ovary,-0.414017,0.0354956,26
TBC1D14,PFI-1,All,ovary,0.204434,0.287434,29
TBC1D14,965-D2,All,ovary,-0.394188,0.046301,26
TBC1D14,"2,4-dideoxy-DC-45-A2",All,ovary,-0.385299,0.0519164,26
TBC1D14,ML214,All,ovary,0.210714,0.450958,15
TBC1D14,BDP-00009066,All,ovary,-0.287826,0.172615,24
TBC1D14,HC-067047,All,ovary,-0.350257,0.0310981,38
TBC1D14,cerulenin,All,ovary,-0.232558,0.133431,43
TBC1D14,BRD-K27986637,All,ovary,0.381818,0.276255,10
TBC1D14,150412,All,ovary,-0.361039,0.107845,21
TBC1D14,Serdemetan,All,ovary,-0.361949,0.0134457,46
TBC1D14,NVP-AUY922,All,ovary,-0.240342,0.23694,26
TBC1D14,GDC0810,All,ovary,0.210837,0.27227,29
TBC1D14,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.250076,0.105803,43
TBC1D14,GSK690693,All,ovary,-0.278051,0.151955,28
TBC1D14,CHEMBL1222381,All,ovary,-0.210208,0.176061,43
TBC1D14,GMX-1778,All,ovary,-0.307681,0.0421785,44
TBC1D14,CCT-018159,All,ovary,-0.245813,0.198672,29
TBC1D14,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.359011,0.0268603,38
TBC1D14,CD-437,All,ovary,-0.272123,0.0775079,43
TBC1D14,niclosamide,All,ovary,-0.306708,0.061077,38
TBC1D14,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.262939,0.110728,38
TBC1D14,BAY-HDAC11_1,All,ovary,-0.340855,0.08838,26
TBC1D14,tosedostat,All,ovary,-0.261875,0.0859459,44
TBC1D14,Panobinostat,All,ovary,-0.20028,0.248674,35
